变量名,_name,targetType,skillTarget,input,process,targetFormula,specialChoose,targetLimit,fixPos,buffList,buffLifeRound,buffProb,buffLevel,buffValue1,effectEventID,extraArgs
默认值,,0,1,,,{},,99,,<>,<>,<1>,<>,<>,,
ID,技能过程名功能备注(程序不读取，策划使用),目标类型(1友方0敌方),技能伤害目标(目标位置),阵营,在input下的目标类型,公式选择目标，优先级高于process，{process={key=self:hasBuff(54214); value=<hpRatioMax;hpRatioMin>}},单个特殊目标位置选择(填写1和8时，过程段只能写一段)(target查找参数),随机目标上限(target查找参数),固定位置(target查找参数),触发buffId,buff持续回合,buff成功率,buff生效等级,buff效果参数1,effect_event对应ID,下一个过程段
,skill_process_2开始,,,,,,,,,,,,,,,
,超级超梦X,,,,,,,,,,,,,,,
76211,,,,,,,,,,,,,,,76211,
76212,,1,14,,,,,,,<762111;762112>,<1;1>,<1;1>,,<self:Bdamage()*0.15;3000>,,
76221,,,,,,,,,,,,,,,76221,
76222,,1,14,,,,,,,<762111;762112>,<1;1>,<1;1>,,<self:Bdamage()*0.15;3000>,,
76223,,1,14,,,,,,,<762113;762117>,<1;1>,<self:hasBuff(762636) and 1 or 0;self:hasBuff(762637) and 1 or 0>,,<1500;1000>,,
76224,,,,enemyForce|nodead,rowback|targetColumn,,,,,<762116>,<1>,<(self:hasBuff(762638) and (not self:curSkill():getDamageState('block')) and self:flagZ1()) and 1 or 0>,,<self:sTDmg()*0.5>,,
76225,,1,14,,,,,,,<762201;762624>,<1;999>,<1;to10(self:flagZ2())>,,<1;1>,,
76231,,,,,,,,,,,,,,,76231,
76232,,1,14,,,,,,,<762111;762112>,<1;1>,<1;1>,,<self:Bdamage()*0.15;3000>,,
76233,,1,14,,,,,,,<762113;762117>,<1;1>,<self:hasBuff(762636) and 1 or 0;self:hasBuff(762637) and 1 or 0>,,<1500;1000>,,
