变量名,typeID,stage,quality,itemMap,gold,hpGrow,speedGrow,damageGrow,defenceGrow,specialDamageGrow,specialDefenceGrow,hpC,speedC,damageC,defenceC,specialDamageC,specialDefenceC,levelDec
默认值,,1,1,{101=5;102=10;103=15;104=20},0,0,0,0,0,0,0,1,0,1,1,1,1,0
ID,索引类型,阶段,品质,进阶道具消耗,进阶金币消耗,血量成长,速度成长,物攻成长,物防成长,特攻成长,特防成长,血量修正,速度修正,攻击力修正,防御力修正,特殊攻击力修正,特殊攻击力修正,进阶等级下降
101,1,1,1,{5001=1;5000=1;5003=1;5002=1},5000,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,2,2,{5001=2;5000=10;5003=2;5002=2},10000,15.01,0.36,3.204,1.284,3.204,1.284,375,9,80,32,80,32,0
103,1,3,2,{5005=4;5004=4;5000=15;5006=4},15000,30.02,0.72,6.408,2.568,6.408,2.568,751,18,160,64,160,64,0
104,1,4,2,{5005=7;5004=7;5000=20;5006=7},20000,45.031,1.08,9.612,3.852,9.612,3.852,1126,27,240,96,240,96,0
105,1,5,3,{5009=10;5000=30;5008=10;5007=10},25000,60.041,1.44,12.816,5.136,12.816,5.136,2252,54,481,193,481,193,0
106,1,6,3,{5012=13;5000=40;5011=13;5010=13},30000,75.051,1.8,16.02,6.42,16.02,6.42,3377,81,721,289,721,289,0
107,1,7,3,{5012=17;5000=60;5011=17;5010=17},35000,82.556,1.98,17.622,7.062,17.622,7.062,4503,108,961,385,961,385,0
108,1,8,3,{5014=25;5000=90;5015=25;5013=25},40000,90.061,2.16,19.224,7.704,19.224,7.704,5629,135,1202,482,1202,482,0
109,1,9,4,{5014=33;5000=120;5015=33;5013=33},50000,97.566,2.34,20.826,8.346,20.826,8.346,7505,180,1602,642,1602,642,0
110,1,10,4,{5016=53;5000=200;5017=53;5018=53},60000,105.071,2.52,22.428,8.988,22.428,8.988,9381,225,2003,803,2003,803,0
111,1,11,4,{5016=80;5000=320;5017=80;5018=80},80000,112.577,2.7,24.03,9.63,24.03,9.63,11258,270,2403,963,2403,963,0
112,1,12,4,{5020=107;5000=400;5019=107;5021=107},100000,120.082,2.88,25.632,10.272,25.632,10.272,13134,315,2804,1124,2804,1124,0
113,1,13,4,{5020=160;5000=600;5019=160;5021=160},120000,127.587,3.06,27.234,10.914,27.234,10.914,15010,360,3204,1284,3204,1284,0
114,1,14,5,{5024=213;5023=213;5000=800;5022=213},140000,135.092,3.24,28.836,11.556,28.836,11.556,16886,405,3605,1445,3605,1445,0
115,1,15,5,{5024=333;5023=333;5000=1250;5022=333},160000,142.597,3.42,30.438,12.198,30.438,12.198,18763,450,4005,1605,4005,1605,0
116,1,16,5,{5025=500;5000=1600;5026=500;5027=500},180000,150.102,3.6,32.04,12.84,32.04,12.84,20639,495,4406,1766,4406,1766,0
117,1,17,5,{5028=667;5000=2000;5030=667;5029=667},200000,157.607,3.78,33.642,13.482,33.642,13.482,22515,540,4806,1926,4806,1926,0
118,1,18,5,{5032=750;5000=2500;5031=750;5033=750},250000,165.112,3.96,35.244,14.124,35.244,14.124,24392,585,5207,2087,5207,2087,0
119,1,19,5,{5036=750;5000=2500;5035=750;5034=750},300000,172.617,4.14,36.846,14.766,36.846,14.766,26268,630,5607,2247,5607,2247,0
120,1,20,6,{5037=1050;5000=3500;5039=1050;5038=1050},350000,180.122,4.32,38.448,15.408,38.448,15.408,28144,675,6008,2408,6008,2408,0
121,1,21,6,{5040=1250;5000=4000;5042=1250;5041=1250},400000,187.628,4.5,40.05,16.05,40.05,16.05,30020,720,6408,2568,6408,2568,0
122,1,22,6,{5044=1333;5000=4500;5045=1333;5043=1333},450000,195.133,4.68,41.652,16.692,41.652,16.692,31897,765,6809,2729,6809,2729,0
123,1,23,6,{5048=1333;5000=4500;5047=1333;5046=1333},500000,202.638,4.86,43.254,17.334,43.254,17.334,33773,810,7209,2889,7209,2889,0
124,1,24,6,{5049=1417;5000=5000;5050=1417;5051=1417},550000,210.143,5.04,44.856,17.976,44.856,17.976,35649,855,7610,3050,7610,3050,0
125,1,25,6,{5053=1417;5000=5000;5054=1417;5052=1417},600000,217.648,5.22,46.458,18.618,46.458,18.618,37526,900,8010,3210,8010,3210,0
126,1,26,7,{5055=1500;5000=5500;5056=1500;5057=1500},650000,225.153,5.4,48.06,19.26,48.06,19.26,39402,945,8411,3371,8411,3371,0
127,1,27,7,{5000=5500;5058=1500;5059=1500;5060=1500},700000,232.658,5.58,49.662,19.902,49.662,19.902,41278,990,8811,3531,8811,3531,0
128,1,28,7,{5000=6000;5061=1583;5063=1583;5062=1583},750000,240.163,5.76,51.264,20.544,51.264,20.544,43154,1035,9212,3692,9212,3692,0
129,1,29,7,{5000=6000;5064=1583;5065=1583;5066=1583},800000,247.668,5.94,52.866,21.186,52.866,21.186,45031,1080,9612,3852,9612,3852,0
130,1,30,7,{5000=6500;5067=1667;5069=1667;5068=1667},850000,255.173,6.12,54.468,21.828,54.468,21.828,46907,1125,10013,4013,10013,4013,0
131,1,31,7,{5000=6500;5071=1667;5072=1667;5070=1667},900000,262.678,6.3,56.07,22.47,56.07,22.47,48783,1170,10414,4174,10414,4174,0
132,1,32,7,{5000=8000;5075=1800;5073=1800;5074=1800},950000,270.183,6.48,57.672,23.112,57.672,23.112,50659,1215,10815,4335,10815,4335,0
133,1,33,7,{5000=10000;5077=1850;5078=1850;5076=1850},1000000,278.288,6.67,59.402,23.805,59.402,23.805,52179,1251,11139,4465,11139,4465,0
134,1,34,7,{5000=12000;5080=1900;5079=1900;5081=1900},1050000,286.637,6.87,61.184,24.52,61.184,24.52,53744,1289,11474,4599,11474,4599,0
135,1,35,7,{5000=14000;5084=1950;5083=1950;5082=1950},1100000,295.236,7.08,63.02,25.255,63.02,25.255,55356,1328,11818,4737,11818,4737,0
136,1,36,7,{5000=16000;5085=2000;5087=2000;5086=2000},1150000,304.093,7.29,64.91,26.013,64.91,26.013,57017,1367,12172,4879,12172,4879,0
137,1,37,7,{5000=18000;5090=2100;5089=2100;5088=2100},1200000,313.216,7.51,66.858,26.793,66.858,26.793,58728,1409,12538,5025,12538,5025,0
138,1,38,7,{5000=20000;5091=2100;5092=2100;5093=2100},1250000,322.613,7.74,68.863,27.597,68.863,27.597,60489,1451,12914,5176,12914,5176,0
139,1,39,7,{5000=25000;5095=2100;5094=2100;5096=2100},1300000,332.291,7.97,70.929,28.425,70.929,28.425,62304,1494,13301,5332,13301,5332,0
140,1,40,7,{5000=30000;5098=2100;5099=2100;5097=2100},1350000,342.26,8.21,73.057,29.278,73.057,29.278,64173,1539,13700,5491,13700,5491,0
141,1,41,7,{5000=35000;5102=2100;5100=2100;5101=2100},1400000,352.528,8.45,75.249,30.156,75.249,30.156,66099,1585,14111,5656,14111,5656,0
142,1,42,7,{5000=40000;5105=2100;5103=2100;5104=2100},1450000,363.103,8.71,77.506,31.061,77.506,31.061,68081,1633,14534,5826,14534,5826,0
143,1,43,7,{5000=50000;5107=2100;5108=2100;5106=2100},1500000,373.996,8.97,79.832,31.992,79.832,31.992,70124,1682,14970,6001,14970,6001,0
201,2,1,1,{5001=1;5000=1;5003=1;5002=1},5000,0,0,0,0,0,0,0,0,0,0,0,0,0
202,2,2,2,{5001=2;5000=10;5003=2;5002=2},10000,15.01,0.36,3.204,1.284,3.204,1.284,375,9,80,32,80,32,0
