变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,_beizhu,type,activeType,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,rarity,groupID,addAttrs,addType,skillIDs,cardIDs,unlockType,unlockTarget,unlockCount,weight,timesLimit,iconResPath
默认值,"""""","""""","""""","""""","""""","""""","""""","""""",0,1,"""""","""""","""""","""""","""""","""""","""""",0,0,{},3,<>,<>,0,0,999,100,0,""""""
ID,名称,名称,名称,名称,名称,名称,名称,备注,类型(1-属性加成;2-激活被动技能;3-招募),生效类型(1-非全局生效;2-全局生效),描述,描述,描述,描述,描述,描述,描述,稀有度,索引ID,属性类型({attrType:attrNum}),提升范围(1-前排;2-后排;3-全体;4-指定属性;5-指定属性技能),激活被动技能ID,招募卡牌ID,解锁方式(0-无条件;1-招募指定id卡牌;2-失败x轮解锁;),解锁目标,解锁次数,基础权重,全局触发上限(0-无限制),图标资源
1001,攻击强化,攻擊強化,Attack Enhancement,Tăng cường tấn công,공격 강화,Aprimoramento de Ataque,การเพิ่มพลังโจมตี,,1,1,该玩法内己方后排双攻提升10%,此玩法中我方後排雙攻提升10%,"In this gameplay, the ally back row's P.ATK and SP.ATK are increased by 10%.","Trong chế độ chơi này, P.ATK và SP.ATK của hàng sau quân ta được tăng 10%.",이 게임플레이에서 아군 후열의 물리 공격력과 마법 공격력이 10% 증가합니다.,"Neste modo de jogo, o P.ATK e o SP.ATK da retaguarda aliada são aumentados em 10%.",ในโหมดการเล่นนี้ การโจมตีปกติ (P.ATK) และการโจมตีพิเศษ (SP.ATK) ของฝ่ายเราแถวหลังจะเพิ่มขึ้น 10%,1,1,{7=10%;8=10%},2,<>,<>,0,0,999,100,0,activity/brave_challenge/xz_icon/icon_yztz_gj.png
1002,伤害强化,傷害強化,Damage Enhancement,Tăng cường sát thương,피해 강화,Aprimoramento de Dano,เพิ่มพลังทำลาย,,1,1,该玩法内己方后排伤害加成提升10%,此玩法中我方後排傷害加成提升10％,"In this gameplay, the damage bonus for allies in the back row is increased by 10%","Trong chế độ chơi này, phần trăm tăng sát thương cho hàng sau của phe mình được tăng lên 10%",이 플레이 방식에서 아군 후열의 피해량 증가량이 10% 증가합니다.,"Neste modo de jogo, o bônus de dano para aliados na retaguarda é aumentado em 10%",ในโหมดการเล่นนี้ การเพิ่มพลังโจมตีของฝ่ายตัวเองด้านหลังเพิ่มขึ้น 10%,1,1,{22=1000},2,<>,<>,0,0,999,100,0,activity/brave_challenge/xz_icon/icon_yztz_gj.png
1003,暴击强化,暴擊強化,Critical Hit Enhancement,Tăng cường chí mạng,치명타 강화,Aprimoramento de Acerto Crítico,การเสริมพลังโจมตีวิกฤต,,1,1,该玩法内己方后排暴击率提升10%,此玩法中我方後排暴擊率提升10%,"In this gameplay, the critical hit rate of our back row is increased by 10%","Trong chế độ chơi này, tỷ lệ chí mạng của hàng sau bên ta tăng 10%",이 플레이 방식에서 아군 후열의 치명타 확률이 10% 증가합니다.,"Neste modo de jogo, a taxa de acerto crítico da nossa retaguarda aumenta em 10%",ในโหมดการเล่นนี้ อัตราคริติคอลของแถวหลังฝ่ายเราเพิ่มขึ้น 10%,1,1,{14=1000},2,<>,<>,0,0,999,100,0,activity/brave_challenge/xz_icon/icon_yztz_gj.png
1004,必杀强化,必殺技強化,Ultimate Skill Enhancement,Tăng cường kỹ năng chí mạng,필살기 강화,Aprimoramento de Habilidade Suprema,การเสริมพลังท่าไม้ตาย,,1,1,该玩法内己方后排必杀伤害加成10%,此玩法中我方後排必殺技傷害增加10%。,"In this gameplay, the damage of ultimate skills used by the back row of our side is increased by 10%.","Trong chế độ chơi này, sát thương kỹ năng chí mạng của hàng sau bên ta được tăng 10%.",이 게임 플레이에서 아군 후열의 필살기 데미지가 10% 증가합니다.,"Neste modo de jogo, o dano de habilidades definitivas usadas pela retaguarda do nosso lado é aumentado em 10%.",ในรูปแบบการเล่นนี้ ความเสียหายของท่าไม้ตายที่ใช้โดยแนวหลังฝ่ายเราจะเพิ่มขึ้น 10%,1,1,{24=1000},2,<>,<>,0,0,999,100,0,activity/brave_challenge/xz_icon/icon_yztz_gj.png
1005,攻击强化(强),攻擊強化(強),Attack Enhancement (Strong),Tăng cường tấn công (Mạnh),공격 강화(강),Aprimoramento de Ataque (Forte),การเพิ่มพลังโจมตี (สูง),,1,1,该玩法内己方后排双攻提升20%,此玩法中我方後排雙攻提升20%。,"In this gameplay, the back row ally's P.ATK and SP.ATK are increased by 20%.","Trong chế độ chơi này, P.ATK và SP.ATK của hàng sau đồng minh tăng 20%.",이 게임 플레이에서 아군 후열의 물리 공격력과 마법 공격력이 20% 증가합니다.,"Neste modo de jogo, o P.ATK e o SP.ATK da retaguarda aliada são aumentados em 20%.",ในรูปแบบการเล่นนี้ การโจมตีปกติ (P.ATK) และการโจมตีพิเศษ (SP.ATK) ของฝ่ายเราแถวหลังจะเพิ่มขึ้น 20%,1,2,{7=20%;8=20%},2,<>,<>,0,0,999,50,0,activity/brave_challenge/xz_icon/icon_yztz_gj.png
1006,伤害强化(强),傷害強化（強）,Damage Enhancement (Strong),Tăng cường sát thương (Mạnh),데미지 강화(강),Aprimoramento de Dano (Forte),การเพิ่มพลังโจมตี (แรง),,1,1,该玩法内己方后排伤害加成提升20%,此玩法中我方後排傷害加成提升20%,"In this gameplay, the damage bonus for the ally back row is increased by 20%","Trong chế độ chơi này, sát thương cộng thêm cho hàng sau của phe mình tăng 20%",이 플레이 방식에서 아군 후열의 피해량 증가량이 20% 증가합니다.,"Neste modo de jogo, o bônus de dano para a retaguarda aliada é aumentado em 20%",ในโหมดการเล่นนี้ การเพิ่มพลังโจมตีของแนวหลังฝ่ายตัวเองเพิ่มขึ้น 20%,1,2,{22=2000},2,<>,<>,0,0,999,50,0,activity/brave_challenge/xz_icon/icon_yztz_gj.png
1007,暴击强化(强),暴擊強化(強),Critical Hit Enhancement (Strong),Tăng cường chí mạng (Mạnh),치명타 강화(강),Reforço de Acerto Crítico (Forte),การเสริมพลังโจมตีวิกฤต (แข็งแกร่ง),,1,1,该玩法内己方后排暴击率提升20%,此玩法中我方後排暴擊率提升20％,"In this gameplay, the critical hit rate of our back row is increased by 20%","Trong chế độ chơi này, tỷ lệ chí mạng của hàng sau bên ta tăng 20%",이 게임플레이에서 아군 후열의 치명타 확률이 20% 증가합니다.,"Neste modo de jogo, a taxa de acerto crítico da nossa retaguarda aumenta em 20%",ในโหมดการเล่นนี้ อัตราคริติคอลของแถวหลังฝ่ายเราเพิ่มขึ้น 20%,1,2,{14=2000},2,<>,<>,0,0,999,50,0,activity/brave_challenge/xz_icon/icon_yztz_gj.png
1008,必杀强化(强),必殺技強化(強),Ultimate Skill Enhancement (Strong),Tăng cường kỹ năng chí mạng (Mạnh),필살기 강화(강),Aprimoramento de Habilidade Suprema (Forte),การเสริมพลังท่าไม้ตาย (แข็งแกร่ง),,1,1,该玩法内己方后排必杀伤害加成20%,此玩法中我方後排必殺技傷害提升20%。,"In this gameplay, the damage of ultimate skills from the ally's back row is increased by 20%.","Trong chế độ chơi này, sát thương chiêu cuối của hàng sau bên ta được tăng 20%.",이 게임 플레이에서 아군 후열의 필살기 피해가 20% 증가합니다.,"Neste modo de jogo, o dano dos ataques finais da retaguarda aliada é aumentado em 20%.",ในรูปแบบการเล่นนี้ ความเสียหายจากท่าไม้ตายของฝ่ายหลังพันธมิตรจะเพิ่มขึ้น 20%,1,2,{24=2000},2,<>,<>,0,0,999,50,0,activity/brave_challenge/xz_icon/icon_yztz_gj.png
