变量名,_beizhu1,easyEffectFunc,overlayType,overlayLimit
默认值,,buff1,0,999999
ID,功能说明,直接触发效果，不需要用节点控制的，buff添加上时就会直接触发。格式：funcName。比如填加某项属性，可以直接写属性的名字，在process中填写对应的值。,叠加覆盖规则，0:叠加 1:唯一 2:同buffid刷新,叠加上限
1,,sleepy,0,999999
2,,immuneControlAdd,0,999999
3,,controlPerAdd,0,999999
4,,immuneControlVal,0,999999
5,,controlPerVal,0,999999
6,,stun,0,999999
7,,silence,0,999999
8,,reborn,0,999999
9,,keepHpUnChanged,0,999999
10,,lockHp,0,999999
11,,stealth,0,999999
12,,stealthIgnore,0,999999
13,,leave,0,999999
14,,syncAttack,0,999999
15,,inviteAttack,0,999999
16,,transformAttrBuff,0,999999
17,,ignoreSpecBuff,0,999999
18,,delayDamage,0,999999
19,,freeze,0,999999
20,,changeImage,0,999999
21,,extraSkillWeightValueFix,0,999999
22,,atOnceBattleRound,0,999999
23,,counterAttack,0,999999
24,,damgeMustHit,0,999999
25,,weather,1,1
26,,shield,0,999999
27,,depart,0,999999
28,,directWin,0,999999
29,,confusion,0,999999
30,,banExtraAttack,0,999999
31,,sneer,2,1
32,,opGameData,0,1
33,,immuneDamage,0,999999
34,,immuneAllDamage,0,999999
35,,immuneSpecialDamage,0,999999
36,,immunePhysicalDamage,0,999999
37,,alterDmgRecordVal,0,999999
38,,changeScaleAttrs,1,1
39,,lethalProtect,0,999999
40,,lockResumeHp,0,999999
41,,healTodamage,0,999999
42,,changeBuffLifeRound,0,999999
43,,mp1OverFlow,0,1
44,,changeToRandEnemyObj,0,1
45,,breakCharging,0,999999
46,,changeObjNature,0,999999
47,,changeSkillNature,0,999999
48,,damageAllocate,0,999999
49,,protection,0,999999
50,,prophet,0,1
51,,changeSkillDamageTarget,0,999999
52,,cantRecoverMp,0,999999
53,,replaceTarget,0,999999
54,,filterGroup,0,999999
55,,swapSpeed,1,1
56,,buffSputtering,0,999999
57,,loseImmuneEfficacy,0,999999
58,,reboundBuff,0,999999
59,,cancelToAttack,0,999999
60,,changeBuffDamageArgs,0,999999
61,,secondAttack,0,999999
62,,pauseBuffEffect,0,999999
63,,pauseBuffLifeRound,0,999999
64,,pausePassiveSkillEffect,0,999999
65,,forceSneer,1,1
66,,controlEnemy,1,1
67,,addAttackRange,0,999999
68,,buffBattleRound,0,999999
69,,transformMpchange,0,999999
70,,reduceSkillDamageTarget,0,999999
71,,reflexDamage,0,999999
72,,transferBuffToOther,0,999999
73,,delayBuff,1,1
74,,reflectBuffToOther,0,999999
75,,filterFlag,0,999999
76,,commandeer,0,999999
77,,applyCommandeer,0,999999
78,,forbiddenSpecBuff,0,999999
79,,forbiddenExtraAttack,0,999999
80,,needMoreDispel,0,999999
81,,changeTreatment,0,999999
82,,lockMp1Add,0,999999
83,,changeUnit,0,999999
84,,lockShield,0,999999
1001,,hpMax,0,999999
1002,,mp1Max,0,999999
1003,,initMp1,0,999999
1004,,hpRecover,0,999999
1005,,mp1Recover,0,999999
1006,,damage,0,999999
1007,,specialDamage,0,999999
1008,,defence,0,999999
1009,,specialDefence,0,999999
1010,,defenceIgnore,0,999999
1011,,specialDefenceIgnore,0,999999
1012,,speed,0,999999
1013,,strike,0,999999
1014,,strikeDamage,0,999999
1015,,strikeResistance,0,999999
1016,,block,0,999999
1017,,breakBlock,0,999999
1018,,blockPower,0,999999
1019,,dodge,0,999999
1020,,hit,0,999999
1021,,damageAdd,0,999999
1022,,damageSub,0,999999
1023,,ultimateAdd,0,999999
1024,,ultimateSub,0,999999
1025,,suckBlood,0,999999
1026,,rebound,0,999999
1027,,cure,0,999999
1028,,controlPer,0,999999
1029,,immuneControl,0,999999
1030,,natureRestraint,0,999999
1031,,damageDeepen,0,999999
1032,,damageReduce,0,999999
1033,,physicalDamageAdd,0,999999
1034,,physicalDamageSub,0,999999
1035,,specialDamageAdd,0,999999
1036,,specialDamageSub,0,999999
1037,,normalDamageAdd,0,999999
1038,,fireDamageAdd,0,999999
1039,,waterDamageAdd,0,999999
1040,,grassDamageAdd,0,999999
1041,,electricityDamageAdd,0,999999
1042,,iceDamageAdd,0,999999
1043,,combatDamageAdd,0,999999
1044,,poisonDamageAdd,0,999999
1045,,groundDamageAdd,0,999999
1046,,flyDamageAdd,0,999999
1047,,superDamageAdd,0,999999
1048,,wormDamageAdd,0,999999
1049,,rockDamageAdd,0,999999
1050,,ghostDamageAdd,0,999999
1051,,dragonDamageAdd,0,999999
1052,,evilDamageAdd,0,999999
1053,,steelDamageAdd,0,999999
1054,,fairyDamageAdd,0,999999
1055,,normalDamageSub,0,999999
1056,,fireDamageSub,0,999999
1057,,waterDamageSub,0,999999
1058,,grassDamageSub,0,999999
1059,,electricityDamageSub,0,999999
1060,,iceDamageSub,0,999999
1061,,combatDamageSub,0,999999
1062,,poisonDamageSub,0,999999
1063,,groundDamageSub,0,999999
1064,,flyDamageSub,0,999999
1065,,superDamageSub,0,999999
1066,,wormDamageSub,0,999999
1067,,rockDamageSub,0,999999
1068,,ghostDamageSub,0,999999
1069,,dragonDamageSub,0,999999
1070,,evilDamageSub,0,999999
1071,,steelDamageSub,0,999999
1072,,fairyDamageSub,0,999999
1073,,normalCure,0,999999
1074,,fireCure,0,999999
1075,,waterCure,0,999999
1076,,grassCure,0,999999
1077,,electricityCure,0,999999
1078,,iceCure,0,999999
1079,,combatCure,0,999999
1080,,poisonCure,0,999999
1081,,groundCure,0,999999
1082,,flyCure,0,999999
1083,,superCure,0,999999
1084,,wormCure,0,999999
1085,,rockCure,0,999999
1086,,ghostCure,0,999999
1087,,dragonCure,0,999999
1088,,evilCure,0,999999
1089,,steelCure,0,999999
1090,,fairyCure,0,999999
1091,,normalDamageDeepen,0,999999
1092,,fireDamageDeepen,0,999999
1093,,waterDamageDeepen,0,999999
1094,,grassDamageDeepen,0,999999
1095,,electricityDamageDeepen,0,999999
1096,,iceDamageDeepen,0,999999
1097,,combatDamageDeepen,0,999999
1098,,poisonDamageDeepen,0,999999
1099,,groundDamageDeepen,0,999999
1100,,flyDamageDeepen,0,999999
1101,,superDamageDeepen,0,999999
1102,,wormDamageDeepen,0,999999
1103,,rockDamageDeepen,0,999999
1104,,ghostDamageDeepen,0,999999
1105,,dragonDamageDeepen,0,999999
1106,,evilDamageDeepen,0,999999
1107,,steelDamageDeepen,0,999999
1108,,fairyDamageDeepen,0,999999
1109,,normalDamageReduce,0,999999
1110,,fireDamageReduce,0,999999
1111,,waterDamageReduce,0,999999
1112,,grassDamageReduce,0,999999
1113,,electricityDamageReduce,0,999999
1114,,iceDamageReduce,0,999999
1115,,combatDamageReduce,0,999999
1116,,poisonDamageReduce,0,999999
1117,,groundDamageReduce,0,999999
1118,,flyDamageReduce,0,999999
1119,,superDamageReduce,0,999999
1120,,wormDamageReduce,0,999999
1121,,rockDamageReduce,0,999999
1122,,ghostDamageReduce,0,999999
1123,,dragonDamageReduce,0,999999
1124,,evilDamageReduce,0,999999
1125,,steelDamageReduce,0,999999
1126,,fairyDamageReduce,0,999999
1127,,pvpDamageAdd,0,999999
1128,,pvpDamageSub,0,999999
1129,,strikeDamageSub,0,999999
1130,,healAdd,0,999999
1131,,beHealAdd,0,999999
1132,,damageRateAdd,0,999999
1133,,damageHit,0,999999
1134,,damageDodge,0,999999
1135,,ignoreDamageSub,0,999999
1136,,ignoreStrikeResistance,0,999999
1137,,finalSkillAddRate,0,999999
1138,,finalDamageAdd,0,999999
1139,,finalDamageSub,0,999999
1140,,finalDamageDeepen,0,999999
1141,,finalDamageReduce,0,999999
1142,,mpBeAttackRecover,0,999999
1143,,trueDamageAdd,0,999999
1144,,trueDamageSub,0,999999
1145,,natureResistance,0,999999
9999,,shield1,0,999999
