变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5,costItemMap6,costItemMap7,costItemMap8,costItemMap9,costItemMap10,costItemMap11,costItemMap12,costItemMap13,costItemMap14,costItemMap15,costItemMap16,costItemMap17,costItemMap18,costItemMap19,costItemMap20,costItemMap21,costItemMap22,costItemMap23,costItemMap24
默认值,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
ID,强化消耗序列1,强化消耗序列2,强化消耗序列3,强化消耗序列4,强化消耗序列5,强化消耗序列6,强化消耗序列7,强化消耗序列8,强化消耗序列9,强化消耗序列10,强化消耗序列11,强化消耗序列12,强化消耗序列13,强化消耗序列14,强化消耗序列15,强化消耗序列16,强化消耗序列17,强化消耗序列18,强化消耗序列19,强化消耗序列20,强化消耗序列21,强化消耗序列22,强化消耗序列23,强化消耗序列24
1,{850=36;gold=7200},{850=36;gold=7200},{850=54;gold=10800},{851=27;gold=6000},{851=33;gold=9000},{851=41;gold=10800},{850=44;gold=8640},{850=44;gold=8640},{850=65;gold=12960},{851=33;gold=7200},{851=39;gold=10800},{851=49;gold=12960},{850=22;gold=4320},{850=22;gold=4320},{850=33;gold=6480},{851=17;gold=3600},{851=20;gold=5400},{851=25;gold=6480},{850=29;gold=5760},{850=29;gold=5760},{850=44;gold=8640},{851=22;gold=4800},{851=26;gold=7200},{851=33;gold=8640}
2,{850=42;gold=9600},{850=42;gold=9600},{850=63;gold=14400},{851=32;gold=8000},{851=38;gold=12000},{851=48;gold=14400},{850=51;gold=11520},{850=51;gold=11520},{850=76;gold=17280},{851=38;gold=9600},{851=46;gold=14400},{851=57;gold=17280},{850=26;gold=5760},{850=26;gold=5760},{850=38;gold=8640},{851=19;gold=4800},{851=23;gold=7200},{851=29;gold=8640},{850=34;gold=7680},{850=34;gold=7680},{850=51;gold=11520},{851=26;gold=6400},{851=31;gold=9600},{851=38;gold=11520}
3,{850=48;gold=12000},{850=48;gold=12000},{850=72;gold=18000},{851=36;gold=10000},{851=44;gold=15000},{851=54;gold=18000},{850=58;gold=14400},{850=58;gold=14400},{850=87;gold=21600},{851=44;gold=12000},{851=52;gold=18000},{851=65;gold=21600},{850=29;gold=7200},{850=29;gold=7200},{850=44;gold=10800},{851=22;gold=6000},{851=26;gold=9000},{851=33;gold=10800},{850=39;gold=9600},{850=39;gold=9600},{850=58;gold=14400},{851=29;gold=8000},{851=35;gold=12000},{851=44;gold=14400}
4,{850=54;gold=18000},{850=54;gold=18000},{850=81;gold=27000},{851=41;gold=15000},{851=49;gold=22500},{851=61;gold=27000},{850=65;gold=21600},{850=65;gold=21600},{850=98;gold=32400},{851=49;gold=18000},{851=59;gold=27000},{851=73;gold=32400},{850=33;gold=10800},{850=33;gold=10800},{850=49;gold=16200},{851=25;gold=9000},{851=30;gold=13500},{851=37;gold=16200},{850=44;gold=14400},{850=44;gold=14400},{850=65;gold=21600},{851=33;gold=12000},{851=39;gold=18000},{851=49;gold=21600}
5,{850=60;gold=24000},{850=60;gold=24000},{850=90;gold=36000},{851=45;gold=20000},{851=54;gold=30000},{851=68;gold=36000},{850=72;gold=28800},{850=72;gold=28800},{850=108;gold=43200},{851=54;gold=24000},{851=65;gold=36000},{851=81;gold=43200},{850=36;gold=14400},{850=36;gold=14400},{850=54;gold=21600},{851=27;gold=12000},{851=33;gold=18000},{851=41;gold=21600},{850=48;gold=19200},{850=48;gold=19200},{850=72;gold=28800},{851=36;gold=16000},{851=44;gold=24000},{851=54;gold=28800}
6,{850=72;gold=36000},{850=72;gold=36000},{850=108;gold=54000},{851=54;gold=30000},{851=65;gold=45000},{851=81;gold=54000},{850=87;gold=43200},{850=87;gold=43200},{850=130;gold=64800},{851=65;gold=36000},{851=78;gold=54000},{851=98;gold=64800},{850=44;gold=21600},{850=44;gold=21600},{850=65;gold=32400},{851=33;gold=18000},{851=39;gold=27000},{851=49;gold=32400},{850=58;gold=28800},{850=58;gold=28800},{850=87;gold=43200},{851=44;gold=24000},{851=52;gold=36000},{851=65;gold=43200}
7,{850=84;gold=48000},{850=84;gold=48000},{850=126;gold=72000},{851=63;gold=40000},{851=76;gold=60000},{851=95;gold=72000},{850=101;gold=57600},{850=101;gold=57600},{850=152;gold=86400},{851=76;gold=48000},{851=91;gold=72000},{851=114;gold=86400},{850=51;gold=28800},{850=51;gold=28800},{850=76;gold=43200},{851=38;gold=24000},{851=46;gold=36000},{851=57;gold=43200},{850=68;gold=38400},{850=68;gold=38400},{850=101;gold=57600},{851=51;gold=32000},{851=61;gold=48000},{851=76;gold=57600}
8,{850=96;gold=60000},{850=96;gold=60000},{850=144;gold=90000},{851=72;gold=50000},{851=87;gold=75000},{851=108;gold=90000},{850=116;gold=72000},{850=116;gold=72000},{850=173;gold=108000},{851=87;gold=60000},{851=104;gold=90000},{851=130;gold=108000},{850=58;gold=36000},{850=58;gold=36000},{850=87;gold=54000},{851=44;gold=30000},{851=52;gold=45000},{851=65;gold=54000},{850=77;gold=48000},{850=77;gold=48000},{850=116;gold=72000},{851=58;gold=40000},{851=70;gold=60000},{851=87;gold=72000}
9,{850=108;gold=72000},{850=108;gold=72000},{850=162;gold=108000},{851=81;gold=60000},{851=98;gold=90000},{851=122;gold=108000},{850=130;gold=86400},{850=130;gold=86400},{850=195;gold=129600},{851=98;gold=72000},{851=117;gold=108000},{851=146;gold=129600},{850=65;gold=43200},{850=65;gold=43200},{850=98;gold=64800},{851=49;gold=36000},{851=59;gold=54000},{851=73;gold=64800},{850=87;gold=57600},{850=87;gold=57600},{850=130;gold=86400},{851=65;gold=48000},{851=78;gold=72000},{851=98;gold=86400}
10,{850=120;gold=96000},{850=120;gold=96000},{850=180;gold=144000},{851=90;gold=80000},{851=108;gold=120000},{851=135;gold=144000},{850=144;gold=115200},{850=144;gold=115200},{850=216;gold=172800},{851=108;gold=96000},{851=130;gold=144000},{851=162;gold=172800},{850=72;gold=57600},{850=72;gold=57600},{850=108;gold=86400},{851=54;gold=48000},{851=65;gold=72000},{851=81;gold=86400},{850=96;gold=76800},{850=96;gold=76800},{850=144;gold=115200},{851=72;gold=64000},{851=87;gold=96000},{851=108;gold=115200}
11,{850=132;gold=120000},{850=132;gold=120000},{850=198;gold=180000},{851=99;gold=100000},{851=119;gold=150000},{851=149;gold=180000},{850=159;gold=144000},{850=159;gold=144000},{850=238;gold=216000},{851=119;gold=120000},{851=143;gold=180000},{851=179;gold=216000},{850=80;gold=72000},{850=80;gold=72000},{850=119;gold=108000},{851=60;gold=60000},{851=72;gold=90000},{851=90;gold=108000},{850=106;gold=96000},{850=106;gold=96000},{850=159;gold=144000},{851=80;gold=80000},{851=96;gold=120000},{851=119;gold=144000}
12,{850=144;gold=144000},{850=144;gold=144000},{850=216;gold=216000},{851=108;gold=120000},{851=130;gold=180000},{851=162;gold=216000},{850=173;gold=172800},{850=173;gold=172800},{850=260;gold=259200},{851=130;gold=144000},{851=156;gold=216000},{851=195;gold=259200},{850=87;gold=86400},{850=87;gold=86400},{850=130;gold=129600},{851=65;gold=72000},{851=78;gold=108000},{851=98;gold=129600},{850=116;gold=115200},{850=116;gold=115200},{850=173;gold=172800},{851=87;gold=96000},{851=104;gold=144000},{851=130;gold=172800}
13,{850=156;gold=168000},{850=156;gold=168000},{850=234;gold=252000},{851=117;gold=140000},{851=141;gold=210000},{851=176;gold=252000},{850=188;gold=201600},{850=188;gold=201600},{850=281;gold=302400},{851=141;gold=168000},{851=169;gold=252000},{851=211;gold=302400},{850=94;gold=100800},{850=94;gold=100800},{850=141;gold=151200},{851=71;gold=84000},{851=85;gold=126000},{851=106;gold=151200},{850=125;gold=134400},{850=125;gold=134400},{850=188;gold=201600},{851=94;gold=112000},{851=113;gold=168000},{851=141;gold=201600}
14,{850=168;gold=192000},{850=168;gold=192000},{850=252;gold=288000},{851=126;gold=160000},{851=152;gold=240000},{851=189;gold=288000},{850=202;gold=230400},{850=202;gold=230400},{850=303;gold=345600},{851=152;gold=192000},{851=182;gold=288000},{851=227;gold=345600},{850=101;gold=115200},{850=101;gold=115200},{850=152;gold=172800},{851=76;gold=96000},{851=91;gold=144000},{851=114;gold=172800},{850=135;gold=153600},{850=135;gold=153600},{850=202;gold=230400},{851=101;gold=128000},{851=121;gold=192000},{851=152;gold=230400}
15,{850=180;gold=216000},{850=180;gold=216000},{850=270;gold=324000},{851=135;gold=180000},{851=162;gold=270000},{851=203;gold=324000},{850=216;gold=259200},{850=216;gold=259200},{850=324;gold=388800},{851=162;gold=216000},{851=195;gold=324000},{851=243;gold=388800},{850=108;gold=129600},{850=108;gold=129600},{850=162;gold=194400},{851=81;gold=108000},{851=98;gold=162000},{851=122;gold=194400},{850=144;gold=172800},{850=144;gold=172800},{850=216;gold=259200},{851=108;gold=144000},{851=130;gold=216000},{851=162;gold=259200}
16,{850=204;gold=264000},{850=204;gold=264000},{850=306;gold=396000},{851=153;gold=220000},{851=184;gold=330000},{851=230;gold=396000},{850=245;gold=316800},{850=245;gold=316800},{850=368;gold=475200},{851=184;gold=264000},{851=221;gold=396000},{851=276;gold=475200},{850=123;gold=158400},{850=123;gold=158400},{850=184;gold=237600},{851=92;gold=132000},{851=111;gold=198000},{851=138;gold=237600},{850=164;gold=211200},{850=164;gold=211200},{850=245;gold=316800},{851=123;gold=176000},{851=147;gold=264000},{851=184;gold=316800}
