变量名,_beizhu,weight,type,group,res,position,position_tw,position_en,position_vn,position_kr,zOrder,touchSize,scale,action,randLib,unfreezeAward,shape_shifter,baibianRandLib,chattext1,chattext1_tw,chattext1_en,chattext1_vn,chattext1_kr,chattext1_pt,chattext1_th,chattext2,chattext2_tw,chattext2_en,chattext2_vn,chattext2_kr,chattext3,chattext3_tw,chattext3_en,chattext3_vn,chattext3_kr,offPos,overture,activityIds,activityPosition,activityScale,active
默认值,"""""",10,1,1,"""""",{x=0;y=0},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},10,,2,TRUE,0,{},TRUE,0,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",{x=0;y=0},FALSE,<>,{x=0;y=0},2,TRUE
ID,备注,权值,同type互斥,所属组（用于集体动作展示；尽量只新增不减少；减少可能导致线上出问题；下个刷新节点后会回复正常）,spine资源,位置坐标,位置坐标,位置坐标,位置坐标,位置坐标,层级,点击交互范围,缩放,是否有交互(TRUE/FALSE),奖励随机库,解冻奖励,是否可以成为百变怪,变成百变怪奖励随机库,交互对话1,交互对话1,交互对话1,交互对话1_越南,交互对话1_韩,交互对话1_韩,交互对话1_韩,交互对话2,交互对话2,交互对话2,交互对话2_越南,交互对话2_韩,交互对话3,交互对话3,交互对话3,交互对话3_越南,交互对话3_韩,对话框的位置偏移,对话气泡是否需要翻转,活动id,活动中对话框的位置偏移,活动中缩放,激活状态
1,,10,1,11,zhuchangjing/zjm_kbs.skel,{y=380;x=230},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},10,,2,TRUE,130,{},TRUE,131,emmm,Puuu---,Puuu---,Puuu---,Puuu---,Puuu---,Puuu---,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,{y=80;x=240},TRUE,<>,{y=0;x=0},2,FALSE
2,,10,2,21,zhuchangjing/zjm_zdpp.skel,{y=355;x=1095},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},15,,2,TRUE,130,{},TRUE,131,bilibili！~,BoJia！,BoJia！,BoJia！,BoJia！,BoJia！,BoJia！,emmm,emmm,emmm,emmm,emmm,emmm,emmm,emmm,emmm,emmm,{y=30;x=-200},FALSE,<>,{y=0;x=0},2,FALSE
3,,10,2,21,zhuchangjing/zjm_sb_br.skel,{y=360;x=1495},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},12,,2,TRUE,130,{},TRUE,131,哦豁！,wuso！！~,wuso！！~,wuso！！~,wuso！！~,wuso！！~,wuso！！~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,{y=140;x=-180},FALSE,<>,{y=0;x=0},2,FALSE
4,,10,2,21,zhuchangjing/zjm_fdpp.skel,{y=360;x=1640},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,,2,TRUE,130,{},TRUE,131,bilibili！~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),{y=30;x=180},TRUE,<>,{y=0;x=0},2,FALSE
5,,10,2,21,zhuchangjing/shadiao.skel,{y=370;x=1265},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,,2,TRUE,130,{},TRUE,131,嘎唔！,OwOw,OwOw,OwOw,OwOw,OwOw,OwOw,(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),{y=60;x=-90},FALSE,<>,{y=0;x=0},2,FALSE
6,,10,3,31,zhuchangjing/zjm_kdy.skel,{y=540;x=4360},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,,2,TRUE,130,{},TRUE,131,呱？~,emmm,emmm,emmm,emmm,emmm,emmm,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,{y=0;x=120},TRUE,<100105>,{y=620;x=3400},3,TRUE
7,,10,4,41,zhuchangjing/zjm_qqhs.skel,{y=225;x=2175},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},14,,2,TRUE,130,{},TRUE,131,mua~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Gua？~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,Yaaaaa~！~,{y=50;x=-130},FALSE,<>,{y=0;x=0},2,FALSE
8,,10,4,41,zhuchangjing/zjm_pkq.skel,{y=230;x=2005},{x=0;y=1},{x=0;y=2},{x=0;y=3},{x=0;y=4},13,,2,TRUE,130,{},TRUE,131,皮卡？~！~,(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),Oh！,Oh！,Oh！,Oh！,Oh！,Oh！,Oh！,Oh！,Oh！,Oh！,{y=40;x=-140},FALSE,<>,{y=0;x=0},2,FALSE
