变量名,_beizhu,cardID,weight,weight2,CDTime,isForce,serverOpenDays,extraAward
默认值,"""""",0,0,0,0,0,0,{}
ID,名字备注,怪物ID,自然属性权重，对应 unit natureType,第二自然属性权重，对应 unit natureType,冷却时间,强制开关,开服天数,额外奖励
1,,1,75,75,0,0,0,{rmb=10;20001=1}
2,,2,75,75,0,0,0,{rmb=10;20001=1}
3,,3,75,75,0,0,0,{rmb=10;20001=1}
4,,11,75,0,0,0,0,{rmb=10;20011=1}
5,,12,75,0,0,0,0,{rmb=10;20011=1}
6,,13,75,75,0,0,0,{rmb=10;20011=1}
7,,21,75,0,0,0,0,{rmb=10;20021=1}
8,,22,75,0,0,0,0,{rmb=10;20021=1}
9,,23,75,0,0,0,0,{rmb=10;20021=1}
10,,31,75,0,0,0,0,{rmb=10;20031=1}
11,,33,75,75,0,0,0,{rmb=10;20031=1}
12,,41,75,75,0,0,0,{20041=1;rmb=10}
13,,51,75,75,0,0,0,{20051=1;rmb=10}
14,,52,75,75,0,0,0,{20051=1;rmb=10}
15,,53,75,75,0,0,0,{20051=1;rmb=10}
16,,61,75,0,0,0,0,{20061=1;rmb=10}
17,,62,75,0,0,0,0,{20061=1;rmb=10}
18,,71,75,75,0,0,0,{20071=1;rmb=10}
19,,72,75,75,0,0,0,{20071=1;rmb=10}
20,,81,75,0,0,0,0,{20081=1;rmb=10}
21,,82,75,0,0,0,0,{20081=1;rmb=10}
22,,91,75,0,0,0,0,{20091=1;rmb=10}
23,,92,75,0,0,0,0,{20091=1;rmb=10}
24,,93,75,0,0,0,0,{20091=1;rmb=10}
25,,101,75,0,0,0,0,{20101=1;rmb=10}
26,,102,75,0,0,0,0,{20101=1;rmb=10}
27,,111,75,0,0,0,0,{20111=1;rmb=10}
28,,112,75,0,0,0,0,{20111=1;rmb=10}
29,,113,75,75,0,0,0,{20111=1;rmb=10}
30,,121,75,0,0,0,0,{20121=1;rmb=10}
31,,122,75,0,0,0,0,{20121=1;rmb=10}
32,,123,75,75,0,0,0,{20121=1;rmb=10}
33,,131,75,0,0,0,0,{20131=1;rmb=10}
34,,132,75,0,0,0,0,{20131=1;rmb=10}
35,,133,75,0,0,0,0,{20131=1;rmb=10}
36,,171,75,75,0,0,0,{20171=1;rmb=10}
37,,172,75,75,0,0,0,{20171=1;rmb=10}
38,,173,75,75,0,0,0,{20171=1;rmb=10}
39,,191,75,75,0,0,0,{20191=1;rmb=10}
40,,192,75,75,0,0,0,{20191=1;rmb=10}
41,,231,75,0,0,0,0,{rmb=10;20231=1}
42,,232,75,0,0,0,0,{rmb=10;20231=1}
43,,261,100,0,0,0,0,{rmb=10;20261=1}
44,,262,100,0,0,0,0,{rmb=10;20261=1}
45,,263,100,0,0,0,0,{rmb=10;20261=1}
46,,271,100,0,0,0,0,{rmb=10;20271=1}
47,,272,100,0,0,0,0,{rmb=10;20271=1}
48,,273,100,0,0,0,0,{rmb=10;20271=1}
49,,281,100,100,0,0,0,{rmb=10;20281=1}
50,,282,100,100,0,0,0,{rmb=10;20281=1}
51,,283,100,100,0,0,0,{rmb=10;20281=1}
52,,301,100,100,0,0,0,{20301=1;rmb=10}
53,,302,100,100,0,0,0,{20301=1;rmb=10}
54,,331,100,100,0,0,0,{20331=1;rmb=10}
55,,332,100,100,0,0,0,{20331=1;rmb=10}
56,,333,100,100,0,0,0,{20331=1;rmb=10}
57,,351,100,100,0,0,0,{20351=1;rmb=10}
58,,352,100,100,0,0,0,{20351=1;rmb=10}
59,,371,100,0,0,0,0,{20371=1;rmb=10}
60,,372,100,0,0,0,0,{20371=1;rmb=10}
61,,391,100,100,0,0,0,{20391=1;rmb=10}
62,,392,100,100,0,0,0,{20391=1;rmb=10}
63,,393,100,100,0,0,0,{20391=1;rmb=10}
64,,451,100,0,0,0,0,{20451=1;rmb=10}
65,,452,100,0,0,0,0,{20451=1;rmb=10}
66,,461,100,0,0,0,0,{20461=1;rmb=10}
67,,462,100,0,0,0,0,{20461=1;rmb=10}
68,,463,100,0,0,0,0,{20461=1;rmb=10}
69,,464,100,0,0,0,0,{20461=1;rmb=10}
70,,471,100,0,0,0,0,{20471=1;rmb=10}
71,,472,100,0,0,0,0,{20471=1;rmb=10}
72,,481,100,0,0,0,0,{20481=1;rmb=10}
73,,482,100,0,0,0,0,{20481=1;rmb=10}
74,,491,100,100,0,0,0,{20491=1;rmb=10}
75,,492,100,100,0,0,0,{20491=1;rmb=10}
76,,493,100,100,0,0,0,{20491=1;rmb=10}
77,,541,100,0,0,0,0,{20541=1;rmb=10}
78,,542,100,0,0,0,0,{20541=1;rmb=10}
79,,551,100,0,0,0,0,{20551=1;rmb=10}
80,,552,100,100,0,0,0,{20551=1;rmb=10}
81,,571,100,100,0,0,0,{20571=1;rmb=10}
82,,572,100,100,0,0,0,{20571=1;rmb=10}
83,,591,100,0,0,0,0,{20591=1;rmb=10}
84,,592,100,0,0,0,0,{20591=1;rmb=10}
85,,593,100,0,0,0,0,{20591=1;rmb=10}
86,,601,100,0,0,0,0,{20601=1;rmb=10}
87,,602,100,0,0,0,0,{20601=1;rmb=10}
88,,603,100,0,0,0,0,{20601=1;rmb=10}
89,,631,100,100,0,0,0,{rmb=10;20631=1}
90,,691,100,100,0,0,0,{20691=1;rmb=10}
91,,692,100,100,0,0,0,{20691=1;rmb=10}
92,,721,100,100,0,0,0,{20721=1;rmb=10}
93,,731,100,100,0,0,0,{20731=1;rmb=10}
94,,741,100,100,0,0,0,{20741=1;rmb=10}
95,,751,0,0,0,0,0,{20751=1;rmb=10}
96,,752,0,0,0,0,0,{20751=1;rmb=10}
97,,753,100,0,0,0,50,{20751=1;rmb=10}
98,,761,0,0,0,0,0,{20761=1;rmb=10}
99,,771,100,0,0,0,0,{20771=1;rmb=10}
100,,781,100,0,0,0,0,{20781=1;rmb=10}
101,,782,100,0,0,0,0,{20781=1;rmb=10}
102,,783,100,0,0,0,0,{20781=1;rmb=10}
103,,791,100,0,0,0,0,{20791=1;rmb=10}
104,,792,100,0,0,0,0,{20791=1;rmb=10}
105,,793,100,0,0,0,0,{20791=1;rmb=10}
106,,801,100,0,0,0,0,{20801=1;rmb=10}
107,,802,100,0,0,0,0,{20801=1;rmb=10}
108,,803,100,0,0,0,0,{20801=1;rmb=10}
109,,881,100,0,0,0,0,{rmb=10;20881=1}
110,,882,100,0,0,0,0,{rmb=10;20881=1}
111,,883,100,0,0,0,0,{rmb=10;20881=1}
112,,891,100,100,0,0,0,{rmb=10;20891=1}
113,,892,100,100,0,0,0,{rmb=10;20891=1}
114,,893,100,100,0,0,0,{rmb=10;20891=1}
115,,1071,100,100,0,0,0,{21071=1;rmb=10}
116,,1081,100,100,0,0,0,{21081=1;rmb=10}
117,,1082,100,100,0,0,0,{21081=1;rmb=10}
118,,1171,100,100,0,0,0,{rmb=10;21171=1}
119,,1172,100,100,0,0,0,{rmb=10;21171=1}
120,,1221,100,0,0,0,0,{21221=1;rmb=10}
121,,1231,100,0,0,0,0,{21231=1;rmb=10}
122,,1241,100,0,0,0,0,{21241=1;rmb=10}
123,,1251,100,100,0,0,0,{21251=1;rmb=10}
124,,1252,100,100,0,0,0,{21251=1;rmb=10}
125,,1253,100,100,0,0,0,{21251=1;rmb=10}
126,,1261,0,0,0,0,0,{21261=1;rmb=10}
127,,1271,0,0,0,0,0,{21271=1;rmb=10}
128,,1291,100,0,0,0,0,{21291=1;rmb=10}
129,,1292,100,0,0,0,0,{21291=1;rmb=10}
130,,1293,100,0,0,0,0,{21291=1;rmb=10}
131,,1311,100,0,0,0,0,{21311=1;rmb=10}
132,,1312,100,100,0,0,0,{21311=1;rmb=10}
133,,1313,100,100,0,0,0,{21311=1;rmb=10}
134,,1351,100,100,0,0,0,{21351=1;rmb=10}
135,,1352,100,100,0,0,0,{21351=1;rmb=10}
136,,1353,100,100,0,0,0,{21351=1;rmb=10}
137,,1391,100,100,0,0,0,{rmb=10;21391=1}
138,,1392,100,100,0,0,0,{rmb=10;21391=1}
139,,1393,100,100,0,0,0,{rmb=10;21391=1}
140,,1394,100,100,0,0,0,{rmb=10;21391=1}
141,,1421,100,0,0,0,0,{rmb=10;21421=1}
142,,1422,100,0,0,0,0,{rmb=10;21421=1}
143,,1423,100,0,0,0,0,{rmb=10;21421=1}
144,,1441,100,0,0,0,0,{21441=1;rmb=10}
145,,1442,100,0,0,0,0,{21441=1;rmb=10}
146,,1443,100,0,0,0,0,{21441=1;rmb=10}
147,,1501,100,100,0,0,0,{21501=1;rmb=10}
148,,1502,100,100,0,0,0,{21501=1;rmb=10}
149,,1503,100,100,0,0,0,{21501=1;rmb=10}
150,,1611,100,100,0,0,0,{21611=1;rmb=10}
151,,1612,100,100,0,0,0,{21611=1;rmb=10}
152,,1811,100,0,0,0,0,{21811=1;rmb=10}
153,,1812,100,0,0,0,0,{21811=1;rmb=10}
154,,1813,100,0,0,0,0,{21811=1;rmb=10}
155,,1841,100,0,0,0,0,{21841=1;rmb=10}
156,,1861,100,100,0,0,0,{21861=1;rmb=10}
157,,1862,100,100,0,0,0,{21861=1;rmb=10}
158,,1863,100,100,0,0,0,{21861=1;rmb=10}
159,,1891,100,100,0,0,30,{rmb=10;21891=1}
160,,1892,100,100,0,0,30,{rmb=10;21891=1}
161,,1893,100,100,0,0,30,{rmb=10;21891=1}
162,,1901,100,100,0,0,0,{rmb=10;21901=1}
163,,1902,100,100,0,0,0,{rmb=10;21901=1}
164,,1903,100,100,0,0,0,{rmb=10;21901=1}
165,,1961,0,0,0,0,0,{21961=1;rmb=10}
166,,1971,0,0,0,0,0,{21971=1;rmb=10}
167,,2011,100,0,0,0,0,{22011=1;rmb=10}
168,,2012,100,0,0,0,0,{22011=1;rmb=10}
169,,2013,100,100,0,0,0,{22011=1;rmb=10}
170,,2071,100,0,0,0,0,{22071=1;rmb=10}
171,,2072,100,0,0,0,0,{22071=1;rmb=10}
172,,2073,100,0,0,0,0,{22071=1;rmb=10}
173,,2231,100,100,0,0,50,{22231=1;rmb=10}
174,,2232,100,100,0,0,50,{22231=1;rmb=10}
