变量名,name,_desc,value,valueArray
默认值,"""""","""""",0,<>
ID,变量名,本字段专供策划参考,常量值,常量数组
1,drawCardCostPrice,钻石抽卡单抽消耗,200,<>
2,draw10CardCostPrice,钻石抽卡10连抽消耗,1800,<>
3,drawGoldCostPrice,金币抽卡单抽消耗,20000,<>
4,draw10GoldCostPrice,金币抽卡10连抽消耗,180000,<>
5,drawGoldFreeLimit,每日免费金币单抽次数,5,<>
6,drawGoldFreeRefreshDuration,免费金币单抽时间间隔（秒）,600,<>
7,dropEquipStarNeedRmb,饰品降星消耗钻石,30,<>
8,trainerAttrSkillsResetRMB,训练家属性技能重置消耗钻石,200,<>
9,heldItemExpNeedGold,携带道具每点经验所需要金币,50,<>
10,effortSwapCostRmb,精灵努力值继承消耗钻石,100,<>
11,nvalueSwapCostRmb,精灵个体值继承消耗钻石,100,<>
12,characterSwapCostRmb,精灵性格继承消耗钻石,100,<>
13,dispatchTaskRefreshCostRMB,派遣任务刷新单价消耗钻石,10,<>
14,dispatchTaskDoneAtOnceCostRMB,派遣任务立即完成时间价格（钻石）,2,<>
15,dispatchTaskDoneAtOnceSecond,派遣任务立即完成时间单位（秒）,300,<>
16,staminaBuyRecover,体力购买增加数值,120,<>
17,cardBagCapacity,初始卡牌背包容量,150,<>
18,cardBagCapacityIncrease,卡牌背包容量一次购买增加值,10,<>
19,unionTrainingSpeedUpGold,公会训练所加速自己获取的金币,20000,<>
20,cardRenameRMBCost,修改卡牌名字钻石消耗,200,<>
21,unionRenameRMBCost,修改公会名称钻石消耗,5000,<>
22,unionCreateRMBCost,创建公会钻石消耗,50000,<>
23,stashCardMailCountMax,暂存类邮件数量上限,50,<>
24,rebirthRetrunProportion1,重生材料返回比例1,1,<>
25,rebirthRetrunProportion2,分解材料返回比例2,1,<>
26,rebirthRetrunProportion3,携带道具返回比例3,1,<>
27,rebirthRMBCostLimit,重生钻石消耗上限值,100,<>
28,heldItemRebirthRMBCostLimit,携带道具重生钻石消耗上限值,50,<>
29,rebirthRMBCostByGold,重生获得金币的钻石消耗单位,20000,<>
30,citySpriteBaibianProbability,主城场景百变怪触发概率（100为分母）,10,<>
31,citySpriteBaibianCD,主城场景百变怪触发CD（秒）,600,<>
32,citySpriteBaibianPeriodDay,主城场景百变怪周期时间（天）,3,<>
33,citySpriteBaibianTimeMax,主城场景百变怪周期内奖励领取最大次数,1,<>
34,citySpriteMiniQProbability,主城场景谜拟Q触发概率（100为分母）,10,<>
35,citySpriteMiniQCD,主城场景谜拟Q触发CD（秒）,600,<>
36,citySpriteMiniQPeriodDay,主城场景谜拟Q周期时间（天）,1,<>
37,citySpriteMiniQTimeMax,主城场景谜拟Q周期内奖励领取最大次数,1,<>
38,citySpriteMax,主城场景精灵最大数量,20,<>
39,drawItemCostPrice,寻宝单抽消耗,160,<>
40,draw5ItemCostPrice,寻宝5连抽消耗,680,<>
41,unionCreateNeedVip,创建公会需要的VIP等级,11,<>
42,talentResetCost,天赋重置消耗,80,<>
43,drawEquipCostPrice,饰品抽卡单抽消耗钻石,80,<>
44,draw10EquipCostPrice,饰品抽卡10连抽消耗钻石,680,<>
45,cardRebirthRMBCostMin,卡牌重生钻石消耗最小值,20,<>
46,heldItemRebirthRMBCostMin,携带道具重生钻石消耗最小值,20,<>
47,unionRobRedpacketDailyLimit,公会成员红包每日抢夺上限次数(不包含系统红包),40,<>
48,newbieUnionQuitProtectDays,新号免公会建筑CD天数(5点刷新),2,<>
49,randomTowerBoxLimit1,试炼普通宝箱加开消耗次数限制,0,<>
50,randomTowerBoxLimit2,试炼豪华宝箱加开消耗次数限制,5,<>
51,craftBetNormalGold,限时PVP普通下注额度,60000,<>
52,craftBetAdvanceGold,限时PVP高级下注额度,200000,<>
53,shareTimesLimit,各种分享次数上限,5,<>
54,equipShopRefreshDays,饰品商店刷新天数,5,<>
55,universalFragGeneral,普通万能碎片标识,502,<>
56,universalFragSpecial,神兽万能碎片标识,521,<>
57,universalFragSwitch,万能碎片比例,3,<>
58,cloneRobotTime,元素挑战机器人出现的时间限制(分钟),120,<>
59,cloneRobotRefreshTime,元素挑战距离结束还有多久可以马上出现机器人(分钟),360,<>
60,dropEquipAwakeNeedRmb,饰品觉醒降阶消耗钻石,30,<>
61,rebirthRetrunProportion4,携带道具万能道具返回比例4,1,<>
62,unionFragDonateTimes,公会碎片赠予每天可赠送次数,3,<>
63,unionFragDonateSingleMaxTimes,公会碎片赠予每天给同一条许愿最多赠送次数,1,<>
64,unionFightBetNormalGold,公会战普通下注额度,60000,<>
65,unionFightBetAdvanceGold,公会战高级下注额度,200000,<>
66,unionFightLastWinRolePoint,公会战预选赛最终获胜公会积分,10,<>
67,rebirthRetrunProportion5,卡牌重生技能点返还比例,1,<>
68,skillPointLimitMax,技能点最大上限,2000,<>
69,autoSilentDuration,自动禁言时间(秒),3600,<>
70,autoSilentSameNum,自动禁言相同文本条数,7,<>
71,chatSilent,全服禁言,0,<>
72,unionCreateNeedGateStar,创建公会所需关卡星级,35,<>
73,gemRebirthRetrunProportion,宝石重生返回比例,1,<>
74,gemRebirthRMBCostLimit,宝石重生钻石消耗上限值,10,<>
75,unionFubenMaxDamageMultiple,公会副本最大伤害倍数,100000000,<>
76,cardStarSkillResetCostRMB,卡牌满星技能重置消耗钻石,100,<>
77,endlessCheatSilent,冒险之路作弊限制时间（秒）,10800,<>
78,gemRebirthRMBCostMin,宝石重生钻石消耗下限值,0,<>
79,drawGemCostPrice,宝石钻石单抽消耗,98,<>
80,draw10GemCostPrice,宝石钻石十连消耗,880,<>
81,drawGemGoldCostPrice,宝石金币单抽消耗,60000,<>
82,draw10GemGoldCostPrice,宝石金币十连消耗,500000,<>
83,pvpPassCostRmb,竞技场碾压5次固定消耗钻石,30,<>
84,worldBossMaxDamageMultiple,世界Boss最大伤害倍数,100000000,<>
85,feelSwapCostRmb,精灵好感度继承消耗钻石,100,<>
86,rebirthRetrunProportion6,极限技能点返回比例4,1,<>
87,fishingDailyTimes,钓鱼每日次数,60,<>
88,crossArenaPassCostRmb,跨服竞技场碾压5次固定消耗钻石,30,<>
89,fishingLowestWaitTimes,钓鱼最低等待时间,3,<>
90,megaCommonConvertTimes,钥石转化每日恢复固定数量,10,<>
91,megaConvertTimes,进化石转化每日恢复固定数量,10,<>
92,fishingAutoDuration,自动钓鱼每隔多少时间触发一次,120,<>
93,gymBattleTimes,道馆每日成功挑战次数,10,<>
94,gymAutoRecoverPoints,道馆每日自动获得的天赋点数,50,<>
95,gymTalentResetCost,道馆挑战加成重置消耗,100,<>
