变量名,fightingPointC,type,isBuff,buffType,drops,dropsView,hpC,damageC,specialDamageC,defenceC,specialDefenceC,speedC,backGround,recoverMp
默认值,1,1,0,<>,{gold=15000},{gold=15000},1,1,1,1,1,1,stage/night.csv,50
ID,战斗力修正系数,关卡类型 (1=普通;2=精英;3=深渊) 纯展示,是否触发增益,可触发的增益类型,通关掉落,通关掉落(预览) 纯展示,血量修正,物攻修正,特攻修正,物防修正,特防修正,速度修正,背景配置 ,碾压恢复怒气（固定值）
11,1,1,0,<>,{gold=15000},{gold=15000},1,1,1,1,1,1,stage/green.csv,50
12,1,1,0,<>,{gold=15000},{gold=15000},1,1,1,1,1,1,stage/green.csv,50
13,1,1,0,<>,{gold=15000},{gold=15000},1,1,1,1,1,1,stage/green.csv,50
14,1,1,0,<>,{gold=15000},{gold=15000},1,1,1,1,1,1,stage/green.csv,50
15,1,1,0,<>,{gold=15000},{gold=15000},1,1,1,1,1,1,stage/green.csv,50
16,1,1,0,<>,{gold=15000},{gold=15000},1,1,1,1,1,1,stage/green.csv,50
21,1,1,0,<>,{gold=15000},{gold=15000},1,1,1,1,1,1,stage/night.csv,50
22,1,1,0,<>,{gold=15000},{gold=15000},1,1,1,1,1,1,stage/night.csv,50
23,1,1,0,<>,{gold=15000},{gold=15000},1,1,1,1,1,1,stage/night.csv,50
24,1,1,0,<>,{gold=15000},{gold=15000},1,1,1,1,1,1,stage/night.csv,50
25,1,1,0,<>,{gold=15000},{gold=15000},1,1,1,1,1,1,stage/night.csv,50
101001,0.33,1,1,<101>,{gold=40000;coin14=100},{gold=0;coin14=0},1,1,1,1,1,1,stage/green.csv,50
101002,0.39,1,0,<>,{gold=40000;coin14=100},{gold=0;coin14=0},1,1,1,1,1,1,stage/green.csv,50
101003,0.52,1,0,<>,{gold=40000;coin14=100},{gold=0;coin14=0},1,1,1,1,1,1,stage/green.csv,50
101004,0.55,1,0,<>,{gold=40000;coin14=100},{gold=0;coin14=0},1,1,1,1,1,1,stage/green.csv,50
101005,0.66,1,0,<>,{gold=40000;coin14=100},{gold=0;coin14=0},1,1,1,1,1,1,stage/green.csv,50
101006,0.68,1,1,<201;301>,{libs=<22102;22106;22115;22116>;gold=50000;coin14=200},{7201=0;122=0;gold=0;7202=0;coin14=0;123=0},1,1,1,1,1,1,stage/green.csv,50
101007,0.77,1,0,<>,{libs=<22102>;gold=40000;coin14=100},{7201=0;coin14=0;gold=0;7202=0},1,1,1,1,1,1,stage/green.csv,50
