变量名,service,servers,date,cross,version,endDate
默认值,"""""",<>,20170120,"""""",0,0
ID,玩法,跨服组,玩法有效日期,手动分配cross,奖励版本,结束日期
1,crossarena,<game.cn.1;game.cn.2>,20250707,crossarena.cn.1,,20250830
2,crosscraft,<game.cn.1;game.cn.2>,20250707,crosscraft.cn.1,,20250830
3,crossfishing,<game.cn.1;game.cn.2>,20250707,cn,,20250830
4,crossgym,<game.cn.1;game.cn.2>,20250707,crossgym.cn.1,,20250830
5,onlinefight,<game.cn.1;game.cn.2>,20250707,onlinefight.cn.1,,20250830
6,huodongboss,<game.cn.1;game.cn.2>,20250707,cn,,20250830
7,crossunionqa,<game.cn.1;game.cn.2>,20250707,cn,,20250830
8,crossredpacket,<game.cn.1;game.cn.2>,20250707,cn,,20250830
9,crossmine,<game.cn.1;game.cn.2>,20250707,crossmine.cn.1,,20250830
10,skyscraper,<game.cn.1;game.cn.2>,20250707,cn,,20250830
11,bravechallengeranking,<game.cn.1;game.cn.2>,20250707,cn,,20250830
12,horseraceranking,<game.cn.1;game.cn.2>,20250707,cn,,20250830
13,crosshorse,<game.cn.1;game.cn.2>,20250707,crosshorse.cn.1,,20250830
14,volleyballranking,<game.cn.1;game.cn.2>,20250707,cn,,20250830
15,crossunionfight,<game.cn.1;game.cn.2>,20250707,crossunionfight.cn.1,,20250830
