变量名,type,rank,award
默认值,,,{}
ID,类型（1=初赛 2=决赛）,排名,排名奖励
1,1,1,{502=10;gold=500000;coin3=2000;coin10=1000;rmb=6666}
2,1,2,{gold=400000;coin3=1650;coin10=900;rmb=4888}
3,1,3,{gold=300000;coin3=1000;coin10=700;rmb=2888}
4,1,4,{gold=200000;coin3=800;coin10=500;rmb=2288}
5,2,1,{gold=10000000;521=20;coin10=2000;rmb=9999;coin3=4000}
6,2,2,{gold=8000000;521=10;coin10=1600;rmb=7888;coin3=3500}
7,2,3,{gold=6000000;521=5;coin10=1200;rmb=5888;coin3=2500}
8,2,4,{gold=6000000;521=5;coin10=1200;rmb=3888;coin3=2500}
