变量名,drawType,_comment,drawTriggerType,drawTriggerTimes,weightStart,weightEnd,effectLimit,startCount,probInit,probStep,probLimit,probMiniTimes,probEffectInterval,lotteryType1,lotteryWeight1,lotteryType2,lotteryWeight2,lotteryType3,lotteryWeight3,lotteryType4,lotteryWeight4,lotteryType5,lotteryWeight5,lotteryType6,lotteryWeight6,lotteryType7,lotteryWeight7,lotteryType8,lotteryWeight8,lotteryType9,lotteryWeight9,lotteryType10,lotteryWeight10
默认值,,,2,0,0,0,0,0,0,0.01,0.2,30,50,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
ID,抽取类型,类型注释,抽取触发类型(0从X次开始;1权值累加;2概率触发;3每X次;4第X次),抽取次数条件,权值上限,权值下限,生效次数上限,开始次数,概率初值,概率递增,概率上限,概率保底次数,概率生效间隔,产出类型1,产出类型1权重,产出类型2,产出类型2权重,产出类型3,产出类型3权重,产出类型4,产出类型4权重,产出类型5,产出类型5权重,产出类型6,产出类型6权重,产出类型7,产出类型7权重,产出类型8,产出类型8权重,产出类型9,产出类型9权重,产出类型10,产出类型10权重
10,rmb1,,2,40,0,0,1,40,0.1,0.01,0.5,10,99999,{151=1},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
11,rmb1,,2,30,0,0,1,50,0.1,0.03,0.5,10,99999,{162=1},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
12,rmb1,,3,10,0,0,0,0,0,0.01,0.2,30,50,{150=1},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
13,rmb1,,4,1,0,0,1,0,0,0.01,0.2,30,50,{150=1},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
14,rmb1,,0,2,0,0,0,0,0,0.01,0.2,30,50,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,{},0,{},0,{},0,{},0,{},0
51,rmb10,,1,10,0.04,0.09,0,19,0,0.01,0.2,30,50,{162=1;150=1;154=2;153=1;160=1;152=4},100,{162=1;150=1;154=1;153=2;160=1;152=4},100,{162=1;150=1;154=1;153=1;160=1;152=5},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0
52,rmb10,,1,10,0.08,0.15,1,11,0,0.01,0.2,30,50,{162=1;150=1;154=2;153=1;160=1;152=4},100,{162=1;150=1;154=1;153=2;160=1;152=4},100,{162=1;150=1;154=1;153=1;160=1;152=5},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0
53,rmb10,,1,10,0.2,0.3,1,5,0,0.01,0.2,30,50,{162=1;150=1;154=2;153=1;160=1;152=4},100,{162=1;150=1;154=1;153=2;160=1;152=4},100,{162=1;150=1;154=1;153=1;160=1;152=5},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0
54,rmb10,,1,10,1,1,1,4,0,0.01,0.2,30,50,{162=1;150=1;154=2;153=1;160=1;152=4},100,{162=1;150=1;154=1;153=2;160=1;152=4},100,{162=1;150=1;154=1;153=1;160=1;152=5},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0
61,rmb10,,1,10,0.06,0.12,0,14,0,0.01,0.2,30,50,{151=1;154=2;150=1;153=1;160=1;152=4},100,{151=1;154=1;150=1;153=2;160=1;152=4},100,{151=1;154=1;150=1;153=1;160=1;152=5},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0
62,rmb10,,1,10,0.1,0.2,1,7,0,0.01,0.2,30,50,{151=1;154=2;150=1;153=1;160=1;152=4},100,{151=1;154=1;150=1;153=2;160=1;152=4},100,{151=1;154=1;150=1;153=1;160=1;152=5},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0
63,rmb10,,1,10,0.2,0.3,1,3,0,0.01,0.2,30,50,{151=1;154=2;150=1;153=1;160=1;152=4},100,{151=1;154=1;150=1;153=2;160=1;152=4},100,{151=1;154=1;150=1;153=1;160=1;152=5},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0
64,rmb10,,1,10,1,1,1,2,0,0.01,0.2,30,50,{151=1;154=2;150=1;153=1;160=1;152=4},100,{151=1;154=1;150=1;153=2;160=1;152=4},100,{151=1;154=1;150=1;153=1;160=1;152=5},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0
65,rmb10,,0,1,0,0,0,0,0,0.01,0.2,30,50,{154=2;150=1;153=2;160=1;152=4},100,{161=1;150=1;154=2;153=1;160=1;152=4},100,{154=3;150=1;153=1;160=1;152=4},100,{154=2;150=1;153=1;160=1;152=5},100,{154=1;150=1;153=2;160=1;152=5},100,{161=1;150=1;154=1;153=1;160=1;152=5},100,{150=1;161=1;154=2;153=1;152=5},100,{154=3;150=1;153=1;160=1;152=4},0,{},0,{},0
101,recharge_wheel_180011,,0,1,0,0,0,0,0,0.01,0.2,30,50,{20001=1},100,{20002=1},1,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
102,recharge_wheel_120039,,0,1,0,0,0,0,0,0.01,0.2,30,50,{10022=1},100,{10022=1},1,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
103,recharge_wheel_120051,,0,1,0,0,0,0,0,0.01,0.2,30,50,{10022=1},100,{10022=1},1,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
104,recharge_wheel_120054,,0,1,0,0,0,0,0,0.01,0.2,30,50,{10022=1},100,{10022=1},1,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
105,recharge_wheel_120055,,0,1,0,0,0,0,0,0.01,0.2,30,50,{10022=1},100,{10022=1},1,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
