变量名,drawType,_comment,drawTriggerTimes,drawTriggerType,weightStart,weightEnd,effectLimit,startCount,lotteryType1,lotteryWeight1,lotteryType2,lotteryWeight2,lotteryType3,lotteryWeight3,lotteryType4,lotteryWeight4,lotteryType5,lotteryWeight5,lotteryType6,lotteryWeight6,lotteryType7,lotteryWeight7,lotteryType8,lotteryWeight8,lotteryType9,lotteryWeight9,lotteryType10,lotteryWeight10
默认值,,,0,1,0,0,0,0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
ID,抽取类型,类型注释,抽取次数条件,抽取触发类型(0从X次开始;1权值累加;2每X次;3第X次),权值上限,权值下限,生效次数上限,开始次数,产出类型1,产出类型1权重,产出类型2,产出类型2权重,产出类型3,产出类型3权重,产出类型4,产出类型4权重,产出类型5,产出类型5权重,产出类型6,产出类型6权重,产出类型7,产出类型7权重,产出类型8,产出类型8权重,产出类型9,产出类型9权重,产出类型10,产出类型10权重
1,gold1,,6,1,0.015,0.025,0,6,{4004=1},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
2,gold1,,2,1,0.2,0.3,1,2,{4004=1},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
3,gold1,,1,0,0,0,0,0,{4001=1},45,{4002=1},35,{4003=1},10,{4010=1},15,{},0,{},0,{},0,{},0,{},0,{},0
11,gold10,,2,1,0.15,0.25,0,2,{4010=2;4001=4;4004=1;4002=3},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
12,gold10,,1,3,0,0,0,0,{4010=2;4001=4;4004=1;4002=3},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
13,gold10,,1,0,0,0,0,0,{4010=2;4001=4;4003=1;4002=3},50,{4010=1;4001=5;4003=1;4002=3},50,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
14,gold50,,1,0,0,0,0,0,{4010=10;4001=20;4004=1;4002=15;4003=4},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
21,rmb1,,20,1,0.02,0.03,0,20,{4005=1},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
22,rmb1,,10,1,0.06,0.14,1,10,{4005=1},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
23,rmb1,,1,3,0,0,0,0,{4004=1},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
24,rmb1,,2,0,0,0,0,0,{4001=1},35,{4002=1},25,{4003=1},20,{4004=1},8,{4010=1},12,{},0,{},0,{},0,{},0,{},0
31,rmb10,,3,1,0.26,0.36,0,3,{4011=2;4001=3;4005=1;4003=2;4002=2},45,{4011=1;4001=3;4005=1;4003=2;4002=3},45,{4011=1;4001=3;4004=1;4003=2;4002=2;4005=1},10,{},0,{},0,{},0,{},0,{},0,{},0,{},0
32,rmb10,,1,3,0,0,0,0,{4011=2;4001=3;4005=1;4003=2;4002=2},50,{4011=1;4001=3;4005=1;4003=2;4002=3},50,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
33,rmb10,,2,0,0,0,0,0,{4011=1;4001=3;4004=1;4003=2;4002=3},25,{4011=1;4001=3;4004=2;4003=1;4002=3},25,{4003=2;4004=1;4001=4;4002=3},25,{4011=2;4001=3;4004=1;4003=2;4002=2},25,{},0,{},0,{},0,{},0,{},0,{},0
