变量名,sceneName,sceneName_tw,sceneName_en,sceneName_vn,sceneName_kr,sceneName_pt,sceneName_th,_beizhu,languages,monsters,boss,icon,gateType,sceneType,roundLimit,backMusic,backGround,bg_boss,bg_boss_pos,openLevel,desc,sceneCount,showLevel,sceneLevel,skillLevel,sceneLevelCorrect,demonCorrect,demonCorrectSelf,limitType,limitArg,firstAward,firstAwardShow,saodangAward,saodangAwardShow,lowestFightingPoint,gateDesc,gateDesc_tw,gateDesc_en,gateDesc_vn,gateDesc_kr,gateDesc_pt,gateDesc_th
默认值,,,,,,,,,<cn;tw;en;vn;th;kr;pt>,<>,<>,"""""",5,1,10,battle_bgm.mp3,battle/scene/bg_city.jpg,,{x=0;y=70},1,,1,99,1,1,,,,0,<>,{},<>,{},<>,0,本关无特殊效果,本關無特殊效果,No special effect,Không có hiệu ứng đặc biệt trong màn này,해당 스테이지 특수 효과 없음,Sem efeitos especiais nesta fase,ด่านนี้ไม่มีเอฟเฟกต์พิเศษ
ID,场景名称,场景名称,场景名称,场景名称_越南,场景名称_韩,场景名称_韩,场景名称_韩,备注,语言区域,界面显示的普通怪物id<等级;advance=品阶>,界面显示的bossid,关卡入口icon,关卡类型 -客户端战斗用；5-无尽之塔副本；默认值不用改,服务器专用字段# 0-全局 # 1-世界# 2-章节# 3-精英章节# 4-关卡# 5-精英关卡# 6-噩梦关卡# 7-噩梦章节 # 11:金币活动; # 12:经验活动; # 13:礼物副本;# 14:碎片副本;# 21: 公会副本# 22: 无尽之塔,回合限制数,背景音乐,背景地图,背景boss图,背景boss位置偏移,开放等级,关卡描述,总波数,场景怪物显示用的等级，如空则显示sceneLevel,场景等级修正,技能等级修正,是否自适应角色等级:不填就没有；需要的话读scene_level_correct表的列名；比如填boss,前6修正,己方前6修正,限制条件,限制条件 1-限制可上阵的精灵自然属性 2-限制不可上阵的精灵自然属性 3-我方属性修正 4-敌方属性修正 5-双方属性修正 6-强制上阵特定稀有度的精灵,首通奖励,首通奖励显示<<11;11;1>;<12;11;0>>,扫荡奖励,扫荡奖励显示<<11;11;0>;<12;11;0>>,通关最低战力限制,副本效果,副本效果,副本效果,副本效果_越南,副本效果_韩,副本效果,副本效果
100001,第1关,第1關,Stage 1,Thứ 1 Quan,스테이지 1,Stage 1,Stage 1,,,<{unitId=233303;level=16;advance=1};{unitId=220053;level=16;advance=1};{unitId=233303;level=16;advance=1};{unitId=230033;level=16;advance=1}>,<{unitId=251001;level=16;advance=2}>,config/portrait/jinglingtouxiang1/img_12_bdd@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_grass.jpg,,{y=70;x=0},1,,1,16,60,60,,,,3,<<1;1;2%>>,{gold=20000;451=30;452=20},<<gold;20000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2000},<<gold;2000;0>;<451;1;1>;<452;1;1>>,0,本关无特殊效果,本關無特殊效果,No special effects in this stage,Không có hiệu ứng đặc biệt trong màn này,이번 스테이지에는 특수 효과 없음,Sem efeitos especiais nesta fase,ด่านนี้ไม่มีเอฟเฟกต์พิเศษ
100002,第2关,第2關,Stage 2,Thứ 2 Quan,스테이지 2,Stage 2,Stage 2,,,<{unitId=231503;level=17;advance=1};{unitId=231503;level=17;advance=1};{unitId=233353;level=17;advance=1};{unitId=231172;level=17;advance=1}>,<{unitId=251002;level=17;advance=2}>,config/portrait/jinglingtouxiang1/img_244_yd@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_night.jpg,,{y=70;x=0},1,,1,17,63,63,,,,4,<<1;0;2%>;<28;0;2%>>,{502=1;451=30;gold=20000},<<gold;20000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=2000},<<gold;2000;0>;<451;1;1>;<452;1;1>>,0,本关无特殊效果,本關無特殊效果,No special effects in this stage,Không có hiệu ứng đặc biệt trong màn này,이번 스테이지에는 특수 효과 없음,Sem efeitos especiais nesta fase,ด่านนี้ไม่มีเอฟเฟกต์พิเศษ
100003,第3关,第3關,Stage 3,Thứ 3 Quan,스테이지 3,Stage 3,Stage 3,,,<{unitId=231231;level=18;advance=1};{unitId=231231;level=18;advance=1};{unitId=230741;level=18;advance=1};{unitId=230741;level=18;advance=1}>,<{unitId=251003;level=18;advance=2}>,config/portrait/jinglingtouxiang1/img_146_hyn@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_sd.jpg,,{y=70;x=0},1,,1,18,66,66,,,,5,<<1;0;5%>>,{rmb=100;451=30;gold=20000},<<gold;20000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=2000},<<gold;2000;0>;<451;1;1>;<452;1;1>>,0,本关无特殊效果,本關無特殊效果,No special effects in this stage,Không có hiệu ứng đặc biệt trong màn này,이번 스테이지에는 특수 효과 없음,Sem efeitos especiais nesta fase,ด่านนี้ไม่มีเอฟเฟกต์พิเศษ
100004,第4关,第4關,Stage 4,Thứ 4 Quan,스테이지 4,Stage 4,Stage 4,,,<{unitId=230333;level=19;advance=1};{unitId=230372;level=19;advance=1};{unitId=231443;level=19;advance=1};{unitId=231443;level=19;advance=1}>,<{unitId=251004;level=19;advance=2}>,config/portrait/jinglingtouxiang1/img_295_byg@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_tower.jpg,,{y=70;x=0},1,,1,19,69,69,,,,5,<<27;0;5%>;<26;0;5%>>,{gold=20000;451=30;452=20},<<gold;20000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2000},<<gold;2000;0>;<451;1;1>;<452;1;1>>,0,本关无特殊效果,本關無特殊效果,No special effects in this stage,Không có hiệu ứng đặc biệt trong màn này,이번 스테이지에는 특수 효과 없음,Sem efeitos especiais nesta fase,ด่านนี้ไม่มีเอฟเฟกต์พิเศษ
100005,第5关,第5關,Stage 5,Thứ 5 Quan,스테이지 5,Stage 5,Stage 5,,,<{unitId=240741;level=20;advance=1};{unitId=230013;level=20;advance=1};{unitId=240741;level=20;advance=1}>,<{unitId=251005;level=20;advance=2}>,config/portrait/jinglingtouxiang1/img_467_yzys@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_grass.jpg,,{y=70;x=0},1,,1,20,72,72,,,,5,<<1;1;10%>;<13;0;10%>>,{gold=20000;451=30;519=1},<<gold;20000;1>;<451;30;1>;<519;1;1>>,{libs=<110;111;112>;gold=2000;452=1},<<gold;2000;0>;<451;1;1>;<452;1;1>>,0,怪物攻击时有几率附带灼烧效果（可驱散）,怪物攻擊時有幾率附帶灼燒效果（可驅散）,Monsters have a chance to inflict a burn effect on attack (dispelable).,Quái vật có xác suất gây hiệu ứng cháy khi tấn công (có thể giải tán).,몬스터 공격 시 일정 확률로 화상 효과를 부여합니다 (해제 가능),Monstros têm uma chance de causar um efeito de queimadura ao atacar (dissipável).,มอนสเตอร์มีโอกาสติดสถานะเผาไหม้เมื่อโจมตี (สามารถล้างสถานะได้)
100006,第6关,第6關,Stage 6,Thứ 6 Quan,스테이지 6,Stage 6,Stage 6,,,<{unitId=230173;level=21;advance=2};{unitId=222683;level=21;advance=2};{unitId=230173;level=21;advance=2};{unitId=230043;level=21;advance=2}>,<{unitId=251006;level=21;advance=3}>,config/portrait/jinglingtouxiang1/img_15_dzf@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_night.jpg,,{y=70;x=0},1,,1,21,75,75,,,,3,<<7;1;2%>;<8;1;2%>>,{gold=25000;451=30;452=20},<<gold;25000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2100},<<gold;2100;0>;<451;1;1>;<452;1;1>>,0,本关无特殊效果,本關無特殊效果,No special effects in this stage,Không có hiệu ứng đặc biệt trong màn này,이번 스테이지에는 특수 효과 없음,Sem efeitos especiais nesta fase,ด่านนี้ไม่มีเอฟเฟกต์พิเศษ
100007,第7关,第7關,Stage 7,Thứ 7 Quan,스테이지 7,Stage 7,Stage 7,,,<{unitId=230242;level=22;advance=2};{unitId=230242;level=22;advance=2};{unitId=231241;level=22;advance=2};{unitId=231241;level=22;advance=2}>,<{unitId=251007;level=22;advance=3}>,config/portrait/jinglingtouxiang1/img_257_hyj@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_sd.jpg,,{y=70;x=0},1,,1,22,78,78,,,,4,<<7;0;2%>;<8;0;2%>;<14;0;2%>>,{502=1;451=30;gold=25000},<<gold;25000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=2100},<<gold;2100;0>;<451;1;1>;<452;1;1>>,0,本关无特殊效果,本關無特殊效果,No special effects in this stage,Không có hiệu ứng đặc biệt trong màn này,이번 스테이지에는 특수 효과 없음,Sem efeitos especiais nesta fase,ด่านนี้ไม่มีเอฟเฟกต์พิเศษ
100008,第8关,第8關,Stage 8,Thứ 8 Quan,스테이지 8,Stage 8,Stage 8,,,<{unitId=230741;level=23;advance=2};{unitId=230741;level=23;advance=2};{unitId=232483;level=23;advance=2};{unitId=232483;level=23;advance=2}>,<{unitId=251008;level=23;advance=3}>,config/portrait/jinglingtouxiang1/img_467_yzys@.png,5,22,10,battle_bgm.mp3,battle/scene/bg_tower.jpg,,{y=70;x=0},1,,1,23,81,81,,,,5,<<1;0;5%>>,{rmb=100;451=30;gold=25000},<<gold;25000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=2100},<<gold;2100;0>;<451;1;1>;<452;1;1>>,0,本关无特殊效果,本關無特殊效果,No special effects in this stage,Không có hiệu ứng đặc biệt trong màn này,이번 스테이지에는 특수 효과 없음,Sem efeitos especiais nesta fase,ด่านนี้ไม่มีเอฟเฟกต์พิเศษ
