变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,res,simpleIcon,coordinate,componentIDs,effect,levelMax,extraEff,extraEffCod,advanceCostSeq,quality,bg
默认值,,,,,,,,config/explorer/test_qpp.png,config/explorer/img_txq3_1.png,{},<>,<>,20,<>,<>,1,1,tanxianqibeijing/tanxianqibeijing.skel
ID,探险器名称,探险器名称,探险器名称,探险器名称_越南,探险器名称_韩,探险器名称_韩,探险器名称_韩,spine资源路径,探险器icon,spine的界面坐标,所属组件位ID组,探险器效果ID,进阶等级上限,额外效果ID组,额外效果对应激活条件(进阶等级),进阶消耗序列,品质,背景spine
1,铁甲犀牛履带车,鐵甲犀牛履帶車,Rhydon Armored Vehicle,Xe Bọc Thép Rhydon,뿔카노 장갑차,Veículo Blindado do Rhydon,รถหุ้มเกราะไรดอน,tiejiaxiniulvdaiche/tiejiaxiniulvdaiche.skel,config/explorer/img_tjxn.png,{y=210;x=850;scale=3.3},<1;2;3>,<1;2>,40,<3;4;5;6;7;8;9;10;11;12;13;14>,<3;6;9;12;15;18;21;24;27;30;35;40>,2,2,tanxianqibeijing/tanxianqibeijing.skel
2,大甲履带车,大甲履帶車,Armored vehicle component,Linh Kiện Xe Bọc Thép,쁘사이저 장갑차,Componente de Veículo Blindado,ส่วนประกอบรถหุ้มเกราะ,dajialvdaiche/dajialvdaiche.skel,config/explorer/img_djldc.png,{y=210;x=850;scale=3},<4;5;6>,<15;16>,40,<17;18;19;20;21;22;23;24;25;26;27;28>,<3;6;9;12;15;18;21;24;27;30;35;40>,2,2,tanxianqibeijing/tanxianqibeijing.skel
3,鲶鱼船,鯰魚船,Catfish Boat,Thuyền Cá Trê,메깅 보트,Barco Bagre,เรือปลาดุก,chuan/nianyuwangtanxianqi.skel,config/explorer/img_txq1_1.png,{y=150;x=840;scale=2.9},<7;8;9>,<29;30>,40,<31;32;33;34;35;36;37;38;39;40;41;42>,<3;6;9;12;15;18;21;24;27;30;35;40>,3,3,tanxianqibeijing/tanxianqibeijing_shui.skel
4,赫拉克洛斯战车,赫拉克洛斯戰車,Heracross' chariot,Cỗ Xe Heracross,헤라크로스 전차,Carruagem do Heracross,รถม้าเฮราครอส,helakeluosizhanche/helakeluosizhanche.skel,config/explorer/img_hlkls_1.png,{y=250;x=840;scale=3},<10;11;12>,<43;44>,40,<45;46;47;48;49;50;51;52;53;54;55;56>,<3;6;9;12;15;18;21;24;27;30;35;40>,3,3,tanxianqibeijing/tanxianqibeijing.skel
5,独角爬行器,獨角爬行器,Unicorn crawler,Xe Bánh Xích Kỳ Lân,유니콘 크롤러,Rastreador Unicórnio,รถตีนตะขาบยูนิคอร์น,longtoudishutanceqi/longtoudishutangceqi.skel,config/explorer/img_ltds.png,{y=240;x=860;scale=2.5},<13;14;15>,<57;58>,40,<59;60;61;62;63;64;65;66;67;68;69;70>,<3;6;9;12;15;18;21;24;27;30;35;40>,3,3,tanxianqibeijing/tanxianqibeijing.skel
6,嘟嘟探测器,嘟嘟探測器,Doduo's Scanner,Máy Quét Doduo,두두 스캐너,Scanner do Doduo,เครื่องสแกนของโดโด้,dudufeixingqi/dudufeixingqi.skel,config/explorer/img_txq3_1.png,{y=150;x=840;scale=2.9},<16;17;18;19>,<71;72>,40,<73;74;75;76;77;78;79;80;81;82;83;84>,<3;6;9;12;15;18;21;24;27;30;35;40>,4,4,tanxianqibeijing/tanxianqibeijing_shui.skel
7,蚊香蛙探险器,蚊香蛙探險器,Poliwhirl Explorer Device,Thiết Bị Thám Hiểm Poliwhirl,슈륙챙이 탐지기,Dispositivo Explorador do Poliwhirl,อุปกรณ์สำรวจของโปลิวิร์ล,wenxiangwatangceqi/wenxiangwatanceqi.skel,config/explorer/img_txq2_1.png,{y=150;x=840;scale=3},<20;21;22;23>,<85;86>,40,<87;88;89;90;91;92;93;94;95;96;97;98>,<3;6;9;12;15;18;21;24;27;30;35;40>,4,4,tanxianqibeijing/tanxianqibeijing_shui.skel
8,准神号飞船,准神號飛船,Pseudo-legendary Aircraft,Máy Bay Bán Thần,유사전설호 비행선,Aeronave Pseudolendária,อากาศยานกึ่งตำนาน,gaioukafeixingqi/gaioukafeixingqi.skel,config/explorer/img_gok_1.png,{y=180;x=780;scale=3.2},<24;25;26;27;28>,<99;100>,40,<101;102;103;104;105;106;107;108;109;110;111;112>,<3;6;9;12;15;18;21;24;27;30;35;40>,5,5,tanxianqibeijing/tanxianqibeijing_shui.skel
9,波尔凯尼恩飞船,波爾凱尼恩飛船,Volcanion Airship,Khí Cầu Volcanion,볼케니온 비행선,Dirigível do Volcanion,เรือเหาะโวเคเนียน,boerkainienfeichuan/boerkainienfeichuan.skel,config/explorer/img_bekne_1.png,{y=100;x=840;scale=2.9},<29;30;31;32;33>,<113;114>,40,<115;116;117;118;119;120;121;122;123;124;125;126>,<3;6;9;12;15;18;21;24;27;30;35;40>,5,5,tanxianqibeijing/tanxianqibeijing.skel
