变量名,qualityNum1,qualityNum2,qualityNum3,qualityNum4,qualityNum5,qualityNum6
默认值,100,100,100,100,100,100
ID（等级）,白色品质指数,绿色品质指数,蓝色品质指数,紫色品质指数,橙色品质指数,红色品质指数
1,18,18,27,40,61,90
2,18,18,27,40,62,91
3,19,19,28,41,63,93
4,19,19,28,41,64,94
5,19,19,29,42,65,95
6,19,19,29,43,66,97
7,20,20,29,43,67,98
8,20,20,30,44,68,99
9,20,20,30,44,69,101
10,20,20,31,45,69,102
11,21,21,31,46,71,104
12,21,21,32,47,72,106
13,21,21,32,47,73,107
14,22,22,33,48,74,109
15,22,22,33,48,75,110
16,22,22,33,49,76,112
17,23,23,34,50,77,113
18,23,23,34,50,78,114
19,23,23,35,51,79,116
20,23,23,35,52,80,117
21,24,24,36,53,82,121
22,24,24,37,54,83,122
23,25,25,37,54,84,124
24,25,25,38,55,85,125
25,25,25,38,56,86,127
26,26,26,38,56,87,128
27,26,26,39,57,88,130
28,26,26,39,58,89,131
29,27,27,40,58,90,133
30,27,27,40,59,91,134
31,28,28,42,61,94,139
32,28,28,42,62,95,140
33,28,28,43,62,96,142
34,29,29,43,63,98,143
35,29,29,44,64,99,145
36,29,29,44,65,100,147
37,30,30,45,65,101,148
38,30,30,45,66,102,150
39,30,30,45,67,103,152
40,31,31,46,67,104,153
41,32,32,49,71,110,162
42,33,33,49,72,111,164
43,33,33,50,73,113,166
44,33,33,50,74,114,167
45,34,34,51,74,115,169
46,34,34,51,75,116,171
47,35,35,52,76,118,173
48,35,35,52,77,119,175
49,35,35,53,78,120,176
50,36,36,53,78,121,178
51,38,38,57,83,129,189
52,38,38,57,84,130,191
53,39,39,58,85,131,193
54,39,39,58,86,133,195
55,39,39,59,87,134,197
56,40,40,60,88,135,199
57,40,40,60,88,137,201
58,41,41,61,89,138,203
59,41,41,61,90,139,205
60,41,41,62,91,141,207
61,44,44,66,97,149,220
62,44,44,67,98,151,222
63,45,45,67,99,152,224
64,45,45,68,99,154,226
65,46,46,68,100,155,228
66,46,46,69,101,157,230
67,47,47,70,102,158,233
68,47,47,70,103,160,235
69,47,47,71,104,161,237
70,48,48,72,105,163,239
71,51,51,76,112,173,254
72,51,51,77,113,174,256
73,52,52,78,114,176,258
74,52,52,78,115,177,261
75,53,53,79,116,179,263
76,53,53,80,117,181,266
77,54,54,80,118,182,268
78,54,54,81,119,184,270
79,55,55,82,120,185,273
80,55,55,82,121,187,275
81,58,58,87,128,198,292
82,59,59,88,129,200,294
83,59,59,89,131,202,297
84,60,60,90,132,203,299
85,60,60,91,133,205,302
86,61,61,91,134,207,304
87,61,61,92,135,209,307
88,62,62,93,136,210,309
89,62,62,94,137,212,312
90,63,63,94,138,214,314
91,67,67,100,147,226,333
92,67,67,101,148,228,336
93,68,68,102,149,230,338
94,68,68,102,150,232,341
95,69,69,103,151,234,344
96,69,69,104,152,236,347
97,70,70,105,154,237,349
98,70,70,106,155,239,352
99,71,71,106,156,241,355
100,71,71,107,157,243,357
101,72,72,108,159,245,361
102,72,72,109,160,248,364
103,73,73,110,162,250,368
104,74,74,111,163,253,371
105,75,75,112,165,255,375
106,75,75,114,167,258,379
107,76,76,115,168,261,383
108,77,77,116,170,263,387
109,78,78,117,172,266,390
110,78,78,118,173,268,394
111,79,79,119,175,271,398
112,80,80,121,177,274,402
113,81,81,122,179,277,406
114,82,82,123,180,279,410
115,82,82,124,182,282,414
116,83,83,125,184,285,419
117,84,84,127,186,288,423
118,85,85,128,188,291,427
119,86,86,129,190,294,431
120,87,87,131,192,297,436
121,87,87,132,193,299,440
122,88,88,133,195,302,444
123,89,89,135,197,305,449
124,90,90,136,199,309,453
125,91,91,137,201,312,458
126,92,92,139,203,315,462
127,93,93,140,205,318,467
128,94,94,141,207,321,472
129,95,95,143,210,324,476
130,96,96,144,212,328,481
131,97,97,146,214,331,486
132,98,98,147,216,334,491
133,99,99,149,218,337,496
134,100,100,150,220,341,501
135,101,101,152,222,344,506
136,102,102,153,225,348,511
137,103,103,155,227,351,516
138,104,104,156,229,355,521
139,105,105,158,231,358,526
140,106,106,159,234,362,532
141,107,107,161,236,365,537
142,108,108,163,238,369,542
143,109,109,164,241,373,548
144,110,110,166,243,376,553
145,111,111,167,246,380,559
146,112,112,169,248,384,564
147,113,113,171,251,388,570
148,114,114,173,253,392,576
149,116,116,174,256,396,581
150,117,117,176,258,400,587
151,118,118,178,261,404,593
152,119,119,180,263,408,599
153,120,120,181,266,412,605
154,122,122,183,269,416,611
155,123,123,185,271,420,617
156,124,124,187,274,424,623
157,125,125,189,277,428,629
158,126,126,191,280,433,636
159,128,128,192,282,437,642
160,129,129,194,285,441,649
161,130,130,196,288,446,655
162,132,132,198,291,450,662
163,133,133,200,294,455,668
164,134,134,202,297,459,675
165,136,136,204,300,464,682
166,137,137,206,303,469,688
167,138,138,208,306,473,695
168,140,140,210,309,478,702
169,141,141,213,312,483,709
170,142,142,215,315,488,716
171,144,144,217,318,493,724
172,145,145,219,321,497,731
173,147,147,221,325,502,738
174,148,148,223,328,507,746
175,150,150,226,331,513,753
176,151,151,228,334,518,760
177,153,153,230,338,523,768
178,154,154,233,341,528,776
179,156,156,235,345,533,784
180,157,157,237,348,539,791
181,159,159,240,352,544,799
182,161,161,242,355,549,807
183,162,162,244,359,555,815
184,164,164,247,362,561,824
185,165,165,249,366,566,832
186,167,167,252,369,572,840
187,169,169,254,373,578,848
188,170,170,257,377,583,857
189,172,172,259,381,589,866
190,174,174,262,384,595,874
191,176,176,265,388,601,883
192,177,177,267,392,607,892
193,179,179,270,396,613,901
194,181,181,273,400,619,910
195,183,183,275,404,625,919
196,185,185,278,408,632,928
197,186,186,281,412,638,937
198,188,188,284,416,644,947
199,190,190,287,420,651,956
200,192,192,289,425,657,966
