变量名,markID,level,addType,addScene,natureType,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6
默认值,1,,,0,0,"""""","""""","""""","""""","""""","""""","""""",0,"""""",0,"""""",0,"""""",0,"""""",0,"""""",0,""""""
好感度序号,卡牌markID,好感度等级,效果类型(1-自身系列属性加成；2-指定自然属性卡牌属性加成；3-全体卡牌属性加成；4-上阵前排；5-上阵后排),加成场景（-1-所有战斗场景；0-主城固定加成；1-关卡；2-竞技场；3-活动副本；4-无尽之塔；5-公会副本）,自然属性,效果描述,效果描述,效果描述,效果描述_越南,效果描述_韩,效果描述_韩,效果描述_韩,属性类型1,属性数值1,属性类型2,属性数值2,属性类型3,属性数值3,属性类型4,属性数值4,属性类型5,属性数值5,属性类型6,属性数值6
1,1,20,1,0,0,所有基础属性%s,所有基礎屬性%s,All base stats %s,Tất cả chỉ số cơ bản %s,모든 기본 능력치 %s,Todos os status base %s,ค่าสถานะพื้นฐานทั้งหมด %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
2,1,40,1,0,0,%s,%s,%s,%s,%s,%s,%s,1,3%,0,,0,,0,,0,,0,
3,1,60,1,0,0,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,0,,0,,0,,0,
4,1,80,2,0,4,第一属性%s精灵所有基础属性%s,第一屬性%s精灵所有基礎屬性%s,All base stats of %s Pokémon with main type %s,Tất cả chỉ số cơ bản của Pokémon %s thuộc loại %s,첫 속성 %s 포켓몬 기본 능력치 모두 %s,Todos os status base do Pokémon %s do tipo %s,ค่าสถานะพื้นฐานของโปเกมอน %s ประเภท %s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%
5,1,100,1,0,0,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,0,,0,,0,,0,
6,1,150,3,0,0,所有精灵%s,所有寶可夢%s,All Pokémon %s,Tất cả Pokémon %s,모든 포켓몬 %s,Todos os Pokémon %s,โปเกมอนทั้งหมด %s,7,0.50%,8,0.50%,0,,0,,0,,0,
7,1,200,1,0,0,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,0,,0,,0,,0,
8,1,250,1,0,0,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,0,,0,,0,,0,
