变量名,treeID,depth,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,icon,iconRate,preTalentIDs,preLevel,costID,levelUp,effectType,skillID,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th
默认值,,,加成详情,加成详情,加成详情,加成详情,加成详情,"""""","""""",city/drawcard/draw/icon_jbc1.png,1,<>,10,,10,,,0,<>,0,<>,0,<>,"""""","""""","""""","""""","""""","""""",""""""
ID,天赋页id,天赋深度,描述,描述,描述,描述,描述,描述,描述,天赋icon,icon大小修正,前置天赋id,前置天赋等级要求,消耗序列id,等级上限,效果类型(1-属性，2-技能),技能id,属性类型1,属性数值1,属性类型2,属性数值2,属性类型3,属性数值3,效果描述,描述,描述,描述,描述,描述,描述
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,1,输出加成,輸出加成,Damage bonus,Tăng sát thương,공격력 버프,Bônus de dano,โบนัสความเสียหาย,config/card_ability/icon_gj_1.png,,,,1,5,1,,7,<2%;4%;6%;8%;10%>,8,<2%;4%;6%;8%;10%>,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s双攻,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s雙攻,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase %s P. & Sp. ATK","Trong trận đấu Hội Quán của máy chủ này, tất cả Pokémon trên chiến trường tăng %s Công vật lý & đặc biệt",본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 물리&특수 공격 피해 %s 증가,"Na batalha entre não jogadores neste ginásio de servidores, todos os Pokémon no campo de batalha aumentam %s P. & Sp. ATK",ในการต่อสู้ระหว่างผู้เล่นที่ไม่ใช่ผู้เล่นในยิมเซิร์ฟเวอร์นี้ โปเกมอนทุกตัวบนสนามรบจะเพิ่มค่า P. & Sp. ATK เป็น %s
102,1,2,输出加成,輸出加成,Damage bonus,Tăng sát thương,공격력 버프,Bônus de dano,โบนัสความเสียหาย,config/card_ability/icon_gj1.png,,<101>,2,2,5,1,,22,<300;600;900;1200;1500>,,,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s伤害加成,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s傷害加成,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase the damage bonus by %s","Trong trận đấu Hội Quán của máy chủ này, tất cả Pokémon trên chiến trường tăng %s thưởng sát thương",본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 피해 보너스 %s 증가,"Na batalha entre não jogadores neste ginásio de servidores, todos os Pokémon no campo de batalha aumentam o bônus de dano em %s",ในการต่อสู้ระหว่างผู้เล่นที่ไม่ใช่ผู้เล่นในยิมเซิร์ฟเวอร์นี้ โปเกมอนทุกตัวบนสนามรบจะเพิ่มโบนัสความเสียหายเป็น %s
103,1,2,输出加成,輸出加成,Damage bonus,Tăng sát thương,공격력 버프,Bônus de dano,โบนัสความเสียหาย,config/card_ability/icon_gj2.png,,<101>,2,2,5,1,,7,<3%;6%;9%;12%;15%>,8,<3%;6%;9%;12%;15%>,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s双攻,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s雙攻,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase %s P. & Sp. ATK","Trong trận đấu Hội Quán của máy chủ này, tất cả Pokémon trên chiến trường tăng %s Công vật lý & đặc biệt",본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 물리&특수 공격 피해 %s 증가,"Na batalha entre não jogadores neste ginásio de servidores, todos os Pokémon no campo de batalha aumentam %s P. & Sp. ATK",ในการต่อสู้ระหว่างผู้เล่นที่ไม่ใช่ผู้เล่นในยิมเซิร์ฟเวอร์นี้ โปเกมอนทุกตัวบนสนามรบจะเพิ่มค่า P. & Sp. ATK เป็น %s
104,1,3,输出加成,輸出加成,Damage bonus,Tăng sát thương,공격력 버프,Bônus de dano,โบนัสความเสียหาย,config/card_ability/icon_gj1.png,,<102>,2,3,5,1,,14,<400;800;1200;1600;2000>,,,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s暴击率,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s暴擊率,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase their Crit rate by %s","Trong trận đấu Hội Quán của máy chủ này, tất cả Pokémon trên chiến trường tăng %s tỷ lệ Bạo kích",본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 치명타율 %s 증가,"Na batalha entre não jogadores neste ginásio de servidores, todos os Pokémon no campo de batalha aumentam sua taxa de Crítico em %s",ในการต่อสู้ระหว่างผู้เล่นที่ไม่ใช่ผู้เล่นในยิมเซิร์ฟเวอร์นี้ โปเกมอนทุกตัวบนสนามรบจะเพิ่มอัตราคริติคอลเป็น %s
105,1,3,输出加成,輸出加成,Damage bonus,Tăng sát thương,공격력 버프,Bônus de dano,โบนัสความเสียหาย,config/card_ability/icon_gj2.png,,<102;103>,2,3,5,1,,22,<400;800;1200;1600;2000>,,,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s必杀伤害加成,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s必殺傷害加成,"In the battle between non-players in this server gym, all Pokémon on the battlefield will increase Ultimate Skill damage bonus by %s.","Trong trận đấu Hội Quán của máy chủ này, tất cả Pokémon trên chiến trường sẽ tăng %s thưởng sát thương Kỹ Năng Cuối.",본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 필살기 피해 보너스  %s 증가,"Na batalha entre não jogadores neste ginásio de servidores, todos os Pokémon no campo de batalha aumentarão o bônus de dano da Habilidade Suprema em %s.",ในการต่อสู้ระหว่างผู้เล่นที่ไม่ใช่ผู้เล่นในยิมเซิร์ฟเวอร์นี้ โปเกมอนทุกตัวบนสนามรบจะเพิ่มโบนัสความเสียหายจากทักษะขั้นสูงสุดเป็น %s
106,1,3,输出加成,輸出加成,Damage bonus,Tăng sát thương,공격력 버프,Bônus de dano,โบนัสความเสียหาย,config/card_ability/icon_gj3.png,,<103>,2,3,5,1,,29,<1000;1500;2000;2500;3000>,,,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s属性克制,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s屬性克制,"In the battle between non-players in this server gym, all Pokémon on the battlefield have increased %s type restraint","Trong trận đấu Hội Quán của máy chủ này, tất cả Pokémon trên chiến trường tăng %s khắc chế hệ",본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 타입 상성 피해 %s 증가,"Na batalha entre não jogadores neste ginásio de servidores, todos os Pokémon no campo de batalha aumentaram a restrição do tipo %s",ในการต่อสู้ระหว่างผู้เล่นที่ไม่ใช่ผู้เล่นในยิมเซิร์ฟเวอร์นี้ โปเกมอนทุกตัวบนสนามรบจะมีข้อจำกัดประเภทเพิ่มขึ้น %s
107,1,4,输出加成,輸出加成,Damage bonus,Tăng sát thương,공격력 버프,Bônus de dano,โบนัสความเสียหาย,config/card_ability/icon_gj1.png,,<104>,3,4,5,1,,15,<1000;1500;2000;2500;3000>,,,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s暴击伤害,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s暴擊傷害,"In the battle between non-players in in this server gym, all Pokémon on the battlefield increase their Crit damage by %s","Trong trận đấu Hội Quán của máy chủ này, tất cả Pokémon trên chiến trường tăng %s sát thương Bạo kích",본 서버 체육관의 비 유저간의 전투 중 모든 포켓몬 치명타 피해 %s 증가,"Na batalha entre não jogadores neste ginásio de servidores, todos os Pokémon no campo de batalha aumentam seu dano crítico em %s",ในการต่อสู้ระหว่างผู้เล่นที่ไม่ใช่ผู้เล่นในยิมเซิร์ฟเวอร์นี้ โปเกมอนทุกตัวบนสนามรบจะเพิ่มความเสียหายคริติคอลเป็น %s
