变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,icon,showIcon1,showIcon2,showIcon3,nature,talentMaxLevel,talentIDs,awakeMaxLevel,awakeCostSeqID,preTalentLevel,awakeTalentAttrs,attrType1,attrNum1,attrType2,attrNum2,guardIDs,preBadgeID,preBadgeType,preLevel
默认值,"""""","""""","""""","""""","""""","""""","""""","""""",,,,<>,50,<>,20,,<>,<>,,<>,,<>,<>,,1,
ID,徽章名称,徽章名称,徽章名称,徽章名称,徽章名称,徽章名称,徽章名称,徽章icon,精灵徽章icon1,精灵徽章icon2,精灵徽章icon3,属性系,天赋最大等级,天赋id,觉醒最大等级,觉醒消耗序列,觉醒所需天赋等级,觉醒后天赋属性加成,属性加成类型1,属性加成数值1,属性加成类型2,属性加成数值2,守护精灵位id,前置徽章id,徽章解锁类型（1=觉醒，2=精神点亮）,前置解锁等级
1,常青徽章,常青徽章,Rock Badge,Huy hiệu Đá,상록배지,Insígnia Rocha,เข็มกลัดหิน,city/develop/gym_badge/badge/icon_bing.png,city/develop/gym_badge/icon_bing1.png,city/develop/gym_badge/icon_bing2.png,city/develop/gym_badge/icon_l3.png,<9;13>,200,<11;12;13;14;15;16>,40,1,<5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100;105;110;115;120;125;130;135;140;145;150;155;160;165;170;175;180;185;190;195;200>,<2.0%;4.0%;6.0%;8.0%;10.0%;12.0%;14.0%;16.0%;18.0%;20.0%;22.0%;24.0%;26.0%;28.0%;30.0%;32.0%;34.0%;36.0%;38.0%;40.0%;42.0%;44.0%;46.0%;48.0%;50.0%;52.0%;54.0%;56.0%;58.0%;60.0%;62.0%;64.0%;66.0%;68.0%;70.0%;72.0%;74.0%;76.0%;78.0%;80.0%;82.0%;84.0%;86.0%;88.0%;90.0%;92.0%;94.0%;96.0%;98.0%;100.0%;102.0%;104.0%;106.0%;108.0%;110.0%;112.0%;114.0%;116.0%;118.0%;120.0%;122.0%;124.0%;126.0%;128.0%;130.0%;132.0%;134.0%;136.0%;138.0%;140.0%;142.0%;144.0%;146.0%;148.0%;150.0%;152.0%;154.0%;156.0%;158.0%;160.0%;162.0%;164.0%;166.0%;168.0%;170.0%;172.0%;174.0%;176.0%;178.0%;180.0%;182.0%;184.0%;186.0%;188.0%;190.0%;192.0%;194.0%;196.0%;198.0%;200.0%>,92,<10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000>,,<>,<11;12;13;14;15;16>,,1,
2,切锋徽章,切鋒徽章,Water Badge,Huy hiệu Nước,선단배지,Insígnia Água,เข็มกลัดน้ำ,city/develop/gym_badge/badge/icon_shui.png,city/develop/gym_badge/icon_shui1.png,city/develop/gym_badge/icon_shui2.png,city/develop/gym_badge/icon_lq2.png,<3;6>,200,<21;22;23;24;25;26>,40,2,<5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100;105;110;115;120;125;130;135;140;145;150;155;160;165;170;175;180;185;190;195;200>,<2.0%;4.0%;6.0%;8.0%;10.0%;12.0%;14.0%;16.0%;18.0%;20.0%;22.0%;24.0%;26.0%;28.0%;30.0%;32.0%;34.0%;36.0%;38.0%;40.0%;42.0%;44.0%;46.0%;48.0%;50.0%;52.0%;54.0%;56.0%;58.0%;60.0%;62.0%;64.0%;66.0%;68.0%;70.0%;72.0%;74.0%;76.0%;78.0%;80.0%;82.0%;84.0%;86.0%;88.0%;90.0%;92.0%;94.0%;96.0%;98.0%;100.0%;102.0%;104.0%;106.0%;108.0%;110.0%;112.0%;114.0%;116.0%;118.0%;120.0%;122.0%;124.0%;126.0%;128.0%;130.0%;132.0%;134.0%;136.0%;138.0%;140.0%;142.0%;144.0%;146.0%;148.0%;150.0%;152.0%;154.0%;156.0%;158.0%;160.0%;162.0%;164.0%;166.0%;168.0%;170.0%;172.0%;174.0%;176.0%;178.0%;180.0%;182.0%;184.0%;186.0%;188.0%;190.0%;192.0%;194.0%;196.0%;198.0%;200.0%>,93,<10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000>,,<>,<21;22;23;24;25;26>,,1,
3,桔梗徽章,桔梗徽章,Grass Badge,Huy hiệu Cỏ,도라지배지,Insígnia Grama,เข็มกลัดหญ้า,city/develop/gym_badge/badge/icon_cao.png,city/develop/gym_badge/icon_cao1.png,city/develop/gym_badge/icon_cao2.png,city/develop/gym_badge/icon_lv.png,<1;4;10>,200,<41;42;43;44;45;46>,40,4,<5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100;105;110;115;120;125;130;135;140;145;150;155;160;165;170;175;180;185;190;195;200>,<2.0%;4.0%;6.0%;8.0%;10.0%;12.0%;14.0%;16.0%;18.0%;20.0%;22.0%;24.0%;26.0%;28.0%;30.0%;32.0%;34.0%;36.0%;38.0%;40.0%;42.0%;44.0%;46.0%;48.0%;50.0%;52.0%;54.0%;56.0%;58.0%;60.0%;62.0%;64.0%;66.0%;68.0%;70.0%;72.0%;74.0%;76.0%;78.0%;80.0%;82.0%;84.0%;86.0%;88.0%;90.0%;92.0%;94.0%;96.0%;98.0%;100.0%;102.0%;104.0%;106.0%;108.0%;110.0%;112.0%;114.0%;116.0%;118.0%;120.0%;122.0%;124.0%;126.0%;128.0%;130.0%;132.0%;134.0%;136.0%;138.0%;140.0%;142.0%;144.0%;146.0%;148.0%;150.0%;152.0%;154.0%;156.0%;158.0%;160.0%;162.0%;164.0%;166.0%;168.0%;170.0%;172.0%;174.0%;176.0%;178.0%;180.0%;182.0%;184.0%;186.0%;188.0%;190.0%;192.0%;194.0%;196.0%;198.0%;200.0%>,92,<10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000>,,<>,<41;42;43;44;45;46>,,1,
4,红莲徽章,紅蓮徽章,Fire Badge,Huy hiệu Lửa,홍련배지,Insígnia Fogo,เข็มกลัดไฟ,city/develop/gym_badge/badge/icon_huo.png,city/develop/gym_badge/icon_huo1.png,city/develop/gym_badge/icon_huo2.png,city/develop/gym_badge/icon_huang.png,<2;7>,200,<31;32;33;34;35;36>,40,3,<5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100;105;110;115;120;125;130;135;140;145;150;155;160;165;170;175;180;185;190;195;200>,<2.0%;4.0%;6.0%;8.0%;10.0%;12.0%;14.0%;16.0%;18.0%;20.0%;22.0%;24.0%;26.0%;28.0%;30.0%;32.0%;34.0%;36.0%;38.0%;40.0%;42.0%;44.0%;46.0%;48.0%;50.0%;52.0%;54.0%;56.0%;58.0%;60.0%;62.0%;64.0%;66.0%;68.0%;70.0%;72.0%;74.0%;76.0%;78.0%;80.0%;82.0%;84.0%;86.0%;88.0%;90.0%;92.0%;94.0%;96.0%;98.0%;100.0%;102.0%;104.0%;106.0%;108.0%;110.0%;112.0%;114.0%;116.0%;118.0%;120.0%;122.0%;124.0%;126.0%;128.0%;130.0%;132.0%;134.0%;136.0%;138.0%;140.0%;142.0%;144.0%;146.0%;148.0%;150.0%;152.0%;154.0%;156.0%;158.0%;160.0%;162.0%;164.0%;166.0%;168.0%;170.0%;172.0%;174.0%;176.0%;178.0%;180.0%;182.0%;184.0%;186.0%;188.0%;190.0%;192.0%;194.0%;196.0%;198.0%;200.0%>,93,<10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000>,,<>,<31;32;33;34;35;36>,,1,
5,双龙徽章,雙龍徽章,Dragon Badge,Huy hiệu Rồng,쌍용배지,Insígnia Dragão,เข็มกลัดมังกร,city/develop/gym_badge/badge/icon_long.png,city/develop/gym_badge/icon_long1.png,city/develop/gym_badge/icon_long2.png,city/develop/gym_badge/icon_lq1.png,<5;15>,200,<51;52;53;54;55;56>,40,5,<5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100;105;110;115;120;125;130;135;140;145;150;155;160;165;170;175;180;185;190;195;200>,<2.0%;4.0%;6.0%;8.0%;10.0%;12.0%;14.0%;16.0%;18.0%;20.0%;22.0%;24.0%;26.0%;28.0%;30.0%;32.0%;34.0%;36.0%;38.0%;40.0%;42.0%;44.0%;46.0%;48.0%;50.0%;52.0%;54.0%;56.0%;58.0%;60.0%;62.0%;64.0%;66.0%;68.0%;70.0%;72.0%;74.0%;76.0%;78.0%;80.0%;82.0%;84.0%;86.0%;88.0%;90.0%;92.0%;94.0%;96.0%;98.0%;100.0%;102.0%;104.0%;106.0%;108.0%;110.0%;112.0%;114.0%;116.0%;118.0%;120.0%;122.0%;124.0%;126.0%;128.0%;130.0%;132.0%;134.0%;136.0%;138.0%;140.0%;142.0%;144.0%;146.0%;148.0%;150.0%;152.0%;154.0%;156.0%;158.0%;160.0%;162.0%;164.0%;166.0%;168.0%;170.0%;172.0%;174.0%;176.0%;178.0%;180.0%;182.0%;184.0%;186.0%;188.0%;190.0%;192.0%;194.0%;196.0%;198.0%;200.0%>,92,<10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000>,,<>,<51;52;53;54;55;56>,1,2,10
6,缘朱徽章,緣朱徽章,Dark Badge,Huy hiệu Bóng tối,인주배지,Insígnia Sombrio,เข็มกลัดความมืด,city/develop/gym_badge/badge/icon_e.png,city/develop/gym_badge/icon_e1.png,city/develop/gym_badge/icon_e2.png,city/develop/gym_badge/icon_hei.png,<14;16>,200,<61;62;63;64;65;66>,40,6,<5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100;105;110;115;120;125;130;135;140;145;150;155;160;165;170;175;180;185;190;195;200>,<2.0%;4.0%;6.0%;8.0%;10.0%;12.0%;14.0%;16.0%;18.0%;20.0%;22.0%;24.0%;26.0%;28.0%;30.0%;32.0%;34.0%;36.0%;38.0%;40.0%;42.0%;44.0%;46.0%;48.0%;50.0%;52.0%;54.0%;56.0%;58.0%;60.0%;62.0%;64.0%;66.0%;68.0%;70.0%;72.0%;74.0%;76.0%;78.0%;80.0%;82.0%;84.0%;86.0%;88.0%;90.0%;92.0%;94.0%;96.0%;98.0%;100.0%;102.0%;104.0%;106.0%;108.0%;110.0%;112.0%;114.0%;116.0%;118.0%;120.0%;122.0%;124.0%;126.0%;128.0%;130.0%;132.0%;134.0%;136.0%;138.0%;140.0%;142.0%;144.0%;146.0%;148.0%;150.0%;152.0%;154.0%;156.0%;158.0%;160.0%;162.0%;164.0%;166.0%;168.0%;170.0%;172.0%;174.0%;176.0%;178.0%;180.0%;182.0%;184.0%;186.0%;188.0%;190.0%;192.0%;194.0%;196.0%;198.0%;200.0%>,93,<10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000>,,<>,<61;62;63;64;65;66>,2,2,10
7,浅葱徽章,淺蔥徽章,Ghost Badge,Huy hiệu Ma,담청배지,Insígnia Fantasma,เข็มกลัดผี,city/develop/gym_badge/badge/icon_du.png,city/develop/gym_badge/icon_du1.png,city/develop/gym_badge/icon_du2.png,city/develop/gym_badge/icon_zi.png,<8;12;17>,200,<71;72;73;74;75;76>,40,7,<5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100;105;110;115;120;125;130;135;140;145;150;155;160;165;170;175;180;185;190;195;200>,<2.0%;4.0%;6.0%;8.0%;10.0%;12.0%;14.0%;16.0%;18.0%;20.0%;22.0%;24.0%;26.0%;28.0%;30.0%;32.0%;34.0%;36.0%;38.0%;40.0%;42.0%;44.0%;46.0%;48.0%;50.0%;52.0%;54.0%;56.0%;58.0%;60.0%;62.0%;64.0%;66.0%;68.0%;70.0%;72.0%;74.0%;76.0%;78.0%;80.0%;82.0%;84.0%;86.0%;88.0%;90.0%;92.0%;94.0%;96.0%;98.0%;100.0%;102.0%;104.0%;106.0%;108.0%;110.0%;112.0%;114.0%;116.0%;118.0%;120.0%;122.0%;124.0%;126.0%;128.0%;130.0%;132.0%;134.0%;136.0%;138.0%;140.0%;142.0%;144.0%;146.0%;148.0%;150.0%;152.0%;154.0%;156.0%;158.0%;160.0%;162.0%;164.0%;166.0%;168.0%;170.0%;172.0%;174.0%;176.0%;178.0%;180.0%;182.0%;184.0%;186.0%;188.0%;190.0%;192.0%;194.0%;196.0%;198.0%;200.0%>,92,<10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000>,,<>,<71;72;73;74;75;76>,3,2,10
8,香薰徽章,香薰徽章,Fairy Badge,Huy hiệu Tiên,후늬배지,Insígnia Fada,เข็มกลัดนางฟ้า,city/develop/gym_badge/badge/icon_yao.png,city/develop/gym_badge/icon_yao1.png,city/develop/gym_badge/icon_yao2.png,city/develop/gym_badge/icon_hong.png,<11;18>,200,<81;82;83;84;85;86>,40,8,<5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100;105;110;115;120;125;130;135;140;145;150;155;160;165;170;175;180;185;190;195;200>,<2.0%;4.0%;6.0%;8.0%;10.0%;12.0%;14.0%;16.0%;18.0%;20.0%;22.0%;24.0%;26.0%;28.0%;30.0%;32.0%;34.0%;36.0%;38.0%;40.0%;42.0%;44.0%;46.0%;48.0%;50.0%;52.0%;54.0%;56.0%;58.0%;60.0%;62.0%;64.0%;66.0%;68.0%;70.0%;72.0%;74.0%;76.0%;78.0%;80.0%;82.0%;84.0%;86.0%;88.0%;90.0%;92.0%;94.0%;96.0%;98.0%;100.0%;102.0%;104.0%;106.0%;108.0%;110.0%;112.0%;114.0%;116.0%;118.0%;120.0%;122.0%;124.0%;126.0%;128.0%;130.0%;132.0%;134.0%;136.0%;138.0%;140.0%;142.0%;144.0%;146.0%;148.0%;150.0%;152.0%;154.0%;156.0%;158.0%;160.0%;162.0%;164.0%;166.0%;168.0%;170.0%;172.0%;174.0%;176.0%;178.0%;180.0%;182.0%;184.0%;186.0%;188.0%;190.0%;192.0%;194.0%;196.0%;198.0%;200.0%>,93,<10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000>,,<>,<81;82;83;84;85;86>,4,2,10
