变量名,isOpen,openCondition,openParam,openCost
默认值,FALSE,1,0,{}
ID,是否开启,开启条件(1觉醒等级2待扩展),开启参数(空默认开启),开启消耗
11,TRUE,1,0,{}
12,TRUE,1,0,{}
13,TRUE,1,3,{rmb=200}
14,TRUE,1,6,{rmb=500}
15,TRUE,1,9,{rmb=800}
16,TRUE,1,20,{rmb=1200}
21,TRUE,1,0,{}
22,TRUE,1,0,{}
23,TRUE,1,3,{rmb=200}
24,TRUE,1,6,{rmb=500}
25,TRUE,1,9,{rmb=800}
26,TRUE,1,20,{rmb=1200}
31,TRUE,1,0,{}
32,TRUE,1,0,{}
33,TRUE,1,3,{rmb=200}
34,TRUE,1,6,{rmb=500}
35,TRUE,1,9,{rmb=800}
36,TRUE,1,20,{rmb=1200}
41,TRUE,1,0,{}
42,TRUE,1,0,{}
43,TRUE,1,3,{rmb=200}
44,TRUE,1,6,{rmb=500}
45,TRUE,1,9,{rmb=800}
46,TRUE,1,20,{rmb=1200}
51,TRUE,1,0,{}
52,TRUE,1,0,{}
53,TRUE,1,3,{rmb=200}
54,TRUE,1,6,{rmb=500}
55,TRUE,1,9,{rmb=800}
56,TRUE,1,20,{rmb=1200}
61,TRUE,1,0,{}
62,TRUE,1,0,{}
63,TRUE,1,3,{rmb=200}
64,TRUE,1,6,{rmb=500}
65,TRUE,1,9,{rmb=800}
66,TRUE,1,20,{rmb=1200}
71,TRUE,1,0,{}
72,TRUE,1,0,{}
73,TRUE,1,3,{rmb=200}
74,TRUE,1,6,{rmb=500}
75,TRUE,1,9,{rmb=800}
76,TRUE,1,20,{rmb=1200}
81,TRUE,1,0,{}
82,TRUE,1,0,{}
83,TRUE,1,3,{rmb=200}
84,TRUE,1,6,{rmb=500}
85,TRUE,1,9,{rmb=800}
86,TRUE,1,20,{rmb=1200}
