变量名,beginDate,beginTime,endDate,endTime,clientParam,clientParam_kr,clientParam_en,clientParam_vn,clientParam_tw
默认值,20160101,500,20250101,500,{},{},{},{},{}
ID,开始日期,开始时间,截止日期,截止时间,客户端需要参数,客户端需要参数,客户端需要参数,客户端需要参数,客户端需要参数
1,20231226,500,20231231,500,{loginSpine=login/chunjiedenglu.skel},{},{},{},{}
2,20231231,500,20240105,500,{loginSpine=login/51denglutu.skel},{},{},{},{}
3,20240105,500,20240110,500,{loginSpine=login/denglu_qiuji.skel},{},{},{},{}
4,20240110,500,20240115,500,{loginSpine=login/wsj_denglu.skel},{},{},{},{}
5,20240115,500,20240120,500,{loginSpine=login/changjing.skel},{},{},{},{}
6,20240120,500,20240125,500,{loginSpine=login/chunjiedenglu.skel},{},{},{},{}
7,20240125,500,20240129,500,{loginSpine=login/znqdl.skel},{},{},{},{}
8,20240201,500,20240206,500,{loginSpine=login/51denglutu.skel},{},{},{},{}
9,20240206,500,20240211,500,{loginSpine=login/xjyd.skel},{},{},{},{}
10,20240211,500,20240216,500,{loginSpine=login/wsj_denglu.skel},{},{},{},{}
11,20240801,500,20240901,500,{loginSpine=login/xjyd.skel},{},{},{},{}
12,20240901,500,20241101,500,{loginSpine=login/denglu_qiuji.skel},{},{},{},{}
13,20241101,500,20250101,500,{loginSpine=login/changjing.skel},{},{},{},{}
14,20250101,500,20250301,500,{loginSpine=login/chunjiedenglu.skel},{},{},{},{}
15,20250301,500,20250501,500,{loginSpine=login/djdl.skel},{},{},{},{}
16,20250501,500,20250601,500,{loginSpine=login/51denglutu.skel},{},{},{},{}
17,20250601,500,20250801,500,{loginSpine=login/znqdl.skel},{},{},{},{}
18,20250801,500,20251101,500,{loginSpine=login/wsj_denglu.skel},{},{},{},{}
19,20251101,500,20260101,500,{loginSpine=login/changjing.skel},{},{},{},{}
