变量名,gateID,extraVersion,_beizhu,itemMap,count,probability,probability_tw,probability_kr,itemCount
默认值,,,,{},1,0,0,0,1
掉落ID,关卡ID,额外配置的版本（yyhuodong用）,掉落物品名称,随机掉落物品ID权值数量,掉落次数,掉落物品概率,tw掉落物品概率,tw掉落物品概率,掉落道具数量
1,10101,2,,{6349=100},1,30,30,30,1
2,10102,2,,{6349=100},1,30,30,30,1
3,10103,2,,{6349=100},1,30,30,30,1
4,10104,2,,{6349=100},1,30,30,30,1
5,10105,2,,{6349=100},1,30,30,30,1
6,10201,2,,{6349=100},1,30,30,30,1
7,10202,2,,{6349=100},1,30,30,30,1
8,10203,2,,{6349=100},1,30,30,30,1
9,10204,2,,{6349=100},1,30,30,30,1
10,10205,2,,{6349=100},1,30,30,30,1
11,10206,2,,{6349=100},1,30,30,30,1
12,10301,2,,{6349=100},1,30,30,30,1
13,10302,2,,{6349=100},1,30,30,30,1
14,10303,2,,{6349=100},1,30,30,30,1
15,10304,2,,{6349=100},1,30,30,30,1
16,10305,2,,{6349=100},1,30,30,30,1
17,10306,2,,{6349=100},1,30,30,30,1
18,10307,2,,{6349=100},1,30,30,30,1
19,10308,2,,{6349=100},1,30,30,30,1
20,10401,2,,{6349=100},1,30,30,30,1
21,10402,2,,{6349=100},1,30,30,30,1
22,10403,2,,{6349=100},1,30,30,30,1
23,10404,2,,{6349=100},1,30,30,30,1
24,10405,2,,{6349=100},1,30,30,30,1
25,10406,2,,{6349=100},1,30,30,30,1
26,10407,2,,{6349=100},1,30,30,30,1
27,10408,2,,{6349=100},1,30,30,30,1
28,10501,2,,{6349=100},1,30,30,30,1
29,10502,2,,{6349=100},1,30,30,30,1
30,10503,2,,{6349=100},1,30,30,30,1
31,10504,2,,{6349=100},1,30,30,30,1
32,10505,2,,{6349=100},1,30,30,30,1
33,10506,2,,{6349=100},1,30,30,30,1
34,10507,2,,{6349=100},1,30,30,30,1
35,10508,2,,{6349=100},1,30,30,30,1
36,10509,2,,{6349=100},1,30,30,30,1
37,10510,2,,{6349=100},1,30,30,30,1
38,10601,2,,{6349=100},1,30,30,30,1
39,10602,2,,{6349=100},1,30,30,30,1
40,10603,2,,{6349=100},1,30,30,30,1
41,10604,2,,{6349=100},1,30,30,30,1
42,10605,2,,{6349=100},1,30,30,30,1
43,10606,2,,{6349=100},1,30,30,30,1
44,10607,2,,{6349=100},1,30,30,30,1
45,10608,2,,{6349=100},1,30,30,30,1
46,10609,2,,{6349=100},1,30,30,30,1
47,10610,2,,{6349=100},1,30,30,30,1
48,10701,2,,{6349=100},1,30,30,30,1
49,10702,2,,{6349=100},1,30,30,30,1
50,10703,2,,{6349=100},1,30,30,30,1
51,10704,2,,{6349=100},1,30,30,30,1
52,10705,2,,{6349=100},1,30,30,30,1
53,10706,2,,{6349=100},1,30,30,30,1
54,10707,2,,{6349=100},1,30,30,30,1
55,10708,2,,{6349=100},1,30,30,30,1
56,10709,2,,{6349=100},1,30,30,30,1
57,10710,2,,{6349=100},1,30,30,30,1
58,10801,2,,{6349=100},1,30,30,30,1
59,10802,2,,{6349=100},1,30,30,30,1
60,10803,2,,{6349=100},1,30,30,30,1
61,10804,2,,{6349=100},1,30,30,30,1
62,10805,2,,{6349=100},1,30,30,30,1
63,10806,2,,{6349=100},1,30,30,30,1
64,10807,2,,{6349=100},1,30,30,30,1
65,10808,2,,{6349=100},1,30,30,30,1
66,10809,2,,{6349=100},1,30,30,30,1
67,10810,2,,{6349=100},1,30,30,30,1
68,10901,2,,{6349=100},1,30,30,30,1
69,10902,2,,{6349=100},1,30,30,30,1
70,10903,2,,{6349=100},1,30,30,30,1
71,10904,2,,{6349=100},1,30,30,30,1
72,10905,2,,{6349=100},1,30,30,30,1
73,10906,2,,{6349=100},1,30,30,30,1
74,10907,2,,{6349=100},1,30,30,30,1
75,10908,2,,{6349=100},1,30,30,30,1
76,10909,2,,{6349=100},1,30,30,30,1
77,10910,2,,{6349=100},1,30,30,30,1
78,11001,2,,{6349=100},1,30,30,30,1
79,11002,2,,{6349=100},1,30,30,30,1
80,11003,2,,{6349=100},1,30,30,30,1
81,11004,2,,{6349=100},1,30,30,30,1
82,11005,2,,{6349=100},1,30,30,30,1
83,11006,2,,{6349=100},1,30,30,30,1
84,11007,2,,{6349=100},1,30,30,30,1
85,11008,2,,{6349=100},1,30,30,30,1
86,11009,2,,{6349=100},1,30,30,30,1
87,11010,2,,{6349=100},1,30,30,30,1
88,11101,2,,{6349=100},1,30,30,30,1
89,11102,2,,{6349=100},1,30,30,30,1
90,11103,2,,{6349=100},1,30,30,30,1
91,11104,2,,{6349=100},1,30,30,30,1
92,11105,2,,{6349=100},1,30,30,30,1
93,11106,2,,{6349=100},1,30,30,30,1
94,11107,2,,{6349=100},1,30,30,30,1
95,11108,2,,{6349=100},1,30,30,30,1
96,11109,2,,{6349=100},1,30,30,30,1
97,11110,2,,{6349=100},1,30,30,30,1
98,11201,2,,{6349=100},1,30,30,30,1
99,11202,2,,{6349=100},1,30,30,30,1
100,11203,2,,{6349=100},1,30,30,30,1
101,11204,2,,{6349=100},1,30,30,30,1
102,11205,2,,{6349=100},1,30,30,30,1
103,11206,2,,{6349=100},1,30,30,30,1
104,11207,2,,{6349=100},1,30,30,30,1
105,11208,2,,{6349=100},1,30,30,30,1
106,11209,2,,{6349=100},1,30,30,30,1
