变量名,_beizhu,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,group,res,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,onlyOne,limit,choice1,choice1_tw,choice1_en,choice1_vn,choice1_kr,choice1_pt,choice1_th,resultDesc1,resultDesc1_tw,resultDesc1_en,resultDesc1_vn,resultDesc1_kr,resultDesc1_pt,resultDesc1_th,result1,choice2,choice2_tw,choice2_en,choice2_vn,choice2_kr,choice2_pt,choice2_th,resultDesc2,resultDesc2_tw,resultDesc2_en,resultDesc2_vn,resultDesc2_kr,resultDesc2_pt,resultDesc2_th,result2,choice3,choice3_tw,choice3_en,choice3_vn,choice3_kr,choice3_pt,choice3_th,resultDesc3,resultDesc3_tw,resultDesc3_en,resultDesc3_vn,resultDesc3_kr,resultDesc3_pt,resultDesc3_th,result3
默认值,"""""","""""","""""","""""","""""","""""","""""","""""",1,"""""","""""","""""","""""","""""","""""","""""","""""",FALSE,999,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",{},"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",{},"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",{}
ID,备注,事件标题,事件标题,事件标题,事件标题_越南,事件标题_韩,事件标题_韩,事件标题_韩,组ID,卡面资源,事件描述,事件描述,事件描述,事件描述_越南,事件描述_韩,事件描述_韩,事件描述_韩,今日是否唯一,限制出现的次数,选择1描述,选择1描述,选择1描述,选择1描述_越南,选择1描述_韩,选择1描述_韩,选择1描述_韩,结果1描述,结果1描述,结果1描述,结果1描述_越南,结果1描述_韩,结果1描述_韩,结果1描述_韩,结果1,选择2描述,选择2描述,选择2描述,选择2描述_越南,选择2描述_韩,选择2描述_韩,选择2描述_韩,结果2描述,结果2描述,结果2描述,结果2描述_越南,结果2描述_韩,结果2描述_韩,结果2描述_韩,结果2,选择3描述,选择3描述,选择3描述,选择3描述_越南,选择3描述_韩,选择3描述_韩,选择3描述_韩,结果3描述,结果3描述,结果3描述,结果3描述_越南,结果3描述_韩,结果3描述_韩,结果3描述_韩,结果3
1,,精致雕像,精緻雕像,Exquisite Statue,Tượng điêu khắc tinh tế,정교한 조각상,Escultura requintada,ประติมากรรมอันประณีต,2,,有一个精致的雕像倒在了地上，似乎可以看到雕像内闪烁着金色的光,有一個精緻的雕像倒在了地上，似乎可以看到雕像內閃爍著金色的光,"A delicate statue fell to the ground, and it seemed that golden light was shining inside the statue.","Một bức tượng tinh xảo nằm đổ trên mặt đất, dường như có thể nhìn thấy ánh sáng vàng lấp lánh bên trong nó.","정교한 조각상이 바닥에 쓰러졌으며, 조각상 안에서 황금색 빛이 반짝이는 것이 보이는 것 같다","Uma estátua requintada jazia no chão, e uma luz dourada parecia cintilar dentro dela.",รูปปั้นอันประณีตได้ล้มลงกับพื้น ดูเหมือนว่าจะเห็นแสงสีทองระยิบระยับอยู่ภายใน,TRUE,999,将雕像摆好,將雕像擺好,Place the statue properly,Sắp xếp bức tượng.,조각상을 원래대로 둔다,Posicione a estátua.,จัดวางรูปปั้น,获得了雕像的祝福，上阵精灵的hp完全恢复,獲得了雕像的祝福，上陣精靈的hp完全恢復,"You receive blessings from the statue, HP of all Pokémons on battlefield is fully restored","Nhận được phép lành của bức tượng, HP của yêu tinh đã được hồi phục hoàn toàn.","조각상의 축복을 받아, 출전한 포켓몬은 HP를 완전히 회복한다","Recebeu a bênção da estátua, a HP do elfo em batalha foi totalmente restaurada.",ได้รับพรจากรูปปั้น พลังชีวิตของเอลฟ์ที่กำลังต่อสู้ฟื้นฟูเต็มที่แล้ว,{buff=<210>},砸碎它,砸碎它,Smash it,Đập vỡ nó,깨부순다,Esmaga-o,ทุบมัน,获得了金币，但是受到了诅咒，所有上阵精灵生命值减少20%,獲得了金幣，但是受到了詛咒，所有上陣精靈生命值減少20%,"You get coins, but are cursed, causing the HP all battling Pokémons to reduce by 20%","Nhận được vàng, nhưng bị nguyền rủa, giảm 20% HP của tất cả yêu tinh đã được triển khai","골드 코인을 획득했지만, 저주를 받아 출전한 모든 포켓몬의 HP가 20% 감소한다","Recebeu ouro, mas recebeu uma maldição, reduzindo em 20% a vida de todos os elfos implantados.",ได้รับทองคำ แต่ได้รับคำสาป ทำให้ค่าพลังชีวิตของเอลฟ์ทั้งหมดที่นำไปรบลดลง 20%,{buff=<201>;items={gold=5000}},视而不见,視而不見,Turn a blind eye,Nhắm mắt làm ngơ,못 본 척 한다,Cegueira voluntária,ปิดตาไม่เห็น,什么都没有发生,什麼都沒有發生,Nothing happened,Chẳng có gì xảy ra cả.,아무 일도 일어나지 않았다,Nada aconteceu.,ไม่มีอะไรเกิดขึ้น,{}
2,,奇异雕像,奇異雕像,Strange Statue,Bức Tượng Kỳ Lạ,신기한 조각상,Estátua estranha,รูปปั้นแปลกประหลาด,2,,有一个奇特的雕像倒在了地上，似乎可以看到雕像内闪烁着耀眼的光,有一個奇特的雕像倒在了地上，似乎可以看到雕像內閃爍著耀眼的光,"A strange statue fell to the ground, and it seemed that sparkly light was shining inside the statue.","Có q bức tượng kỳ lạ rơi trên đất, hình như có thể nhìn thấy ánh sáng rực rỡ trong bức tượng","특별한 조각상이 바닥에 쓰러졌으며, 조각상 안에서 눈 부신 빛이 반짝이는 것이 보이는 것 같다","Uma estátua peculiar jazia no chão, e uma luz deslumbrante parecia cintilar dentro dela.",มีรูปปั้นแปลกประหลาดล้มอยู่บนพื้น ดูเหมือนจะมีแสงสว่างเจิดจ้าส่องประกายอยู่ภายใน,TRUE,999,将雕像摆好,將雕像擺好,Place the statue properly,Sắp xếp bức tượng.,조각상을 원래대로 둔다,Posicione a estátua.,จัดวางรูปปั้น,获得了雕像的祝福，上阵精灵的怒气完全恢复,獲得了雕像的祝福，上陣精靈的怒氣完全恢復,"You receive blessings from the statue, rage value of all Pokémons on battlefield is fully restored","Nhận được chúc phúc của Bức Tượng, Pokémon lên trận khôi phục hoàn toàn Nộ Khí","조각상의 축복을 받아, 출전한 포켓몬은 분노를 완전히 회복한다","Recebeu a benção da estátua, a fúria do elfo de batalha foi totalmente restaurada.",ได้รับพรจากรูปปั้น พลังพิโรธของเอล์ฟนักรบฟื้นฟูเต็มที่แล้ว,{buff=<211>},砸碎它,砸碎它,Smash it,Đập vỡ nó,깨부순다,Esmague-o,ทุบมัน,获得了金币，但是受到了诅咒，所有上阵精灵怒气被清空了,獲得了金幣，但是受到了詛咒，所有上陣精靈怒氣被清空了,"You get coins, but are cursed, losing all rage value of the Pokémons on the battlefield","Nhận được Gold, nhưng bị nguyền rủa, tất cả Pokémon lên trận đều bị xoá Nộ Khí","골드 코인을 획득했지만, 저주를 받아 출전한 모든 포켓몬의 분노가 0이 된다","Obteve ouro, mas recebeu uma maldição, limpando toda a fúria dos elfos implantados.",ได้รับทองคำ แต่ถูกสาปแช่ง พลังโกรธทั้งหมดของเอลฟ์ที่ถูกส่งลงสนามหายไป,{buff=<205>;items={gold=5000}},视而不见,視而不見,Turn a blind eye,Làm ngơ,못 본 척 한다,Cegueira voluntária,ปิดตาไม่เห็น,雕像中透露出一个微弱的光，附加到你的身上，似乎得到了祝福，下一次战斗中，我方精灵击杀敌人后可以获得100%的攻击力加成，持续2回合,雕像中透露出一個微弱的光，附加到你的身上，似乎得到了祝福，下一次戰鬥中，我方精靈擊殺敵人後可以獲得100%的攻擊力加成，持續2回合,"The statue gives out a faint light, and you seem to have received blessing after it is  attached to your body. In the next battle, allied Pokémons get a 100% chance of damage bonus after knocking down enemies for 2 turns","Trong bức tượng lộ ra ánh sáng mờ nhạt, gắn lên trên người bạn, dường như đã nhận được chúc phúc, lần chiến đấu sau, Pokémon phe ta sau khi tiêu diệt kẻ địch nhận tăng 100% Tấn Công, trong 2 hiệp","조각상에서 희미한 빛이 나면서, 당신의 몸을 비추더니, 축복을 내려줬다. 다음 전투에서, 아군 포켓몬이 적을 처치하면 2턴 간 100%의 공격력 보너스를 얻는다","Uma luz fraca emana da estátua, concedendo uma bênção a você. Na próxima batalha, quando seus elfos matarem um inimigo, eles receberão um bônus de 100% no poder de ataque por 2 turnos.",แสงอ่อนๆ ส่องออกมาจากรูปปั้น ประทานพรแก่ท่าน ในการต่อสู้ครั้งต่อไป เมื่อเอลฟ์ฝ่ายเราสังหารศัตรู พวกเขาจะได้รับโบนัสพลังโจมตี 100% เป็นเวลา 2 เทิร์น,{buff=<1038>}
3,,拦路凶兽,攔路凶獸,Ferocious Roadblocking Monster,Quái thú chặn đường,길을 막은 몬스터,Besta feroz que bloqueia a estrada,อสูรขวางทาง,1,,你误打误撞吵醒了正在熟睡的卡比兽,你誤打誤撞吵醒了正在熟睡的卡比獸,You accidentally awakened the sleeping Snorlax,Bạn vô tình đánh thức Snorlax đang ngủ say.,당신은 이러쿵저러쿵 하다가 잠자고 있던 잠만보를 깨웠다,Você acidentalmente acordou o Snorlax que estava dormindo.,คุณเผลอไปปลุกโปเกมอนคาบี้ที่กำลังหลับอยู่,FALSE,3,安抚他,安撫他,Console him,An ủi anh ấy,쓰다듬어 준다,Conforte-o,ปลอบโยนเขา,卡比兽继续倒头大睡，他的身后似乎有个宝箱,卡比獸繼續倒頭大睡，他的身後似乎有個寶箱,"Snorlax continues to fall asleep, a treasure chest seems to be placed behind him","Snorlax vẫn ngủ say, và có vẻ như có một chiếc rương kho báu phía sau nó.","잠만보는 계속 잠을 잤고, 그의 몸 뒤에는 보물상자가 있는 것 같다","Snorlax continua a dormir profundamente, e parece haver um baú do tesouro atrás dele.",โปเกมอนคาบี้แบร์ยังคงนอนหลับอย่างสบาย และดูเหมือนจะมีหีบสมบัติอยู่ด้านหลังมัน,{items={gold=5000}},藏起来,藏起來,Hide,Giấu nó đi,숨긴다,Esconda,ซ่อนมันไว้,卡比兽怒不可遏，发出怒吼，你受到惊吓，物理和特殊攻击力降低10%，上阵精灵怒气减少,卡比獸怒不可遏，發出怒吼，你受到驚嚇，物理和特殊攻擊力降低10%，上陣精靈怒氣減少,"Snorlax is raging, it gives out a loud roar that frightens you. P.ATK and SP.ATK is reduced by 10%, the rage points of the Pokémons on the battlefield reduce as well.","Snorlax giận dữ gầm thét, làm bạn khiếp sợ. Sức tấn công vật lý và đặc biệt của bạn giảm 10%, và lượng tức giận của Pokémon đang chiến đấu giảm xuống.","잠만보가 매우 화를 내면서 포효를 했고, 당신은 매우 놀라, 물리&특수 공격력이 10% 감소했고, 출전한 포켓몬의 분노가 감소했다","Snorlax ruge furiosamente, assustando você. Seu ataque físico e especial são reduzidos em 10%, e a raiva do seu Pokémon em campo diminui.",คาบิเบิร์นโกรธจัด ส่งเสียงคำราม ทำให้คุณตกใจ ความสามารถโจมตีปกติและความสามารถโจมตีพิเศษลดลง 10% และพลังโกรธของโปเกมอนที่กำลังต่อสู้ลดลง,{buff=<212;213>},,,,,,,,,,,,,,,{}
4,,暗藏玄机,暗藏玄機,Hidden mystery,Âm mưu bí mật,숨겨진 수수께끼,Segredos ocultos,ความลับที่ซ่อนอยู่,2,,这里空空的，似乎能听到微弱的声音,這裡空空的，似乎能聽到微弱的聲音,"It's empty here, but seems like a faint sound can be heard","Nơi đây trống rỗng, dường như tôi nghe thấy một âm thanh yếu ớt.","이곳은 텅텅 비어있었고, 미약한 소리가 들리는 것 같다","Aqui está vazio, e parece que ouço um som fraco.",ที่นี่ว่างเปล่า และดูเหมือนว่าจะได้ยินเสียงเบาๆ,FALSE,999,侧耳倾听,側耳傾聽,Listening Attentively,Lắng nghe kỹ,귀 기울여 듣는다,Ouça atentamente,ฟังอย่างตั้งใจ,听到了美洛耶塔的歌声，下一次战斗开始时，我方第一只行动的精灵造成双倍伤害,聽到了美洛耶塔的歌聲，下一次戰鬥開始時，我方第一隻行動的精靈造成雙倍傷害,"After hearing Meloetta's voice, at the beginning of the next battle, the allied Pokémon that makes the first move deals double damage","Nghe được tiếng hát của Meloetta, trận chiến sau bắt đầu, Pokémon hành động đầu tiên phe ta gây sát thương nhân đôi","메로엣타의 노랫소리를 들었다. 다음 전투 시작 시, 첫 번째로 행동하는 아군 포켓몬이 입히는 피해가 2배가 된다","Tendo ouvido a canção de Meloetta, na próxima vez que uma batalha começar, o primeiro Pokémon meu a se mover causará dano dobrado.",ได้ยินเสียงเพลงของเมโลเอ็ตตาแล้ว ครั้งต่อไปที่การต่อสู้เริ่มต้นขึ้น โปเกมอนตัวแรกของฝ่ายฉันที่เคลื่อนไหวจะสร้างความเสียหายเป็นสองเท่า,{buff=<1039>},四处找找,四處找找,Look around,Tìm xung quanh,사방을 뒤져본다,Procure por aí,มองหาทั่วไป,似乎找到了一个宝箱，里面有一些东西,似乎找到了一個寶箱，裡面有一些東西,You found a chest that seems to contain something,"Có vẻ như đã tìm thấy một chiếc rương báu, bên trong có một số đồ vật.",뭔가가 들어 있는 듯한 보물상자를 찾은 것 같다,"Parece que um baú do tesouro foi encontrado, contendo alguns itens.",ดูเหมือนจะพบหีบสมบัติที่มีของอยู่ข้างใน,{items={gold=5000}},,,,,,,,,,,,,,,{}
5,,迷之宝箱,迷之寶箱,Mysterious chest,Chiếc rương bí ẩn,미스테리 보물상자,Baú do Mistério,หีบสมบัติลึกลับ,2,,发现了一个长相奇特的宝箱,發現了一個長相奇特的寶箱,You found a chest that looks kinda weird,Phát hiện một chiếc rương báu có hình dạng kỳ lạ.,특이하게 생긴 보물상자를 발견했다,Descobriu um baú do tesouro de aparência estranha.,ค้นพบหีบสมบัติรูปทรงแปลกตา,FALSE,999,扔个石头过去,扔個石頭過去,Throw a stone,Ném một viên đá qua đó.,돌을 던져본다,Joga uma pedra por aí.,โยนก้อนหินไป,宝箱怪张开巨大的嘴巴把石头吞了下去，似乎是磕到了牙，掉落了一小袋金币,寶箱怪張開巨大的嘴巴把石頭吞了下去，似乎是磕到了牙，掉落了一小袋金幣,"The treasure chest opened its huge mouth and swallowed the stone, but it seems to have knocked its teeth and dropped a small bag of coins","Qúai Rương mở miệng khổng lồ nuốt trọn hòn đá, hình như đụng phải răng, rớt xuống 1 túi Gold nhỏ","보물상자가 거대한 입을 벌려 바위를 삼켜버리더니, 혀를 깨물었는지 작은 골드 코인 주머니를 떨궜다","O monstro baú abriu sua enorme boca e engoliu a pedra. Parecia ter lascado um dente, e uma pequena bolsa de moedas de ouro caiu.",มอนสเตอร์รูปสมบัติเปิดปากขนาดใหญ่กลืนก้อนหินลงไป ดูเหมือนว่าจะฟันแตก และถุงเงินเหรียญทองขนาดเล็กก็ตกลงมา,{items={gold=5000}},上前查看,上前查看,Go and check it out,Lên kiểm tra.,다가가서 본다,Vá verificar.,ไปตรวจสอบดู,居然是个宝箱怪，上阵精灵生命值减少了,居然是個寶箱怪，上陣精靈生命值減少了,"It's actually a chest monster, HP of battling Pokémons has reduced","Thì ra là quái vật rương báu, HP của Pokémon đang chiến đấu giảm xuống.",설마 했는데 보물상자 몬스터였다. 출전한 포켓몬의 HP가 감소했다,"Era na verdade um monstro baú do tesouro, a vida do Pokémon em batalha diminuiu.",ที่แท้ก็เป็นมอนสเตอร์กล่องสมบัติ พลังชีวิตของโปเกมอนที่กำลังต่อสู้ลดลง,{buff=<200>},小心上前,小心上前,Beware ahead,Thận trọng phía trước,조심히 다가간다,Cuidado à frente,ระวังข้างหน้า,获得了一个宝箱,獲得了一個寶箱,You get one chest,Nhận được một rương báu.,보물상자 하나를 획득했다,Obteve um baú do tesouro.,ได้รับหีบสมบัติ,{items={gold=15000}}
6,,迷之宝箱,迷之寶箱,Mysterious chest,Chiếc rương bí ẩn,미스테리 보물상자,Baú do Mistério,หีบสมบัติลึกลับ,2,,发现了一个长相奇特的宝箱,發現了一個長相奇特的寶箱,You found a chest that looks kinda weird,Tôi đã tìm thấy một chiếc rương kho báu có hình dạng kỳ lạ.,특이하게 생긴 보물상자를 발견했다,Eu encontrei um baú do tesouro de aparência estranha.,ฉันพบหีบสมบัติที่มีรูปร่างแปลกประหลาด,FALSE,999,扔个石头过去,扔個石頭過去,Throw a stone,Ném một viên đá qua đó.,돌을 던져본다,Joga uma pedra por aí.,โยนก้อนหินไป,宝箱怪张开巨大的嘴巴把石头吞了下去，似乎是磕到了牙，掉落了一小袋金币,寶箱怪張開巨大的嘴巴把石頭吞了下去，似乎是磕到了牙，掉落了一小袋金幣,"The treasure chest opened its huge mouth and swallowed the stone, but it seems to have knocked its teeth and dropped a small bag of coins","Qúai Rương mở miệng khổng lồ nuốt trọn hòn đá, hình như đụng phải răng, rớt xuống 1 túi Gold nhỏ","보물상자가 거대한 입을 벌려 바위를 삼켜버리더니, 혀를 깨물었는지 작은 골드 코인 주머니를 떨궜다","O monstro baú abriu sua enorme boca e engoliu a pedra. Parecia ter quebrado um dente, e uma pequena bolsa de moedas de ouro caiu.",มอนสเตอร์รูปหีบสมบัติอ้าปากกว้างกลืนก้อนหินลงไป ดูเหมือนจะสะดุดฟัน และเหรียญทองจำนวนหนึ่งร่วงหล่นออกมา,{items={gold=5000}},上前查看,上前查看,Go and check it out,Lên kiểm tra xem sao.,다가가서 본다,Vá verificar.,ไปตรวจสอบดู,获得了一个宝箱,獲得了一個寶箱,You get one chest,Nhận được một rương báu.,보물상자 하나를 획득했다,Obteve um baú do tesouro.,ได้รับหีบสมบัติ,{items={gold=9000}},小心上前,小心上前,Beware ahead,Tiến lên cẩn thận,조심히 다가간다,Proceda com cautela,ระมัดระวังในการก้าวเดินไปข้างหน้า,居然是个宝箱怪，上阵精灵生命值减少了,居然是個寶箱怪，上陣精靈生命值減少了,"It's actually a chest monster, HP of battling Pokémons has reduced",Thì ra là quái vật rương báu! HP của Pokémon đang chiến đấu giảm rồi.,설마 했는데 보물상자 몬스터였다. 출전한 포켓몬의 HP가 감소했다,Era um monstro baú do tesouro! A vida do meu Pokémon em batalha diminuiu.,ที่แท้ก็เป็นมอนสเตอร์กล่องสมบัติ! พลังชีวิตของโปเกมอนที่กำลังต่อสู้ลดลงแล้ว,{buff=<200>}
7,,遭遇火箭队,遭遇火箭隊,An Encounter with Team Rocket,Gặp đội Rocket,로켓단 조우,Encontrou o Time Rocket,พบกับทีมร็อคเก็ต,1,,发现了鬼鬼祟祟的火箭队三人组,發現了鬼鬼祟祟的火箭隊三人組,You found the Team Rocket trio who are behaving suspiciously,Phát hiện bộ ba Team Rocket lén lút.,수상한 로켓단 삼인조를 발견했다,Descobriu o trio esgueirando-se da Equipe Rocket.,พบกลุ่มแก๊งค์ร็อคเก็ตสามคนกำลังลอบทำการอยู่,FALSE,999,上前打招呼,上前打招呼,Say hello,Tiến lên và chào hỏi,다가가 인사를 한다,Aproximar-se e cumprimentar,เข้าไปทักทาย,三人组受到了惊吓，当即发生对战，上阵精灵生命值减少10%，但是怒气值增加了,三人組受到了驚嚇，當即發生對戰，上陣精靈生命值減少10%，但是怒氣值增加了,"The trio is startled and a battle ensued. HP of battling Pokémons reduces by 10%, but rage level has increased","Bộ ba hoảng sợ, lập tức quyết đấu, Pokémon lên trận giảm 10% HP, nhưng tăng Nộ Khí","삼인조는 매우 놀라며 즉시 대결이 일어났다. 출전한 포켓몬의 HP가 10% 감소하지만, 분노가 증가했다","O trio se assustou e imediatamente entrou em batalha. A HP do Pokémon em campo diminuiu 10%, mas seu nível de fúria aumentou.",กลุ่มสามคนตกใจและต่อสู้ทันที พลังชีวิตของโปเกมอนที่ลงสนามลดลง 10% แต่ค่าความโกรธเพิ่มขึ้น,{buff=<200;215>},偷偷观察,偷偷觀察,Observe secretly,Quan sát lén lút,몰래 본다,Observando secretamente,แอบสังเกต,他们似乎找到了什么值钱的东西后离开了，跟着他们的步伐，你也找到了一些残留的金币，金币+15000,他們似乎找到了什麼值錢的東西後離開了，跟著他們的步伐，你也找到了一些殘留的金幣，金幣+15000,"They seem to have found something valuable and left. Following the traces, you also found some remaining coins. You get 15,000 coins.","Họ dường như đã rời đi sau khi tìm thấy thứ gì đó có giá trị. Theo dấu chân họ, bạn cũng tìm thấy một số đồng tiền vàng còn sót lại. Tiền vàng +15000","그들은 뭔가 돈이 될만한 물건을 찾아서 떠난 것 같다. 그들을 따라가 보니, 당신도 남아있는 골드 코인을 획득했다. 골드 코인+15000","Eles pareciam ter partido depois de encontrar algo valioso. Seguindo seus rastros, você também encontrou algumas moedas de ouro restantes. Moedas de ouro +15000",พวกเขาดูเหมือนจะจากไปหลังจากพบสิ่งของมีค่าบางอย่าง โดยการติดตามรอยเท้าของพวกเขา คุณก็พบเหรียญทองที่เหลืออยู่ เหรียญทอง +15000,{items={gold=15000}},,,,,,,,,,,,,,,{}
8,,遭遇火箭队,遭遇火箭隊,An Encounter with Team Rocket,Gặp đội Rocket,로켓단 조우,Encontrou o Time Rocket,พบกับทีมร็อคเก็ต,1,,发现了鬼鬼祟祟的火箭队三人组,發現了鬼鬼祟祟的火箭隊三人組,You found the Team Rocket trio who are behaving suspiciously,Phát hiện bộ ba Team Rocket lén lút.,수상한 로켓단 삼인조를 발견했다,Descobriu o trio do Team Rocket agindo às escondidas.,พบเจอกลุ่มโจรลักลอบของทีมร็อคเก็ตสามคน,FALSE,999,上前打招呼,上前打招呼,Say hello,Tiến lên và chào hỏi,다가가 인사를 한다,Aproximar-se e cumprimentar,เข้าไปทักทาย,三人组受到了惊吓，飞也似地逃走了，慌乱中似乎留下了一些金币,三人組受到了驚嚇，飛也似地逃走了，慌亂中似乎留下了一些金幣,"The trio is startled and ran away swiftly. In their hasty escape, they seem to have left behind some coins","Bộ ba hoảng sợ, lập tức chạy trốn, trong lúc hoảng loạn bỏ lại một số Gold","삼인조는 매우 놀라며 날아가는 듯이 도망쳤고, 그 와중에 골드 코인을 떨궜다","O trio, assustado, fugiu como se estivesse voando, aparentemente deixando para trás algumas moedas de ouro em sua fuga apressada.",กลุ่มสามคนตกใจกลัวและวิ่งหนีไปอย่างรวดเร็ว  ดูเหมือนว่าพวกเขาจะทิ้งเหรียญทองไว้บ้างระหว่างที่กำลังวิ่งหนีอย่างตื่นตระหนก,{items={gold=15000}},偷偷观察,偷偷觀察,Observe secretly,Quan sát lén lút,몰래 본다,Observando secretamente,แอบสังเกต,似乎被他们发现了，被迫进行对战，上阵精灵生命值减少10%，但是怒气值增加了,似乎被他們發現了，被迫進行對戰，上陣精靈生命值減少10%，但是怒氣值增加了,"You've been discovered and have no chpice but to battle. HP of battling Pokémons reduces by 10%, but rage level has increased","Có bị đã bị họ phát hiện, buộc phải quyết đấu, Pokémon lên trận giảm 10% HP, nhưng Nộ Khí tăng","그들에게 발각된 것 같아, 어쩔 수 없이 전투가 일어났다. 출전한 포켓몬의 HP가 10% 감소했지만, 분노가 증가했다","Parece que fomos descobertos, forçados a uma batalha. Pokémon que entrarem em batalha terão sua PV reduzida em 10%, mas seu nível de fúria aumentará.",ดูเหมือนพวกเขาจะพบเราแล้ว บังคับให้สู้  โปเกมอนที่ส่งลงสนามจะลดค่า HP ลง 10% แต่ค่าความโกรธจะเพิ่มขึ้น,{buff=<200;215>},,,,,,,,,,,,,,,{}
