变量名,level,needExp,addAttrs
默认值,0,99999999,{}
ID,等级,升到当前等级所需经验值,属性加成
1,1,0,{1=100;7=500;8=500;9=1%;10=1%}
2,2,10,{8=500;7=500;10=1%;9=1%}
3,3,20,{1=100;7=500;8=500}
4,4,30,{1=100;7=500;8=500;9=1%;10=1%;13=5}
5,5,40,{7=500;8=500}
6,6,50,{1=100}
7,7,60,{8=500;7=500;10=1%;9=1%}
8,8,70,{1=100;7=500;8=500}
9,9,80,{1=100;7=500;8=500;9=1%;10=1%;13=5}
10,10,90,{7=500;8=500}
11,11,100,{1=100}
12,12,110,{1=100;7=500;8=500;9=1%;10=1%}
13,13,120,{8=500;7=500;10=1%;9=1%}
14,14,130,{1=100;7=500;8=500}
15,15,140,{1=100;7=500;8=500;9=1%;10=1%;13=5}
16,16,150,{7=500;8=500}
17,17,160,{1=100}
18,18,170,{1=100;7=500;8=500;9=1%;10=1%}
19,19,180,{8=500;7=500;10=1%;9=1%}
20,20,190,{1=100;7=500;8=500}
21,21,200,{1=100;7=500;8=500;9=1%;10=1%;13=5}
22,22,210,{7=500;8=500}
23,23,220,{1=100}
24,24,230,{1=100;7=500;8=500;9=1%;10=1%}
25,25,240,{8=500;7=500;10=1%;9=1%}
26,26,250,{1=100;7=500;8=500}
27,27,260,{1=100;7=500;8=500;9=1%;10=1%;13=5}
28,28,270,{7=500;8=500}
29,29,280,{1=100}
30,30,290,{1=100;7=500;8=500;9=1%;10=1%}
31,31,300,{8=500;7=500;10=1%;9=1%}
32,32,310,{1=100;7=500;8=500}
33,33,320,{1=100;7=500;8=500;9=1%;10=1%;13=5}
34,34,330,{7=500;8=500}
35,35,340,{1=100}
36,36,350,{1=100;7=500;8=500;9=1%;10=1%}
37,37,360,{8=500;7=500;10=1%;9=1%}
38,38,370,{1=100;7=500;8=500}
39,39,380,{1=100;7=500;8=500;9=1%;10=1%;13=5}
40,40,390,{7=500;8=500}
41,41,400,{1=100}
42,42,410,{1=100;7=500;8=500;9=1%;10=1%}
43,43,420,{8=500;7=500;10=1%;9=1%}
44,44,430,{1=100;7=500;8=500}
45,45,440,{1=100;7=500;8=500;9=1%;10=1%;13=5}
46,46,450,{7=500;8=500}
47,47,460,{1=100}
48,48,470,{1=100;7=500;8=500;9=1%;10=1%}
49,49,480,{8=500;7=500;10=1%;9=1%}
50,50,490,{1=100;7=500;8=500}
51,51,500,{1=100;7=500;8=500;9=1%;10=1%;13=5}
52,52,510,{7=500;8=500}
53,53,520,{1=100}
54,54,530,{1=100;7=500;8=500;9=1%;10=1%}
55,55,540,{8=500;7=500;10=1%;9=1%}
56,56,550,{1=100;7=500;8=500}
57,57,560,{1=100;7=500;8=500;9=1%;10=1%;13=5}
58,58,570,{7=500;8=500}
59,59,580,{1=100}
60,60,590,{1=100;7=500;8=500;9=1%;10=1%}
61,61,600,{8=500;7=500;10=1%;9=1%}
62,62,610,{1=100;7=500;8=500}
63,63,620,{1=100;7=500;8=500;9=1%;10=1%;13=5}
64,64,630,{7=500;8=500}
65,65,640,{1=100}
66,66,650,{1=100;7=500;8=500;9=1%;10=1%}
67,67,660,{8=500;7=500;10=1%;9=1%}
68,68,670,{1=100;7=500;8=500}
69,69,680,{1=100;7=500;8=500;9=1%;10=1%;13=5}
70,70,690,{7=500;8=500}
71,71,700,{1=100}
72,72,710,{1=100;7=500;8=500;9=1%;10=1%}
73,73,720,{8=500;7=500;10=1%;9=1%}
74,74,730,{1=100;7=500;8=500}
75,75,740,{1=100;7=500;8=500;9=1%;10=1%;13=5}
76,76,750,{7=500;8=500}
77,77,760,{1=100}
78,78,770,{1=100;7=500;8=500;9=1%;10=1%}
79,79,780,{8=500;7=500;10=1%;9=1%}
80,80,790,{1=100;7=500;8=500}
81,81,800,{1=100;7=500;8=500;9=1%;10=1%;13=5}
82,82,810,{7=500;8=500}
83,83,820,{1=100}
84,84,830,{1=100;7=500;8=500;9=1%;10=1%}
85,85,840,{8=500;7=500;10=1%;9=1%}
86,86,850,{1=100;7=500;8=500}
87,87,860,{1=100;7=500;8=500;9=1%;10=1%;13=5}
88,88,870,{7=500;8=500}
89,89,880,{1=100}
90,90,890,{1=100;7=500;8=500;9=1%;10=1%}
91,91,900,{8=500;7=500;10=1%;9=1%}
92,92,910,{1=100;7=500;8=500}
93,93,920,{1=100;7=500;8=500;9=1%;10=1%;13=5}
94,94,930,{7=500;8=500}
95,95,940,{1=100}
96,96,950,{1=100;7=500;8=500;9=1%;10=1%}
97,97,960,{8=500;7=500;10=1%;9=1%}
98,98,970,{1=100;7=500;8=500}
99,99,980,{1=100;7=500;8=500;9=1%;10=1%;13=5}
100,100,990,{7=500;8=500}
