变量名,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,limitType,limitTimes,showUnable
默认值,,{},0,{coin3=0},0,1,0,20990101,0,<1;150>,0,0,FALSE
商店ID,备注,商品ID表({ID=权重;}),商品个数,消耗积分,起始VIP等级,刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见
1,,{20111=10},5,{coin3=1500},0,0,0,20990101,0,<250;250>,0,0,FALSE
2,,{451=10},5,{coin3=500},0,0,0,20990101,1,<250;250>,0,0,FALSE
3,,{20021=10},5,{coin3=1500},0,0,0,20990101,2,<250;250>,0,0,FALSE
4,,{5000=10},20,{coin3=400},0,0,0,20990101,3,<250;250>,0,0,FALSE
5,,{20171=10},5,{coin3=900},0,0,0,20990101,4,<250;250>,0,0,FALSE
7,,{20331=10},5,{coin3=900},0,0,0,20990101,6,<250;250>,0,0,FALSE
9,,{20491=10},5,{coin3=900},0,0,0,20990101,8,<250;250>,0,0,FALSE
10,,{514=10},5,{coin3=200},0,0,0,20990101,10,<250;250>,0,0,FALSE
11,,{20471=10},5,{coin3=2000},0,0,0,20990101,13,<250;250>,0,0,FALSE
21,,{20741=10},5,{coin3=1500},0,100,0,20990101,0,<250;250>,0,0,FALSE
22,,{21241=10},5,{coin3=1500},0,100,0,20990101,1,<250;250>,0,0,FALSE
23,,{20271=10},5,{coin3=900},0,100,0,20990101,2,<250;250>,0,0,FALSE
24,,{20481=10},5,{coin3=900},0,100,0,20990101,3,<250;250>,0,0,FALSE
25,,{452=10},10,{coin3=500},0,100,0,20990101,12,<1;250>,0,0,FALSE
26,,{5000=10},20,{coin3=400},0,100,0,20990101,13,<1;250>,0,0,FALSE
27,,{514=10},5,{coin3=200},0,100,0,20990101,14,<1;250>,0,0,FALSE
31,,{23541=10},5,{coin3=1500},0,100,0,20990101,0,<1;250>,0,0,FALSE
32,,{23021=10},5,{coin3=1500},0,100,0,20990101,1,<1;250>,0,0,FALSE
33,,{20491=10},5,{coin3=1500},0,100,0,20990101,2,<1;250>,0,0,FALSE
34,,{20271=10},5,{coin3=900},0,100,0,20990101,6,<1;250>,0,0,FALSE
35,,{22011=10},5,{coin3=900},0,100,0,20990101,7,<1;250>,0,0,FALSE
36,,{20471=10},5,{coin3=900},0,100,0,20990101,8,<1;250>,0,0,FALSE
37,,{20001=10},5,{coin3=900},0,100,0,20990101,9,<1;250>,0,0,FALSE
41,,{21311=10},5,{coin3=1500},0,100,0,20990101,3,<1;250>,0,0,FALSE
42,,{20731=10},5,{coin3=1500},0,100,0,20990101,4,<1;250>,0,0,FALSE
43,,{21081=10},5,{coin3=1500},0,100,0,20990101,5,<1;250>,0,0,FALSE
51,,{23431=10},5,{coin3=900},0,100,0,20990101,10,<1;250>,0,0,FALSE
52,,{22871=10},5,{coin3=900},0,100,0,20990101,11,<1;250>,0,0,FALSE
101,,{5003=100;5001=100;5002=100},30,{coin3=300},0,100,0,20990101,15,<1;27>,0,0,FALSE
102,,{5003=100;5001=100;5002=100},30,{coin3=300},0,100,0,20990101,15,<1;27>,0,0,FALSE
103,,{5006=100;5004=100;5005=100},30,{coin3=360},0,100,0,20990101,15,<1;39>,0,0,FALSE
104,,{5006=100;5004=100;5005=100},30,{coin3=360},0,100,0,20990101,15,<1;39>,0,0,FALSE
105,,{5008=100;5009=100;5007=100},30,{coin3=360},0,100,0,20990101,15,<1;49>,0,0,FALSE
106,,{5008=100;5009=100;5007=100},30,{coin3=360},0,100,0,20990101,15,<1;49>,0,0,FALSE
107,,{5010=100;5012=100;5011=100},30,{coin3=430},0,100,0,20990101,15,<28;59>,0,0,FALSE
108,,{5010=100;5012=100;5011=100},30,{coin3=430},0,100,0,20990101,15,<28;59>,0,0,FALSE
109,,{5013=100;5015=100;5014=100},30,{coin3=500},0,100,0,20990101,15,<40;69>,0,0,FALSE
110,,{5013=100;5015=100;5014=100},30,{coin3=500},0,100,0,20990101,15,<40;69>,0,0,FALSE
111,,{5018=100;5017=100;5016=100},30,{coin3=570},0,100,0,20990101,15,<50;79>,0,0,FALSE
112,,{5018=100;5017=100;5016=100},30,{coin3=570},0,100,0,20990101,15,<50;79>,0,0,FALSE
113,,{5021=100;5020=100;5019=100},30,{coin3=650},0,100,0,20990101,15,<60;84>,0,0,FALSE
114,,{5021=100;5020=100;5019=100},30,{coin3=650},0,100,0,20990101,15,<60;84>,0,0,FALSE
115,,{5023=100;5024=100;5022=100},30,{coin3=720},0,100,0,20990101,15,<70;100>,0,0,FALSE
116,,{5023=100;5024=100;5022=100},30,{coin3=720},0,100,0,20990101,15,<70;100>,0,0,FALSE
117,,{5026=100;5025=100;5027=100},30,{coin3=790},0,100,0,20990101,16,<80;104>,0,0,FALSE
118,,{5026=100;5025=100;5027=100},30,{coin3=790},0,100,0,20990101,16,<80;104>,0,0,FALSE
119,,{5030=100;5029=100;5028=100},30,{coin3=860},0,100,0,20990101,16,<85;109>,0,0,FALSE
120,,{5030=100;5029=100;5028=100},30,{coin3=860},0,100,0,20990101,16,<85;109>,0,0,FALSE
121,,{5031=100;5032=100;5033=100},30,{coin3=930},0,100,0,20990101,16,<95;114>,0,0,FALSE
122,,{5031=100;5032=100;5033=100},30,{coin3=930},0,100,0,20990101,16,<95;114>,0,0,FALSE
123,,{5035=100;5036=100;5034=100},30,{coin3=990},0,100,0,20990101,16,<100;119>,0,0,FALSE
124,,{5035=100;5036=100;5034=100},30,{coin3=990},0,100,0,20990101,16,<100;119>,0,0,FALSE
125,,{5039=100;5037=100;5038=100},30,{coin3=1020},0,100,0,20990101,16,<105;124>,0,0,FALSE
126,,{5039=100;5037=100;5038=100},30,{coin3=1020},0,100,0,20990101,16,<105;124>,0,0,FALSE
127,,{5041=100;5042=100;5040=100},30,{coin3=1050},0,100,0,20990101,16,<110;129>,0,0,FALSE
128,,{5041=100;5042=100;5040=100},30,{coin3=1050},0,100,0,20990101,16,<110;129>,0,0,FALSE
129,,{5044=100;5045=100;5043=100},30,{coin3=1080},0,100,0,20990101,16,<115;134>,0,0,FALSE
130,,{5044=100;5045=100;5043=100},30,{coin3=1080},0,100,0,20990101,16,<115;134>,0,0,FALSE
131,,{5046=100;5047=100;5048=100},30,{coin3=1140},0,100,0,20990101,16,<120;139>,0,0,FALSE
132,,{5046=100;5047=100;5048=100},30,{coin3=1140},0,100,0,20990101,16,<120;139>,0,0,FALSE
133,,{5051=100;5050=100;5049=100},30,{coin3=1200},0,100,0,20990101,16,<125;144>,0,0,FALSE
134,,{5051=100;5050=100;5049=100},30,{coin3=1200},0,100,0,20990101,16,<125;144>,0,0,FALSE
135,,{5052=100;5054=100;5053=100},30,{coin3=1270},0,100,0,20990101,16,<130;149>,0,0,FALSE
136,,{5052=100;5054=100;5053=100},30,{coin3=1270},0,100,0,20990101,16,<130;149>,0,0,FALSE
201,,{5003=100;5001=100;5002=100},30,{coin3=300},0,100,0,20990101,16,<1;27>,0,0,FALSE
202,,{5003=100;5001=100;5002=100},30,{coin3=300},0,100,0,20990101,16,<1;27>,0,0,FALSE
203,,{5006=100;5004=100;5005=100},30,{coin3=360},0,100,0,20990101,16,<1;39>,0,0,FALSE
204,,{5006=100;5004=100;5005=100},30,{coin3=360},0,100,0,20990101,16,<1;39>,0,0,FALSE
205,,{5008=100;5009=100;5007=100},30,{coin3=360},0,100,0,20990101,16,<1;49>,0,0,FALSE
206,,{5008=100;5009=100;5007=100},30,{coin3=360},0,100,0,20990101,16,<1;49>,0,0,FALSE
207,,{5010=100;5012=100;5011=100},30,{coin3=430},0,100,0,20990101,16,<28;59>,0,0,FALSE
208,,{5010=100;5012=100;5011=100},30,{coin3=430},0,100,0,20990101,16,<28;59>,0,0,FALSE
209,,{5013=100;5015=100;5014=100},30,{coin3=500},0,100,0,20990101,16,<40;69>,0,0,FALSE
210,,{5013=100;5015=100;5014=100},30,{coin3=500},0,100,0,20990101,16,<40;69>,0,0,FALSE
211,,{5018=100;5017=100;5016=100},30,{coin3=570},0,100,0,20990101,16,<50;79>,0,0,FALSE
