变量名,huodongID,_beizhu,name,_name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,limit,levelLimit,item,rechargeID,rmbCost,sort,refresh,status,icon,hot,oldPrice,languages
默认值,0,"""""","""""","""""","""""","""""","""""","""""","""""","""""",10,1,{},-1,-1,0,FALSE,0,activity/direct_gift/icon_cjbx1.png,"""""",100,<cn;tw;en;vn;th;kr;pt>
ID,活动版本ID,备注,名字,名字,名字,名字,名字,名字_韩,名字_韩,名字_韩,次数限制,等级限制,道具id,recharge表id,钻石售卖价格,礼包排序字段,刷新方式（是否每日刷新）,礼包状态：0永久限购、1每周限购，2每月限购,礼包的icon,促销标签,原价,语言区域
100,22110,1,2,每日神兽礼包,每日神兽礼包tw,2,,3,,,999,1,{520=1;rmb=120;521=1},103,-1,1,TRUE,0,activity/direct_gift/icon_cjbx3.png,,100,
101,22110,,2,免费礼包,免费礼包tw,2,,3,,,999,1,{516=1;rmb=10;gold=10000},-1,0,0,TRUE,0,activity/direct_gift/icon_cjbx.png,,100,
102,22110,,2,每日成长礼包,免费礼包tw,2,,3,,,999,1,{rmb=120;stamina=100;503=1},102,-1,0,TRUE,0,activity/direct_gift/icon_cjbx13.png,,100,
103,22110,,2,每日抽卡礼包,免费礼包tw,2,,3,,,999,1,{519=1;rmb=120;gold=50000},102,-1,0,TRUE,0,activity/direct_gift/icon_cjbx2.png,,100,
104,22110,,2,每日碎片礼包,免费礼包tw,2,,3,,,999,1,{502=2;rmb=120;gold=50000},102,-1,0,TRUE,0,activity/direct_gift/icon_cjbx3.png,,100,
105,22110,,2,努力养成礼包,免费礼包tw,2,,3,,,999,1,{451=100;rmb=300;452=50},106,-1,2,TRUE,0,activity/direct_gift/icon_cjbx9.png,,100,
106,22110,,2,携带养成礼包,免费礼包tw,2,,3,,,999,1,{2103=20;rmb=300;gold=200000},106,-1,2,TRUE,0,activity/direct_gift/icon_zjbx2.png,,100,
107,22110,,2,好感度礼包,免费礼包tw,2,,3,,,999,1,{902=20;rmb=300;602=10},106,-1,2,TRUE,0,activity/direct_gift/icon_cjbx14.png,,100,
108,22110,,2,金币礼包,免费礼包tw,2,,3,,,999,1,{rmb=300;gold=1000000},106,-1,2,TRUE,0,activity/direct_gift/icon_cjbx16.png,,100,
109,22110,,2,个体值礼包,免费礼包tw,2,,3,,,999,1,{rmb=300;19=10},106,-1,2,TRUE,0,activity/direct_gift/icon_cjbx15.png,,100,
200,22111,,2,免费礼包,免费礼包tw,2,,3,,,999,1,{502=1;rmb=30;gold=30000},-1,0,0,FALSE,1,activity/direct_gift/icon_cjbx.png,,100,
201,22111,,2,抽卡礼包,免费礼包tw,2,,3,,,999,1,{rmb=980;519=10},108,-1,0,FALSE,1,activity/direct_gift/icon_zjbx3.png,,100,
202,22111,,2,探险器礼包,免费礼包tw,2,,3,,,999,1,{520=10;4000=100;rmb=980},108,-1,0,FALSE,1,activity/direct_gift/icon_zjbx7.png,,100,
203,22111,,2,饰品抽卡礼包,免费礼包tw,2,,3,,,999,1,{501=1;rmb=980;503=20},108,-1,0,FALSE,1,activity/direct_gift/icon_zjbx8.png,,100,
204,22111,,2,升星礼包,免费礼包tw,2,,3,,,999,1,{rmb=1980;502=30},111,-1,0,FALSE,1,activity/direct_gift/icon_gjbx17.png,,100,
205,22111,,2,抽卡礼包,免费礼包tw,2,,3,,,999,1,{rmb=3280;519=20},112,-1,2,FALSE,1,activity/direct_gift/icon_gjbx1.png,,100,
206,22111,,2,升星礼包,免费礼包tw,2,,3,,,999,1,{card={id=9002};rmb=3280;gold=300000},112,-1,2,FALSE,1,activity/direct_gift/icon_gjbx4.png,,100,
207,22111,,2,携带道具礼包,免费礼包tw,2,,3,,,999,1,{2103=60;rmb=3280;942=1},112,-1,2,FALSE,1,activity/direct_gift/icon_gjbx18.png,,100,
208,22111,,2,升星礼包,免费礼包tw,2,,3,,,999,1,{521=30;rmb=6480;gold=500000},113,-1,2,FALSE,1,activity/direct_gift/icon_gjbx19.png,,100,
300,23001,,2,开服礼包1,免费礼包tw,2,,3,,,999,1,{gold=50000;rmb=60;stamina=100;12=10},-1,0,0,TRUE,0,activity/direct_gift/icon_cjbx1.png,,100,
301,23001,,2,每日礼包A,免费礼包tw,2,,3,,,999,1,{451=100;452=30},-1,100,0,TRUE,0,activity/direct_gift/icon_cjbx1.png,,100,
302,23001,,2,开服礼包2,免费礼包tw,2,,3,,,999,1,{4000=100;520=10},-1,200,0,FALSE,1,activity/direct_gift/icon_cjbx1.png,,100,
303,23001,,2,每日礼包B,免费礼包tw,2,,3,,,999,1,{503=20;941=1},-1,300,0,TRUE,0,activity/direct_gift/icon_cjbx1.png,,100,
304,23001,,2,开服礼包3,免费礼包tw,2,,3,,,999,1,{2103=50;gold=200000},105,-1,0,FALSE,2,activity/direct_gift/icon_cjbx1.png,,100,
305,23001,,2,每日礼包C,免费礼包tw,2,,3,,,999,1,{13=20;card={id=9002};gold=150000},106,-1,0,TRUE,0,activity/direct_gift/icon_cjbx1.png,,100,
306,23001,,2,每日礼包D,免费礼包tw,2,,3,,,999,1,{16=5;rmb=5000;gold=300000},107,-1,0,TRUE,0,activity/direct_gift/icon_cjbx1.png,,100,
307,23001,,2,开服礼包4,免费礼包tw,2,,3,,,999,1,{14=3;15=200},108,-1,0,FALSE,0,activity/direct_gift/icon_cjbx1.png,,100,
400,23101,,2,成长礼包,免费礼包tw,2,,3,,,999,1,{gold=50000;rmb=60;stamina=100;12=10},102,-1,0,FALSE,0,activity/direct_gift/icon_cjbx4.png,,100,
401,23101,,2,饰品礼包,免费礼包tw,2,,3,,,999,1,{930=10;13=10;100=5;501=3},106,-1,0,FALSE,0,activity/direct_gift/icon_cjbx7.png,,100,
402,23101,,2,个体值礼包,免费礼包tw,2,,3,,,999,1,{gold=100000;13=10;rmb=300;19=10},106,-1,0,FALSE,0,activity/direct_gift/icon_cjbx5.png,,100,
403,23101,,2,抽卡礼包,免费礼包tw,2,,3,,,999,1,{13=20;519=10;gold=100000},108,-1,0,FALSE,0,activity/direct_gift/icon_zjbx6.png,,100,
404,23101,,2,豪华抽卡礼包,免费礼包tw,2,,3,,,999,1,{13=30;519=20;gold=200000},111,-1,0,FALSE,0,activity/direct_gift/icon_gjbx8.png,,100,
500,23102,,2,成长礼包,免费礼包tw,2,,3,,,999,1,{gold=50000;rmb=60;stamina=100;12=10},102,-1,0,FALSE,0,activity/direct_gift/icon_cjbx4.png,,100,
501,23102,,2,努力值礼包,免费礼包tw,2,,3,,,999,1,{451=100;452=30},106,-1,0,FALSE,0,activity/direct_gift/icon_cjbx8.png,,100,
502,23102,,2,探险器礼包,免费礼包tw,2,,3,,,999,1,{4000=100;520=10},108,-1,0,FALSE,0,activity/direct_gift/icon_zjbx4.png,,100,
503,23102,,2,饰品抽卡礼包,免费礼包tw,2,,3,,,999,1,{503=20;941=1},108,-1,0,FALSE,0,activity/direct_gift/icon_zjbx5.png,,100,
504,23102,,2,携带道具强化礼包,免费礼包tw,2,,3,,,999,1,{2103=50;gold=200000},111,-1,0,FALSE,0,activity/direct_gift/icon_gjbx7.png,,100,
505,23102,,2,升星礼包,免费礼包tw,2,,3,,,999,1,{13=20;card={id=9002};gold=150000},112,-1,0,FALSE,0,activity/direct_gift/icon_gjbx6.png,,100,
600,23103,,2,成长礼包,免费礼包tw,2,,3,,,999,1,{gold=50000;rmb=60;stamina=100;12=10},102,-1,0,FALSE,0,activity/direct_gift/icon_cjbx4.png,,100,
601,23103,,2,饰品礼包,免费礼包tw,2,,3,,,999,1,{930=20;13=10;100=5;501=3},106,-1,0,FALSE,0,activity/direct_gift/icon_cjbx7.png,,100,
602,23103,,2,个体值礼包,免费礼包tw,2,,3,,,999,1,{13=10;gold=100000;19=20},106,-1,0,FALSE,0,activity/direct_gift/icon_cjbx6.png,,100,
603,23103,,2,抽卡礼包,免费礼包tw,2,,3,,,999,1,{13=20;519=10;gold=200000},108,-1,0,FALSE,0,activity/direct_gift/icon_zjbx6.png,,100,
604,23103,,2,豪华抽卡礼包,免费礼包tw,2,,3,,,999,1,{13=30;519=20;gold=300000},111,-1,0,FALSE,0,activity/direct_gift/icon_gjbx8.png,,100,
700,23104,,2,成长礼包,免费礼包tw,2,,3,,,999,1,{gold=50000;rmb=60;stamina=100;12=10},102,-1,0,FALSE,0,activity/direct_gift/icon_cjbx4.png,,100,
701,23104,,2,努力值礼包,免费礼包tw,2,,3,,,999,1,{451=100;452=50},106,-1,0,FALSE,0,activity/direct_gift/icon_cjbx8.png,,100,
702,23104,,2,探险器礼包,免费礼包tw,2,,3,,,999,1,{4000=100;520=15},108,-1,0,FALSE,0,activity/direct_gift/icon_zjbx4.png,,100,
703,23104,,2,饰品抽卡礼包,免费礼包tw,2,,3,,,999,1,{503=30;941=1},108,-1,0,FALSE,0,activity/direct_gift/icon_zjbx5.png,,100,
704,23104,,2,携带道具强化礼包,免费礼包tw,2,,3,,,999,1,{2103=60;gold=200000},108,-1,0,FALSE,0,activity/direct_gift/icon_gjbx7.png,,100,
705,23104,,2,升星礼包,免费礼包tw,2,,3,,,999,1,{13=20;rmb=2000;card={id=9002}},112,-1,0,FALSE,0,activity/direct_gift/icon_gjbx4.png,,100,
706,23104,,2,携带道具礼包,免费礼包tw,2,,3,,,999,1,{13=20;rmb=2000;942=1},112,-1,0,FALSE,0,activity/direct_gift/icon_gjbx5.png,,100,
800,23105,,2,开服特惠礼包,免费礼包tw,2,,3,,,999,1,{519=1;rmb=50;gold=10000},-1,0,0,FALSE,0,activity/direct_gift/icon_cjbx.png,,100,
801,23105,,2,开服特惠礼包,免费礼包tw,2,,3,,,999,1,{rmb=120;stamina=100;gold=30000},102,-1,0,FALSE,0,activity/direct_gift/icon_cjbx1.png,,100,
802,23105,,2,开服特惠礼包,免费礼包tw,2,,3,,,999,1,{519=1;rmb=120;gold=30000},102,-1,0,FALSE,0,activity/direct_gift/icon_cjbx2.png,,100,
803,23105,,2,开服特惠礼包,免费礼包tw,2,,3,,,999,1,{451=200;rmb=600;452=100},106,-1,0,FALSE,0,activity/direct_gift/icon_cjbx9.png,,100,
804,23105,,2,开服特惠礼包,免费礼包tw,2,,3,,,999,1,{rmb=900;519=10},107,-1,0,FALSE,0,activity/direct_gift/icon_zjbx3.png,,100,
805,23105,,2,开服特惠礼包,免费礼包tw,2,,3,,,999,1,{520=10;4000=100;rmb=1680},108,-1,0,FALSE,0,activity/direct_gift/icon_zjbx7.png,,100,
806,23105,,2,开服特惠礼包,免费礼包tw,2,,3,,,999,1,{501=1;rmb=1680;503=20},108,-1,0,FALSE,0,activity/direct_gift/icon_zjbx8.png,,100,
807,23105,,2,开服特惠礼包,免费礼包tw,2,,3,,,999,1,{2103=100;rmb=2680;gold=500000},111,-1,0,FALSE,0,activity/direct_gift/icon_gjbx9.png,,100,
808,23105,,2,开服特惠礼包,免费礼包tw,2,,3,,,999,1,{942=1;rmb=2680;gold=500000},111,-1,0,FALSE,0,activity/direct_gift/icon_gjbx10.png,,100,
809,23105,,2,开服特惠礼包,免费礼包tw,2,,3,,,999,1,{card={id=9002};rmb=2680;gold=200000},111,-1,0,FALSE,0,activity/direct_gift/icon_gjbx4.png,,100,
810,23105,,2,开服特惠礼包,免费礼包tw,2,,3,,,999,1,{501=5;rmb=3980;6059=2},112,-1,0,FALSE,0,activity/direct_gift/icon_gjbx11.png,,100,
811,23105,,2,开服特惠礼包,免费礼包tw,2,,3,,,999,1,{card={id=9003};rmb=6480;gold=600000},113,-1,0,FALSE,0,activity/direct_gift/icon_gjbx13.png,,100,
900,23106,,2,每日神兽礼包,免费礼包tw,2,,3,,,999,1,{520=1;rmb=120;521=1},103,-1,1,TRUE,0,activity/direct_gift/icon_cjbx3.png,,100,
901,23106,,2,免费礼包,免费礼包tw,2,,3,,,999,1,{516=1;rmb=10;gold=10000},-1,0,0,TRUE,0,activity/direct_gift/icon_cjbx.png,,100,
902,23106,,2,每日成长礼包,免费礼包tw,2,,3,,,999,1,{rmb=120;stamina=100;503=1},102,-1,0,TRUE,0,activity/direct_gift/icon_cjbx13.png,,100,
903,23106,,2,每日抽卡礼包,免费礼包tw,2,,3,,,999,1,{519=1;rmb=120;gold=50000},102,-1,0,TRUE,0,activity/direct_gift/icon_cjbx2.png,,100,
904,23106,,2,每日碎片礼包,免费礼包tw,2,,3,,,999,1,{502=2;rmb=120;gold=50000},102,-1,0,TRUE,0,activity/direct_gift/icon_cjbx3.png,,100,
905,23106,,2,努力养成礼包,免费礼包tw,2,,3,,,999,1,{451=100;rmb=300;452=50},106,-1,2,TRUE,0,activity/direct_gift/icon_cjbx9.png,,100,
906,23106,,2,携带养成礼包,免费礼包tw,2,,3,,,999,1,{2103=20;rmb=300;gold=200000},106,-1,2,TRUE,0,activity/direct_gift/icon_zjbx2.png,,100,
907,23106,,2,好感度礼包,免费礼包tw,2,,3,,,999,1,{902=20;rmb=300;602=10},106,-1,2,TRUE,0,activity/direct_gift/icon_cjbx14.png,,100,
908,23106,,2,金币礼包,免费礼包tw,2,,3,,,999,1,{rmb=300;gold=1000000},106,-1,2,TRUE,0,activity/direct_gift/icon_cjbx16.png,,100,
909,23106,,2,个体值礼包,免费礼包tw,2,,3,,,999,1,{rmb=300;19=10},106,-1,2,TRUE,0,activity/direct_gift/icon_cjbx15.png,,100,
910,23106,,2,符石礼包,免费礼包tw,2,,3,,,999,1,{rmb=300;529=1000},106,-1,2,TRUE,0,activity/direct_gift/icon_zjbx.png,,100,
911,23106,,2,道馆礼包,免费礼包tw,2,,3,,,999,1,{151=300;rmb=300;152=30},106,-1,2,TRUE,0,activity/direct_gift/icon_zjbx.png,,100,
