变量名,_beizhu,huodongID,taskType,taskParam,taskSpecialParam,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,award,vip
默认值,,0,0,9999,{},"""""","""""","""""","""""","""""","""""","""""",{},0
ID,备注,活动版本ID,任务类型;普通关卡战斗次数0;困难关卡战斗次数1;活动副本战斗次数2;竞技场战斗次数3;钻石十连抽4;钻石单抽5;装备十连抽6;装备单抽7;开金宝箱8;购买体力9;充值钻石10;装备强化11;装备铸炼12;装备升星13;点金14;VIP等级15;考古16;,任务参数,任务特殊参数,描述,描述,描述,描述,描述,描述,描述,奖励,vip限制
101,5级等级礼包_测试任务,8827,1,5,,等级达到5级,等級達到5級,Attain level 5,Đạt LV5,레벨 5 달성,Alcance o nível 5,บรรลุระดับ 5,{gold=100000;rmb=100;11=30;5000=10},
102,10级等级礼包,8827,1,10,,等级达到10级,等級達到10級,Attain level 10,Đạt LV10,레벨 10 달성,Alcance o nível 10,บรรลุระดับ 10,{gold=150000;rmb=200;11=30;19=5},
103,15级等级礼包,8827,1,15,,等级达到15级,等級達到15級,Attain level 15,Đạt LV15,레벨 15 달성,Alcance o nível 15,บรรลุระดับ 15,{gold=200000;rmb=300;11=30;100=5},
104,20级等级礼包,8827,1,20,,等级达到20级,等級達到20級,Attain level 20,Đạt LV20,레벨 20 달성,Alcance o nível 20,บรรลุระดับ 20,{gold=250000;rmb=300;12=20;800=5},
105,25级等级礼包,8827,1,25,,等级达到25级,等級達到25級,Attain level 25,Đạt LV25,레벨 25 달성,Alcance o nível 25,บรรลุระดับ 25,{gold=300000;rmb=400;12=20;801=5},
106,30级等级礼包,8827,1,30,,等级达到30级,等級達到30級,Attain level 30,Đạt LV30,레벨 30 달성,Alcance o nível 30,บรรลุระดับ 30,{gold=350000;rmb=400;12=20;451=5},
107,35级等级礼包,8827,1,35,,等级达到35级,等級達到35級,Attain level 35,Attain level 35,레벨 35 달성,Alcance o nível 35,ถึงระดับ 35,{gold=400000;rmb=500;13=15;452=6},
108,40级等级礼包,8827,1,40,,等级达到40级,等級達到40級,Attain level 40,Đạt LV40,레벨 40 달성,Alcance o nível 40,บรรลุระดับ 40,{gold=450000;rmb=500;13=15;800=10},
109,45级等级礼包,8827,1,45,,等级达到45级,等級達到45級,Attain level 45,Đạt LV45,레벨 45 달성,Alcance o nível 45,บรรลุระดับ 45,{gold=500000;rmb=600;13=15;801=10},
,,,,,,,,,,,,,,
201,普通副本挑战_测试任务,8828,29,10,,普通关卡战斗10次,普通關卡戰鬥10次,Fight in Normal Level 10 times,Chiến đấu Ải Thường 10 lần,일반 스테이지 10회 전투,Lute no nível normal 10 vezes,ต่อสู้ในระดับปกติ 10 ครั้ง,{gold=20000;rmb=100},
