变量名,huodongID,level,needExp,award,unlockPart
默认值,0,1,0,{},0
ID,活动版本ID,等级,升级所需经验,等级奖励,解锁部位
1,101030,0,100,{},10000
2,101030,1,200,{521=2;503=4;rmb=168;gold=1080000},10001
3,101030,2,300,{502=3;503=2;rmb=88;gold=680000},0
4,101030,3,400,{502=1;503=1;rmb=38;gold=280000},0
5,101030,4,500,{521=4;503=6;rmb=288;gold=1680000},1
6,101030,5,600,{521=2;503=4;rmb=168;gold=1080000},0
7,101030,6,700,{502=3;503=2;rmb=88;gold=680000},0
8,101030,7,800,{502=1;503=1;rmb=38;gold=280000},10002
9,101030,8,900,{521=4;503=6;rmb=288;gold=1680000},0
10,101030,9,1000,{521=2;503=4;rmb=168;gold=1080000},0
11,101030,10,1000,{502=3;503=2;rmb=88;gold=680000},2
12,101030,11,1000,{502=1;503=1;rmb=38;gold=280000},0
13,101030,12,1000,{521=4;503=6;rmb=288;gold=1680000},10003
14,101030,13,1000,{521=2;503=4;rmb=168;gold=1080000},0
15,101030,14,1000,{502=3;503=2;rmb=88;gold=680000},3
16,101030,15,1000,{502=1;503=1;rmb=38;gold=280000},0
101,10001,0,100,{},10000
102,10001,1,300,{521=5;28503=10;rmb=1680;2300=1},10001
103,10001,2,500,{521=10;2319=1;rmb=2680;28503=10},0
104,10001,3,800,{521=15;2527=1;rmb=3680;28503=10},0
105,10001,4,1000,{521=20;28503=20;rmb=4680;2237=1},1
106,10001,5,1500,{521=30;28503=20;rmb=6680;2238=1},0
107,10001,6,2000,{521=50;2020=1;rmb=8888;28503=30},0
108,10001,7,3000,{521=50;6915=1;rmb=10888;500=30},10002
109,10001,8,4000,{521=55;500=35;8000=1;rmb=12888},0
110,10001,9,5000,{521=60;16=100;rmb=15888;500=40},0
111,10001,10,6000,{521=65;500=45;rmb=18888;gold=18888888},2
112,10001,11,7000,{521=70;500=50;rmb=20888;gold=20888888},0
113,10001,12,8000,{521=75;500=55;rmb=22888;gold=22888888},10003
114,10001,13,9000,{521=80;500=60;rmb=25888;gold=25888888},0
115,10001,14,10000,{521=85;500=65;rmb=28888;gold=28888888},3
116,10001,15,15000,{521=100;6199=1;rmb=38888;500=100},0
201,10002,0,50,{},10000
202,10002,1,100,{2319=1;21941=5;951=5;519=3},10001
203,10002,2,150,{21951=5;gold=288000;stamina=100;5000=100},1
204,10002,3,250,{930=100;21941=10;2237=1;503=5},0
205,10002,4,350,{902=20;901=30;rmb=188;21951=10},10002
206,10002,5,450,{922=1;16=30;2020=1;21941=10},0
207,10002,6,600,{21951=10;962=2;4000=300;gold=588000},2
208,10002,7,750,{2238=1;604=10;602=20;21941=15},0
209,10002,8,1000,{529=5000;21951=15;973=1;gold=880000},10003
210,10002,9,1250,{6050=1;501=3;8000=1;21941=20},0
211,10002,10,1250,{6059=1;2152=1;rmb=388;21951=20},3
