变量名,huodongID,rank,award,pointLeast,desc,desc_en
默认值,,,{},0,无奖励吗,无奖励吗
ID,活动版本号,名次内,排行奖励,积分限制,奖励描述,奖励描述
1,20191030,1,{21271=100;card={id=1271}},7000,凤王+碎片*100,无奖励吗
2,20191030,2,{21271=80;card={id=1271}},5000,凤王+碎片*80,无奖励吗
3,20191030,3,{card={id=1271}},3500,凤王,无奖励吗
4,20191030,4,{21271=80},2000,凤王碎片*80,无奖励吗
5,20191030,5,{21271=50},1000,凤王碎片*50,无奖励吗
6,20191030,30,{21271=30},0,凤王碎片*30,无奖励吗
11,1001,1,{502=188;8195=1;539=128;card={id=7102}},20000,苍响+万能碎片+头像框,无奖励吗
12,1001,2,{521=158;539=108;card={id=7102}},15000,苍响+万能碎片,无奖励吗
13,1001,3,{521=158;539=88;card={id=7102}},10000,苍响+万能碎片,无奖励吗
14,1001,6,{502=158;539=88;card={id=7102}},8000,苍响+万能碎片,无奖励吗
15,1001,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
16,1001,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
17,1001,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
21,1002,1,{502=188;539=128;2098=1;card={id=7101}},20000,藏马然特+万能碎片+头像框,无奖励吗
22,1002,2,{521=158;539=108;card={id=7101}},15000,藏马然特+万能碎片,无奖励吗
23,1002,3,{521=158;539=88;card={id=7101}},10000,藏马然特+万能碎片,无奖励吗
24,1002,6,{502=158;539=88;card={id=7101}},8000,藏马然特+万能碎片,无奖励吗
25,1002,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
26,1002,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
27,1002,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
31,1003,1,{502=188;539=128;2093=1;card={id=3304}},20000,小智版甲贺忍蛙+万能碎片+头像框,无奖励吗
32,1003,2,{521=158;539=108;card={id=3304}},15000,小智版甲贺忍蛙+万能碎片,无奖励吗
33,1003,3,{521=158;539=88;card={id=3304}},10000,小智版甲贺忍蛙+万能碎片,无奖励吗
34,1003,6,{502=158;539=88;card={id=3304}},8000,小智版甲贺忍蛙+万能碎片,无奖励吗
35,1003,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
36,1003,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
37,1003,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
41,1004,1,{502=188;539=128;2096=1;card={id=7081}},20000,起源梦幻+万能碎片+头像框,无奖励吗
42,1004,2,{521=158;539=108;card={id=7081}},15000,起源梦幻+万能碎片,无奖励吗
