变量名,huodongID,daySum,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,award
默认值,0,0,"""""","""""","""""","""""","""""","""""","""""",{}
ID,活动版本ID,累计天数,描述,描述,描述,描述,描述,描述,描述,奖励
1,1001,1,1天登录奖励,1天登錄獎勵,Day 1 Login Rewards,1 Trời đăng nhập ban thưởng,1일 로그인 보상,Bônus de login de 1 dia,โบนัสล็อกอิน 1 วัน,{rmb=60;20001=2;card={id=11}}
2,1001,2,2天登录奖励,2天登錄獎勵,Day 2 Login Rewards,Thưởng Đăng Nhập 2 Ngày,2일 로그인 보상,Bônus de login de 2 dias,โบนัสล็อกอิน 2 วัน,{rmb=100;12=20;card={id=9002}}
3,1001,3,3天登录奖励,3天登錄獎勵,Day 3 Login Rewards,Thưởng Đăng Nhập 3 Ngày,3일 로그인 보상,Bônus de login de 3 dias,โบนัสล็อกอิน 3 วัน,{rmb=200;12=20;gold=10000}
4,1001,4,4天登录奖励,4天登錄獎勵,Day 4 Login Rewards,Thưởng Đăng Nhập 4 Ngày,4일 로그인 보상,Bônus de login de 4 dias,โบนัสล็อกอิน 4 วัน,{rmb=300;12=20;gold=20000}
5,1001,5,5天登录奖励,5天登錄獎勵,Day 5 Login Rewards,Thưởng Đăng Nhập 5 Ngày,5일 로그인 보상,Bônus de login de 5 dias,โบนัสล็อกอิน 5 วัน,{rmb=400;12=20;gold=30000}
6,1001,6,6天登录奖励,6天登錄獎勵,Day 6 Login Rewards,Thưởng Đăng Nhập 6 Ngày,6일 로그인 보상,Bônus de login de 6 dias,โบนัสล็อกอิน 6 วัน,{rmb=500;12=20;gold=40000}
7,1001,7,7天登录奖励,7天登錄獎勵,Day 7 Login Rewards,Thưởng Đăng Nhập 7 Ngày,7일 로그인 보상,Bônus de login de 7 dias,โบนัสล็อกอิน 7 วัน,{rmb=600;12=20;gold=50000}
,,,,,,,,,,
11,1002,1,1天登录奖励,1天登錄獎勵,Day 1 Login Rewards,1 Trời đăng nhập ban thưởng,1일 로그인 보상,Bônus de login de 1 dia,โบนัสล็อกอิน 1 วัน,{rmb=100;6318=5;gold=100000}
12,1002,2,2天登录奖励,2天登錄獎勵,Day 2 Login Rewards,Thưởng Đăng Nhập 2 Ngày,2일 로그인 보상,Bônus de login de 2 dias,โบนัสล็อกอิน 2 วัน,{rmb=100;6318=5;gold=100000}
13,1002,3,3天登录奖励,3天登錄獎勵,Day 3 Login Rewards,Thưởng Đăng Nhập 3 Ngày,3일 로그인 보상,Bônus de login de 3 dias,โบนัสล็อกอิน 3 วัน,{rmb=100;6318=5;gold=100000}
14,1002,4,4天登录奖励,4天登錄獎勵,Day 4 Login Rewards,Thưởng Đăng Nhập 4 Ngày,4일 로그인 보상,Bônus de login de 4 dias,โบนัสล็อกอิน 4 วัน,{rmb=100;6318=5;gold=100000}
15,1002,5,5天登录奖励,5天登錄獎勵,Day 5 Login Rewards,Thưởng Đăng Nhập 5 Ngày,5일 로그인 보상,Bônus de login de 5 dias,โบนัสล็อกอิน 5 วัน,{rmb=100;6318=5;gold=100000}
16,1002,6,6天登录奖励,6天登錄獎勵,Day 6 Login Rewards,Thưởng Đăng Nhập 6 Ngày,6일 로그인 보상,Bônus de login de 6 dias,โบนัสล็อกอิน 6 วัน,{rmb=100;6318=5;gold=100000}
17,1002,7,7天登录奖励,7天登錄獎勵,Day 7 Login Rewards,Thưởng Đăng Nhập 7 Ngày,7일 로그인 보상,Bônus de login de 7 dias,โบนัสล็อกอิน 7 วัน,{rmb=100;6318=5;gold=100000}
18,1002,8,8天登录奖励,8天登錄獎勵,Day 8 Login Rewards,Thưởng Đăng Nhập 8 Ngày,8일 로그인 보상,Bônus de login de 8 dias,โบนัสล็อกอิน 8 วัน,{rmb=100;6318=5;gold=100000}
19,1002,9,9天登录奖励,9天登錄獎勵,Day 9 Login Rewards,Thưởng Đăng Nhập 9 Ngày,9일 로그인 보상,Bônus de login de 9 dias,โบนัสล็อกอิน 9 วัน,{rmb=100;6318=5;gold=100000}
,,,,,,,,,,
1001,10001,1,新手福利第1天,新手福利第1天,Newbie Welfare Day 1,Phúc Lợi Tân Thủ Ngày 1,신규 혜택 1일 차,Benefícios para novatos no dia 1,สิทธิประโยชน์สำหรับมือใหม่ วันที่ 1,{rmb=100;519=10;930=5;gold=10000}
