变量名,name,name_tw,name_en,name_vn,name_kr,rechargeID,huodongID,originalPrice,logo,res,desc,desc_en,desc_kr,icon
默认值,,,,,,,,0,,,"""""","""""","""""",""""""
ID,名称,名称,名称,名称_越南,名称_韩,充值ID,活动版本,原价,商品角标（0:折扣 1:热 2:限 3:新）,经验值资源,富文本显示,富文本显示,富文本显示,图标资源路径
1,豪华版通行证,,,,,106,1010,198,,,,,,
2,豪华版通行证,,,,,109,2001,788,,,,,,
3,豪华版通行证,,,,,109,3001,788,,,,,,
4,豪华版通行证,,,,,109,4001,788,,,,,,
5,豪华版通行证,,,,,107,1001,788,,,,,,
6,豪华版通行证,,,,,108,4010,588,,,,,,
7,豪华版通行证,,,,,109,4011,1288,,,,,,
8,豪华版通行证,,,,,109,4012,1288,,,,,,
9,豪华版通行证,,,,,109,4013,1288,,,,,,
10,豪华版通行证,,,,,109,4014,1288,,,,,,
11,豪华版通行证,,,,,109,4015,1288,,,,,,
12,豪华版通行证,,,,,109,4016,1288,,,,,,
13,豪华版通行证,,,,,109,4017,1288,,,,,,
14,豪华版通行证,,,,,109,4018,1288,,,,,,
15,豪华版通行证,,,,,109,4019,1288,,,,,,
