变量名,score,huodongID,award,randomAward
默认值,<>,0,{},{}
ID,积分阶段,活动ID,固定奖励,随机奖励(<<libID;count>;>)
1,<0;10>,101058,{gold=10000;6394=2},{}
2,<10;30>,101058,{gold=20000;6394=4},{libs=<10101>}
3,<30;60>,101058,{gold=30000;6394=6},{libs=<10101>}
4,<60;90>,101058,{gold=40000;6394=8},{libs=<10101;10101>}
5,<90;120>,101058,{gold=50000;6394=10},{libs=<10101;10101>}
6,<120;150>,101058,{gold=60000;6394=12},{libs=<10101;10101;10101>}
7,<150;180>,101058,{gold=70000;6394=14},{libs=<10101;10101;10101>}
8,<180;200>,101058,{gold=80000;6394=16},{libs=<10101;10101;10101;10101>}
9,<200;220>,101058,{gold=100000;6394=18},{libs=<10101;10101;10101;10101;10101>}
10,<220;240>,101058,{gold=120000;6394=18},{libs=<10101;10101;10101;10101;10101>}
11,<240;270>,101058,{gold=140000;6394=18},{libs=<10101;10101;10101;10101;10101>}
12,<270;300>,101058,{gold=160000;6394=18},{libs=<10101;10101;10101;10101;10101>}
13,<300;330>,101058,{gold=180000;6394=18},{libs=<10101;10101;10101;10101;10101>}
14,<330;360>,101058,{gold=200000;6394=18},{libs=<10101;10101;10101;10101;10101>}
15,<360;390>,101058,{gold=220000;6394=18},{libs=<10101;10101;10101;10101;10101>}
16,<390;420>,101058,{gold=240000;6394=18},{libs=<10101;10101;10101;10101;10101>}
17,<420;99999999>,101058,{gold=240000;6394=18},{libs=<10101;10101;10101;10101;10101>}
