变量名,_beizhu,name,_name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,icon,icon1,rDesc,rDesc_tw,rDesc_en,rDesc_vn,rDesc_kr,rDesc_pt,rDesc_th,type,independent,desc,_desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,paramMap,clientParam,huodongID,countType,openType,validServerOpenDateRange,validRoleCreatedDateRange,beginDate,beginTime,beginTime_kr,beginTime_en,endDate,endTime,endTime_kr,endTime_en,relativeDayRange,openDuration,leastLevel,leastVipLevel,serverDayRange,roleDayRange,servers,languages,active,sortWeight,redpoint
默认值,"""""","""""","""""","""""","""""","""""","""""","""""","""""",city/main/icon_thlb.png,0,"""rDesc""","""rDesc""","""rDesc""","""rDesc""","""rDesc""","""rDesc""","""rDesc""",0,0,"""""","""""","""""","""""","""""","""""","""""","""""",{},{},0,1,1,<20160101;20200219>,<20160101;20990101>,20160101,500,0,0,20250101,500,0,0,<0;9999>,1,0,0,<-1;9999>,<-1;9999>,{dev=<1;999999>;cn=<1;999999>;cn_qd=<1;999999>;tw=<1;999999>;kr=<1;999999>;en=<1;999999>;vn=<1;999999>;pt=<1;999999>;th=<1;999999>;xy=<1;999999>},<cn;tw;en;vn;th;kr;pt>,0,0,0
ID,备注,显示用,原ID备注,显示用,显示用,显示用_越南,显示用_韩,显示用_韩,显示用_韩,活动图示,活动角标(1:热门，2: 限时，3:最新),活动右边子面板描述 rDesc 预设没有文本，不会显示,活动右边子面板描述 rDesc 预设没有文本，不会显示,活动右边子面板描述 rDesc 预设没有文本，不会显示,活动右边子面板描述 rDesc 预设没有文本，不会显示_越南,活动右边子面板描述 rDesc 预设没有文本，不会显示_韩,活动右边子面板描述 rDesc 预设没有文本，不会显示_韩,活动右边子面板描述 rDesc 预设没有文本，不会显示_韩,活动分类,"""-1: 不显示(如魂匣，海报等); 0: 活动内置（限时活动）; 1: 活动外部显示（收纳）; 2: 活动外部显示（不收纳）; 3: 活动内置（福利入口）;4: 外部收纳+活动; 5: 外部收纳+福利""""",活动简介,活动简介,活动简介,活动简介,活动简介_越南,活动简介_韩,活动简介_韩,活动简介_韩,活动参数,客户端需要参数(1.isShowCountDown=false活动倒计时隐藏、2.generalTaskDisappear=true活动奖励领取完页签消失、3.isShowTitle=false标题隐藏、4.limitId魂匣索引、5.priviewId抽卡预览索引),活动版本ID,计数类型0-每日、1-累计、特殊活动类型忽略,开放周期(0=一次性、1=每日活动、2=周期活动、3-相对开服日期、4-相对角色创建时间),生效的开服时间区间,生效的创角时间区间,开始日期,开始时间,开始时间,开始时间,截止日期,截止时间,截止时间,截止时间,持续的相对天数（3、4类型使用）,持续小时,最低等级限制,最低VIP限制,开服时间限制,创角时间限制,服务器,语言区域,是否激活,排序值,提示性红点（1为开启，0为关闭）
1,宝芙蕾,,1,,,,,,,city/main/icon_thlb.png,0,活动时间内，完成对应目标就可以获得奖励！,"During the event period, you can win rewards by completing the corresponding target!",活動時間內，完成對應目標就可以獲得獎勵！,"Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,"Durante o período do evento, você pode ganhar recompensas ao completar a meta correspondente!",ในช่วงระยะเวลากิจกรรม คุณสามารถรับรางวัลได้โดยบรรลุเป้าหมายที่สอดคล้องกัน!,7,0,Poké Puff,宝芙蕾,寶芙蕾,Poké Puff,Bảo Frey,포플레,Poké Puff,โปเกพัฟ,{stamina=60},{},0,1,1,<20160101;20990101>,<20160101;20990101>,20240101,900,0,0,20300101,500,0,0,<0;9999>,3,0,0,<-1;9999>,<-1;9999>,,,1,70,0
2,宝芙蕾,,2,,,,,,,city/main/icon_thlb.png,0,活动时间内，完成对应目标就可以获得奖励！,"During the event period, you can win rewards by completing the corresponding target!",活動時間內，完成對應目標就可以獲得獎勵！,"Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,"Durante o período do evento, você pode ganhar recompensas ao completar a meta correspondente!",ในช่วงระยะเวลากิจกรรม คุณสามารถรับรางวัลได้โดยบรรลุเป้าหมายที่สอดคล้องกัน!,7,0,Poké Puff,宝芙蕾,寶芙蕾,Poké Puff,Bảo Frey,포플레,Poké Puff,โปเกพัฟ,{stamina=60},{},0,1,1,<20160101;20990101>,<20160101;20990101>,20240101,1200,0,0,20300101,500,0,0,<0;9999>,3,0,0,<-1;9999>,<-1;9999>,,,1,80,0
3,宝芙蕾,,3,,,,,,,city/main/icon_thlb.png,0,活动时间内，完成对应目标就可以获得奖励！,"During the event period, you can win rewards by completing the corresponding target!",活動時間內，完成對應目標就可以獲得獎勵！,"Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,"Durante o período do evento, você pode ganhar recompensas ao completar a meta correspondente!",ในช่วงระยะเวลากิจกรรม คุณสามารถรับรางวัลได้โดยบรรลุเป้าหมายที่สอดคล้องกัน!,7,0,Poké Puff,宝芙蕾,寶芙蕾,Poké Puff,Bảo Frey,포플레,Poké Puff,โปเกพัฟ,{stamina=60},{},0,1,1,<20160101;20990101>,<20160101;20990101>,20240101,1800,0,0,20300101,500,0,0,<0;9999>,3,0,0,<-1;9999>,<-1;9999>,,,1,70,0
4,宝芙蕾,,4,,,,,,,city/main/icon_thlb.png,0,活动时间内，完成对应目标就可以获得奖励！,"During the event period, you can win rewards by completing the corresponding target!",活動時間內，完成對應目標就可以獲得獎勵！,"Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,"Durante o período do evento, você pode ganhar recompensas ao completar a meta correspondente!",ในช่วงระยะเวลากิจกรรม คุณสามารถรับรางวัลได้โดยบรรลุเป้าหมายที่สอดคล้องกัน!,7,0,Poké Puff,宝芙蕾,寶芙蕾,Poké Puff,Bảo Frey,포플레,Poké Puff,โปเกพัฟ,{stamina=60},{},0,1,1,<20160101;20990101>,<20160101;20990101>,20240101,2100,0,0,20300101,500,0,0,<0;9999>,3,0,0,<-1;9999>,<-1;9999>,,,1,80,0
5,宝芙蕾,,5,,,,,,,00ShuMa/TLBL_res/tlbl.png,0,活动时间内，完成对应目标就可以获得奖励！,"During the event period, you can win rewards by completing the corresponding target!",活動時間內，完成對應目標就可以獲得獎勵！,"Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,"Durante o período do evento, você pode ganhar recompensas ao completar a meta correspondente!",ในช่วงระยะเวลากิจกรรม คุณสามารถรับรางวัลได้โดยบรรลุเป้าหมายที่สอดคล้องกัน!,27,3,Poké Puff,宝芙蕾,寶芙蕾,Poké Puff,Bảo Frey,포플레,Poké Puff,โปเกพัฟ,{rmb=10},{},0,1,4,<20160101;20990101>,<20160101;20990101>,20240101,500,0,0,20300101,500,0,0,<0;9999>,50000,0,0,<-1;9999>,<-1;9999>,,,1,1,0
6,等级基金,,6,,,,,Fundo de nível_fixo,กองทุนระดับคงที่,00ShuMa/HD_res/LevelJiJin/10.png,0,rDesc,"""rDesc""","""rDesc""","""rDesc""","""rDesc""",,,22,3,Level Fund,等级基金,等級基金,Level Fund,Đẳng cấp quỹ ngân sách,레벨 기금,Fundo de Nível,กองทุนระดับ,{rmb=2000;vip=12},{},22001,1,1,<20160101;20990101>,<20160101;20990101>,20240101,500,0,0,20300101,500,0,0,<0;9999>,50000,0,0,<-1;9999>,<-1;9999>,,,1,2,0
,每日登陆奖励,,7,,,,,E-mail de boas-vindas_fixado,ยินดีต้อนรับ email_fixed,city/main/icon_thlb.png,0,活动时间内，完成对应目标就可以获得奖励！,"During the event period, you can win rewards by completing the corresponding target!",活動時間內，完成對應目標就可以獲得獎勵！,"Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,"Durante o período do evento, você pode ganhar recompensas ao completar a meta correspondente!",ในช่วงระยะเวลากิจกรรม คุณสามารถรับรางวัลได้โดยบรรลุเป้าหมายที่สอดคล้องกัน!,-1,-1,Daily login reward,每日登陆奖励,每日登陸獎勵,Daily login reward,Mỗi ngày đăng lục ban thưởng,일일 로그인 보상,Recompensa de login diário,รางวัลการเข้าสู่ระบบรายวัน,{mailID=106},{},0,1,4,<20160101;20990101>,<20160101;20990101>,20240101,500,0,0,20300101,500,0,0,<0;9999>,50000,0,0,<-1;9999>,<-1;9999>,,,1,0,0
7,欢迎邮件_固定不动,,,,,,,,,,,活动时间内，完成对应目标就可以获得奖励！,"During the event period, you can win rewards by completing the corresponding target!",,,,,,-1,-1,每日登陆奖励,Daily login reward,,,,,,,{mailID=106},,,,4,<20160101;20990101>,<20160101;20990101>,20240101,500,0,0,20300101,500,0,,<0;0>,50000,,,,,,,1,0,
