变量名,exp,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6
默认值,0,0,"""""",0,"""""",0,"""""",0,"""""",0,"""""",0,""""""
ID,升至行对应等级经验值,属性类型1,属性数值1,属性类型2,属性数值2,属性类型3,属性数值3,属性类型4,属性数值4,属性类型5,属性数值5,属性类型6,属性数值6
1,3200,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
2,9600,92,100,93,100,0,,0,,0,,0,
3,16000,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
4,28800,92,100,93,100,0,,0,,0,,0,
5,30800,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
6,32800,92,100,93,100,0,,0,,0,,0,
7,34800,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
8,36800,92,100,93,100,0,,0,,0,,0,
9,38800,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
10,40800,92,100,93,100,0,,0,,0,,0,
11,42800,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
12,44800,92,100,93,100,0,,0,,0,,0,
13,46800,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
14,48800,92,100,93,100,0,,0,,0,,0,
15,51800,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
16,54800,92,200,93,200,0,,0,,0,,0,
17,57800,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
18,60800,92,200,93,200,0,,0,,0,,0,
19,63800,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
20,66800,92,200,93,200,0,,0,,0,,0,
21,69800,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
22,72800,92,200,93,200,0,,0,,0,,0,
23,75800,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
24,78800,92,200,93,200,0,,0,,0,,0,
25,81800,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
26,84800,92,200,93,200,0,,0,,0,,0,
27,87800,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
28,90800,92,200,93,200,0,,0,,0,,0,
29,93800,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
30,98800,92,200,93,200,0,,0,,0,,0,
31,103800,1,3%,13,3%,7,3%,8,3%,9,3%,10,3%
32,108800,92,300,93,300,0,,0,,0,,0,
33,113800,1,3%,13,3%,7,3%,8,3%,9,3%,10,3%
34,118800,92,300,93,300,0,,0,,0,,0,
35,123800,1,3%,13,3%,7,3%,8,3%,9,3%,10,3%
36,128800,92,300,93,300,0,,0,,0,,0,
37,133800,1,3%,13,3%,7,3%,8,3%,9,3%,10,3%
38,138800,92,300,93,300,0,,0,,0,,0,
39,143800,1,3%,13,3%,7,3%,8,3%,9,3%,10,3%
40,148800,92,300,93,300,0,,0,,0,,0,
41,153800,1,3%,13,3%,7,3%,8,3%,9,3%,10,3%
42,158800,92,300,93,300,0,,0,,0,,0,
43,163800,1,3%,13,3%,7,3%,8,3%,9,3%,10,3%
44,168800,92,300,93,300,0,,0,,0,,0,
45,173800,1,3%,13,3%,7,3%,8,3%,9,3%,10,3%
46,178800,92,300,93,300,0,,0,,0,,0,
47,183800,1,3%,13,3%,7,3%,8,3%,9,3%,10,3%
48,188800,92,300,93,300,0,,0,,0,,0,
49,193800,1,3%,13,3%,7,3%,8,3%,9,3%,10,3%
50,198800,92,300,93,300,0,,0,,0,,0,
