变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5,costItemMap6,costItemMap7,costItemMap8,costItemMap9,costItemMap10,costItemMap11,costItemMap12,costItemMap13,costItemMap14,costItemMap15,costItemMap16,costItemMap17,costItemMap18,costItemMap19,costItemMap20
默认值,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
等级,道具消耗序列1,道具消耗序列2,道具消耗序列3,道具消耗序列4,道具消耗序列5,道具消耗序列6,道具消耗序列7,道具消耗序列8,道具消耗序列9,道具消耗序列10,道具消耗序列11,道具消耗序列12,道具消耗序列13,道具消耗序列14,道具消耗序列15,道具消耗序列16,道具消耗序列17,道具消耗序列18,道具消耗序列19,道具消耗序列20
0,{111=80;gold=80000;coin10=80},{111=120;gold=120000;coin10=120},{111=120;gold=120000;coin10=120},{111=160;gold=160000;coin10=160},{111=160;gold=160000;coin10=160},{coin2=80;111=80;gold=80000},{coin2=120;111=120;gold=120000},{coin2=120;111=120;gold=120000},{coin2=160;111=160;gold=160000},{coin2=160;111=160;gold=160000},{gold=80000;111=80;coin1=80},{gold=120000;111=120;coin1=120},{gold=120000;111=120;coin1=120},{gold=160000;111=160;coin1=160},{gold=160000;111=160;coin1=160},{coin6=80;111=80;gold=80000},{coin6=120;111=120;gold=120000},{coin6=120;111=120;gold=120000},{coin6=160;111=160;gold=160000},{coin6=160;111=160;gold=160000}
1,{111=80;gold=80000;coin10=80},{111=120;gold=120000;coin10=120},{111=120;gold=120000;coin10=120},{111=160;gold=160000;coin10=160},{111=160;gold=160000;coin10=160},{coin2=80;111=80;gold=80000},{coin2=120;111=120;gold=120000},{coin2=120;111=120;gold=120000},{coin2=160;111=160;gold=160000},{coin2=160;111=160;gold=160000},{gold=80000;111=80;coin1=80},{gold=120000;111=120;coin1=120},{gold=120000;111=120;coin1=120},{gold=160000;111=160;coin1=160},{gold=160000;111=160;coin1=160},{coin6=80;111=80;gold=80000},{coin6=120;111=120;gold=120000},{coin6=120;111=120;gold=120000},{coin6=160;111=160;gold=160000},{coin6=160;111=160;gold=160000}
2,{111=80;gold=80000;coin10=80},{111=120;gold=120000;coin10=120},{111=120;gold=120000;coin10=120},{111=160;gold=160000;coin10=160},{111=160;gold=160000;coin10=160},{coin2=80;111=80;gold=80000},{coin2=120;111=120;gold=120000},{coin2=120;111=120;gold=120000},{coin2=160;111=160;gold=160000},{coin2=160;111=160;gold=160000},{gold=80000;111=80;coin1=80},{gold=120000;111=120;coin1=120},{gold=120000;111=120;coin1=120},{gold=160000;111=160;coin1=160},{gold=160000;111=160;coin1=160},{coin6=80;111=80;gold=80000},{coin6=120;111=120;gold=120000},{coin6=120;111=120;gold=120000},{coin6=160;111=160;gold=160000},{coin6=160;111=160;gold=160000}
3,{111=80;gold=80000;coin10=80},{111=120;gold=120000;coin10=120},{111=120;gold=120000;coin10=120},{111=160;gold=160000;coin10=160},{111=160;gold=160000;coin10=160},{coin2=80;111=80;gold=80000},{coin2=120;111=120;gold=120000},{coin2=120;111=120;gold=120000},{coin2=160;111=160;gold=160000},{coin2=160;111=160;gold=160000},{gold=80000;111=80;coin1=80},{gold=120000;111=120;coin1=120},{gold=120000;111=120;coin1=120},{gold=160000;111=160;coin1=160},{gold=160000;111=160;coin1=160},{coin6=80;111=80;gold=80000},{coin6=120;111=120;gold=120000},{coin6=120;111=120;gold=120000},{coin6=160;111=160;gold=160000},{coin6=160;111=160;gold=160000}
4,{111=80;gold=80000;coin10=80},{111=120;gold=120000;coin10=120},{111=120;gold=120000;coin10=120},{111=160;gold=160000;coin10=160},{111=160;gold=160000;coin10=160},{coin2=80;111=80;gold=80000},{coin2=120;111=120;gold=120000},{coin2=120;111=120;gold=120000},{coin2=160;111=160;gold=160000},{coin2=160;111=160;gold=160000},{gold=80000;111=80;coin1=80},{gold=120000;111=120;coin1=120},{gold=120000;111=120;coin1=120},{gold=160000;111=160;coin1=160},{gold=160000;111=160;coin1=160},{coin6=80;111=80;gold=80000},{coin6=120;111=120;gold=120000},{coin6=120;111=120;gold=120000},{coin6=160;111=160;gold=160000},{coin6=160;111=160;gold=160000}
5,{111=84;gold=120000;coin10=120},{111=126;gold=180000;coin10=180},{111=126;gold=180000;coin10=180},{111=168;gold=240000;coin10=240},{111=168;gold=240000;coin10=240},{coin2=120;111=84;gold=120000},{coin2=180;111=126;gold=180000},{coin2=180;111=126;gold=180000},{coin2=240;111=168;gold=240000},{coin2=240;111=168;gold=240000},{gold=120000;111=84;coin1=120},{gold=180000;111=126;coin1=180},{gold=180000;111=126;coin1=180},{gold=240000;111=168;coin1=240},{gold=240000;111=168;coin1=240},{coin6=120;111=84;gold=120000},{coin6=180;111=126;gold=180000},{coin6=180;111=126;gold=180000},{coin6=240;111=168;gold=240000},{coin6=240;111=168;gold=240000}
6,{111=84;gold=120000;coin10=120},{111=126;gold=180000;coin10=180},{111=126;gold=180000;coin10=180},{111=168;gold=240000;coin10=240},{111=168;gold=240000;coin10=240},{coin2=120;111=84;gold=120000},{coin2=180;111=126;gold=180000},{coin2=180;111=126;gold=180000},{coin2=240;111=168;gold=240000},{coin2=240;111=168;gold=240000},{gold=120000;111=84;coin1=120},{gold=180000;111=126;coin1=180},{gold=180000;111=126;coin1=180},{gold=240000;111=168;coin1=240},{gold=240000;111=168;coin1=240},{coin6=120;111=84;gold=120000},{coin6=180;111=126;gold=180000},{coin6=180;111=126;gold=180000},{coin6=240;111=168;gold=240000},{coin6=240;111=168;gold=240000}
7,{111=84;gold=120000;coin10=120},{111=126;gold=180000;coin10=180},{111=126;gold=180000;coin10=180},{111=168;gold=240000;coin10=240},{111=168;gold=240000;coin10=240},{coin2=120;111=84;gold=120000},{coin2=180;111=126;gold=180000},{coin2=180;111=126;gold=180000},{coin2=240;111=168;gold=240000},{coin2=240;111=168;gold=240000},{gold=120000;111=84;coin1=120},{gold=180000;111=126;coin1=180},{gold=180000;111=126;coin1=180},{gold=240000;111=168;coin1=240},{gold=240000;111=168;coin1=240},{coin6=120;111=84;gold=120000},{coin6=180;111=126;gold=180000},{coin6=180;111=126;gold=180000},{coin6=240;111=168;gold=240000},{coin6=240;111=168;gold=240000}
8,{111=84;gold=120000;coin10=120},{111=126;gold=180000;coin10=180},{111=126;gold=180000;coin10=180},{111=168;gold=240000;coin10=240},{111=168;gold=240000;coin10=240},{coin2=120;111=84;gold=120000},{coin2=180;111=126;gold=180000},{coin2=180;111=126;gold=180000},{coin2=240;111=168;gold=240000},{coin2=240;111=168;gold=240000},{gold=120000;111=84;coin1=120},{gold=180000;111=126;coin1=180},{gold=180000;111=126;coin1=180},{gold=240000;111=168;coin1=240},{gold=240000;111=168;coin1=240},{coin6=120;111=84;gold=120000},{coin6=180;111=126;gold=180000},{coin6=180;111=126;gold=180000},{coin6=240;111=168;gold=240000},{coin6=240;111=168;gold=240000}
9,{111=84;gold=120000;coin10=120},{111=126;gold=180000;coin10=180},{111=126;gold=180000;coin10=180},{111=168;gold=240000;coin10=240},{111=168;gold=240000;coin10=240},{coin2=120;111=84;gold=120000},{coin2=180;111=126;gold=180000},{coin2=180;111=126;gold=180000},{coin2=240;111=168;gold=240000},{coin2=240;111=168;gold=240000},{gold=120000;111=84;coin1=120},{gold=180000;111=126;coin1=180},{gold=180000;111=126;coin1=180},{gold=240000;111=168;coin1=240},{gold=240000;111=168;coin1=240},{coin6=120;111=84;gold=120000},{coin6=180;111=126;gold=180000},{coin6=180;111=126;gold=180000},{coin6=240;111=168;gold=240000},{coin6=240;111=168;gold=240000}
10,{111=88;gold=160000;coin10=160},{111=132;gold=240000;coin10=240},{111=132;gold=240000;coin10=240},{111=176;gold=320000;coin10=320},{111=176;gold=320000;coin10=320},{coin2=160;111=88;gold=160000},{coin2=240;111=132;gold=240000},{coin2=240;111=132;gold=240000},{coin2=320;111=176;gold=320000},{coin2=320;111=176;gold=320000},{gold=160000;111=88;coin1=160},{gold=240000;111=132;coin1=240},{gold=240000;111=132;coin1=240},{gold=320000;111=176;coin1=320},{gold=320000;111=176;coin1=320},{coin6=160;111=88;gold=160000},{coin6=240;111=132;gold=240000},{coin6=240;111=132;gold=240000},{coin6=320;111=176;gold=320000},{coin6=320;111=176;gold=320000}
11,{111=88;gold=160000;coin10=160},{111=132;gold=240000;coin10=240},{111=132;gold=240000;coin10=240},{111=176;gold=320000;coin10=320},{111=176;gold=320000;coin10=320},{coin2=160;111=88;gold=160000},{coin2=240;111=132;gold=240000},{coin2=240;111=132;gold=240000},{coin2=320;111=176;gold=320000},{coin2=320;111=176;gold=320000},{gold=160000;111=88;coin1=160},{gold=240000;111=132;coin1=240},{gold=240000;111=132;coin1=240},{gold=320000;111=176;coin1=320},{gold=320000;111=176;coin1=320},{coin6=160;111=88;gold=160000},{coin6=240;111=132;gold=240000},{coin6=240;111=132;gold=240000},{coin6=320;111=176;gold=320000},{coin6=320;111=176;gold=320000}
12,{111=88;gold=160000;coin10=160},{111=132;gold=240000;coin10=240},{111=132;gold=240000;coin10=240},{111=176;gold=320000;coin10=320},{111=176;gold=320000;coin10=320},{coin2=160;111=88;gold=160000},{coin2=240;111=132;gold=240000},{coin2=240;111=132;gold=240000},{coin2=320;111=176;gold=320000},{coin2=320;111=176;gold=320000},{gold=160000;111=88;coin1=160},{gold=240000;111=132;coin1=240},{gold=240000;111=132;coin1=240},{gold=320000;111=176;coin1=320},{gold=320000;111=176;coin1=320},{coin6=160;111=88;gold=160000},{coin6=240;111=132;gold=240000},{coin6=240;111=132;gold=240000},{coin6=320;111=176;gold=320000},{coin6=320;111=176;gold=320000}
13,{111=88;gold=160000;coin10=160},{111=132;gold=240000;coin10=240},{111=132;gold=240000;coin10=240},{111=176;gold=320000;coin10=320},{111=176;gold=320000;coin10=320},{coin2=160;111=88;gold=160000},{coin2=240;111=132;gold=240000},{coin2=240;111=132;gold=240000},{coin2=320;111=176;gold=320000},{coin2=320;111=176;gold=320000},{gold=160000;111=88;coin1=160},{gold=240000;111=132;coin1=240},{gold=240000;111=132;coin1=240},{gold=320000;111=176;coin1=320},{gold=320000;111=176;coin1=320},{coin6=160;111=88;gold=160000},{coin6=240;111=132;gold=240000},{coin6=240;111=132;gold=240000},{coin6=320;111=176;gold=320000},{coin6=320;111=176;gold=320000}
14,{111=88;gold=160000;coin10=160},{111=132;gold=240000;coin10=240},{111=132;gold=240000;coin10=240},{111=176;gold=320000;coin10=320},{111=176;gold=320000;coin10=320},{coin2=160;111=88;gold=160000},{coin2=240;111=132;gold=240000},{coin2=240;111=132;gold=240000},{coin2=320;111=176;gold=320000},{coin2=320;111=176;gold=320000},{gold=160000;111=88;coin1=160},{gold=240000;111=132;coin1=240},{gold=240000;111=132;coin1=240},{gold=320000;111=176;coin1=320},{gold=320000;111=176;coin1=320},{coin6=160;111=88;gold=160000},{coin6=240;111=132;gold=240000},{coin6=240;111=132;gold=240000},{coin6=320;111=176;gold=320000},{coin6=320;111=176;gold=320000}
15,{111=92;gold=200000;coin10=200},{111=138;gold=300000;coin10=300},{111=138;gold=300000;coin10=300},{111=184;gold=400000;coin10=400},{111=184;gold=400000;coin10=400},{coin2=200;111=92;gold=200000},{coin2=300;111=138;gold=300000},{coin2=300;111=138;gold=300000},{coin2=400;111=184;gold=400000},{coin2=400;111=184;gold=400000},{gold=200000;111=92;coin1=200},{gold=300000;111=138;coin1=300},{gold=300000;111=138;coin1=300},{gold=400000;111=184;coin1=400},{gold=400000;111=184;coin1=400},{coin6=200;111=92;gold=200000},{coin6=300;111=138;gold=300000},{coin6=300;111=138;gold=300000},{coin6=400;111=184;gold=400000},{coin6=400;111=184;gold=400000}
