变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5,costItemMap6,costItemMap7,costItemMap8,costItemMap9,costItemMap10,costItemMap11,costItemMap12,costItemMap13,costItemMap14,costItemMap15,costItemMap16,costItemMap17,costItemMap18,costItemMap19,costItemMap20
默认值,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
等级,道具消耗序列1,道具消耗序列2,道具消耗序列3,道具消耗序列4,道具消耗序列5,道具消耗序列6,道具消耗序列7,道具消耗序列8,道具消耗序列9,道具消耗序列10,道具消耗序列11,道具消耗序列12,道具消耗序列13,道具消耗序列14,道具消耗序列15,道具消耗序列16,道具消耗序列17,道具消耗序列18,道具消耗序列19,道具消耗序列20
0,{111=240;gold=200000;112=80;coin10=200},{111=240;gold=200000;112=80;coin2=200},{111=240;coin1=200;gold=200000;112=80},{111=240;gold=200000;112=80;coin6=200},{111=360;gold=400000;112=120;coin10=300},{111=360;gold=400000;112=120;coin2=300},{111=360;coin1=300;gold=400000;112=120},{111=360;gold=400000;112=120;coin6=300},{111=360;gold=400000;112=120;coin10=300},{111=360;gold=400000;112=120;coin2=300},{111=360;coin1=300;gold=400000;112=120},{111=360;gold=400000;112=120;coin6=300},{111=480;gold=600000;112=160;coin10=400},{111=480;gold=600000;112=160;coin2=400},{111=480;coin1=400;gold=600000;112=160},{111=480;gold=600000;112=160;coin6=400},{111=480;gold=600000;112=160;coin10=400},{111=480;gold=600000;112=160;coin2=400},{111=480;coin1=400;gold=600000;112=160},{111=480;gold=600000;112=160;coin6=400}
1,{111=260;gold=300000;112=90;coin10=300},{111=260;gold=300000;112=90;coin2=300},{111=260;coin1=300;gold=300000;112=90},{111=260;gold=300000;112=90;coin6=300},{111=390;gold=600000;112=135;coin10=450},{111=390;gold=600000;112=135;coin2=450},{111=390;coin1=450;gold=600000;112=135},{111=390;gold=600000;112=135;coin6=450},{111=390;gold=600000;112=135;coin10=450},{111=390;gold=600000;112=135;coin2=450},{111=390;coin1=450;gold=600000;112=135},{111=390;gold=600000;112=135;coin6=450},{111=520;gold=900000;112=180;coin10=600},{111=520;gold=900000;112=180;coin2=600},{111=520;coin1=600;gold=900000;112=180},{111=520;gold=900000;112=180;coin6=600},{111=520;gold=900000;112=180;coin10=600},{111=520;gold=900000;112=180;coin2=600},{111=520;coin1=600;gold=900000;112=180},{111=520;gold=900000;112=180;coin6=600}
2,{111=280;gold=400000;112=100;coin10=400},{111=280;gold=400000;112=100;coin2=400},{111=280;coin1=400;gold=400000;112=100},{111=280;gold=400000;112=100;coin6=400},{111=420;gold=800000;112=150;coin10=600},{111=420;gold=800000;112=150;coin2=600},{111=420;coin1=600;gold=800000;112=150},{111=420;gold=800000;112=150;coin6=600},{111=420;gold=800000;112=150;coin10=600},{111=420;gold=800000;112=150;coin2=600},{111=420;coin1=600;gold=800000;112=150},{111=420;gold=800000;112=150;coin6=600},{111=560;gold=1200000;112=200;coin10=800},{111=560;gold=1200000;112=200;coin2=800},{111=560;coin1=800;gold=1200000;112=200},{111=560;gold=1200000;112=200;coin6=800},{111=560;gold=1200000;112=200;coin10=800},{111=560;gold=1200000;112=200;coin2=800},{111=560;coin1=800;gold=1200000;112=200},{111=560;gold=1200000;112=200;coin6=800}
3,{111=300;gold=500000;112=120;coin10=500},{111=300;gold=500000;112=120;coin2=500},{111=300;coin1=500;gold=500000;112=120},{111=300;gold=500000;112=120;coin6=500},{111=450;gold=1000000;112=180;coin10=800},{111=450;gold=1000000;112=180;coin2=800},{111=450;coin1=800;gold=1000000;112=180},{111=450;gold=1000000;112=180;coin6=800},{111=450;gold=1000000;112=180;coin10=800},{111=450;gold=1000000;112=180;coin2=800},{111=450;coin1=800;gold=1000000;112=180},{111=450;gold=1000000;112=180;coin6=800},{111=600;gold=1500000;112=240;coin10=1000},{111=600;gold=1500000;112=240;coin2=1000},{111=600;coin1=1000;gold=1500000;112=240},{111=600;gold=1500000;112=240;coin6=1000},{111=600;gold=1500000;112=240;coin10=1000},{111=600;gold=1500000;112=240;coin2=1000},{111=600;coin1=1000;gold=1500000;112=240},{111=600;gold=1500000;112=240;coin6=1000}
4,{111=340;gold=600000;112=140;coin10=600},{111=340;gold=600000;112=140;coin2=600},{111=340;coin1=600;gold=600000;112=140},{111=340;gold=600000;112=140;coin6=600},{111=510;gold=1200000;112=210;coin10=900},{111=510;gold=1200000;112=210;coin2=900},{111=510;coin1=900;gold=1200000;112=210},{111=510;gold=1200000;112=210;coin6=900},{111=510;gold=1200000;112=210;coin10=900},{111=510;gold=1200000;112=210;coin2=900},{111=510;coin1=900;gold=1200000;112=210},{111=510;gold=1200000;112=210;coin6=900},{111=680;gold=1800000;112=280;coin10=1200},{111=680;gold=1800000;112=280;coin2=1200},{111=680;coin1=1200;gold=1800000;112=280},{111=680;gold=1800000;112=280;coin6=1200},{111=680;gold=1800000;112=280;coin10=1200},{111=680;gold=1800000;112=280;coin2=1200},{111=680;coin1=1200;gold=1800000;112=280},{111=680;gold=1800000;112=280;coin6=1200}
5,{111=380;gold=800000;112=180;coin10=700},{111=380;gold=800000;112=180;coin2=700},{111=380;coin1=700;gold=800000;112=180},{111=380;gold=800000;112=180;coin6=700},{111=570;gold=1600000;112=270;coin10=1050},{111=570;gold=1600000;112=270;coin2=1050},{111=570;coin1=1050;gold=1600000;112=270},{111=570;gold=1600000;112=270;coin6=1050},{111=570;gold=1600000;112=270;coin10=1050},{111=570;gold=1600000;112=270;coin2=1050},{111=570;coin1=1050;gold=1600000;112=270},{111=570;gold=1600000;112=270;coin6=1050},{111=760;gold=2400000;112=360;coin10=1400},{111=760;gold=2400000;112=360;coin2=1400},{111=760;coin1=1400;gold=2400000;112=360},{111=760;gold=2400000;112=360;coin6=1400},{111=760;gold=2400000;112=360;coin10=1400},{111=760;gold=2400000;112=360;coin2=1400},{111=760;coin1=1400;gold=2400000;112=360},{111=760;gold=2400000;112=360;coin6=1400}
6,{111=420;gold=1000000;112=220;coin10=800},{111=420;gold=1000000;112=220;coin2=800},{111=420;coin1=800;gold=1000000;112=220},{111=420;gold=1000000;112=220;coin6=800},{111=630;gold=2000000;112=330;coin10=1200},{111=630;gold=2000000;112=330;coin2=1200},{111=630;coin1=1200;gold=2000000;112=330},{111=630;gold=2000000;112=330;coin6=1200},{111=630;gold=2000000;112=330;coin10=1200},{111=630;gold=2000000;112=330;coin2=1200},{111=630;coin1=1200;gold=2000000;112=330},{111=630;gold=2000000;112=330;coin6=1200},{111=840;gold=3000000;112=440;coin10=1600},{111=840;gold=3000000;112=440;coin2=1600},{111=840;coin1=1600;gold=3000000;112=440},{111=840;gold=3000000;112=440;coin6=1600},{111=840;gold=3000000;112=440;coin10=1600},{111=840;gold=3000000;112=440;coin2=1600},{111=840;coin1=1600;gold=3000000;112=440},{111=840;gold=3000000;112=440;coin6=1600}
7,{111=460;gold=1200000;112=280;coin10=900},{111=460;gold=1200000;112=280;coin2=900},{111=460;coin1=900;gold=1200000;112=280},{111=460;gold=1200000;112=280;coin6=900},{111=690;gold=2400000;112=420;coin10=1350},{111=690;gold=2400000;112=420;coin2=1350},{111=690;coin1=1350;gold=2400000;112=420},{111=690;gold=2400000;112=420;coin6=1350},{111=690;gold=2400000;112=420;coin10=1350},{111=690;gold=2400000;112=420;coin2=1350},{111=690;coin1=1350;gold=2400000;112=420},{111=690;gold=2400000;112=420;coin6=1350},{111=920;gold=3600000;112=560;coin10=1800},{111=920;gold=3600000;112=560;coin2=1800},{111=920;coin1=1800;gold=3600000;112=560},{111=920;gold=3600000;112=560;coin6=1800},{111=920;gold=3600000;112=560;coin10=1800},{111=920;gold=3600000;112=560;coin2=1800},{111=920;coin1=1800;gold=3600000;112=560},{111=920;gold=3600000;112=560;coin6=1800}
8,{111=520;gold=1400000;112=340;coin10=1000},{111=520;gold=1400000;112=340;coin2=1000},{111=520;coin1=1000;gold=1400000;112=340},{111=520;gold=1400000;112=340;coin6=1000},{111=780;gold=2800000;112=510;coin10=1500},{111=780;gold=2800000;112=510;coin2=1500},{111=780;coin1=1500;gold=2800000;112=510},{111=780;gold=2800000;112=510;coin6=1500},{111=780;gold=2800000;112=510;coin10=1500},{111=780;gold=2800000;112=510;coin2=1500},{111=780;coin1=1500;gold=2800000;112=510},{111=780;gold=2800000;112=510;coin6=1500},{111=1040;gold=4200000;112=680;coin10=2000},{111=1040;gold=4200000;112=680;coin2=2000},{111=1040;coin1=2000;gold=4200000;112=680},{111=1040;gold=4200000;112=680;coin6=2000},{111=1040;gold=4200000;112=680;coin10=2000},{111=1040;gold=4200000;112=680;coin2=2000},{111=1040;coin1=2000;gold=4200000;112=680},{111=1040;gold=4200000;112=680;coin6=2000}
9,{111=580;gold=1600000;112=400;coin10=1100},{111=580;gold=1600000;112=400;coin2=1100},{111=580;coin1=1100;gold=1600000;112=400},{111=580;gold=1600000;112=400;coin6=1100},{111=870;gold=3200000;112=600;coin10=1650},{111=870;gold=3200000;112=600;coin2=1650},{111=870;coin1=1650;gold=3200000;112=600},{111=870;gold=3200000;112=600;coin6=1650},{111=870;gold=3200000;112=600;coin10=1650},{111=870;gold=3200000;112=600;coin2=1650},{111=870;coin1=1650;gold=3200000;112=600},{111=870;gold=3200000;112=600;coin6=1650},{111=1160;gold=4800000;112=800;coin10=2200},{111=1160;gold=4800000;112=800;coin2=2200},{111=1160;coin1=2200;gold=4800000;112=800},{111=1160;gold=4800000;112=800;coin6=2200},{111=1160;gold=4800000;112=800;coin10=2200},{111=1160;gold=4800000;112=800;coin2=2200},{111=1160;coin1=2200;gold=4800000;112=800},{111=1160;gold=4800000;112=800;coin6=2200}
