变量名,_beizhu,normal,fire,water,grass,electricity,ice,combat,poison,ground,fly,super,worm,rock,ghost,dragon,evil,steel,fairy
默认值,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
属性ID,属性备注（攻击类型/防御类型）,一般,火,水,草,电,冰,格斗,毒,地面,飞行,超能,虫,岩石,幽灵,龙,恶,钢,妖精
1,,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8,1,1,0.8,1
2,,1,0.8,0.8,1.2,1,1.2,1,1,1,1,1,1.2,0.8,1,0.8,1,1.2,1
3,,1,1.2,0.8,0.8,1,1,1,1,1.2,1,1,1,1.2,1,0.8,1,1,1
4,,1,0.8,1.2,0.8,1,1,1,0.8,1.2,0.8,1,0.8,1.2,1,0.8,1,0.8,1
5,,1,1,1.2,0.8,0.8,1,1,1,0.8,1.2,1,1,1,1,0.8,1,1,1
6,,1,0.8,0.8,1.2,1,0.8,1,1,1.2,1.2,1,1,1,1,1.2,1,0.8,1
7,,1.2,1,1,1,1,1.2,1,0.8,1,0.8,0.8,0.8,1.2,0.8,1,1.2,1.2,0.8
8,,1,1,1,1.2,1,1,1,0.8,0.8,1,1,1,0.8,0.8,1,1,0.8,1.2
9,,1,1.2,1,0.8,1.2,1,1,1.2,1,0.8,1,0.8,1.2,1,1,1,1.2,1
10,,1,1,1,1.2,0.8,1,1.2,1,1,1,1,1.2,0.8,1,1,1,0.8,1
11,,1,1,1,1,1,1,1.2,1.2,1,1,0.8,1,1,1,1,0.8,0.8,1
12,,1,0.8,1,1.2,1,1,0.8,0.8,1,0.8,1.2,1,1,0.8,1,1.2,0.8,0.8
13,,1,1.2,1,1,1,1.2,0.8,1,0.8,1.2,1,1.2,1,1,1,1,0.8,1
14,,0.8,1,1,1,1,1,1,1,1,1,1.2,1,1,1.2,1,0.8,1,1
15,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,0.8,0.8
16,,1,1,1,1,1,1,0.8,1,1,1,1.2,1,1,1.2,1,0.8,1,0.8
17,,1,0.8,0.8,1,0.8,1.2,1,1,1,1,1,1,1.2,1,1,1,0.8,1.2
18,,1,0.8,1,1,1,1,1.2,0.8,1,1,1,1,1,1,1.2,1.2,0.8,1
