变量名,gold1,itemMap1,gold2,itemMap2,gold3,itemMap3,gold4,itemMap4,gold5,itemMap5,gold6,itemMap6,gold7,itemMap7,needLevel,fragNum1,fragNum2,fragNum3,itemNum1,itemNum2,itemNum3,itemNum4,itemNum5
默认值,0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,0,0,0,0,0,0,0,0
等级,金币消耗序列1,道具消耗序列1,金币消耗序列2,道具消耗序列2,金币消耗序列3,道具消耗序列3,金币消耗序列4,道具消耗序列4,金币消耗序列5,道具消耗序列5,金币消耗序列6,道具消耗序列6,金币消耗序列6,道具消耗序列6,升级所需卡牌等级,7星被动技能消耗碎片数1,7星被动技能消耗碎片数2,7星被动技能消耗碎片数3,b精灵极限点消耗,a精灵极限点消耗,s精灵极限点消耗,s+精灵极限点消耗,ss精灵极限点消耗
0,0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,5,5,5,5,5,5,5,5
1,500,{},750,{},1250,{},1000,{},1500,{},2500,{},2000,{},2,5,5,5,5,5,5,5,5
2,550,{},825,{},1375,{},1100,{},1650,{},2750,{},2200,{},3,5,5,5,5,5,5,5,5
3,600,{},900,{},1500,{},1200,{},1800,{},3000,{},2400,{},4,5,5,5,5,5,5,5,5
4,650,{},975,{},1625,{},1300,{},1950,{},3250,{},2600,{},5,5,5,5,5,5,5,5,5
5,700,{},1050,{},1750,{},1400,{},2100,{},3500,{},2800,{},6,5,5,5,5,5,5,5,5
6,750,{},1125,{},1875,{},1500,{},2250,{},3750,{},3000,{},7,5,5,5,5,5,5,5,5
7,800,{},1200,{},2000,{},1600,{},2400,{},4000,{},3200,{},8,5,5,5,5,5,5,5,5
8,850,{},1275,{},2125,{},1700,{},2550,{},4250,{},3400,{},9,10,10,10,5,5,5,5,5
9,900,{},1350,{},2250,{},1800,{},2700,{},4500,{},3600,{},10,10,10,10,5,5,5,5,5
10,950,{},1425,{},2375,{},1900,{},2850,{},4750,{},3800,{},11,10,10,10,10,10,10,10,10
11,1000,{},1500,{},2500,{},2000,{},3000,{},5000,{},4000,{},12,10,10,10,10,10,10,10,10
12,1050,{},1575,{},2625,{},2100,{},3150,{},5250,{},4200,{},13,10,10,10,10,10,10,10,10
13,1100,{},1650,{},2750,{},2200,{},3300,{},5500,{},4400,{},14,10,10,10,10,10,10,10,10
14,1150,{},1725,{},2875,{},2300,{},3450,{},5750,{},4600,{},15,10,10,10,10,10,10,10,10
15,1200,{},1800,{},3000,{},2400,{},3600,{},6000,{},4800,{},16,10,10,10,10,10,10,10,10
16,1250,{},1875,{},3125,{},2500,{},3750,{},6250,{},5000,{},17,10,10,10,10,10,10,10,10
17,1300,{},1950,{},3250,{},2600,{},3900,{},6500,{},5200,{},18,10,10,10,10,10,10,10,10
18,1350,{},2025,{},3375,{},2700,{},4050,{},6750,{},5400,{},19,10,10,10,10,10,10,10,10
19,1400,{},2100,{},3500,{},2800,{},4200,{},7000,{},5600,{},20,10,10,10,10,10,10,10,10
20,1450,{},2175,{},3625,{},2900,{},4350,{},7250,{},5800,{},21,10,10,10,15,15,15,15,15
21,1500,{},2250,{},3750,{},3000,{},4500,{},7500,{},6000,{},22,10,10,10,15,15,15,15,15
