变量名,_beizhu,cardID,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,groupID,starUnlock,addAttributes,unlockdesc1,unlockdesc1_tw,unlockdesc1_en,unlockdesc1_vn,unlockdesc1_kr,unlockdesc1_pt,unlockdesc1_th,unlockdesc2,unlockdesc2_tw,unlockdesc2_en,unlockdesc2_vn,unlockdesc2_kr,unlockdesc2_pt,unlockdesc2_th,unlockType,unlockTarget,lock,rarity,level,star,advance,skillLevels,abilities,nvalue,fetters,equipAdvance,equipStar,equipLevel,equipAwake,zawake,hp,damage,specialDamage,defence,specialDefence,speed,strikeLevel,strikeDamage,strikeResistance,blockLevel,breakBlockLevel,blockPower,damageAdd,damageSub,mainSkillAdd,mainSkillSub,controlPer,immuneControl,suckBlood,rebound,languages
默认值,,0,"""""","""""","""""","""""","""""","""""","""""",,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",0,0,0,1,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;speed=31;damage=31;defence=31;specialDamage=31;specialDefence=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",<cn>
ID,备注,卡牌ID,描述,描述,描述,描述,描述,描述,描述,分组,星级解锁档位,额外属性,未解锁条件描述,未解锁条件描述,未解锁条件描述,未解锁条件描述,未解锁条件描述,未解锁条件描述,未解锁条件描述,解锁达成描述,解锁达成描述,解锁达成描述,解锁达成描述,解锁达成描述,解锁达成描述,解锁达成描述,解锁方式(0-无条件;1-招募指定id卡牌;2-失败x轮解锁;3-获得指定id徽章;4-通关指定id的关卡  5根据周期内天数解锁),解锁目标,上锁标记,稀有度,等级,星级,突破阶数,技能等级,潜能等级,个体值,羁绊,饰品阶数,饰品星级,饰品等级,饰品觉醒等级,z觉醒等级,血量,物攻,特攻,物防,特防,速度,暴击等级,暴击伤害,暴击抗性,格挡等级,破格挡等级,格挡强度,伤害加成,伤害减免,大招伤害加成,大招伤害抗性,控制率,免控率,吸血率,反弹率,语言
10003,,3,妙蛙花,妙蛙花,Venusaur,Venusaur,비비꽃,Venusaur,เวนุซอร์,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,2,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
10013,,13,喷火龙,噴火龍,Charizard,Charizard,리자몽,Charizard,แชริซาร์ด,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,2,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
10023,,23,水箭龟,水箭龜,Blastoise,Blastoise,거북왕,Blastoise,บลาสโตส,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,2,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
10031,,31,绿毛虫,綠毛蟲,Caterpie,Caterpie,캐터피,Caterpie,แคเทอร์ปี,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,1,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
10263,,263,胡地,胡地,Alakazam,Alakazam,후딘,Alakazam,อะลาคาซาม,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,3,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
10333,,333,自爆磁怪,自爆磁怪,Self-Destructing Magnet,Nam châm tự hủy,자폭 자석,Ímã autodestrutivo,แม่เหล็กทำลายตัวเอง,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,3,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
10552,,552,宝石海星,寶石海星,Jewel starfish,Sao biển ngọc,보석 불가사리,Estrela-do-mar de joia,ดาวทะเลอัญมณี,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,2,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
10572,,572,巨钳螳螂,巨鉗螳螂,Giant Mantis,Bọ Ngựa Khổng Lồ,거대사마귀,Louva-a-deus Gigante,ตั๊กแตนตำข้าวยักษ์,1,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,,,,,,,,,,,,,,,0,0,0,3,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;defence=31;specialDefence=31;damage=31;specialDamage=31;speed=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,<cn>
