变量名,firstMonters,repeatMonters,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,monsterDesc,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,scene,hpFix,damageFix,defenceFix,speedFix,floor,firstAward,repeatAward,extraAward,singleDamageMax,damageMax
默认值,<>,<>,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",stage/znq.csv,1,1,1,1,1,{},{},{},500,500
ID,首次挑战阵容,后续挑战阵容,关卡名字,关卡名字,关卡名字,关卡名字,关卡名字,关卡名字,关卡名字,阵容信息,关卡介绍,关卡介绍,关卡介绍,关卡介绍,关卡介绍,关卡介绍,关卡介绍,关卡背景,血量修正系数,双攻修正系数,双防修正系数,速度修正系数,层数标记,首通奖励,通关奖励,额外奖励,单角色最高伤害限制,副本总伤害限制
1,<111>,<111;11>,第1关,第1關,Level 1,Cấp 1,1단계,Nível 1,ด่านที่ 1,,就决定是你了,就決定是你了,"It’s decided, it’s you",Chính là bạn rồi,바로 너로 정했다,É você,ฉันเลือกเธอแล้ว,stage/znq.csv,0.5,0.5,0.5,0.5,1,{515=3;5000=10;6393=10;452=30},{gold=50000},{},500,500
2,<112>,<112;12>,第2关,第2關,Level 2,Cấp 2,2단계,Nível 2,ด่านที่ 2,,欢迎来到研究基地,歡迎來到研究基地,Welcome to the research base,Chào mừng đến căn cứ nghiên cứu,연구기지에 오신 것을 환영합니다,Bem-vindo à base de pesquisa,ยินดีต้อนรับสู่ฐานวิจัย,stage/znq.csv,0.55,0.55,0.55,0.55,2,{850=50;930=10;6393=10;900=20},{gold=50000},{},500,500
3,<113>,<113;13>,第3关,第3關,Level 3,Cấp 3,3단계,Nível 3,ด่านที่ 3,,暴风雪中会遇到什么呢,暴風雪中會遇到什麼呢,What will you encounter in the blizzard?,Sẽ gặp gì trong cơn bão tuyết?,눈보라 속에서 무엇을 만날까?,O que você encontrará na tempestade de neve?,จะเจออะไรในพายุหิมะนะ,stage/znq.csv,0.61,0.61,0.61,0.61,3,{519=1;6393=10;5000=15;452=40},{gold=50000},{},500,500
4,<114>,<114;14>,第4关,第4關,Level 4,Cấp 4,4단계,Nível 4,ด่านที่ 4,,彩虹的彼端,彩虹的彼端,Beyond the rainbow,Phía cuối cầu vồng,무지개의 저편,Do outro lado do arco-íris,ปลายสายรุ้ง,stage/znq.csv,0.68,0.68,0.68,0.68,4,{850=60;930=15;901=20;6393=10},{gold=50000},{},500,500
5,<115>,<115;15>,第5关,第5關,Level 5,Cấp 5,5단계,Nível 5,ด่านที่ 5,,变身对战,變身對戰,Transformation battle,Chiến đấu biến hình,변신 배틀,Batalha de transformação,การต่อสู้เปลี่ยนร่าง,stage/znq.csv,0.76,0.76,0.76,0.76,5,{5000=20;6393=10;rmb=128;452=50},{gold=50000},{},500,500
6,<116>,<116;16>,第6关,第6關,Level 6,Cấp 6,6단계,Nível 6,ด่านที่ 6,,皮卡丘之歌,皮卡丘之歌,Pikachu’s song,Bài hát của Pikachu,피카츄의 노래,Canção do Pikachu,เพลงของปิกาจู,stage/znq.csv,0.85,0.85,0.85,0.85,6,{850=80;930=20;6393=10;500=1},{gold=50000},{},500,500
7,<117>,<117;17>,第7关,第7關,Level 7,Cấp 7,7단계,Nível 7,ด่านที่ 7,,超梦，我就在这里,超夢，我就在這裡,"Mewtwo, I’m right here","Mewtwo, tôi đang ở đây","뮤츠, 나는 여기 있어","Mewtwo, estou aqui",มิวทู ฉันอยู่ตรงนี้,stage/znq.csv,0.95,0.95,0.95,0.95,7,{502=5;5000=25;6393=10;452=60},{gold=50000},{},500,500
8,<118>,<118;18>,第8关,第8關,Level 8,Cấp 8,8단계,Nível 8,ด่านที่ 8,,来自异世界的勇者,來自異世界的勇者,Hero from another world,Anh hùng từ thế giới khác,이세계에서 온 용사,Herói de outro mundo,วีรบุรุษจากต่างโลก,stage/znq.csv,1.06,1.06,1.06,1.06,8,{850=100;930=25;6393=10;503=2},{gold=50000},{},500,500
