变量名,name,languages,name_tw,name_en,name_vn,name_kr,name_pt,name_th,_beizhu,_rare,cardID,type,gate,gatePos,group,weight,cd,time,limitPos,exp,rate1,rate2,rate3,weightFix1,weightFix2,weightFix3,sceneTimes,totalTimes
默认值,"""""",<cn;tw;en;vn;th;kr;ar;de;fr;it;pt;ru>,"""""","""""","""""","""""","""""","""""",,,0,0,0,{},0,100,0,0,<>,0,0,0,0,0,0,0,0,0
等级ID,描述,语言区域,描述,描述,描述,描述,描述,描述,备注,稀有度参考,对应卡牌 id,捕捉类型：1 常驻捕捉；2 限时捕捉,需要通关关卡,关卡中的位置,所属组,出现权重,出现CD（单位小时）,持续时间（单位秒）,限时中的位置,成功获得捕捉经验,精灵球1成功率,精灵球2成功率,精灵球3成功率,精灵球1权值修正,精灵球2权值修正,精灵球3权值修正,局内尝试次数,总捕捉次数
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,绿毛虫,,綠毛蟲,Caterpie,Caterpie,캐터피,Caterpie,คาเตอร์ปี้,章节2,B,31,1,10205,{x=2081;y=642},,,,,,10,70,80,100,0.2,0.3,1,5,999
2,卡拉卡拉,,卡拉卡拉,Cubone,Cubone,탕구리,Cubo,คิวโบน,章节3,B,451,1,10306,{x=1796;y=950},,,,,,10,70,80,100,0.2,0.3,1,5,999
3,大针蜂,,大針蜂,Beedrill,Beedrill,독침붕,Beedrill,บีดริล,章节4,B,41,1,10403,{x=1773;y=1055},,,,,,10,70,80,100,0.2,0.3,1,5,999
4,无畏小子,,無畏小子,Tyrogue,Tyrogue,배루키,Tyrogue,ไทโร้ก,章节4,A,461,1,10408,{x=428;y=528},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
5,走路草,,走路草,Oddish,Oddish,뚜벅초,Estranho,ประหลาด,章节5,B,171,1,10504,{x=1890;y=1008},,,,,,10,70,80,100,0.2,0.3,1,5,999
6,臭泥,,臭泥,Grimer,Grimer,질퍽이,Mais sombrio,กริเมอร์,章节5,A,371,1,10510,{x=910;y=1030},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
7,露力丽,,露力麗,Azurill,Azurill,루리리,Azulão,อาซูริล,章节6,B,891,1,10604,{x=1857;y=301},,,,,,10,70,80,100,0.2,0.3,1,5,999
8,波波,,波波,Pidgey,Pidgey,구구,Porquinho,พิดจ์กี้,章节6,A,51,1,10610,{x=1412;y=950},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
9,皮宝宝,,皮寶寶,Cleffa,Cleffa,삐,Cleffa,เคลฟฟา,章节7,A,131,1,10704,{x=463;y=809},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
10,小猫怪,,小貓怪,Shinx,Shinx,꼬링크,Shinx,ชินซ์,章节7,A,2071,1,10710,{x=1682;y=368},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
11,火狐狸,,火狐狸,Fennekin,Fennekin,푸호꼬,Fennekin,เฟนเนคิน,章节8,A,3291,1,10804,{x=335;y=386},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
12,菊草叶,,菊草葉,Chikorita,Chikorita,치코리타,Chikorita,ชิโคริต้า,章节8,A,781,1,10810,{x=1362;y=450},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
13,不良蛙,,不良蛙,Croagunk,Croagunk,삐딱구리,Croagunk,ครอกกัง,章节9,A,2271,1,10904,{x=536;y=907},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
14,电飞鼠,,電飛鼠,Emolga,Emolga,에몽가,Emolga,เอมอลกา,章节9,A,2891,1,10910,{x=440;y=530},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
15,小狮狮,,小獅獅,Litleo,Litleo,레오꼬,Pequeno,ลิตเติ้ลโอ,章节10,A,3341,1,11004,{x=2001;y=382},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
16,哈力栗,,哈力栗,Chespin,Chespin,도치마론,Chespin,เชสปิน,章节10,A,3281,1,11010,{x=756;y=764},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
17,瓦斯弹,,瓦斯彈,Koffing,Koffing,또가스,Koffing,คอฟฟิ่ง,章节11,A,481,1,11104,{x=735;y=550},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
18,搬运小匠,,搬運小匠,Timburr,Timburr,으랏차,Timburr,ทิมเบอร์,章节11,A,2631,1,11110,{x=1748;y=266},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
19,迷你冰,,迷你冰,Vanillite,Vanillite,바닐프티,Vanilita,วานิลลา,章节12,A,2871,1,11204,{x=1920;y=320},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
20,铁臂枪虾,,鐵臂槍蝦,Clauncher,Clauncher,완철포,Clauncher,แคลนเชอร์,章节12,A,3471,1,11210,{x=816;y=434},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
21,火球鼠,,火球鼠,Cyndaquil,Cyndaquil,브케인,Cyndaquil,ซินดาควิล,章节13,A,791,1,11304,{x=416;y=706},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
22,海豹球,,海豹球,Spheal,Spheal,대굴레오,Esférico,สเฟียล,章节13,A,1861,1,11310,{x=1760;y=486},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
23,轻飘飘·雌,,輕飄飄·雌,Frillish - Female,Frillish - Female,탱그릴: 암컷,Frillish - Feminino,ฟริลลิช - หญิง,章节14,A,2921,1,11404,{x=508;y=960},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
24,呆火驼,,呆火駝,Numel,Numel,둔타,Número,นูเมล,章节14,A,1611,1,11410,{x=1500;y=286},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
25,大舌头,,大舌頭,Lickitung,Lickitung,내루미,Lambendo,ลิคกิทุง,章节15,A,471,1,11504,{x=760;y=560},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
26,暖暖猪,,暖暖豬,Tepig,Tepig,뚜꾸리,Tepig,เตปิก,章节15,A,2481,1,11510,{x=1410;y=1070},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
27,冰雪龙,,冰雪龍,Amaura,Amaura,아마루스,Amaura,อามัวรา,章节16,A,3501,1,11604,{x=1030;y=954},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
28,喇叭芽,,喇叭芽,Bellsprout,Bellsprout,모다피,Bellsprout,เบลล์สราวท์,章节16,A,281,1,11610,{x=1750;y=650},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
29,小锯鳄,,小鋸鱷,Totodile,Totodile,리아코,Totodile,โตโตไดล์,章节17,A,801,1,11704,{x=2210;y=940},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
30,雪笠怪,,雪笠怪,Snover,Snover,눈쓰개,Snover,สโนว์เวอร์,章节17,A,2301,1,11710,{x=1200;y=325},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
31,海星星,,海星星,Staryu,Staryu,별가사리,Staryu,สตาริว,章节18,A,551,1,11805,{x=345;y=516},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
32,绵绵泡芙,,綿綿泡芙,Swirlix,Swirlix,나룸퍼프,Redemoinho,สเวิร์ลลิกซ์,章节18,A,3431,1,11810,{x=1062;y=1198},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
33,小拳石,,小拳石,Geodude,Geodude,꼬마돌,Geodude,จีโอดู๊ด,章节19,A,301,1,11905,{x=579;y=986},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
34,咕妞妞,,咕妞妞,Whismur,Whismur,소곤룡,Sussurro,วิสมัวร์,章节19,A,1441,1,11910,{x=1757;y=986},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
35,草苗龟,,草苗龜,Turtwig,Turtwig,모부기,Turtwig,เทอร์วิก,章节20,A,2011,1,12005,{x=897;y=560},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
36,轻飘飘·雄,,輕飄飄·雄,Frillish - Male,Frillish - Male,탱그릴: 수컷,Frillish - Masculino,ฟริลลิช - ชาย,章节20,A,2922,1,12010,{x=1925;y=249},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
37,百足蜈蚣,,百足蜈蚣,Venipede,Venipede,마디네,Venipede,เวนิพีเด,章节21,A,2681,1,12105,{x=1754;y=386},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
38,喷嚏熊,,噴嚏熊,Cubchoo,Cubchoo,404404,Cubo,คุ๊กชู,章节21,A,3011,1,12110,{x=385;y=820},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
39,雪童子,,雪童子,Snorunt,Snorunt,404404,Snorunt (Respirador),สโนรันท์,章节22,A,1851,1,12205,{x=385;y=520},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
40,摔角鹰人,,摔角鷹人,Hawlucha,Hawlucha,404404,Hawlucha,ฮาวลูชา,章节22,A,3511,1,12210,{x=1925;y=249},,,,,,20,20,40,75,0.08,0.1,0.15,5,999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,绿毛虫,,綠毛蟲,Caterpie,Caterpie,캐터피,Caterpie,คาเตอร์ปี้,,B,31,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1002,大针蜂,,大針蜂,Beedrill,Beedrill,독침붕,Beedrill,บีดริล,,B,41,2,10306,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1003,小拉达,,小拉達,Rattata,Rattata,꼬렛,Rattata,รัตตะ,,B,61,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1004,烈雀,,烈雀,Spearow,Spearow,깨비참,Lança,สเปียโรว์,,B,71,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1005,阿柏蛇,,阿柏蛇,Ekans,Ekans,아보,Ekans,อีแคนส์,,B,81,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1006,穿山鼠,,穿山鼠,Sandshrew,Sandshrew,모래두지,Musaranho-da-areia,แซนด์ชรูว์,,B,101,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1007,尼多兰,,尼多蘭,Nidoran♀,Nidoran♀,니드런♀,Nidoran♀,นิโดรัน♀,,B,111,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1008,尼多朗,,尼多朗,Nidoran♂,Nidoran♂,니드런♂,Nidoran♂,นิโดรัน♂,,B,121,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1009,走路草,,走路草,Oddish,Oddish,뚜벅초,Estranho,ประหลาด,,B,171,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1010,毛球,,毛球,Venonat,Venonat,콘팡,Venonat,เวโนนัท,,B,191,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1011,猴怪,,猴怪,Mankey,Mankey,망키,Mankey,มังกี้,,B,231,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1012,嘟嘟,,嘟嘟,Doduo,Doduo,두두,Doduo,โดดูโอ,,B,351,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1013,卡拉卡拉,,卡拉卡拉,Cubone,Cubone,탕구리,Cubo,คิวโบน,,B,451,2,10408,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1014,角金鱼,,角金魚,Goldeen,Goldeen,콘치,Dourado,โกลเด้น,,B,541,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
