变量名,_beizhu,card,costCards,costItems,condition
默认值,,<>,{},{},<>
ID,备注,本体精灵<cardID;星级>,材料精灵<type;value;星级;数量>1=稀有度 2=markID,消耗材料,超进化条件(1=角色等级 2=卡牌等级)
10,,<3;12>,{},{502=100;gold=10000000;501=20;3101=120;3030=150},<1;70>
111,,<13;12>,{},{502=100;gold=10000000;501=20;3102=120;3030=150},<1;70>
112,,<13;12>,{},{502=100;gold=10000000;3103=120;501=20;3030=150},<1;70>
210,,<23;12>,{},{502=100;gold=10000000;3030=150;501=20;3104=120},<1;70>
410,,<41;12>,{},{502=20;gold=5000000;3029=180;501=5;3105=150},<1;70>
510,,<53;12>,{},{3126=150;gold=5000000;502=100;501=20;3029=180},<1;70>
2610,,<263;12>,{},{502=50;gold=5000000;3030=60;501=10;3108=40},<1;70>
3910,,<393;12>,{},{502=50;gold=5000000;3107=40;501=10;3030=60},<1;70>
4010,,<402;12>,{},{502=200;gold=60000000;3125=40;501=50;3030=100},<1;70>
5710,,<572;12>,{},{502=50;gold=5000000;501=10;3030=60;3113=40},<1;70>
6310,,<631;12>,{},{502=200;gold=50000000;3120=80;501=50;3030=100},<1;70>
7610,,<761;12>,{},{3128=80;gold=60000000;521=200;501=50;3031=100},<1;70>
7620,,<761;12>,{},{3128=80;gold=60000000;521=200;501=100;3031=100},<1;70>
8810,,<883;12>,{},{502=50;gold=5000000;3109=40;501=10;3030=60},<1;70>
10710,,<1071;12>,{},{502=200;gold=50000000;3122=80;501=50;3030=100},<1;70>
11710,,<1172;12>,{},{502=200;gold=50000000;3123=80;501=50;3030=100},<1;70>
13000,,<1293;12>,{},{502=200;3134=80;gold=50000000;501=50;3030=100},<1;70>
13010,,<1303;12>,{},{502=200;gold=50000000;3121=80;501=50;3030=100},<1;70>
13011,,<1304;12>,{},{3133=500;21301=40;gold=60000000;521=200;501=50;3031=100},<1;70>
13110,,<1313;12>,{},{502=50;gold=5000000;501=10;3030=60;3112=40},<1;70>
13910,,<1393;12>,{},{502=50;gold=5000000;501=10;3030=60;3114=40},<1;70>
13911,,<1394;12>,{},{502=50;gold=5000000;501=10;3030=60;3115=40},<1;70>
15010,,<1503;12>,{},{502=50;gold=5000000;501=10;3030=60;3116=40},<1;70>
18030,,<1802;12>,{},{502=200;3131=150;gold=5000000;501=20;3029=180},<1;70>
19010,,<1903;12>,{},{502=50;gold=5000000;3111=40;501=10;3030=60},<1;70>
19610,,<1961;12>,{},{3124=80;gold=60000000;521=200;501=50;3031=100},<1;70>
19710,,<1971;12>,{},{gold=60000000;521=200;501=50;3031=100;3117=80},<1;70>
19810,,<1981;12>,{},{3031=100;gold=60000000;521=200;501=50;3110=80},<1;70>
22410,,<2242;12>,{},{502=200;gold=50000000;501=50;3030=100;3119=80},<1;70>
23010,,<2302;12>,{},{502=100;gold=10000000;3106=120;501=20;3030=150},<1;70>
32420,,<3241;12>,{},{3132=200;23241=80;gold=60000000;521=200;501=50;3031=100},<1;70>
32430,,<3241;12>,{},{3132=1500;gold=60000000;521=200;501=50;3031=100},<1;70>
33010,,<3303;12>,{},{23301=40;gold=60000000;521=200;501=50;3031=100;3118=80},<1;70>
36310,,<3631;12>,{},{3127=80;gold=60000000;521=200;501=50;3031=100},<1;70>
