变量名,typeID,star,gold,costCardNum,universalCards,costItems,hpGrow,speedGrow,damageGrow,defenceGrow,specialDamageGrow,specialDefenceGrow,hpC,speedC,damageC,defenceC,specialDamageC,specialDefenceC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,defenceIgnoreC,specialDefenceIgnore,strikeLevelC,strikeDamageC,strikeResistanceC,blockLevelC,breakBlockLevelC,blockPowerC,dodgeC,hitC,damageAddC,damageSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,mainSkillAddC,mainSkillSubC,curePowerC,natureRestraintC
默认值,,1,100000,0,<>,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,索引类型ID,星级,升星金币消耗,升星本体卡牌消耗,万能整卡CardID消耗,升星道具消耗,血量成长,速度成长,物攻成长,物防成长,特攻成长,特防成长,血量修正,速度修正,物攻修正,物防修正,特攻修正,特防修正,mp1魔法值修正,initMp1修正,HP回复修正,MP1回复修正,MP2回复修正,防御忽视修正,特防忽视修正,暴击等级修正,暴击伤害修正,暴击抗性修正,格挡等级修正,破格挡等级修正,格挡强度修正,闪避等级修正,命中等级修正,伤害加成修正,伤害减免修正,伤害加深修正,伤害降低修正,吸血,反弹,大招伤害加成,大招伤害抗性,治疗效果,属性克制修正
101,1,1,5000,0,<>,{},0,0,0,0,0,0,37.526,0.9,8.01,3.21,8.01,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,2,25000,1,<9001>,{},7.505,0.18,1.602,0.642,1.602,0.642,300.204,7.2,64.08,25.68,64.08,25.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,3,100000,1,<9001>,{},15.01,0.36,3.204,1.284,3.204,1.284,562.883,13.5,120.15,48.15,120.15,48.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,4,150000,2,<9001>,{},26.268,0.63,5.607,2.247,5.607,2.247,1050.714,25.2,224.28,89.88,224.28,89.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1,5,200000,3,<9001>,{},39.402,0.945,8.411,3.371,8.411,3.371,1538.546,36.9,328.41,131.61,328.41,131.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1,6,250000,3,<9001>,{},56.288,1.35,12.015,4.815,12.015,4.815,2101.428,50.4,448.56,179.76,448.56,179.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1,7,300000,4,<9001>,{},75.051,1.8,16.02,6.42,16.02,6.42,2664.311,63.9,568.71,227.91,568.71,227.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1,8,400000,4,<9001>,{},93.814,2.25,20.025,8.025,20.025,8.025,3414.821,81.9,728.91,292.11,728.91,292.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,1,9,500000,5,<9001>,{},112.577,2.7,24.03,9.63,24.03,9.63,4165.331,99.9,889.11,356.31,889.11,356.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1,10,600000,5,<9001>,{},131.339,3.15,28.035,11.235,28.035,11.235,4915.841,117.9,1049.31,420.51,1049.31,420.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1,11,800000,6,<9001>,{},150.102,3.6,32.04,12.84,32.04,12.84,5666.351,135.9,1209.51,484.71,1209.51,484.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1,12,1000000,10,<9001>,{539=50},168.865,4.05,36.045,14.445,36.045,14.445,6416.861,153.9,1369.71,548.91,1369.71,548.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1,13,1200000,15,<9001>,{539=100},187.628,4.5,40.05,16.05,40.05,16.05,7167.371,171.9,1529.91,613.11,1529.91,613.11,0,0,0,0,0,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1,14,1400000,20,<9001>,{539=120},206.391,4.95,44.055,17.655,44.055,17.655,7917.881,189.9,1690.11,677.31,1690.11,677.31,0,0,0,0,0,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1,15,1600000,25,<9001>,{539=140},225.154,5.4,48.06,19.26,48.06,19.26,8668.391,207.9,1850.31,741.51,1850.31,741.51,0,0,0,0,0,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1,16,1800000,30,<9001>,{539=160},243.917,5.85,52.065,20.865,52.065,20.865,9418.901,225.9,2010.51,805.71,2010.51,805.71,0,0,0,0,0,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,0,0
117,1,17,2000000,40,<9001>,{539=180},262.68,6.3,56.07,22.47,56.07,22.47,10169.411,243.9,2170.71,869.91,2170.71,869.91,0,0,0,0,0,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,0,0
118,1,18,0,0,<>,{},281.443,6.75,60.075,24.075,60.075,24.075,10919.921,261.9,2330.91,934.11,2330.91,934.11,0,0,0,0,0,150,150,0,0,0,0,0,0,0,0,0,0,150,150,0,0,150,150,0,0
201,2,1,8000,0,<>,{},0,0,0,0,0,0,45.031,1.08,9.612,3.852,9.612,3.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,2,2,40000,1,<9001>,{},8.256,0.198,1.762,0.706,1.762,0.706,360.245,8.64,76.896,30.816,76.896,30.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,2,3,160000,1,<9001>,{},16.511,0.396,3.524,1.412,3.524,1.412,675.459,16.2,144.18,57.78,144.18,57.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,2,4,240000,2,<9001>,{},28.895,0.693,6.168,2.472,6.168,2.472,1260.857,30.24,269.136,107.856,269.136,107.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,2,5,320000,2,<9001>,{},43.342,1.04,9.252,3.708,9.252,3.708,1846.255,44.28,394.092,157.932,394.092,157.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,2,6,400000,3,<9001>,{},61.917,1.485,13.217,5.297,13.217,5.297,2521.714,60.48,538.272,215.712,538.272,215.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,2,7,480000,3,<9001>,{},82.556,1.98,17.622,7.062,17.622,7.062,3197.173,76.68,682.452,273.492,682.452,273.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,2,8,640000,4,<9001>,{},103.195,2.475,22.028,8.828,22.028,8.828,4097.785,98.28,874.692,350.532,874.692,350.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,2,9,800000,4,<9001>,{},123.834,2.97,26.433,10.593,26.433,10.593,4998.397,119.88,1066.932,427.572,1066.932,427.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2,10,960000,4,<9001>,{},144.473,3.465,30.839,12.359,30.839,12.359,5899.009,141.48,1259.172,504.612,1259.172,504.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,2,11,1280000,5,<9001>,{},165.112,3.96,35.244,14.124,35.244,14.124,6799.621,163.08,1451.412,581.652,1451.412,581.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,2,12,1600000,10,<9001>,{539=50},185.751,4.455,39.65,15.89,39.65,15.89,7700.233,184.68,1643.652,658.692,1643.652,658.692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,2,13,1920000,15,<9001>,{539=100},206.39,4.95,44.056,17.656,44.056,17.656,8600.845,206.28,1835.892,735.732,1835.892,735.732,0,0,0,0,0,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,2,14,2240000,20,<9001>,{539=120},227.029,5.445,48.462,19.422,48.462,19.422,9501.457,227.88,2028.132,812.772,2028.132,812.772,0,0,0,0,0,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,2,15,2560000,25,<9001>,{539=140},247.668,5.94,52.868,21.188,52.868,21.188,10402.069,249.48,2220.372,889.812,2220.372,889.812,0,0,0,0,0,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,2,16,2880000,30,<9001>,{539=160},268.307,6.435,57.274,22.954,57.274,22.954,11302.681,271.08,2412.612,966.852,2412.612,966.852,0,0,0,0,0,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,0,0
217,2,17,3200000,40,<9001>,{539=180},288.946,6.93,61.68,24.72,61.68,24.72,12203.293,292.68,2604.852,1043.892,2604.852,1043.892,0,0,0,0,0,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,0,0
218,2,18,0,0,<>,{},309.585,7.425,66.086,26.486,66.086,26.486,13103.905,314.28,2797.092,1120.932,2797.092,1120.932,0,0,0,0,0,300,300,0,0,0,0,0,0,0,0,0,0,300,300,0,0,300,300,0,0
301,3,1,10000,0,<>,{},0,0,0,0,0,0,67.546,1.62,14.418,5.778,14.418,5.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,3,2,50000,0,<>,{},10.507,0.252,2.243,0.899,2.243,0.899,540.367,12.96,115.344,46.224,115.344,46.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,3,3,200000,1,<9002>,{},21.014,0.504,4.486,1.798,4.486,1.798,1013.189,24.3,216.27,86.67,216.27,86.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,3,4,300000,1,<9002>,{},36.775,0.882,7.85,3.146,7.85,3.146,1891.285,45.36,403.704,161.784,403.704,161.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,3,5,400000,2,<9002>,{},55.162,1.323,11.775,4.719,11.775,4.719,2769.382,66.42,591.138,236.898,591.138,236.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,3,6,500000,2,<9002>,{},78.804,1.89,16.821,6.741,16.821,6.741,3782.57,90.72,807.408,323.568,807.408,323.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,3,7,600000,2,<9002>,{},105.071,2.52,22.428,8.988,22.428,8.988,4795.759,115.02,1023.678,410.238,1023.678,410.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,3,8,800000,3,<9002>,{},131.339,3.15,28.035,11.235,28.035,11.235,6146.677,147.42,1312.038,525.798,1312.038,525.798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,3,9,1000000,3,<9002>,{},157.607,3.78,33.642,13.482,33.642,13.482,7497.595,179.82,1600.398,641.358,1600.398,641.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,3,10,1200000,3,<9002>,{},183.875,4.41,39.249,15.729,39.249,15.729,8848.513,212.22,1888.758,756.918,1888.758,756.918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,3,11,1600000,4,<9002>,{},210.143,5.04,44.856,17.976,44.856,17.976,10199.431,244.62,2177.118,872.478,2177.118,872.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,3,12,2000000,5,<9002>,{539=50},236.411,5.67,50.463,20.223,50.463,20.223,11550.349,277.02,2465.478,988.038,2465.478,988.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,3,13,2400000,5,<9002>,{539=100},262.679,6.3,56.07,22.47,56.07,22.47,12901.267,309.42,2753.838,1103.598,2753.838,1103.598,0,0,0,0,0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,3,14,2800000,7,<9002>,{539=120},288.947,6.93,61.677,24.717,61.677,24.717,14252.185,341.82,3042.198,1219.158,3042.198,1219.158,0,0,0,0,0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,3,15,3200000,8,<9002>,{539=140},315.215,7.56,67.284,26.964,67.284,26.964,15603.103,374.22,3330.558,1334.718,3330.558,1334.718,0,0,0,0,0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
