变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,icon,suitID,quality,pos,mainAttr,startNum,startLib,acquiredLimit,acquiredLib,maxLevel,strengthSeq,acquiredLevels,strengthLevels,recastLib,recastCostSeq,exp,effect
默认值,"""""","""""","""""","""""","""""","""""","""""","""config/chip/icon_gj_1_1.png""",0,0,0,0,0,0,0,0,50,0,<> ,<> ,0,0,0,{drawcard=false;gain=false}
ID,描述,描述,描述,描述,描述,描述,描述,符文icon,符文套装id,符文品质,对应栏位,主属性属性序列类型：对应main_attr表中的seq,初始副属性条目数,初始副属性随机库id,后天副属性条目数上限,后天副属性随机库id,强化等级上限,强化消耗序列：对应strength_cost表第一行,后天副属性获得的对应等级,所有副属性强化的指定等级,所有副属性洗练随机库类型,洗炼消耗序列：对应recast_cost表第一行,作为材料提供强化经验值,分别表示在抽卡恭喜获得
,,,,,,,,,,,,,,,,,,,,,,,,
60121,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_1.png,1,2,1,1,1,20001,1,20001,100,2,<10>,<5;15;20;30;40>,20001,1,75,
60122,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_1.png,1,2,2,2,1,20002,1,20002,100,2,<10>,<5;15;20;30;40>,20002,1,75,
60123,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_1.png,1,2,3,3,1,20003,1,20003,100,2,<10>,<5;15;20;30;40>,20003,1,75,
60124,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_1.png,1,2,4,4,1,20004,1,20004,100,2,<10>,<5;15;20;30;40>,20004,1,75,
60125,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_1.png,1,2,5,5,1,20005,1,20005,100,2,<10>,<5;15;20;30;40>,20005,1,75,
60126,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_1.png,1,2,6,6,1,20006,1,20006,100,2,<10>,<5;15;20;30;40>,20006,1,75,
60131,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_2.png,1,3,1,7,1,30001,1,30001,100,3,<10>,<5;15;20;30;40>,30001,2,150,
60132,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_2.png,1,3,2,8,1,30002,1,30002,100,3,<10>,<5;15;20;30;40>,30002,2,150,
60133,火舞,火舞,Fire Dance,Vũ Điệu Lửa,화염의 춤,Dança do fogo,เต้นรำไฟ,config/chip/icon_gj_1_2.png,1,3,3,9,1,30003,1,30003,100,3,<10>,<5;15;20;30;40>,30003,2,150,
