变量名,rankMax,award,award_kr,award_en,award_vn,award_tw,award_pt,award_th,version
默认值,,<<1;150;{}>>,<<1;150;{}>>,<<1;150;{}>>,<<1;150;{}>>,<<1;150;{}>>,<<1;150;{}>>,<<1;150;{}>>,0
ID,最大排名,排名奖励,排名奖励,排名奖励,排名奖励,排名奖励,排名奖励,排名奖励,奖励版本
1,1,<<1;72;{6005=15;521=8;502=30;gold=1000000}>;<73;150;{6007=15;521=8;502=20;gold=1000000;112=100}>>,<<1;72;{6005=15;521=8;502=30;gold=1000000}>;<73;150;{6007=15;521=8;502=20;gold=1000000;112=100}>>,<<1;72;{6005=15;521=8;502=30;gold=1000000}>;<73;150;{6007=15;521=8;502=20;gold=1000000;112=100}>>,<<1;72;{6005=15;521=8;502=30;gold=1000000}>;<73;150;{6007=15;521=8;502=20;gold=1000000;112=100}>>,<<1;72;{6005=15;521=8;502=30;gold=1000000}>;<73;150;{6007=15;521=8;502=20;gold=1000000;112=100}>>,<<1;72;{6005=15;521=8;502=30;gold=1000000}>;<73;150;{6007=15;521=8;502=20;gold=1000000;112=100}>>,<<1;72;{6005=15;521=8;502=30;gold=1000000}>;<73;150;{6007=15;521=8;502=20;gold=1000000;112=100}>>,
2,2,<<1;72;{6005=13;521=7;502=25;gold=900000}>;<73;150;{6007=13;521=7;502=18;gold=900000;112=100}>>,<<1;72;{6005=13;521=7;502=25;gold=900000}>;<73;150;{6007=13;521=7;502=18;gold=900000;112=100}>>,<<1;72;{6005=13;521=7;502=25;gold=900000}>;<73;150;{6007=13;521=7;502=18;gold=900000;112=100}>>,<<1;72;{6005=13;521=7;502=25;gold=900000}>;<73;150;{6007=13;521=7;502=18;gold=900000;112=100}>>,<<1;72;{6005=13;521=7;502=25;gold=900000}>;<73;150;{6007=13;521=7;502=18;gold=900000;112=100}>>,<<1;72;{6005=13;521=7;502=25;gold=900000}>;<73;150;{6007=13;521=7;502=18;gold=900000;112=100}>>,<<1;72;{6005=13;521=7;502=25;gold=900000}>;<73;150;{6007=13;521=7;502=18;gold=900000;112=100}>>,
3,3,<<1;72;{6005=10;521=6;502=20;gold=800000}>;<73;150;{6007=10;521=6;502=15;gold=800000;112=100}>>,<<1;72;{6005=10;521=6;502=20;gold=800000}>;<73;150;{6007=10;521=6;502=15;gold=800000;112=100}>>,<<1;72;{6005=10;521=6;502=20;gold=800000}>;<73;150;{6007=10;521=6;502=15;gold=800000;112=100}>>,<<1;72;{6005=10;521=6;502=20;gold=800000}>;<73;150;{6007=10;521=6;502=15;gold=800000;112=100}>>,<<1;72;{6005=10;521=6;502=20;gold=800000}>;<73;150;{6007=10;521=6;502=15;gold=800000;112=100}>>,<<1;72;{6005=10;521=6;502=20;gold=800000}>;<73;150;{6007=10;521=6;502=15;gold=800000;112=100}>>,<<1;72;{6005=10;521=6;502=20;gold=800000}>;<73;150;{6007=10;521=6;502=15;gold=800000;112=100}>>,
4,4,<<1;72;{6005=8;521=5;502=15;gold=800000}>;<73;150;{6007=8;521=5;502=10;gold=800000;112=90}>>,<<1;72;{6005=8;521=5;502=15;gold=800000}>;<73;150;{6007=8;521=5;502=10;gold=800000;112=90}>>,<<1;72;{6005=8;521=5;502=15;gold=800000}>;<73;150;{6007=8;521=5;502=10;gold=800000;112=90}>>,<<1;72;{6005=8;521=5;502=15;gold=800000}>;<73;150;{6007=8;521=5;502=10;gold=800000;112=90}>>,<<1;72;{6005=8;521=5;502=15;gold=800000}>;<73;150;{6007=8;521=5;502=10;gold=800000;112=90}>>,<<1;72;{6005=8;521=5;502=15;gold=800000}>;<73;150;{6007=8;521=5;502=10;gold=800000;112=90}>>,<<1;72;{6005=8;521=5;502=15;gold=800000}>;<73;150;{6007=8;521=5;502=10;gold=800000;112=90}>>,
5,8,<<1;72;{6005=6;521=4;6006=1;gold=700000}>;<73;150;{6007=6;521=4;6008=1;gold=700000;112=90}>>,<<1;72;{6005=6;521=4;6006=1;gold=700000}>;<73;150;{6007=6;521=4;6008=1;gold=700000;112=90}>>,<<1;72;{6005=6;521=4;6006=1;gold=700000}>;<73;150;{6007=6;521=4;6008=1;gold=700000;112=90}>>,<<1;72;{6005=6;521=4;6006=1;gold=700000}>;<73;150;{6007=6;521=4;6008=1;gold=700000;112=90}>>,<<1;72;{6005=6;521=4;6006=1;gold=700000}>;<73;150;{6007=6;521=4;6008=1;gold=700000;112=90}>>,<<1;72;{6005=6;521=4;6006=1;gold=700000}>;<73;150;{6007=6;521=4;6008=1;gold=700000;112=90}>>,<<1;72;{6005=6;521=4;6006=1;gold=700000}>;<73;150;{6007=6;521=4;6008=1;gold=700000;112=90}>>,
6,16,<<1;72;{6005=5;521=3;6006=1;gold=60000}>;<73;150;{6007=5;521=3;6008=1;gold=60000;112=65}>>,<<1;72;{6005=5;521=3;6006=1;gold=60000}>;<73;150;{6007=5;521=3;6008=1;gold=60000;112=65}>>,<<1;72;{6005=5;521=3;6006=1;gold=60000}>;<73;150;{6007=5;521=3;6008=1;gold=60000;112=65}>>,<<1;72;{6005=5;521=3;6006=1;gold=60000}>;<73;150;{6007=5;521=3;6008=1;gold=60000;112=65}>>,<<1;72;{6005=5;521=3;6006=1;gold=60000}>;<73;150;{6007=5;521=3;6008=1;gold=60000;112=65}>>,<<1;72;{6005=5;521=3;6006=1;gold=60000}>;<73;150;{6007=5;521=3;6008=1;gold=60000;112=65}>>,<<1;72;{6005=5;521=3;6006=1;gold=60000}>;<73;150;{6007=5;521=3;6008=1;gold=60000;112=65}>>,
7,32,<<1;72;{6005=4;950=1;6006=1;gold=60000}>;<73;150;{6007=4;950=1;6008=1;gold=60000;112=60}>>,<<1;72;{6005=4;950=1;6006=1;gold=60000}>;<73;150;{6007=4;950=1;6008=1;gold=60000;112=60}>>,<<1;72;{6005=4;950=1;6006=1;gold=60000}>;<73;150;{6007=4;950=1;6008=1;gold=60000;112=60}>>,<<1;72;{6005=4;950=1;6006=1;gold=60000}>;<73;150;{6007=4;950=1;6008=1;gold=60000;112=60}>>,<<1;72;{6005=4;950=1;6006=1;gold=60000}>;<73;150;{6007=4;950=1;6008=1;gold=60000;112=60}>>,<<1;72;{6005=4;950=1;6006=1;gold=60000}>;<73;150;{6007=4;950=1;6008=1;gold=60000;112=60}>>,<<1;72;{6005=4;950=1;6006=1;gold=60000}>;<73;150;{6007=4;950=1;6008=1;gold=60000;112=60}>>,
8,127,<<1;72;{6006=3;950=1;gold=50000}>;<73;150;{6008=3;950=1;gold=50000;112=55}>>,<<1;72;{6006=3;950=1;gold=50000}>;<73;150;{6008=3;950=1;gold=50000;112=55}>>,<<1;72;{6006=3;950=1;gold=50000}>;<73;150;{6008=3;950=1;gold=50000;112=55}>>,<<1;72;{6006=3;950=1;gold=50000}>;<73;150;{6008=3;950=1;gold=50000;112=55}>>,<<1;72;{6006=3;950=1;gold=50000}>;<73;150;{6008=3;950=1;gold=50000;112=55}>>,<<1;72;{6006=3;950=1;gold=50000}>;<73;150;{6008=3;950=1;gold=50000;112=55}>>,<<1;72;{6006=3;950=1;gold=50000}>;<73;150;{6008=3;950=1;gold=50000;112=55}>>,
