变量名,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,sortValue,languages
默认值,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,0,<cn;en;tw;vn;kr;pt;th>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,起始VIP等级,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,显示排序小的在前,语言区域
1001,,{27001=2},{coin14=2000},5,24,0,20990101,0,<1;210>,0,0,FALSE,0,
1002,,{23771=2},{coin14=2000},5,24,0,20990101,0,<1;210>,0,0,FALSE,0,
1003,,{23251=2},{coin14=2000},5,24,0,20990101,0,<1;210>,0,0,FALSE,0,
1004,,{23841=2},{coin14=2000},5,24,0,20990101,0,<1;210>,0,0,FALSE,0,
1005,,{22431=1},{coin14=5000},-1,0,0,20990101,0,<1;210>,3,5,FALSE,0,
1006,,{23671=2},{coin14=2000},5,24,0,20990101,0,<1;210>,0,0,FALSE,0,
1007,,{23681=2},{coin14=2000},5,24,0,20990101,0,<1;210>,0,0,FALSE,0,
1008,,{23961=2},{coin14=2000},5,24,0,20990101,0,<1;210>,0,0,FALSE,0,
1009,,{24031=2},{coin14=2000},5,24,0,20990101,0,<1;210>,0,0,FALSE,0,
1010,,{24051=2},{coin14=2000},5,24,0,20990101,0,<1;210>,0,0,FALSE,0,
1011,,{24071=2},{coin14=2000},5,24,0,20990101,0,<1;210>,0,0,FALSE,0,
1012,,{24081=2},{coin14=2000},5,24,0,20990101,0,<1;210>,0,0,FALSE,0,
1013,,{24131=2},{coin14=2000},5,24,0,20990101,0,<1;210>,0,0,FALSE,0,
1014,,{24141=2},{coin14=2000},5,24,0,20990101,0,<1;210>,0,0,FALSE,0,
1015,,{24151=2},{coin14=2000},5,24,0,20990101,0,<1;210>,0,0,FALSE,0,
1016,,{21641=2},{coin14=1000},5,24,0,20990101,0,<1;210>,0,0,FALSE,0,
1017,,{22831=2},{coin14=1000},5,24,0,20990101,0,<1;210>,0,0,FALSE,0,
1101,,{5000=10},{coin14=2000},5,24,0,20990101,0,<1;210>,0,0,FALSE,0,
1102,,{514=10},{coin14=1200},5,24,0,20990101,0,<1;210>,0,0,FALSE,0,
1103,,{15=5},{coin14=1500},5,24,0,20990101,0,<1;210>,0,0,FALSE,0,
1104,,{7302=1},{coin14=1000},-1,0,0,20990101,0,<1;210>,2,20,FALSE,0,
1105,,{7303=1},{coin14=5000},-1,0,0,20990101,0,<1;210>,3,40,FALSE,0,
1106,,{7304=1},{coin14=15000},-1,0,0,20990101,0,<1;210>,3,40,FALSE,0,
1107,,{121=1},{coin14=1500},-1,0,0,20990101,0,<1;210>,2,20,FALSE,0,
1108,,{122=1},{coin14=100},5,24,0,20990101,0,<1;210>,0,0,FALSE,0,
1109,,{123=1},{coin14=500},5,24,0,20990101,0,<1;210>,0,0,FALSE,0,
1110,,{124=1},{coin14=1500},5,24,0,20990101,0,<1;210>,0,0,FALSE,0,
1111,,{538=1},{coin14=5000},1,24,0,20990101,0,<120;210>,0,0,FALSE,0,
