变量名,_beizhu,bossID,gateID,baseHP,battleAward,killAward,battleScoreAward,rankAwardVersion,duration,serverKillPoint,buffAdd,buffTime,buffIcon,buffName,buffName_tw,buffName_en,buffName_vn,buffName_kr,buffName_pt,buffName_th,buffDesc,buffDesc_tw,buffDesc_en,buffDesc_vn,buffDesc_kr,buffDesc_pt,buffDesc_th,bossFigure
默认值,"""""",<>,0,<>,{},{},0,0,0,0,{},0,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",<>
ID,BOSS的ID,BOSS的ID,关卡ID,基础血量,战斗奖励,击杀奖励,战斗积分奖励,排名奖励版本,持续时间（分钟）,击杀后的服务器积分,buff奖励（1：属性增强，该服务器玩家进入战斗时6维属性增强；2：产出增加，产出速度增加，多个存在时为加法公式；3：抢夺增加：抢夺获得增加/被抢夺是减少损失，多个存在时为加法公式）,击杀后的服务器buff存在时间，分钟,buff图标,buff名字,描述,描述,描述,描述,描述,描述,buff描述,描述,描述,描述,描述,描述,描述,boss形象(对应boss形象表)
1,测试,<25001>,70001,<30000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,120,100,{1=0.1},120,"""city/pvp/cross_mine/buff/icon_buff1.png""",测试,,,,,,,测试,,,,,,,<1>
2,测试,<25102>,70002,<30000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,120,100,{2=0.2},120,"""city/pvp/cross_mine/buff/icon_buff2.png""",测试,,,,,,,测试,,,,,,,<2;3>
3,测试,<25202>,70003,<30000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,120,100,{3=0.2},120,"""city/pvp/cross_mine/buff/icon_buff3.png""",测试,,,,,,,测试,,,,,,,<2;3>
4,,<42001;42002>,71001,<30000000;30000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,120,100,{1=0.2},120,"""city/pvp/cross_mine/buff/icon_buff4.png""",测试,,,,,,,测试,,,,,,,<1>
5,,<42003;42004>,71002,<30000000;30000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,120,100,{2=0.3},120,"""city/pvp/cross_mine/buff/icon_buff5.png""",测试,,,,,,,测试,,,,,,,<1>
6,,<42005;42006>,71003,<30000000;30000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,120,100,{3=0.3},120,"""city/pvp/cross_mine/buff/icon_buff6.png""",测试,,,,,,,测试,,,,,,,<2;3>
7,,<42007;42008>,71004,<30000000;30000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,120,100,{1=0.3},120,"""city/pvp/cross_mine/buff/icon_buff1.png""",测试,,,,,,,测试,,,,,,,<2;3>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,小boss1,<42001;42002>,71001,<45000000;45000000>,{coin13=1000;gold=10000},{rmb=100;coin13=100000;gold=300000},0,1,60,25000,{1=0.15},120,"""city/pvp/cross_mine/buff/icon_buff1.png""",属性增强,屬性增強,Status enhancement,Cường Hóa Trạng Thái,속성 강화,Melhoria de status,เพิ่มสถานะ,击杀者所在服务器玩家在竞标对战中全属性加成+15%,擊殺者所在伺服器玩家在競標對戰中全屬性加成+15%,Players on the killer's server gain a +15% bonus to all stats in Bidding Battles,Người chơi trên máy chủ của người hạ gục nhận thưởng +15% tất cả thuộc tính trong Đấu Giá Chiến,격살자 소속 서버에 있는 모든 유저는 경쟁 입찰에서 전 속성 버프 15% 증가.,Jogadores no servidor do autor da eliminação ganham um bônus de +15% em todos os atributos nas Batalhas de Licitação,ผู้เล่นในเซิร์ฟเวอร์ของผู้ที่สังหารได้รับโบนัสคุณสมบัติทั้งหมด +15% ในการต่อสู้ประมูล,<2>
