变量名,rankMax,award,award_kr,award_en,award_tw,award_vn,award_pt,award_th,version
默认值,,{},{},{},{},{},{},{},0
ID(区间最小排名）,最大排名,赛季结算奖励,赛季结算奖励,赛季结算奖励,赛季结算奖励,赛季结算奖励,赛季结算奖励,赛季结算奖励,奖励版本
1,1,{gold=6000000;rmb=8500;521=80;coin12=400000},{gold=6000000;rmb=8500;521=80;coin12=400000},{gold=6000000;rmb=8500;521=80;coin12=400000},{gold=6000000;rmb=8500;521=80;coin12=400000},{gold=6000000;rmb=8500;521=80;coin12=400000},{gold=6000000;rmb=8500;521=80;coin12=400000},{gold=6000000;rmb=8500;521=80;coin12=400000},0
2,2,{gold=5500000;rmb=8000;521=75;coin12=380000},{gold=5500000;rmb=8000;521=75;coin12=380000},{gold=5500000;rmb=8000;521=75;coin12=380000},{gold=5500000;rmb=8000;521=75;coin12=380000},{gold=5500000;rmb=8000;521=75;coin12=380000},{gold=5500000;rmb=8000;521=75;coin12=380000},{gold=5500000;rmb=8000;521=75;coin12=380000},0
3,3,{gold=5000000;rmb=7500;521=70;coin12=360000},{gold=5000000;rmb=7500;521=70;coin12=360000},{gold=5000000;rmb=7500;521=70;coin12=360000},{gold=5000000;rmb=7500;521=70;coin12=360000},{gold=5000000;rmb=7500;521=70;coin12=360000},{gold=5000000;rmb=7500;521=70;coin12=360000},{gold=5000000;rmb=7500;521=70;coin12=360000},0
4,4,{gold=4800000;rmb=7000;521=65;coin12=350000},{gold=4800000;rmb=7000;521=65;coin12=350000},{gold=4800000;rmb=7000;521=65;coin12=350000},{gold=4800000;rmb=7000;521=65;coin12=350000},{gold=4800000;rmb=7000;521=65;coin12=350000},{gold=4800000;rmb=7000;521=65;coin12=350000},{gold=4800000;rmb=7000;521=65;coin12=350000},0
5,5,{gold=4600000;rmb=6500;521=60;coin12=340000},{gold=4600000;rmb=6500521=60;coin12=340000},{gold=4600000;rmb=6500521=60;coin12=340000},{gold=4600000;rmb=6500521=60;coin12=340000},{gold=4600000;rmb=6500521=60;coin12=340000},{gold=4600000;rmb=6500521=60;coin12=340000},{gold=4600000;rmb=6500521=60;coin12=340000},0
6,6,{gold=4400000;rmb=6000;521=55;coin12=330000},{gold=4400000;rmb=6000;521=55;coin12=330000},{gold=4400000;rmb=6000;521=55;coin12=330000},{gold=4400000;rmb=6000;521=55;coin12=330000},{gold=4400000;rmb=6000;521=55;coin12=330000},{gold=4400000;rmb=6000;521=55;coin12=330000},{gold=4400000;rmb=6000;521=55;coin12=330000},0
7,7,{gold=4200000;rmb=5500;521=45;coin12=320000},{gold=4200000;rmb=5500;521=45;coin12=320000},{gold=4200000;rmb=5500;521=45;coin12=320000},{gold=4200000;rmb=5500;521=45;coin12=320000},{gold=4200000;rmb=5500;521=45;coin12=320000},{gold=4200000;rmb=5500;521=45;coin12=320000},{gold=4200000;rmb=5500;521=45;coin12=320000},0
8,8,{gold=4000000;rmb=5000;521=35;coin12=310000},{gold=4000000;rmb=5000;521=35;coin12=310000},{gold=4000000;rmb=5000;521=35;coin12=310000},{gold=4000000;rmb=5000;521=35;coin12=310000},{gold=4000000;rmb=5000;521=35;coin12=310000},{gold=4000000;rmb=5000;521=35;coin12=310000},{gold=4000000;rmb=5000;521=35;coin12=310000},0
9,9,{gold=3800000;rmb=4500;521=25;coin12=300000},{gold=3800000;rmb=4500;521=25;coin12=300000},{gold=3800000;rmb=4500;521=25;coin12=300000},{gold=3800000;rmb=4500;521=25;coin12=300000},{gold=3800000;rmb=4500;521=25;coin12=300000},{gold=3800000;rmb=4500;521=25;coin12=300000},{gold=3800000;rmb=4500;521=25;coin12=300000},0
10,10,{gold=3600000;rmb=4000;521=10;coin12=290000},{gold=3600000;rmb=4000;521=10;coin12=290000},{gold=3600000;rmb=4000;521=10;coin12=290000},{gold=3600000;rmb=4000;521=10;coin12=290000},{gold=3600000;rmb=4000;521=10;coin12=290000},{gold=3600000;rmb=4000;521=10;coin12=290000},{gold=3600000;rmb=4000;521=10;coin12=290000},0
11,12,{gold=3400000;rmb=3500;coin12=280000},{gold=3400000;rmb=3500;coin12=280000},{gold=3400000;rmb=3500;coin12=280000},{gold=3400000;rmb=3500;coin12=280000},{gold=3400000;rmb=3500;coin12=280000},{gold=3400000;rmb=3500;coin12=280000},{gold=3400000;rmb=3500;coin12=280000},0
13,15,{gold=3200000;rmb=3000;coin12=270000},{gold=3200000;rmb=3000;coin12=270000},{gold=3200000;rmb=3000;coin12=270000},{gold=3200000;rmb=3000;coin12=270000},{gold=3200000;rmb=3000;coin12=270000},{gold=3200000;rmb=3000;coin12=270000},{gold=3200000;rmb=3000;coin12=270000},0
16,20,{gold=3000000;rmb=2500;coin12=260000},{gold=3000000;rmb=2500;coin12=260000},{gold=3000000;rmb=2500;coin12=260000},{gold=3000000;rmb=2500;coin12=260000},{gold=3000000;rmb=2500;coin12=260000},{gold=3000000;rmb=2500;coin12=260000},{gold=3000000;rmb=2500;coin12=260000},0
21,30,{gold=2800000;rmb=2000;coin12=250000},{gold=2800000;rmb=2000;coin12=250000},{gold=2800000;rmb=2000;coin12=250000},{gold=2800000;rmb=2000;coin12=250000},{gold=2800000;rmb=2000;coin12=250000},{gold=2800000;rmb=2000;coin12=250000},{gold=2800000;rmb=2000;coin12=250000},0
31,40,{gold=2600000;rmb=1500;coin12=240000},{gold=2600000;rmb=1500;coin12=240000},{gold=2600000;rmb=1500;coin12=240000},{gold=2600000;rmb=1500;coin12=240000},{gold=2600000;rmb=1500;coin12=240000},{gold=2600000;rmb=1500;coin12=240000},{gold=2600000;rmb=1500;coin12=240000},0
41,50,{gold=2400000;rmb=1000;coin12=230000},{gold=2400000;rmb=1000;coin12=230000},{gold=2400000;rmb=1000;coin12=230000},{gold=2400000;rmb=1000;coin12=230000},{gold=2400000;rmb=1000;coin12=230000},{gold=2400000;rmb=1000;coin12=230000},{gold=2400000;rmb=1000;coin12=230000},0
51,70,{gold=2200000;rmb=900;coin12=220000},{gold=2200000;rmb=900;coin12=220000},{gold=2200000;rmb=900;coin12=220000},{gold=2200000;rmb=900;coin12=220000},{gold=2200000;rmb=900;coin12=220000},{gold=2200000;rmb=900;coin12=220000},{gold=2200000;rmb=900;coin12=220000},0
71,100,{gold=2000000;rmb=800;coin12=210000},{gold=2000000;rmb=800;coin12=210000},{gold=2000000;rmb=800;coin12=210000},{gold=2000000;rmb=800;coin12=210000},{gold=2000000;rmb=800;coin12=210000},{gold=2000000;rmb=800;coin12=210000},{gold=2000000;rmb=800;coin12=210000},0
101,150,{gold=1900000;rmb=700;coin12=200000},{gold=1900000;rmb=700;coin12=200000},{gold=1900000;rmb=700;coin12=200000},{gold=1900000;rmb=700;coin12=200000},{gold=1900000;rmb=700;coin12=200000},{gold=1900000;rmb=700;coin12=200000},{gold=1900000;rmb=700;coin12=200000},0
151,200,{gold=1800000;rmb=600;coin12=190000},{gold=1800000;rmb=600;coin12=190000},{gold=1800000;rmb=600;coin12=190000},{gold=1800000;rmb=600;coin12=190000},{gold=1800000;rmb=600;coin12=190000},{gold=1800000;rmb=600;coin12=190000},{gold=1800000;rmb=600;coin12=190000},0
201,300,{gold=1700000;rmb=500;coin12=180000},{gold=1700000;rmb=500;coin12=180000},{gold=1700000;rmb=500;coin12=180000},{gold=1700000;rmb=500;coin12=180000},{gold=1700000;rmb=500;coin12=180000},{gold=1700000;rmb=500;coin12=180000},{gold=1700000;rmb=500;coin12=180000},0
301,400,{gold=1600000;rmb=480;coin12=170000},{gold=1600000;rmb=480;coin12=170000},{gold=1600000;rmb=480;coin12=170000},{gold=1600000;rmb=480;coin12=170000},{gold=1600000;rmb=480;coin12=170000},{gold=1600000;rmb=480;coin12=170000},{gold=1600000;rmb=480;coin12=170000},0
401,500,{gold=1500000;rmb=460;coin12=160000},{gold=1500000;rmb=460;coin12=160000},{gold=1500000;rmb=460;coin12=160000},{gold=1500000;rmb=460;coin12=160000},{gold=1500000;rmb=460;coin12=160000},{gold=1500000;rmb=460;coin12=160000},{gold=1500000;rmb=460;coin12=160000},0
501,700,{gold=1400000;rmb=430;coin12=150000},{gold=1400000;rmb=430;coin12=150000},{gold=1400000;rmb=430;coin12=150000},{gold=1400000;rmb=430;coin12=150000},{gold=1400000;rmb=430;coin12=150000},{gold=1400000;rmb=430;coin12=150000},{gold=1400000;rmb=430;coin12=150000},0
701,1000,{gold=1300000;rmb=420;coin12=140000},{gold=1300000;rmb=420;coin12=140000},{gold=1300000;rmb=420;coin12=140000},{gold=1300000;rmb=420;coin12=140000},{gold=1300000;rmb=420;coin12=140000},{gold=1300000;rmb=420;coin12=140000},{gold=1300000;rmb=420;coin12=140000},0
1001,2000,{gold=1200000;rmb=410;coin12=130000},{gold=1200000;rmb=410;coin12=130000},{gold=1200000;rmb=410;coin12=130000},{gold=1200000;rmb=410;coin12=130000},{gold=1200000;rmb=410;coin12=130000},{gold=1200000;rmb=410;coin12=130000},{gold=1200000;rmb=410;coin12=130000},0
