变量名,type,range,priorityHighRange,extendHighRange,priorityNormalRange,extendNormalRange,priorityLowRange,extendLowRange
默认值,1,<>,<1;2>,<1;2>,<0>,<1;-1>,<0>,<-1>
ID,模式(1-无限制赛;2-公平赛(选位制);3-公平赛(Ban选制)),积分区间(左闭右开),连胜优先匹配区间偏移值,连胜扩展区间匹配偏移值,正常优先匹配区间偏移值,正常扩展区间匹配偏移值,连败优先匹配区间偏移值,连败扩展区间匹配偏移值
1,1,<0;3001>,<0>,<1;2>,<0>,<1;2>,<0>,<1>
2,1,<3001;5001>,<0>,<-1;1>,<0>,<-1;1>,<0>,<-1>
3,1,<5001;6001>,<0>,<-2;-1;1;2>,<0>,<-2;-1;1;2>,<0>,<-2;-1;1;2>
4,1,<6001;7001>,<0>,<-2;-1;1;2>,<0>,<-2;-1;1;2>,<0>,<-2;-1;1;2>
5,1,<7001;8001>,<0>,<-2;-1;1;2>,<0>,<-2;-1;1;2>,<0>,<-2;-1;1;2>
6,1,<8001;9001>,<0>,<-2;-1;1;2>,<0>,<-2;-1;1;2>,<0>,<-2;-1;1;2>
7,1,<9001;10001>,<0>,<-2;-1;1;2>,<0>,<-2;-1;1;2>,<0>,<-2;-1;1;2>
8,1,<10001;11001>,<1>,<-2;-1;0;2;3>,<0>,<-2;-1;1;2>,<0>,<-3;-2;-1;1;2>
9,1,<11001;12001>,<1>,<-2;-1;0;2;3>,<0>,<-2;-1;1;2>,<0>,<-3;-2;-1;1;2>
10,1,<12001;13001>,<1>,<-2;-1;0;2;3>,<0>,<-2;-1;1;2>,<0>,<-3;-2;-1;1;2>
11,1,<13001;14001>,<1>,<-2;-1;0;2;3>,<0>,<-2;-1;1;2>,<0>,<-3;-2;-1;1;2>
12,1,<14001;15001>,<1;2;3>,<0;4;5;6>,<0;1;2;3>,<4;5;6>,<0;-1;1;2>,<3;4;5>
13,1,<15001;16001>,<1;2;3>,<0;-1;4;5>,<0;1;2;-1>,<3;4;5>,<0;-1;1;2>,<3;4;5>
14,1,<16001;17001>,<1;2;3>,<4;0;-1;-2>,<0;1;2;-1>,<3;4;-2>,<0;-1;-2;1>,<2;3;4>
15,1,<17001;18001>,<1;2;3>,<0;-1;-2;-3>,<0;1;2;-1>,<-2;-3;3>,<0;-1;-2;-3>,<1;2;3>
16,1,<18001;19001>,<0;1;2>,<-4;-3;-2;-1>,<0;1;2;-1>,<-4;-3;-2>,<0;-1;-2;-3>,<-4;1;2>
17,1,<19001;20001>,<0;1;-1>,<-2;-3;-4;-5>,<0;1;-1;-2>,<-3;-4;-5>,<0;-1;-2;-3>,<1;-4;-5>
18,1,<20001;99991>,<0;-1;-2>,<-3;-4;-5;-6>,<0;-1;-2;-3>,<-4;-5;-6>,<0;-1;-2;-3>,<-4;-5;-6>
101,2,<0;501>,<0>,<1>,<0>,<1>,<0>,<1>
201,3,<501;6001>,<1>,<0;2>,<0>,<1;2>,<0>,<1>
202,3,<6001;7001>,<1>,<0;2>,<0>,<-2;-1;1;2>,<0>,<-1;-2>
203,3,<7001;8001>,<1>,<0;2>,<0>,<-2;-1;1;2>,<0>,<-1;-2>
204,3,<8001;9001>,<1>,<0;2>,<0>,<-2;-1;1;2>,<0>,<-1;-2>
205,3,<9001;10001>,<1>,<0;2>,<0>,<-2;-1;1;2>,<0>,<-1;-2>
206,3,<10001;11001>,<1>,<0;2>,<0>,<-2;-1;1;2>,<0>,<-1;-2>
207,3,<11001;12001>,<1>,<0;2>,<0>,<-2;-1;1;2>,<0>,<-1;-2>
208,3,<12001;13001>,<1>,<0;2>,<0>,<-2;-1;1;2>,<0>,<-1;-2>
209,3,<13001;14001>,<1>,<0;2>,<0>,<-2;-1;1;2>,<0>,<-1;-2>
210,3,<14001;15001>,<1>,<0;2>,<0>,<-2;-1;1;2>,<0>,<-1;-2>
211,3,<15001;16001>,<1;2;3>,<0;4;5>,<0;1;2;3>,<4;5>,<0;-1;1;2>,<3;4>
212,3,<16001;17001>,<1;2;3>,<-1;-2;4>,<0;1;2;-1>,<3;4>,<0;-1;1;2>,<3;4>
213,3,<17001;18001>,<1;2;3>,<0;-1;-2>,<0;1;2;-1>,<-2;3>,<0;-1;-2;1>,<2;3>
214,3,<18001;19001>,<0;1;2>,<-1;-2;-3>,<0;1;2;-1>,<-2;-3>,<0;-1;-2;-3>,<1;2>
215,3,<19001;20001>,<0;1;-1>,<-2;-3;-4>,<0;1;-1;-2>,<-3;-4>,<0;-1;-2;-3>,<1;-4>
216,3,<20001;99991>,<0;-1;-2>,<-3;-4;-5>,<0;-1;-2;-3>,<-4;-5>,<0;-1;-2;-3>,<-4;-5>
