变量名,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,topScore,limitType,limitTimes,showUnable,languages
默认值,,{},{},-1,0,0,20990101,0,<1;150>,0,0,0,FALSE,<cn;en;tw;kr;vn;pt;th>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,起始VIP等级,等级限制,历史最高积分限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
201,,{21901=5},{coin12=1000},-1,0,0,20990101,0,<210;210>,500,0,0,FALSE,
211,,{23001=5},{coin12=1000},-1,0,0,20990101,0,<210;210>,500,0,0,FALSE,
221,,{22231=5},{coin12=1000},-1,0,0,20990101,0,<210;210>,500,0,0,FALSE,
231,,{23141=5},{coin12=800},-1,0,0,20990101,0,<210;210>,0,0,0,FALSE,
241,,{23411=5},{coin12=800},-1,0,0,20990101,0,<210;210>,0,0,0,FALSE,
600,,{15=2},{coin12=200},-1,0,0,20990101,0,<210;210>,0,0,0,FALSE,
610,,{514=30},{coin12=500},-1,0,0,20990101,0,<210;210>,0,0,0,FALSE,
620,,{5000=40},{coin12=1000},-1,0,0,20990101,0,<210;210>,0,0,0,FALSE,
630,,{529=100},{coin12=300},-1,0,0,20990101,0,<210;210>,0,0,0,FALSE,
701,,{6059=1},{coin12=360000},-1,0,0,20990101,0,<1;210>,500,3,10,FALSE,
711,,{993=1},{coin12=80000},-1,0,0,20990101,0,<1;210>,500,3,10,FALSE,
715,,{23631=1},{coin12=6000},-1,0,0,20990101,0,<1;210>,500,3,20,FALSE,
721,,{501=1},{coin12=15000},-1,0,0,20990101,0,<1;210>,500,3,100,FALSE,
731,,{2152=1},{coin12=36000},-1,0,0,20990101,0,<1;210>,500,3,30,FALSE,
741,,{962=1},{coin12=24000},-1,0,0,20990101,0,<1;210>,500,3,30,FALSE,
751,,{502=1},{coin12=8000},-1,0,0,20990101,0,<1;210>,400,3,500,FALSE,
752,,{521=1},{coin12=20000},-1,0,0,20990101,0,<1;210>,400,3,100,FALSE,
753,,{28503=10},{coin12=300000},-1,0,0,20990101,0,<1;210>,400,3,10,FALSE,
755,,{20641=3},{coin12=10000},-1,0,0,20990101,0,<1;210>,400,3,50,FALSE,
761,,{22241=3},{coin12=8000},-1,0,0,20990101,0,<1;210>,200,3,50,FALSE,
771,,{22401=3},{coin12=8000},-1,0,0,20990101,0,<1;210>,200,3,50,FALSE,
775,,{22471=3},{coin12=8000},-1,0,0,20990101,0,<1;210>,200,3,50,FALSE,
781,,{gold=200000},{coin12=3600},-1,0,0,20990101,0,<1;210>,0,3,20,FALSE,
791,,{15=10},{coin12=3000},-1,0,0,20990101,0,<1;210>,0,3,20,FALSE,
801,,{4000=50},{coin12=1500},-1,0,0,20990101,0,<1;210>,0,3,20,FALSE,
811,,{452=20},{coin12=1000},-1,0,0,20990101,0,<1;210>,0,3,20,FALSE,
821,,{850=80},{coin12=1000},-1,0,0,20990101,0,<1;210>,0,3,20,FALSE,
831,,{851=40},{coin12=1000},-1,0,0,20990101,0,<1;210>,0,3,20,FALSE,
841,,{20251=2},{coin12=10000},-1,0,0,20990101,0,<1;210>,1000,3,50,FALSE,
851,,{20321=2},{coin12=10000},-1,0,0,20990101,0,<1;210>,1000,3,50,FALSE,
861,,{20381=2},{coin12=10000},-1,0,0,20990101,0,<1;210>,1000,3,50,FALSE,
871,,{20441=2},{coin12=10000},-1,0,0,20990101,0,<1;210>,1200,3,50,FALSE,
881,,{20501=2},{coin12=10000},-1,0,0,20990101,0,<1;210>,1200,3,50,FALSE,
891,,{20561=2},{coin12=10000},-1,0,0,20990101,0,<1;210>,1200,3,50,FALSE,
901,,{20611=2},{coin12=10000},-1,0,0,20990101,0,<1;210>,1500,3,50,FALSE,
911,,{20701=2},{coin12=10000},-1,0,0,20990101,0,<1;210>,1500,3,50,FALSE,
921,,{20861=2},{coin12=10000},-1,0,0,20990101,0,<1;210>,1500,3,50,FALSE,
1101,,{2217=1},{coin12=100000},-1,0,0,20990101,0,<1;210>,500,4,1,FALSE,
1111,,{2218=1},{coin12=100000},-1,0,0,20990101,0,<1;210>,500,4,1,FALSE,
1121,,{30318=1},{coin12=150000},-1,0,0,20990101,0,<1;210>,500,4,1,FALSE,
