变量名,_relative,_linked,day,theme,invalidMarkIDs,invalidMegaCardIDs,invalidMarkIDs_kr,invalidMegaCardIDs_kr,invalidMarkIDs_tw,invalidMegaCardIDs_tw,invalidMarkIDs_en,invalidMegaCardIDs_en
默认值,,,0,0,<>,<>,<>,<>,<>,<>,<>,<>
ID,相对时间,关联（1-表示在开战时间，0-表示无）,本期战斗天数,主题,非限制赛禁用markID（不包含Mega）,非限制赛禁用Meag卡的card_id,非限制赛禁用markID（不包含Mega）,非限制赛禁用Meag卡的card_id,非限制赛禁用markID（不包含Mega）,非限制赛禁用Meag卡的card_id,非限制赛禁用markID（不包含Mega）,非限制赛禁用Meag卡的card_id
101,,,1,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
102,,,2,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
103,,,3,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
104,,,4,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
105,,,5,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
106,,,6,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
107,,,7,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
108,,,8,4,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
109,,,9,4,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
110,,,10,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
111,,,11,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
112,,,12,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
113,,,13,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
114,,,14,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
115,,,15,3,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
116,,,16,3,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
117,,,17,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
118,,,18,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
119,,,19,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
120,,,20,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
121,,,21,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
122,,,22,2,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
123,,,23,2,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
124,,,24,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
125,,,25,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
126,,,26,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
127,,,27,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
128,,,28,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
129,,,29,1,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
130,,,30,1,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
131,,,31,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
132,,,32,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
133,,,33,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
134,,,34,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
135,,,35,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
136,,,36,2,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
137,,,37,2,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
138,,,38,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
139,,,39,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
140,,,40,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
141,,,41,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
142,,,42,0,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
143,,,43,3,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
144,,,44,3,<8102;3601;7111>,<>,<>,<>,<>,<>,<>,<>
