变量名,levelRange,weights
默认值,<1;100>,{}
序号,等级范围(左闭右闭),品质权值
1,<1;29>,{1=100;2=100;3=100;4=40;5=20}
2,<30;35>,{1=100;2=100;3=100;4=40;5=20}
3,<36;41>,{1=100;2=115;3=110;4=48;5=24}
4,<42;47>,{1=100;2=115;3=110;4=48;5=24}
5,<48;53>,{1=100;2=130;3=120;4=56;5=28}
6,<54;59>,{1=100;2=130;3=120;4=56;5=28}
7,<60;65>,{1=100;2=145;3=130;4=64;5=32}
8,<66;71>,{1=100;2=145;3=130;4=64;5=32}
9,<72;77>,{1=100;2=160;3=140;4=72;5=36}
10,<78;83>,{1=100;2=160;3=140;4=72;5=36}
11,<84;89>,{1=100;2=175;3=150;4=80;5=40}
12,<90;95>,{1=100;2=175;3=150;4=80;5=40}
13,<96;101>,{1=100;2=190;3=160;4=88;5=44}
14,<102;107>,{1=100;2=190;3=160;4=88;5=44}
15,<108;113>,{1=100;2=205;3=170;4=96;5=48}
16,<114;120>,{1=100;2=205;3=170;4=96;5=48}
17,<121;125>,{1=100;2=220;3=180;4=104;5=52}
18,<126;130>,{1=100;2=220;3=180;4=104;5=52}
19,<131;135>,{1=100;2=235;3=190;4=112;5=56}
20,<136;140>,{1=100;2=235;3=190;4=112;5=56}
21,<141;145>,{1=100;2=250;3=200;4=120;5=60}
22,<146;150>,{1=100;2=250;3=200;4=120;5=60}
23,<151;155>,{1=100;2=265;3=210;4=128;5=64}
24,<156;160>,{1=100;2=265;3=210;4=128;5=64}
25,<161;165>,{1=100;2=280;3=220;4=136;5=68}
26,<166;170>,{1=100;2=280;3=220;4=136;5=68}
27,<171;175>,{1=100;2=295;3=230;4=144;5=72}
28,<176;180>,{1=100;2=295;3=230;4=144;5=72}
29,<181;185>,{1=100;2=310;3=240;4=152;5=76}
30,<186;190>,{1=100;2=310;3=240;4=152;5=76}
31,<191;195>,{1=100;2=325;3=250;4=160;5=80}
32,<196;200>,{1=100;2=325;3=250;4=160;5=80}
33,<201;205>,{1=100;2=340;3=260;4=168;5=84}
34,<206;210>,{1=100;2=340;3=260;4=168;5=84}
35,<211;215>,{1=100;2=355;3=270;4=176;5=88}
36,<216;220>,{1=100;2=355;3=270;4=176;5=88}
37,<221;225>,{1=100;2=370;3=280;4=174;5=82}
38,<226;230>,{1=100;2=370;3=280;4=174;5=82}
39,<231;235>,{1=100;2=385;3=290;4=182;5=86}
40,<236;240>,{1=100;2=385;3=290;4=182;5=86}
41,<241;245>,{1=100;2=400;3=300;4=190;5=90}
42,<246;250>,{1=100;2=400;3=300;4=190;5=90}
