变量名,drawType,_comment,drawTriggerType,drawTriggerTimes,weightStart,weightEnd,effectLimit,startCount,probInit,probStep,probLimit,probMiniTimes,probEffectInterval,lotteryType1,lotteryWeight1,lotteryType2,lotteryWeight2,lotteryType3,lotteryWeight3,lotteryType4,lotteryWeight4,lotteryType5,lotteryWeight5,lotteryType6,lotteryWeight6,lotteryType7,lotteryWeight7,lotteryType8,lotteryWeight8,lotteryType9,lotteryWeight9,lotteryType10,lotteryWeight10
默认值,,,2,0,0,0,0,0,0,0.01,0.2,30,50,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
ID,抽取类型,类型注释,抽取触发类型(0从X次开始;1权值累加;2概率触发;3每X次;4第X次),抽取次数条件,权值上限,权值下限,生效次数上限,开始次数,概率初值,概率递增,概率上限,概率保底次数,概率生效间隔,产出类型1,产出类型1权重,产出类型2,产出类型2权重,产出类型3,产出类型3权重,产出类型4,产出类型4权重,产出类型5,产出类型5权重,产出类型6,产出类型6权重,产出类型7,产出类型7权重,产出类型8,产出类型8权重,产出类型9,产出类型9权重,产出类型10,产出类型10权重
1,gold1,,0,1,0,0,0,0,0,0.01,0.2,30,50,{220=1},45,{221=1},25,{222=1},30,{},0,{},0,{},0,{},0,{},0,{},0,{},0
2,gold10,,0,1,0,0,0,0,0,0.01,0.2,30,50,{220=4;222=3;221=3},100,{220=3;222=4;221=3},80,{220=5;222=2;221=3},120,{220=5;222=3;221=2},120,{220=4;222=4;221=2},100,{220=5;222=3;221=2},120,{},0,{},0,{},0,{},0
11,rmb1,,4,1,0,0,0,0,0,0.01,0.2,30,50,{203=1},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
12,rmb1,,4,5,0,0,0,0,0,0.01,0.2,30,50,{207=1},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
13,rmb1,,2,6,0,0,0,10,0.05,0.02,0.3,15,20,{201=1},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
14,rmb1,,0,2,0,0,0,0,0,0.01,0.2,30,50,{205=1},50,{206=1},50,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
15,rmb1,,4,2,0,0,0,0,0,0.01,0.2,30,50,{204=1},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
16,rmb1,,2,6,0,0,0,30,0.02,0.006,0.5,30,80,{201=1},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
21,rmb10,,4,1,0,0,0,0,0,0.01,0.2,30,50,{207=1;205=3;206=6},100,{207=1;205=4;206=5},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
22,rmb10,,2,2,0,0,1,4,0.5,0.5,1,2,999999,{205=3;201=1;206=6},0,{205=4;201=1;206=5},0,{205=5;201=1;206=4},0,{205=3;201=2;206=5},20,{205=4;201=2;206=4},20,{205=5;201=2;206=3},20,{205=2;201=3;206=5},0,{205=3;201=3;206=4},0,{205=4;201=3;206=3},0,{},0
23,rmb10,,2,2,0,0,1,10,0.01,0.005,0.5,40,50,{205=3;201=1;206=6},0,{205=4;201=1;206=5},0,{205=5;201=1;206=4},0,{205=3;201=2;206=5},0,{205=4;201=2;206=4},0,{205=5;201=2;206=3},0,{205=2;201=3;206=5},20,{205=3;201=3;206=4},20,{205=4;201=3;206=3},20,{},0
24,rmb10,,0,2,0,0,0,0,0,0.01,0.2,30,50,{205=3;201=1;206=6},150,{205=4;201=1;206=5},100,{205=5;201=1;206=4},50,{205=3;201=2;206=5},30,{205=4;201=2;206=4},20,{205=5;201=2;206=3},10,{205=2;201=3;206=5},0,{205=3;201=3;206=4},0,{205=4;201=3;206=3},0,{},0
51,limit_up_rmb1_81,,0,2,0,0,0,0,0,0.01,0.2,30,50,{205=1},50,{206=1},50,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
52,limit_up_rmb1_81,,4,1,0,0,0,0,0,0.01,0.2,30,50,{204=1},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
53,limit_up_rmb1_81,,2,5,0,0,1,5,0.17,0.06,0.5,6,999999,{1204=1},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
54,limit_up_rmb1_81,,2,6,0,0,10,10,0.05,0.015,0.5,15,15,{1204=1},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
55,limit_up_rmb1_81,,2,160,0,0,0,160,0.05,0.015,0.5,15,15,{1204=1},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
61,limit_up_rmb10_81,,4,1,0,0,0,0,0,0.01,0.2,30,50,{205=3;1204=1;206=6},100,{205=4;1204=1;206=5},100,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
62,limit_up_rmb10_81,,0,2,0,0,20,0,0,0.01,0.2,30,50,{205=3;1204=1;206=6},150,{205=4;1204=1;206=5},100,{205=5;1204=1;206=4},50,{205=3;1204=2;206=5},30,{205=4;1204=2;206=4},20,{205=5;1204=2;206=3},10,{205=2;1204=3;206=5},0,{205=3;1204=3;206=4},0,{205=4;1204=3;206=3},0,{},0
63,limit_up_rmb10_81,,0,22,0,0,0,0,0,0.01,0.2,30,50,{205=3;1205=1;206=6},150,{205=4;1205=1;206=5},100,{205=5;1205=1;206=4},50,{205=3;1205=2;206=5},30,{205=4;1205=2;206=4},20,{205=5;1205=2;206=3},10,{205=2;1205=3;206=5},0,{205=3;1205=3;206=4},0,{205=4;1205=3;206=3},0,{},0
