变量名,_beizhu,count,award,drawType
默认值,,0,{},0
ID,备注,计数,奖励,抽卡类型（1 活动限制的抽卡2钻石抽卡3芯片代币及钻石抽卡）
1,,30,{502=5;20771=5;gold=300000},2
2,,60,{502=5;20771=5;gold=300000},2
3,,100,{gold=300000;925=1;20771=10},2
4,,130,{502=5;20771=5;gold=300000},2
5,,160,{502=5;20771=5;gold=300000},2
6,,200,{gold=300000;925=1;20771=10},2
7,,230,{502=5;20771=5;gold=300000},2
8,,260,{502=5;20771=5;gold=300000},2
9,,300,{gold=300000;925=1;20771=10},2
10,,330,{502=5;20771=5;gold=300000},2
11,,360,{502=5;20771=5;gold=300000},2
12,,400,{gold=300000;925=1;20771=10},2
13,,430,{502=5;20771=5;gold=300000},2
14,,460,{502=5;20771=5;gold=300000},2
15,,500,{gold=300000;925=1;20771=10},2
16,,530,{502=5;20771=5;gold=300000},2
17,,560,{502=5;20771=5;gold=300000},2
18,,600,{gold=300000;925=1;20771=10},2
19,,630,{502=5;20771=5;gold=300000},2
20,,660,{502=5;20771=5;gold=300000},2
21,,700,{gold=300000;925=1;20771=10},2
22,,730,{502=5;20771=5;gold=300000},2
23,,760,{502=5;20771=5;gold=300000},2
24,,800,{gold=300000;925=1;20771=10},2
25,,830,{502=5;20771=5;gold=300000},2
26,,860,{502=5;20771=5;gold=300000},2
27,,900,{gold=300000;925=1;20771=10},2
28,,930,{502=5;20771=5;gold=300000},2
29,,960,{502=5;20771=5;gold=300000},2
30,,1000,{gold=300000;925=1;20771=10},2
31,,1030,{502=5;20771=5;gold=300000},2
32,,1060,{502=5;20771=5;gold=300000},2
33,,1100,{gold=300000;925=1;20771=10},2
34,,1130,{502=5;20771=5;gold=300000},2
35,,1160,{502=5;20771=5;gold=300000},2
36,,1200,{gold=300000;925=1;20771=10},2
37,,1230,{502=5;20771=5;gold=300000},2
38,,1260,{502=5;20771=5;gold=300000},2
39,,1300,{gold=300000;925=1;20771=10},2
40,,1330,{502=5;20771=5;gold=300000},2
41,,1360,{502=5;20771=5;gold=300000},2
42,,1400,{gold=300000;925=1;20771=10},2
43,,1430,{502=5;20771=5;gold=300000},2
44,,1460,{502=5;20771=5;gold=300000},2
45,,1500,{gold=300000;925=1;20771=10},2
46,,1530,{502=5;20771=5;gold=300000},2
47,,1560,{502=5;20771=5;gold=300000},2
48,,1600,{gold=300000;925=1;20771=10},2
49,,1630,{502=5;20771=5;gold=300000},2
50,,1660,{502=5;20771=5;gold=300000},2
51,,1700,{gold=300000;925=1;20771=10},2
52,,1730,{502=5;20771=5;gold=300000},2
53,,1760,{502=5;20771=5;gold=300000},2
54,,1800,{gold=300000;925=1;20771=10},2
55,,1830,{502=5;20771=5;gold=300000},2
56,,1860,{502=5;20771=5;gold=300000},2
57,,1900,{gold=300000;925=1;20771=10},2
58,,1930,{502=5;20771=5;gold=300000},2
59,,1960,{502=5;20771=5;gold=300000},2
60,,2000,{gold=300000;925=1;20771=10},2
61,,2030,{502=5;20771=5;gold=300000},2
62,,2060,{502=5;20771=5;gold=300000},2
63,,2100,{gold=300000;925=1;20771=10},2
64,,2130,{502=5;20771=5;gold=300000},2
65,,2160,{502=5;20771=5;gold=300000},2
66,,2200,{gold=300000;925=1;20771=10},2
67,,2230,{502=5;20771=5;gold=300000},2
68,,2260,{502=5;20771=5;gold=300000},2
69,,2300,{gold=300000;925=1;20771=10},2
70,,2330,{502=5;20771=5;gold=300000},2
71,,2360,{502=5;20771=5;gold=300000},2
72,,2400,{gold=300000;925=1;20771=10},2
73,,2430,{502=5;20771=5;gold=300000},2
74,,2460,{502=5;20771=5;gold=300000},2
75,,2500,{gold=300000;925=1;20771=10},2
76,,2530,{502=5;20771=5;gold=300000},2
77,,2560,{502=5;20771=5;gold=300000},2
78,,2600,{gold=300000;925=1;20771=10},2
79,,2630,{502=5;20771=5;gold=300000},2
80,,2660,{502=5;20771=5;gold=300000},2
81,,2700,{gold=300000;925=1;20771=10},2
82,,2730,{502=5;20771=5;gold=300000},2
83,,2760,{502=5;20771=5;gold=300000},2
84,,2800,{gold=300000;925=1;20771=10},2
85,,2830,{502=5;20771=5;gold=300000},2
86,,2860,{502=5;20771=5;gold=300000},2
87,,2900,{gold=300000;925=1;20771=10},2
88,,2930,{502=5;20771=5;gold=300000},2
89,,2960,{502=5;20771=5;gold=300000},2
90,,3000,{gold=300000;925=1;20771=10},2
91,,3030,{502=5;20771=5;gold=300000},2
92,,3060,{502=5;20771=5;gold=300000},2
93,,3100,{gold=300000;925=1;20771=10},2
94,,3130,{502=5;20771=5;gold=300000},2
95,,3160,{502=5;20771=5;gold=300000},2
96,,3200,{gold=300000;925=1;20771=10},2
97,,3230,{502=5;20771=5;gold=300000},2
98,,3260,{502=5;20771=5;gold=300000},2
99,,3300,{gold=300000;925=1;20771=10},2
100,,3330,{502=5;20771=5;gold=300000},2
101,,3360,{502=5;20771=5;gold=300000},2
102,,3400,{gold=300000;925=1;20771=10},2
103,,3430,{502=5;20771=5;gold=300000},2
104,,3460,{502=5;20771=5;gold=300000},2
105,,3500,{gold=300000;925=1;20771=10},2
106,,3530,{502=5;20771=5;gold=300000},2
107,,3560,{502=5;20771=5;gold=300000},2
108,,3600,{gold=300000;925=1;20771=10},2
109,,3630,{502=5;20771=5;gold=300000},2
110,,3660,{502=5;20771=5;gold=300000},2
111,,3700,{gold=300000;925=1;20771=10},2
112,,3730,{502=5;20771=5;gold=300000},2
113,,3760,{502=5;20771=5;gold=300000},2
114,,3800,{gold=300000;925=1;20771=10},2
115,,3830,{502=5;20771=5;gold=300000},2
116,,3860,{502=5;20771=5;gold=300000},2
117,,3900,{gold=300000;925=1;20771=10},2
118,,3930,{502=5;20771=5;gold=300000},2
119,,3960,{502=5;20771=5;gold=300000},2
120,,4000,{gold=300000;925=1;20771=10},2
121,,4030,{502=5;20771=5;gold=300000},2
122,,4060,{502=5;20771=5;gold=300000},2
123,,4100,{gold=300000;925=1;20771=10},2
124,,4130,{502=5;20771=5;gold=300000},2
125,,4160,{502=5;20771=5;gold=300000},2
126,,4200,{gold=300000;925=1;20771=10},2
127,,4230,{502=5;20771=5;gold=300000},2
128,,4260,{502=5;20771=5;gold=300000},2
129,,4300,{gold=300000;925=1;20771=10},2
130,,4330,{502=5;20771=5;gold=300000},2
131,,4360,{502=5;20771=5;gold=300000},2
132,,4400,{gold=300000;925=1;20771=10},2
133,,4430,{502=5;20771=5;gold=300000},2
134,,4460,{502=5;20771=5;gold=300000},2
135,,4500,{gold=300000;925=1;20771=10},2
136,,4530,{502=5;20771=5;gold=300000},2
137,,4560,{502=5;20771=5;gold=300000},2
138,,4600,{gold=300000;925=1;20771=10},2
139,,4630,{502=5;20771=5;gold=300000},2
140,,4660,{502=5;20771=5;gold=300000},2
141,,4700,{gold=300000;925=1;20771=10},2
142,,4730,{502=5;20771=5;gold=300000},2
143,,4760,{502=5;20771=5;gold=300000},2
144,,4800,{gold=300000;925=1;20771=10},2
145,,4830,{502=5;20771=5;gold=300000},2
146,,4860,{502=5;20771=5;gold=300000},2
147,,4900,{gold=300000;925=1;20771=10},2
148,,4930,{502=5;20771=5;gold=300000},2
149,,4960,{502=5;20771=5;gold=300000},2
150,,5000,{gold=300000;925=1;20771=10},2
151,,5030,{502=5;20771=5;gold=300000},2
152,,5060,{502=5;20771=5;gold=300000},2
153,,5100,{gold=300000;925=1;20771=10},2
154,,5130,{502=5;20771=5;gold=300000},2
155,,5160,{502=5;20771=5;gold=300000},2
156,,5200,{gold=300000;925=1;20771=10},2
157,,5230,{502=5;20771=5;gold=300000},2
158,,5260,{502=5;20771=5;gold=300000},2
159,,5300,{gold=300000;925=1;20771=10},2
