变量名,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,fishingLevelRange,limitType,limitTimes,showUnable,languages
默认值,,{},0,{coin3=0},0,1,0,20990101,0,<1;100>,<1;100>,0,0,FALSE,<cn;tw;en;vn;th;kr;pt>
商店ID,备注,商品ID表({ID=权重;}),商品个数,消耗积分,起始VIP等级,刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,钓鱼等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
25,,{452=10},10,{coin3=500},0,0,0,20990101,12,<250;250>,<1;100>,0,0,FALSE,
26,,{5000=10},20,{coin3=400},0,0,0,20990101,13,<250;250>,<1;100>,0,0,FALSE,
27,,{514=10},5,{coin3=200},0,0,0,20990101,14,<250;250>,<1;100>,0,0,FALSE,
31,,{23541=10},5,{coin3=2000},0,0,0,20990101,0,<250;250>,<1;100>,0,0,FALSE,
32,,{23021=10},5,{coin3=1500},0,0,0,20990101,1,<250;250>,<1;100>,0,0,FALSE,
33,,{20491=10},5,{coin3=1500},0,0,0,20990101,2,<250;250>,<1;100>,0,0,FALSE,
34,,{20271=10},5,{coin3=900},0,0,0,20990101,6,<250;250>,<1;100>,0,0,FALSE,
35,,{22011=10},5,{coin3=900},0,0,0,20990101,7,<250;250>,<1;100>,0,0,FALSE,
36,,{20471=10},5,{coin3=900},0,0,0,20990101,8,<250;250>,<1;100>,0,0,FALSE,
37,,{20001=10},5,{coin3=900},0,0,0,20990101,9,<250;250>,<1;100>,0,0,FALSE,
41,,{21311=10},5,{coin3=1500},0,0,0,20990101,3,<250;250>,<1;100>,0,0,FALSE,
42,,{20731=10},5,{coin3=1500},0,0,0,20990101,4,<250;250>,<1;100>,0,0,FALSE,
43,,{21081=10},5,{coin3=1500},0,0,0,20990101,5,<250;250>,<1;100>,0,0,FALSE,
2001,,{21931=10},5,{535=2500},0,100,0,20990101,0,<1;250>,<1;250>,0,0,FALSE,
2011,,{21911=10},5,{535=2500},0,100,0,20990101,1,<1;250>,<1;250>,0,0,TRUE,
2021,,{21921=10},5,{535=3200},0,100,0,20990101,2,<1;250>,<1;250>,0,0,TRUE,
2031,,{23591=10},5,{535=1800},0,100,0,20990101,3,<1;250>,<1;250>,0,0,FALSE,
2035,,{20161=10},5,{535=1800},0,100,0,20990101,4,<1;250>,<1;250>,0,0,TRUE,
2041,,{22991=10},5,{535=1800},0,100,0,20990101,5,<1;250>,<1;250>,0,0,TRUE,
2051,,{22841=10},5,{535=1000},0,100,0,20990101,6,<1;250>,<1;250>,0,0,FALSE,
2061,,{20341=10},5,{535=1000},0,100,0,20990101,7,<1;250>,<1;250>,0,0,FALSE,
2071,,{20221=10},5,{535=1000},0,100,0,20990101,8,<1;250>,<1;250>,0,0,FALSE,
2081,,{21961=1},1,{535=5000},0,100,0,20990101,9,<1;250>,<1;250>,3,20,TRUE,
3001,,{529=10},100,{535=600},0,100,0,20990101,10,<1;250>,<1;250>,0,0,FALSE,
3011,,{5000=10},20,{535=1000},0,100,0,20990101,11,<1;250>,<1;250>,0,0,FALSE,
3012,,{930=10},20,{535=1000},0,100,0,20990101,13,<1;250>,<1;250>,0,0,FALSE,
3021,,{514=10},10,{535=600},0,100,0,20990101,14,<1;250>,<1;250>,0,0,FALSE,
10001,,{2225=1},1,{535=30000},0,100,0,20990101,12,<1;250>,<1;250>,4,1,FALSE,
