变量名,name,languages,drawlanguages,name_tw,name_en,name_kr,name_vn,name_pt,name_th,icon,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,desc1,desc1_tw,desc1_en,desc1_vn,desc1_kr,desc1_pt,desc1_th,quality,type,donateType,universalFragID,decomposeGain,combID,combCount,stackMax,effBtn,pageTag,sellPrice,autoComb,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_vn,produceDesc_kr,produceDesc_pt,produceDesc_th,isFinal,rebirthRMB,effect,sortType,sortValue
默认值,,<cn;tw;en;vn;th;kr;pt>,<cn;tw;en;vn;th;kr;pt>,,,,,,,config/portrait/jinglingtouxiang/img_25_pkq@.png,该碎片对应的cardID尚未配置，读此默认值,该碎片对应的cardID尚未配置，读此默认值,该碎片对应的cardID尚未配置，读此默认值,该碎片对应的cardID尚未配置，读此默认值,该碎片对应的cardID尚未配置，读此默认值,该碎片对应的cardID尚未配置，读此默认值,该碎片对应的cardID尚未配置，读此默认值,由大木研究所研究制作，根据精灵的资料来重现精灵形态的高科技物品,由大木研究所研究制作，根据精灵的资料来重现精灵形态的高科技物品,"""""","""""","""""","""""","""""",4,1,1,0,{coin5=5},11,10,9999,<1>,<3>,1000,FALSE,"""""","""""","""""","""""","""""","""""","""""",暂无固定获取途径可获得该碎片,该碎片由特殊途径产出,No usual way to get.,No usual way to get.,No usual way to get.,No usual way to get.,No usual way to get.,0,100,{drawcard=false;gain=false},0,0
碎片ID,碎片名称,语言区域,抽卡语言区域,碎片名称,碎片名称,碎片名称_韩,碎片名称_韩,碎片名称_韩,碎片名称_韩,碎片图示,描述,描述,描述,描述,描述_韩,Descrição,คำอธิบาย,卡牌碎片信息,卡牌碎片信息,卡牌碎片信息,卡牌碎片信息,卡牌碎片信息_韩,卡牌碎片信息_韩,卡牌碎片信息_韩,碎片品质,碎片类型(1卡牌碎片2装备碎片3道具碎片4携带道具碎片),公会赠予类型（0-不可赠送；1-可赠送）,对应万能碎片ID,碎片分解价值,产物对应ID,合成数量,堆栈上限,功能按键,特殊页签显示,出售价格,是否自动合成,产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),前三个都没就读描述,前三个都没就读描述,前三个都没就读描述,前三个都没就读描述,前三个都没就读描述_韩,前三个都没就读描述_韩,前三个都没就读描述_韩,是否成品(接口显示用),精灵分解消耗,分别表示在抽卡，恭喜获得,排序类型,排序价值
20001,妙蛙种子碎片,,,妙蛙種子碎片,Bulbasaur Shard,이상해씨 조각,Mảnh vỡ Bulbasaur,Fragmento de Bulbasaur,เศษบูลบาซอร์,config/portrait/jinglingtouxiang/img_1_mwzz@.png,集齐%d个碎片可以合成#C0xE77421#妙蛙种子#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#妙蛙種子#C0x55504D#,Collect %d Shards to synthesize #C0xE77421#Bulbasaur#C0x55504D#,Thu thập %d Mảnh ghép để tổng hợp #C0xE77421#Bulbasaur#C0x55504D#,%d개의 조각을 모아 #C0xE77421#이상해씨#C0x55504D#를 합성하세요,Colecione %d Fragmentos para sintetizar #C0xE77421#Bulbasaur#C0x55504D#,สะสมเศษชิ้นส่วน %d ชิ้นเพื่อรวมเป็น #C0xE77421#Bulbasaur#C0x55504D#,由大木研究所研究制作，根据精灵的资料来重现精灵形态的高科技物品,由大木研究所研究製作，根據寶可夢的資料來重現寶可夢形態的高科技物品,"Developed by Professor Oak’s lab, a high-tech device that recreates Pokémon forms based on their data.","Được nghiên cứu và phát triển bởi Viện Oak, thiết bị công nghệ cao tái hiện hình dạng Pokémon dựa trên dữ liệu của chúng.","오박사의 연구소에서 개발한, 포켓몬 데이터를 기반으로 포켓몬 형태를 재현하는 첨단 기기입니다.","Desenvolvido pelo laboratório do Professor Carvalho, um dispositivo de alta tecnologia que recria as formas dos Pokémon com base em seus dados.",พัฒนาโดยห้องวิจัยของศาสตราจารย์โอ๊ค อุปกรณ์เทคโนโลยีขั้นสูงที่สร้างรูปร่างโปเกมอนตามข้อมูลของพวกมัน,4,1,1,502,{coin5=5},1,30,99999,<1>,<3>,1000,FALSE,20103,21501,shop-2,drawCard-gold,,,,暂无固定获取途径可获得该碎片,该碎片由特殊途径产出,No usual way to get.,No usual way to get.,No usual way to get.,No usual way to get.,No usual way to get.,0,100,{drawcard=false;gain=false},0,0
20011,小火龙碎片,,,小火龍碎片,Charmander Shard,파이리 조각,Mảnh Charmander,Fragmento de Charmander,เศษชาร์แมนเดอร์,config/portrait/jinglingtouxiang/img_4_xhl@.png,集齐%d个碎片可以合成#C0xE77421#小火龙#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#小火龍#C0x55504D#,Collect %d Shards to synthesize #C0xE77421#Charmander#C0x55504D#,Thu thập %d mảnh ghép để tổng hợp #C0xE77421#Charmander#C0x55504D#,%d개의 조각을 모아 #C0xE77421#파이리#C0x55504D#를 합성하세요,Colecione %d fragmentos para sintetizar #C0xE77421#Charmander#C0x55504D#,สะสมเศษชิ้นส่วน %d ชิ้นเพื่อสร้าง #C0xE77421#Charmander#C0x55504D#,由大木研究所研究制作，根据精灵的资料来重现精灵形态的高科技物品,由大木研究所研究製作，根據寶可夢的資料來重現寶可夢形態的高科技物品,"Developed by Professor Oak’s lab, a high-tech device that recreates Pokémon forms based on their data.","Được nghiên cứu và phát triển bởi Viện Oak, thiết bị công nghệ cao tái hiện hình dạng Pokémon dựa trên dữ liệu của chúng.","오박사의 연구소에서 개발한, 포켓몬 데이터를 기반으로 포켓몬 형태를 재현하는 첨단 기기입니다.","Desenvolvido pelo laboratório do Professor Carvalho, um dispositivo de alta tecnologia que recria as formas dos Pokémon com base em seus dados.",พัฒนาโดยห้องวิจัยของศาสตราจารย์โอ๊ค อุปกรณ์เทคโนโลยีขั้นสูงที่สร้างรูปร่างโปเกมอนตามข้อมูลของพวกมัน,4,1,1,502,{coin5=5},11,30,99999,<1>,<3>,1000,FALSE,20403,21801,shop-6,drawCard-gold,,,,暂无固定获取途径可获得该碎片,该碎片由特殊途径产出,No usual way to get.,No usual way to get.,No usual way to get.,No usual way to get.,No usual way to get.,0,100,{drawcard=false;gain=false},0,0
20021,杰尼龟碎片,,,傑尼龜碎片,Squirtle Shard,꼬부기 조각,Mảnh vỡ Squirtle,Fragmento de Squirtle,เศษชิ้นส่วนของสไปร์ท,config/portrait/jinglingtouxiang/img_7_jng@.png,集齐%d个碎片可以合成#C0xE77421#杰尼龟#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#傑尼龜#C0x55504D#,Collect %d Shards to synthesize #C0xE77421#Squirtle#C0x55504D#,Thu thập %d Mảnh ghép để tổng hợp #C0xE77421#Squirtle#C0x55504D#,%d개의 조각을 모아 #C0xE77421#꼬부기#C0x55504D#를 합성하세요,Colecione %d Fragmentos para sintetizar #C0xE77421#Squirtle#C0x55504D#,สะสมเศษชิ้นส่วน %d ชิ้นเพื่อสังเคราะห์ #C0xE77421#จีบัค#C0x55504D#,由大木研究所研究制作，根据精灵的资料来重现精灵形态的高科技物品,由大木研究所研究製作，根據寶可夢的資料來重現寶可夢形態的高科技物品,"Developed by Professor Oak’s lab, a high-tech device that recreates Pokémon forms based on their data.","Được nghiên cứu và phát triển bởi Viện Oak, thiết bị công nghệ cao tái hiện hình dạng Pokémon dựa trên dữ liệu của chúng.","오박사의 연구소에서 개발한, 포켓몬 데이터를 기반으로 포켓몬 형태를 재현하는 첨단 기기입니다.","Desenvolvido pelo laboratório do Professor Carvalho, um dispositivo de alta tecnologia que recria as formas dos Pokémon com base em seus dados.",พัฒนาโดยห้องวิจัยของศาสตราจารย์โอ๊ค อุปกรณ์เทคโนโลยีขั้นสูงที่สร้างรูปร่างโปเกมอนตามข้อมูลของพวกมัน,4,1,1,502,{coin5=5},21,30,99999,<1>,<3>,1000,FALSE,20303,21901,shop-4,drawCard-gold,,,,暂无固定获取途径可获得该碎片,该碎片由特殊途径产出,No usual way to get.,No usual way to get.,No usual way to get.,No usual way to get.,No usual way to get.,0,100,{drawcard=false;gain=false},0,0
20031,绿毛虫碎片,,,綠毛蟲碎片,Caterpie Shard,캐터피 조각,Mảnh vụn Caterpie,Fragmento de Caterpie,เศษแคเทอร์ปี,config/portrait/jinglingtouxiang/img_10_lmc@.png,集齐%d个碎片可以合成#C0xE77421#绿毛虫#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#綠毛蟲#C0x55504D#,Collect %d Shards to synthesize #C0xE77421#Caterpie#C0x55504D#,Thu thập %d mảnh ghép để tổng hợp #C0xE77421#Caterpie#C0x55504D#,%d개의 조각을 모아 #C0xE77421#캐터피#C0x55504D#를 합성하세요,Colecione %d fragmentos para sintetizar #C0xE77421#Caterpie#C0x55504D#,รวบรวมเศษชิ้นส่วน %d ชิ้นเพื่อสร้าง #C0xE77421#แคเทอร์ปี#C0x55504D#,由大木研究所研究制作，根据精灵的资料来重现精灵形态的高科技物品,由大木研究所研究製作，根據寶可夢的資料來重現寶可夢形態的高科技物品,"Developed by Professor Oak’s lab, a high-tech device that recreates Pokémon forms based on their data.","Được nghiên cứu và phát triển bởi Viện Oak, thiết bị công nghệ cao tái hiện hình dạng Pokémon dựa trên dữ liệu của chúng.","오박사의 연구소에서 개발한, 포켓몬 데이터를 기반으로 포켓몬 형태를 재현하는 첨단 기기입니다.","Desenvolvido pelo laboratório do Professor Carvalho, um dispositivo de alta tecnologia que recria as formas dos Pokémon com base em seus dados.",พัฒนาโดยห้องวิจัยของศาสตราจารย์โอ๊ค อุปกรณ์เทคโนโลยีขั้นสูงที่สร้างรูปร่างโปเกมอนตามข้อมูลของพวกมัน,3,1,1,502,{coin5=2},31,20,99999,<1>,<3>,1000,FALSE,drawCard-gold,,,,,,,暂无固定获取途径可获得该碎片,该碎片由特殊途径产出,No usual way to get.,No usual way to get.,No usual way to get.,No usual way to get.,No usual way to get.,0,100,{drawcard=false;gain=false},0,0
20041,大针蜂碎片,,,大針蜂碎片,Beedrill Shard,독침붕 조각,Mảnh vỡ Beedrill,Fragmento de Beedrill,เศษชิ้นส่วนบีดริล,config/portrait/jinglingtouxiang/img_15_dzf@.png,集齐%d个碎片可以合成#C0xE77421#大针蜂#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#大針蜂#C0x55504D#,Collect %d Shards to synthesize #C0xE77421#Beedrill#C0x55504D#,Thu thập %d mảnh ghép để tổng hợp #C0xE77421#Beedrill#C0x55504D#,%d개의 조각을 모아 #C0xE77421#독침붕#C0x55504D#을 합성하세요,Colecione %d fragmentos para sintetizar #C0xE77421#Beedrill#C0x55504D#,สะสมเศษชิ้นส่วน %d ชิ้นเพื่อสร้าง #C0xE77421#บีดริล#C0x55504D#,由大木研究所研究制作，根据精灵的资料来重现精灵形态的高科技物品,由大木研究所研究製作，根據寶可夢的資料來重現寶可夢形態的高科技物品,"Developed by Professor Oak’s lab, a high-tech device that recreates Pokémon forms based on their data.","Được nghiên cứu và phát triển bởi Viện Oak, thiết bị công nghệ cao tái hiện hình dạng Pokémon dựa trên dữ liệu của chúng.","오박사의 연구소에서 개발한, 포켓몬 데이터를 기반으로 포켓몬 형태를 재현하는 첨단 기기입니다.","Desenvolvido pelo laboratório do Professor Carvalho, um dispositivo de alta tecnologia que recria as formas dos Pokémon com base em seus dados.",พัฒนาโดยห้องวิจัยของศาสตราจารย์โอ๊ค อุปกรณ์เทคโนโลยีขั้นสูงที่สร้างรูปร่างโปเกมอนตามข้อมูลของพวกมัน,3,1,1,502,{coin5=2},41,20,99999,<1>,<3>,1000,FALSE,drawCard-gold,,,,,,,暂无固定获取途径可获得该碎片,该碎片由特殊途径产出,No usual way to get.,No usual way to get.,No usual way to get.,No usual way to get.,No usual way to get.,0,100,{drawcard=false;gain=false},0,0
20051,波波碎片,,,波波碎片,Pidgey Shard,보보 조각,Mảnh vỡ Bobo,Fragmento Bobo,เศษ Bobo,config/portrait/jinglingtouxiang/img_16_bb@.png,集齐%d个碎片可以合成#C0xE77421#波波#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#波波#C0x55504D#,Collect %d Shards to synthesize #C0xE77421#Bobo#C0x55504D#,Thu thập %d Mảnh ghép để tổng hợp #C0xE77421#Bobo#C0x55504D#,%d개의 조각을 모아 #C0xE77421#보보#C0x55504D#를 합성하세요,Colecione %d fragmentos para sintetizar #C0xE77421#Bobo#C0x55504D#,สะสมเศษชิ้นส่วน %d ชิ้นเพื่อรวมเป็น #C0xE77421#โบโบ#C0x55504D#,由大木研究所研究制作，根据精灵的资料来重现精灵形态的高科技物品,由大木研究所研究製作，根據寶可夢的資料來重現寶可夢形態的高科技物品,"Developed by Professor Oak’s lab, a high-tech device that recreates Pokémon forms based on their data.","Được nghiên cứu và phát triển bởi Viện Oak, thiết bị công nghệ cao tái hiện hình dạng Pokémon dựa trên dữ liệu của chúng.","오박사의 연구소에서 개발한, 포켓몬 데이터를 기반으로 포켓몬 형태를 재현하는 첨단 기기입니다.","Desenvolvido pelo laboratório do Professor Carvalho, um dispositivo de alta tecnologia que recria as formas dos Pokémon com base em seus dados.",พัฒนาโดยห้องวิจัยของศาสตราจารย์โอ๊ค อุปกรณ์เทคโนโลยีขั้นสูงที่สร้างรูปร่างโปเกมอนตามข้อมูลของพวกมัน,4,1,1,502,{coin5=5},51,30,99999,<1>,<3>,1000,FALSE,20301,21803,drawCard-gold,,,,,暂无固定获取途径可获得该碎片,该碎片由特殊途径产出,No usual way to get.,No usual way to get.,No usual way to get.,No usual way to get.,No usual way to get.,0,100,{drawcard=false;gain=false},0,0
20061,小拉达碎片,,,小拉達碎片,Rattata Shard,꼬렛 조각,Mảnh vỡ Rattata,Fragmento de Rattata,เศษรัตตา,config/portrait/jinglingtouxiang/img_19_xld@.png,集齐%d个碎片可以合成#C0xE77421#小拉达#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#小拉達#C0x55504D#,Collect %d Shards to synthesize #C0xE77421#Rattata#C0x55504D#,Thu thập %d Mảnh ghép để tổng hợp #C0xE77421#Rattata#C0x55504D#,%d개의 조각을 모으면 #C0xE77421#꼬렛#C0x55504D#을 합성할 수 있습니다.,Colecione %d Fragmentos para sintetizar #C0xE77421#Rattata#C0x55504D#,สะสมเศษชิ้นส่วน %d ชิ้นเพื่อสร้าง #C0xE77421#รัตตาตา#C0x55504D#,由大木研究所研究制作，根据精灵的资料来重现精灵形态的高科技物品,由大木研究所研究製作，根據寶可夢的資料來重現寶可夢形態的高科技物品,"Developed by Professor Oak’s lab, a high-tech device that recreates Pokémon forms based on their data.","Được nghiên cứu và phát triển bởi Viện Oak, thiết bị công nghệ cao tái hiện hình dạng Pokémon dựa trên dữ liệu của chúng.","오박사의 연구소에서 개발한, 포켓몬 데이터를 기반으로 포켓몬 형태를 재현하는 첨단 기기입니다.","Desenvolvido pelo laboratório do Professor Carvalho, um dispositivo de alta tecnologia que recria as formas dos Pokémon com base em seus dados.",พัฒนาโดยห้องวิจัยของศาสตราจารย์โอ๊ค อุปกรณ์เทคโนโลยีขั้นสูงที่สร้างรูปร่างโปเกมอนตามข้อมูลของพวกมัน,3,1,1,502,{coin5=2},61,20,99999,<1>,<3>,1000,FALSE,drawCard-gold,,,,,,,暂无固定获取途径可获得该碎片,该碎片由特殊途径产出,No usual way to get.,No usual way to get.,No usual way to get.,No usual way to get.,No usual way to get.,0,100,{drawcard=false;gain=false},0,0
20071,烈雀碎片,,,烈雀碎片,Spearow Shard,피죤투 파편,Mảnh vỡ Fearow,Fragmento de Fearow,เศษชิ้นส่วนฟีโรว์,config/portrait/jinglingtouxiang/img_21_lq@.png,集齐%d个碎片可以合成#C0xE77421#烈雀#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#烈雀#C0x55504D#,Collect %d Shards to synthesize #C0xE77421#Sparrow#C0x55504D#,Thu thập %d mảnh ghép để tổng hợp #C0xE77421#Chim sẻ#C0x55504D#,%d개의 조각을 모아 #C0xE77421#참새#C0x55504D#를 합성하세요,Colecione %d Fragmentos para sintetizar #C0xE77421#Pardal#C0x55504D#,สะสมเศษชิ้นส่วน %d ชิ้นเพื่อรวมเป็น #C0xE77421#นกกระจอก#C0x55504D#,由大木研究所研究制作，根据精灵的资料来重现精灵形态的高科技物品,由大木研究所研究製作，根據寶可夢的資料來重現寶可夢形態的高科技物品,"Developed by Professor Oak’s lab, a high-tech device that recreates Pokémon forms based on their data.","Được nghiên cứu và phát triển bởi Viện Oak, thiết bị công nghệ cao tái hiện hình dạng Pokémon dựa trên dữ liệu của chúng.","오박사의 연구소에서 개발한, 포켓몬 데이터를 기반으로 포켓몬 형태를 재현하는 첨단 기기입니다.","Desenvolvido pelo laboratório do Professor Carvalho, um dispositivo de alta tecnologia que recria as formas dos Pokémon com base em seus dados.",พัฒนาโดยห้องวิจัยของศาสตราจารย์โอ๊ค อุปกรณ์เทคโนโลยีขั้นสูงที่สร้างรูปร่างโปเกมอนตามข้อมูลของพวกมัน,3,1,1,502,{coin5=2},71,20,99999,<1>,<3>,1000,FALSE,drawCard-gold,,,,,,,暂无固定获取途径可获得该碎片,该碎片由特殊途径产出,No usual way to get.,No usual way to get.,No usual way to get.,No usual way to get.,No usual way to get.,0,100,{drawcard=false;gain=false},0,0
