变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5,costItemMap6
默认值,{},{},{},{},{},{}
ID,升级消耗序列1,升级消耗序列2,升级消耗序列3,升级消耗序列4,升级消耗序列5,升级消耗序列6
1,{529=5;gold=600},{529=5;gold=600},{529=8;gold=900},{529=11;gold=1320},{529=17;gold=2040},{529=25;gold=3000}
2,{529=5;gold=600},{529=5;gold=600},{529=8;gold=900},{529=11;gold=1320},{529=17;gold=2040},{529=25;gold=3000}
3,{529=10;gold=1200},{529=10;gold=1200},{529=15;gold=1800},{529=22;gold=2640},{529=34;gold=4080},{529=50;gold=6000}
4,{529=10;gold=1200},{529=10;gold=1200},{529=15;gold=1800},{529=22;gold=2640},{529=34;gold=4080},{529=50;gold=6000}
5,{529=15;gold=1800},{529=15;gold=1800},{529=23;gold=2700},{529=33;gold=3960},{529=51;gold=6120},{529=75;gold=9000}
6,{529=15;gold=1800},{529=15;gold=1800},{529=23;gold=2700},{529=33;gold=3960},{529=51;gold=6120},{529=75;gold=9000}
7,{529=20;gold=2400},{529=20;gold=2400},{529=30;gold=3600},{529=44;gold=5280},{529=68;gold=8160},{529=100;gold=12000}
8,{529=20;gold=2400},{529=20;gold=2400},{529=30;gold=3600},{529=44;gold=5280},{529=68;gold=8160},{529=100;gold=12000}
9,{529=25;gold=3000},{529=25;gold=3000},{529=38;gold=4500},{529=55;gold=6600},{529=85;gold=10200},{529=125;gold=15000}
10,{529=30;gold=3600},{529=30;gold=3600},{529=45;gold=5400},{529=66;gold=7920},{529=102;gold=12240},{529=150;gold=18000}
11,{529=35;gold=4200},{529=35;gold=4200},{529=53;gold=6300},{529=77;gold=9240},{529=119;gold=14280},{529=175;gold=21000}
12,{529=40;gold=4800},{529=40;gold=4800},{529=60;gold=7200},{529=88;gold=10560},{529=136;gold=16320},{529=200;gold=24000}
13,{529=50;gold=6000},{529=50;gold=6000},{529=75;gold=9000},{529=110;gold=13200},{529=170;gold=20400},{529=250;gold=30000}
14,{529=55;gold=6600},{529=55;gold=6600},{529=83;gold=9900},{529=121;gold=14520},{529=187;gold=22440},{529=275;gold=33000}
15,{529=60;gold=7200},{529=60;gold=7200},{529=90;gold=10800},{529=132;gold=15840},{529=204;gold=24480},{529=300;gold=36000}
16,{529=70;gold=8400},{529=70;gold=8400},{529=105;gold=12600},{529=154;gold=18480},{529=238;gold=28560},{529=350;gold=42000}
17,{529=75;gold=9000},{529=75;gold=9000},{529=113;gold=13500},{529=165;gold=19800},{529=255;gold=30600},{529=375;gold=45000}
18,{529=80;gold=9600},{529=80;gold=9600},{529=120;gold=14400},{529=176;gold=21120},{529=272;gold=32640},{529=400;gold=48000}
19,{529=80;gold=9600},{529=80;gold=9600},{529=120;gold=14400},{529=176;gold=21120},{529=272;gold=32640},{529=400;gold=48000}
20,{529=85;gold=10200},{529=85;gold=10200},{529=128;gold=15300},{529=187;gold=22440},{529=289;gold=34680},{529=425;gold=51000}
21,{529=90;gold=10800},{529=90;gold=10800},{529=135;gold=16200},{529=198;gold=23760},{529=306;gold=36720},{529=450;gold=54000}
22,{529=90;gold=10800},{529=90;gold=10800},{529=135;gold=16200},{529=198;gold=23760},{529=306;gold=36720},{529=450;gold=54000}
23,{529=95;gold=11400},{529=95;gold=11400},{529=143;gold=17100},{529=209;gold=25080},{529=323;gold=38760},{529=475;gold=57000}
24,{529=95;gold=11400},{529=95;gold=11400},{529=143;gold=17100},{529=209;gold=25080},{529=323;gold=38760},{529=475;gold=57000}
25,{529=95;gold=11400},{529=95;gold=11400},{529=143;gold=17100},{529=209;gold=25080},{529=323;gold=38760},{529=475;gold=57000}
26,{529=95;gold=11400},{529=95;gold=11400},{529=143;gold=17100},{529=209;gold=25080},{529=323;gold=38760},{529=475;gold=57000}
27,{529=100;gold=12000},{529=100;gold=12000},{529=150;gold=18000},{529=220;gold=26400},{529=340;gold=40800},{529=500;gold=60000}
28,{529=100;gold=12000},{529=100;gold=12000},{529=150;gold=18000},{529=220;gold=26400},{529=340;gold=40800},{529=500;gold=60000}
29,{529=100;gold=12000},{529=100;gold=12000},{529=150;gold=18000},{529=220;gold=26400},{529=340;gold=40800},{529=500;gold=60000}
30,{529=100;gold=12000},{529=100;gold=12000},{529=150;gold=18000},{529=220;gold=26400},{529=340;gold=40800},{529=500;gold=60000}
31,{529=100;gold=12000},{529=100;gold=12000},{529=150;gold=18000},{529=220;gold=26400},{529=340;gold=40800},{529=500;gold=60000}
32,{529=100;gold=12000},{529=100;gold=12000},{529=150;gold=18000},{529=220;gold=26400},{529=340;gold=40800},{529=500;gold=60000}
33,{529=100;gold=12000},{529=100;gold=12000},{529=150;gold=18000},{529=220;gold=26400},{529=340;gold=40800},{529=500;gold=60000}
34,{529=105;gold=12600},{529=105;gold=12600},{529=158;gold=18900},{529=231;gold=27720},{529=357;gold=42840},{529=525;gold=63000}
35,{529=105;gold=12600},{529=105;gold=12600},{529=158;gold=18900},{529=231;gold=27720},{529=357;gold=42840},{529=525;gold=63000}
36,{529=105;gold=12600},{529=105;gold=12600},{529=158;gold=18900},{529=231;gold=27720},{529=357;gold=42840},{529=525;gold=63000}
37,{529=105;gold=12600},{529=105;gold=12600},{529=158;gold=18900},{529=231;gold=27720},{529=357;gold=42840},{529=525;gold=63000}
38,{529=110;gold=13200},{529=110;gold=13200},{529=165;gold=19800},{529=242;gold=29040},{529=374;gold=44880},{529=550;gold=66000}
39,{529=110;gold=13200},{529=110;gold=13200},{529=165;gold=19800},{529=242;gold=29040},{529=374;gold=44880},{529=550;gold=66000}
40,{529=110;gold=13200},{529=110;gold=13200},{529=165;gold=19800},{529=242;gold=29040},{529=374;gold=44880},{529=550;gold=66000}
41,{529=110;gold=13200},{529=110;gold=13200},{529=165;gold=19800},{529=242;gold=29040},{529=374;gold=44880},{529=550;gold=66000}
42,{529=110;gold=13200},{529=110;gold=13200},{529=165;gold=19800},{529=242;gold=29040},{529=374;gold=44880},{529=550;gold=66000}
43,{529=115;gold=13800},{529=115;gold=13800},{529=173;gold=20700},{529=253;gold=30360},{529=391;gold=46920},{529=575;gold=69000}
44,{529=115;gold=13800},{529=115;gold=13800},{529=173;gold=20700},{529=253;gold=30360},{529=391;gold=46920},{529=575;gold=69000}
45,{529=115;gold=13800},{529=115;gold=13800},{529=173;gold=20700},{529=253;gold=30360},{529=391;gold=46920},{529=575;gold=69000}
46,{529=120;gold=14400},{529=120;gold=14400},{529=180;gold=21600},{529=264;gold=31680},{529=408;gold=48960},{529=600;gold=72000}
47,{529=120;gold=14400},{529=120;gold=14400},{529=180;gold=21600},{529=264;gold=31680},{529=408;gold=48960},{529=600;gold=72000}
48,{529=120;gold=14400},{529=120;gold=14400},{529=180;gold=21600},{529=264;gold=31680},{529=408;gold=48960},{529=600;gold=72000}
49,{529=120;gold=14400},{529=120;gold=14400},{529=180;gold=21600},{529=264;gold=31680},{529=408;gold=48960},{529=600;gold=72000}
50,{529=125;gold=15000},{529=125;gold=15000},{529=188;gold=22500},{529=275;gold=33000},{529=425;gold=51000},{529=625;gold=75000}
51,{529=125;gold=15000},{529=125;gold=15000},{529=188;gold=22500},{529=275;gold=33000},{529=425;gold=51000},{529=625;gold=75000}
52,{529=125;gold=15000},{529=125;gold=15000},{529=188;gold=22500},{529=275;gold=33000},{529=425;gold=51000},{529=625;gold=75000}
53,{529=130;gold=15600},{529=130;gold=15600},{529=195;gold=23400},{529=286;gold=34320},{529=442;gold=53040},{529=650;gold=78000}
54,{529=130;gold=15600},{529=130;gold=15600},{529=195;gold=23400},{529=286;gold=34320},{529=442;gold=53040},{529=650;gold=78000}
55,{529=130;gold=15600},{529=130;gold=15600},{529=195;gold=23400},{529=286;gold=34320},{529=442;gold=53040},{529=650;gold=78000}
