变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,namePng,texture,npcID,preGymID,hardDegreeID,limitAttribute,gateAward,leaderAward,crossLeaderAward,crossSubAward,fontColor,spine,posSkew,pos,leaderAwardDesc,leaderAwardDesc_tw,leaderAwardDesc_en,leaderAwardDesc_vn,leaderAwardDesc_kr,leaderAwardDesc_pt,leaderAwardDesc_th,crossLeaderAwardDesc,crossLeaderAwardDesc_tw,crossLeaderAwardDesc_en,crossLeaderAwardDesc_vn,crossLeaderAwardDesc_kr,crossLeaderAwardDesc_pt,crossLeaderAwardDesc_th,crossSubAwardDesc,crossSubAwardDesc_tw,crossSubAwardDesc_en,crossSubAwardDesc_vn,crossSubAwardDesc_kr,crossSubAwardDesc_pt,crossSubAwardDesc_th
默认值,"""""","""""","""""","""""","""""","""""","""""",,,,,<>,<>,{},{},{},{},#C0x5B545B#,dao6_loop,{x=0;y=0},{x=0;y=0},"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
ID,描述,描述,描述,描述,描述,描述,描述,馆主图片名,资源后缀,npcID,前置道馆(可空),难度ID,限定属性,通关奖励,本服荣誉馆主奖励,跨服荣誉馆主奖励,跨服荣誉馆员奖励,字体颜色,spine动画,区域偏移坐标,地图坐标,奖励描述,描述,描述,描述,描述,描述,描述,跨服馆主奖励描述,描述,描述,描述,描述,描述,描述,跨服馆员奖励描述,描述,描述,描述,描述,描述,描述
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,常青道馆,常青道館,Viridian Gym,Hội Quán Viridian,상록체육관,Ginásio Viridian,ยิม Viridian,txt_cq.png,yan.png,4,,<1;2;3;4;5>,<9;13>,{151=300;152=10;gold=100000;529=600},{151=600;152=20;gold=300000;452=30},{151=900;152=30;gold=1000000;452=100},{151=750;152=25;gold=500000;452=60},#C0xD2911E#,dao13_loop,{x=500;y=400},{x=1480;y=2320},常青馆主奖励：,常青館主獎勵：,Reward for Viridian Gym Leader:,Phần thưởng cho Thủ Lĩnh Hội Quán Viridian:,상록체육관 관장:,Recompensa para o Líder de Ginásio de Viridian:,รางวัลสำหรับหัวหน้ายิม Viridian:,跨服常青馆主奖励：,跨服常青館主獎勵：,Global Viridian Gym Leader rewards:,Phần thưởng Thủ Lĩnh Hội Quán Viridian Toàn Cầu:,글로벌 상록체육관 관장:,Recompensas do Líder de Ginásio Global Viridian:,รางวัล Global Viridian Gym Leader:,跨服常青馆员奖励：,跨服常青館員獎勵：,Rewards for Global Viridian Gym members:,Phần thưởng cho thành viên Hội Quán Viridian Toàn Cầu:,글로벌 상록체육관 트레이너:,Recompensas para membros do Global Viridian Gym:,รางวัลสำหรับสมาชิก Global Viridian Gym:
2,切锋道馆,切鋒道館,Snowpoint Gym,Hội Quán Snowpoint,선단체육관,Ginásio Snowpoint,ยิม Snowpoint,txt_qf.png,shui.png,8,,<11;12;13;14;15>,<3;6>,{151=300;152=10;gold=100000;529=600},{151=600;152=20;gold=300000;4000=50},{151=900;152=30;gold=1000000;4000=150},{151=750;152=25;gold=500000;4000=80},#C0x078CF3#,dao8_loop,{x=500;y=380},{x=1408;y=820},切锋馆主奖励：,切鋒館主獎勵：,Reward for Snowpoint Gym Leader:,Phần thưởng cho Thủ Lĩnh Hội Quán Snowpoint:,선단체육관 관장:,Recompensa para o Líder de Ginásio de Snowpoint:,รางวัลสำหรับหัวหน้ายิม Snowpoint:,跨服切锋馆主奖励：,跨服切鋒館主獎勵：,Global Snowpoint Gym Leader rewards:,Phần thưởng Thủ Lĩnh Hội Quán Snowpoint Toàn Cầu:,글로벌 선단체육관 관장:,Recompensas do Líder de Ginásio Global Snowpoint:,รางวัล Global Snowpoint Gym Leader:,跨服切锋馆员奖励：,跨服切鋒館員獎勵：,Rewards for Global Snowpoint members:,Phần thưởng cho thành viên Snowpoint Toàn Cầu:,글로벌 선단체육관 트레이너:,Recompensas para membros do Global Snowpoint:,รางวัลสำหรับสมาชิก Global Snowpoint:
3,桔梗道馆,桔梗道館,Violet Gym,Hội Quán Violet,도라지체육관,Ginásio Violeta,ยิม Violet,txt_jg.png,cao.png,2,,<21;22;23;24;25>,<1;4;10>,{151=300;152=10;gold=100000;529=600},{151=600;152=20;gold=300000;529=1000},{151=900;152=30;gold=1000000;529=2000},{151=750;152=25;gold=500000;529=1200},#C0x2C9C1D#,dao6_loop,{x=510;y=450},{x=2427;y=1601},桔梗馆主奖励：,桔梗館主獎勵：,Reward for Violet Gym Leader:,Phần thưởng cho Thủ Lĩnh Hội Quán Violet:,도라지체육관 관장:,Recompensa para o Líder de Ginásio de Violet:,รางวัลสำหรับหัวหน้ายิม Violet:,跨服桔梗馆主奖励：,跨服桔梗館主獎勵：,Global Violet Gym Leader rewards:,Phần thưởng Thủ Lĩnh Hội Quán Violet Toàn Cầu:,글로벌 도라지체육관 관장:,Recompensas do Líder de Ginásio Global Violet:,รางวัล Global Violet Gym Leader:,跨服桔梗馆员奖励：,跨服桔梗館員獎勵：,Rewards for Global Violet Gym members:,Phần thưởng cho thành viên Hội Quán Violet Toàn Cầu:,글로벌 도라지체육관 트레이너:,Recompensas para membros do Global Violet Gym:,รางวัลสำหรับสมาชิก Global Violet Gym:
4,红莲道馆,紅蓮道館,Cinnabar Gym,Hội Quán Cinnabar,홍련체육관,Ginásio Cinnabar,ยิม Cinnabar,txt_hl.png,huo.png,6,,<31;32;33;34;35>,<2;7>,{151=300;152=10;gold=100000;529=600},{151=600;152=20;gold=300000;503=1},{151=900;152=30;gold=1000000;503=3},{151=750;152=25;gold=500000;503=2},#C0xFF4810#,dao12_loop,{x=520;y=440},{x=3111;y=2677},红莲馆主奖励：,紅蓮館主獎勵：,Reward for Cinnabar Gym Leader:,Phần thưởng cho Thủ Lĩnh Hội Quán Cinnabar:,홍련체육관 관장:,Recompensa para o Líder de Ginásio de Cinnabar:,รางวัลสำหรับหัวหน้ายิม Cinnabar:,跨服红莲馆主奖励：,跨服紅蓮館主獎勵：,Global Cinnabar Gym Leader rewards:,Phần thưởng Thủ Lĩnh Hội Quán Cinnabar Toàn Cầu:,글로벌 홍련체육관 관장:,Recompensas do Líder de Ginásio Global Cinnabar:,รางวัล Global Cinnabar Gym Leader:,跨服红莲馆员奖励：,跨服紅蓮館員獎勵：,Rewards for Global Cinnabar Gym members:,Phần thưởng cho thành viên Cinnabar Toàn Cầu:,글로벌 홍련체육관 트레이너:,Recompensas para membros do Global Cinnabar Gym:,รางวัลสำหรับสมาชิก Global Cinnabar Gym:
5,双龙道馆,雙龍道館,Opelucid Gym,Hội Quán Opelucid,쌍용체육관,Ginásio Opelucid,ยิม Opelucid,txt_sl.png,long.png,7,1,<41;42;43;44;45>,<5;15>,{151=360;152=12;gold=100000;529=720},{151=720;152=24;gold=300000;519=1},{151=1080;152=36;gold=1000000;519=3},{151=900;152=30;gold=500000;519=2},#C0x3B4FF3#,dao10_loop,{x=530;y=340},{x=3203;y=847},双龙馆主奖励：,雙龍館主獎勵：,Reward for Opelucid Gym Leader:,Phần thưởng cho Thủ Lĩnh Hội Quán Opelucid:,쌍용체육관 관장:,Recompensa para o Líder de Ginásio de Opelucid:,รางวัลสำหรับหัวหน้ายิม Opelucid:,跨服双龙馆主奖励：,跨服雙龍館主獎勵：,Global Opelucid Gym Leader rewards:,Phần thưởng Thủ Lĩnh Hội Quán Opelucid Toàn Cầu:,글로벌 쌍용체육관 관장:,Recompensas do Líder de Ginásio Global Opelucid:,รางวัล Global Opelucid Gym Leader:,跨服双龙馆员奖励：,跨服雙龍館員獎勵：,Rewards for Global Opelucid Gym members:,Phần thưởng cho thành viên Opelucid Toàn Cầu:,글로벌 쌍용체육관 트레이너:,Recompensas para membros do Global Opelucid Gym:,รางวัลสำหรับสมาชิก Global Opelucid Gym:
6,缘朱道馆,緣朱道館,Ecruteak Gym,Hội Quán Ecruteak,인주체육관,Ginásio Ecruteak,ยิม Ecruteak,txt_yz.png,e.png,5,2,<51;52;53;54;55>,<14;16>,{151=360;152=12;gold=100000;529=720},{151=720;152=24;gold=300000;520=1},{151=1080;152=36;gold=1000000;520=3},{151=900;152=30;gold=500000;520=2},#C0x1F1D1D#,dao7_loop,{x=510;y=450},{x=4075;y=1696},缘朱馆主奖励：,緣朱館主獎勵：,Reward for Ecruteak Gym Leader:,Phần thưởng cho Thủ Lĩnh Hội Quán Ecruteak:,인주체육관 관장:,Recompensa para o Líder de Ginásio de Ecruteak:,รางวัลสำหรับหัวหน้ายิม Ecruteak:,跨服缘朱馆主奖励：,跨服緣朱館主獎勵：,Global Ecruteak Gym Leader rewards:,Phần thưởng Thủ Lĩnh Hội Quán Ecruteak Toàn Cầu:,글로벌 인주체육관 관장:,Recompensas do Líder de Ginásio Global Ecruteak:,รางวัล Global Ecruteak Gym Leader:,跨服缘朱馆员奖励：,跨服緣朱館員獎勵：,Rewards for Global Ecruteak Gym members:,Phần thưởng cho thành viên Ecruteak Toàn Cầu:,글로벌 인주체육관 트레이너:,Recompensas para membros do Global Ecruteak Gym:,รางวัลสำหรับสมาชิก Global Ecruteak Gym:
7,浅葱道馆,淺蔥道館,Olivine Gym,Hội Quán Olivine,담청체육관,Ginásio Olivine,ยิม Olivine,txt_qc.png,du.png,1,3,<61;62;63;64;65>,<8;12;17>,{151=360;152=12;gold=100000;529=720},{151=720;152=24;gold=300000;531=2},{151=1080;152=36;gold=1000000;531=4},{151=900;152=30;gold=500000;531=3},#C0x9B21BC#,dao11_loop,{x=510;y=440},{x=4650;y=2726},浅葱馆主奖励：,淺蔥館主獎勵：,Reward for Olivine Gym Leader:,Phần thưởng cho Thủ Lĩnh Hội Quán Olivine:,담청체육관 관장:,Recompensa para o Líder de Ginásio de Olivine:,รางวัลสำหรับหัวหน้ายิม Olivine:,跨服浅葱馆主奖励：,跨服淺蔥館主獎勵：,Global Olivine Gym Leader rewards:,Phần thưởng Thủ Lĩnh Hội Quán Olivine Toàn Cầu:,글로벌 담청체육관 관장:,Recompensas do Líder de Ginásio Global Olivine:,รางวัล Global Olivine Gym Leader:,跨服浅葱馆员奖励：,跨服淺蔥館員獎勵：,Rewards for Global Olivine Gym members:,Phần thưởng cho thành viên Olivine Toàn Cầu:,글로벌 담청체육관 트레이너:,Recompensas para membros do Global Olivine Gym:,รางวัลสำหรับสมาชิก Global Olivine Gym:
8,香薰道馆,香薰道館,Laverre Gym,Hội Quán Laverre,후늬체육관,Ginásio Laverre,ยิม Laverre,txt_xx.png,yao.png,3,4,<71;72;73;74;75>,<11;18>,{151=360;152=12;gold=100000;529=720},{151=720;152=24;gold=300000;502=2},{151=1080;152=36;gold=1000000;521=3},{151=900;152=30;gold=500000;502=3},#C0xFF2E5A#,dao9_loop,{x=495;y=430},{x=5082;y=886},香薰馆主奖励：,香薰館主獎勵：,Reward for Laverre Gym Leader:,Phần thưởng cho Thủ Lĩnh Hội Quán Laverre:,후늬체육관 관장:,Recompensa para o Líder de Ginásio de Laverre:,รางวัลสำหรับหัวหน้ายิม Laverre:,跨服香薰馆主奖励：,跨服香薰館主獎勵：,Global Laverre Gym Leader rewards:,Phần thưởng Thủ Lĩnh Hội Quán Laverre Toàn Cầu:,글로벌 후늬체육관 관장:,Recompensas do Líder de Ginásio Global Laverre:,รางวัล Global Laverre Gym Leader:,跨服香薰馆员奖励：,跨服香薰館員獎勵：,Rewards for Global Laverre Gym members:,Phần thưởng cho thành viên Laverre Toàn Cầu:,글로벌 후늬체육관 트레이너:,Recompensas para membros do Global Laverre Gym:,รางวัลสำหรับสมาชิก Global Laverre Gym:
