变量名,cost1,cost2,cost3,cost4,cost5,cost6,cost7,cost8
默认值,{151=5;gold=50000},{151=14;gold=50000},{151=18;gold=50000},{151=22;gold=50000},{151=26;gold=50000},{151=30;gold=50000},{151=35;gold=50000},{151=40;gold=50000}
等级,消耗1,消耗2,消耗3,消耗4,消耗5,消耗6,消耗7,消耗8
0,{151=30;gold=10000},{151=30;gold=10000},{151=30;gold=10000},{151=30;gold=10000},{151=30;gold=10000},{151=30;gold=10000},{151=30;gold=10000},{151=30;gold=10000}
1,{151=32;gold=13000},{151=32;gold=13000},{151=32;gold=13000},{151=32;gold=13000},{151=32;gold=13000},{151=32;gold=13000},{151=32;gold=13000},{151=32;gold=13000}
2,{151=34;gold=16000},{151=34;gold=16000},{151=34;gold=16000},{151=34;gold=16000},{151=34;gold=16000},{151=34;gold=16000},{151=34;gold=16000},{151=34;gold=16000}
3,{151=36;gold=19000},{151=36;gold=19000},{151=36;gold=19000},{151=36;gold=19000},{151=36;gold=19000},{151=36;gold=19000},{151=36;gold=19000},{151=36;gold=19000}
4,{151=38;gold=22000},{151=38;gold=22000},{151=38;gold=22000},{151=38;gold=22000},{151=38;gold=22000},{151=38;gold=22000},{151=38;gold=22000},{151=38;gold=22000}
5,{151=40;gold=25000},{151=40;gold=25000},{151=40;gold=25000},{151=40;gold=25000},{151=40;gold=25000},{151=40;gold=25000},{151=40;gold=25000},{151=40;gold=25000}
6,{151=42;gold=28000},{151=42;gold=28000},{151=42;gold=28000},{151=42;gold=28000},{151=42;gold=28000},{151=42;gold=28000},{151=42;gold=28000},{151=42;gold=28000}
7,{151=44;gold=31000},{151=44;gold=31000},{151=44;gold=31000},{151=44;gold=31000},{151=44;gold=31000},{151=44;gold=31000},{151=44;gold=31000},{151=44;gold=31000}
8,{151=46;gold=34000},{151=46;gold=34000},{151=46;gold=34000},{151=46;gold=34000},{151=46;gold=34000},{151=46;gold=34000},{151=46;gold=34000},{151=46;gold=34000}
9,{151=48;gold=37000},{151=48;gold=37000},{151=48;gold=37000},{151=48;gold=37000},{151=48;gold=37000},{151=48;gold=37000},{151=48;gold=37000},{151=48;gold=37000}
10,{151=50;gold=40000},{151=50;gold=40000},{151=50;gold=40000},{151=50;gold=40000},{151=50;gold=40000},{151=50;gold=40000},{151=50;gold=40000},{151=50;gold=40000}
11,{151=52;gold=43000},{151=52;gold=43000},{151=52;gold=43000},{151=52;gold=43000},{151=52;gold=43000},{151=52;gold=43000},{151=52;gold=43000},{151=52;gold=43000}
12,{151=54;gold=46000},{151=54;gold=46000},{151=54;gold=46000},{151=54;gold=46000},{151=54;gold=46000},{151=54;gold=46000},{151=54;gold=46000},{151=54;gold=46000}
13,{151=56;gold=49000},{151=56;gold=49000},{151=56;gold=49000},{151=56;gold=49000},{151=56;gold=49000},{151=56;gold=49000},{151=56;gold=49000},{151=56;gold=49000}
14,{151=58;gold=52000},{151=58;gold=52000},{151=58;gold=52000},{151=58;gold=52000},{151=58;gold=52000},{151=58;gold=52000},{151=58;gold=52000},{151=58;gold=52000}
15,{151=60;gold=55000},{151=60;gold=55000},{151=60;gold=55000},{151=60;gold=55000},{151=60;gold=55000},{151=60;gold=55000},{151=60;gold=55000},{151=60;gold=55000}
16,{151=62;gold=58000},{151=62;gold=58000},{151=62;gold=58000},{151=62;gold=58000},{151=62;gold=58000},{151=62;gold=58000},{151=62;gold=58000},{151=62;gold=58000}
17,{151=64;gold=61000},{151=64;gold=61000},{151=64;gold=61000},{151=64;gold=61000},{151=64;gold=61000},{151=64;gold=61000},{151=64;gold=61000},{151=64;gold=61000}
18,{151=66;gold=64000},{151=66;gold=64000},{151=66;gold=64000},{151=66;gold=64000},{151=66;gold=64000},{151=66;gold=64000},{151=66;gold=64000},{151=66;gold=64000}
19,{151=70;gold=67000},{151=70;gold=67000},{151=70;gold=67000},{151=70;gold=67000},{151=70;gold=67000},{151=70;gold=67000},{151=70;gold=67000},{151=70;gold=67000}
20,{151=74;gold=70000},{151=74;gold=70000},{151=74;gold=70000},{151=74;gold=70000},{151=74;gold=70000},{151=74;gold=70000},{151=74;gold=70000},{151=74;gold=70000}
21,{151=78;gold=73000},{151=78;gold=73000},{151=78;gold=73000},{151=78;gold=73000},{151=78;gold=73000},{151=78;gold=73000},{151=78;gold=73000},{151=78;gold=73000}
22,{151=82;gold=76000},{151=82;gold=76000},{151=82;gold=76000},{151=82;gold=76000},{151=82;gold=76000},{151=82;gold=76000},{151=82;gold=76000},{151=82;gold=76000}
23,{151=86;gold=79000},{151=86;gold=79000},{151=86;gold=79000},{151=86;gold=79000},{151=86;gold=79000},{151=86;gold=79000},{151=86;gold=79000},{151=86;gold=79000}
24,{151=90;gold=82000},{151=90;gold=82000},{151=90;gold=82000},{151=90;gold=82000},{151=90;gold=82000},{151=90;gold=82000},{151=90;gold=82000},{151=90;gold=82000}
25,{151=94;gold=85000},{151=94;gold=85000},{151=94;gold=85000},{151=94;gold=85000},{151=94;gold=85000},{151=94;gold=85000},{151=94;gold=85000},{151=94;gold=85000}
26,{151=98;gold=88000},{151=98;gold=88000},{151=98;gold=88000},{151=98;gold=88000},{151=98;gold=88000},{151=98;gold=88000},{151=98;gold=88000},{151=98;gold=88000}
27,{151=102;gold=91000},{151=102;gold=91000},{151=102;gold=91000},{151=102;gold=91000},{151=102;gold=91000},{151=102;gold=91000},{151=102;gold=91000},{151=102;gold=91000}
28,{151=106;gold=94000},{151=106;gold=94000},{151=106;gold=94000},{151=106;gold=94000},{151=106;gold=94000},{151=106;gold=94000},{151=106;gold=94000},{151=106;gold=94000}
29,{151=112;gold=97000},{151=112;gold=97000},{151=112;gold=97000},{151=112;gold=97000},{151=112;gold=97000},{151=112;gold=97000},{151=112;gold=97000},{151=112;gold=97000}
30,{151=118;gold=100000},{151=118;gold=100000},{151=118;gold=100000},{151=118;gold=100000},{151=118;gold=100000},{151=118;gold=100000},{151=118;gold=100000},{151=118;gold=100000}
31,{151=124;gold=103000},{151=124;gold=103000},{151=124;gold=103000},{151=124;gold=103000},{151=124;gold=103000},{151=124;gold=103000},{151=124;gold=103000},{151=124;gold=103000}
32,{151=130;gold=106000},{151=130;gold=106000},{151=130;gold=106000},{151=130;gold=106000},{151=130;gold=106000},{151=130;gold=106000},{151=130;gold=106000},{151=130;gold=106000}
33,{151=136;gold=109000},{151=136;gold=109000},{151=136;gold=109000},{151=136;gold=109000},{151=136;gold=109000},{151=136;gold=109000},{151=136;gold=109000},{151=136;gold=109000}
34,{151=142;gold=112000},{151=142;gold=112000},{151=142;gold=112000},{151=142;gold=112000},{151=142;gold=112000},{151=142;gold=112000},{151=142;gold=112000},{151=142;gold=112000}
35,{151=148;gold=115000},{151=148;gold=115000},{151=148;gold=115000},{151=148;gold=115000},{151=148;gold=115000},{151=148;gold=115000},{151=148;gold=115000},{151=148;gold=115000}
36,{151=154;gold=118000},{151=154;gold=118000},{151=154;gold=118000},{151=154;gold=118000},{151=154;gold=118000},{151=154;gold=118000},{151=154;gold=118000},{151=154;gold=118000}
37,{151=160;gold=121000},{151=160;gold=121000},{151=160;gold=121000},{151=160;gold=121000},{151=160;gold=121000},{151=160;gold=121000},{151=160;gold=121000},{151=160;gold=121000}
38,{151=166;gold=124000},{151=166;gold=124000},{151=166;gold=124000},{151=166;gold=124000},{151=166;gold=124000},{151=166;gold=124000},{151=166;gold=124000},{151=166;gold=124000}
39,{151=174;gold=127000},{151=174;gold=127000},{151=174;gold=127000},{151=174;gold=127000},{151=174;gold=127000},{151=174;gold=127000},{151=174;gold=127000},{151=174;gold=127000}
40,{151=182;gold=130000},{151=182;gold=130000},{151=182;gold=130000},{151=182;gold=130000},{151=182;gold=130000},{151=182;gold=130000},{151=182;gold=130000},{151=182;gold=130000}
41,{151=190;gold=133000},{151=190;gold=133000},{151=190;gold=133000},{151=190;gold=133000},{151=190;gold=133000},{151=190;gold=133000},{151=190;gold=133000},{151=190;gold=133000}
42,{151=198;gold=136000},{151=198;gold=136000},{151=198;gold=136000},{151=198;gold=136000},{151=198;gold=136000},{151=198;gold=136000},{151=198;gold=136000},{151=198;gold=136000}
