变量名,levelExp1,levelExp2,levelExp3,levelExp4,levelExp5,levelExp6,levelExp7
默认值,,,,,,,
等级,升级经验序列1,升级经验序列2,升级经验序列3,升级经验序列4,升级经验序列5,升级经验序列6,升级经验序列7
1,80,96,120,160,200,260,260
2,120,144,180,240,300,500,500
3,160,192,240,320,400,740,740
4,200,240,300,400,500,980,980
5,240,288,360,480,600,1220,1220
6,280,336,420,560,700,1460,1460
7,320,384,480,640,800,1700,1700
8,360,432,540,720,900,1940,1940
9,400,480,600,800,1000,2180,2180
10,440,528,660,880,1100,2420,2420
11,500,600,750,1000,1250,2660,2660
12,560,672,840,1120,1400,2900,2900
13,620,744,930,1240,1550,3140,3140
14,680,816,1020,1360,1700,3380,3380
15,740,888,1110,1480,1850,3620,3620
16,800,960,1200,1600,2000,3860,3860
17,860,1032,1290,1720,2150,4100,4100
18,920,1104,1380,1840,2300,4340,4340
19,980,1176,1470,1960,2450,4580,4580
20,1040,1248,1560,2080,2600,4820,4820
21,1120,1344,1680,2240,2800,5060,5060
22,1200,1440,1800,2400,3000,5300,5300
23,1280,1536,1920,2560,3200,5540,5540
24,1360,1632,2040,2720,3400,5780,5780
25,1440,1728,2160,2880,3600,6020,6020
26,1520,1824,2280,3040,3800,6260,6260
27,1600,1920,2400,3200,4000,6500,6500
28,1680,2016,2520,3360,4200,6740,6740
29,1760,2112,2640,3520,4400,6980,6980
30,1840,2208,2760,3680,4600,7220,7220
31,1920,2304,2880,3840,4800,7460,7460
32,2020,2424,3030,4040,5050,7700,7700
33,2120,2544,3180,4240,5300,7940,7940
34,2220,2664,3330,4440,5550,8180,8180
35,2320,2784,3480,4640,5800,8420,8420
36,2420,2904,3630,4840,6050,8660,8660
37,2520,3024,3780,5040,6300,8900,8900
38,2620,3144,3930,5240,6550,9140,9140
39,2720,3264,4080,5440,6800,9380,9380
40,2820,3384,4230,5640,7050,9620,9620
41,2920,3504,4380,5840,7300,9860,9860
42,3040,3648,4560,6080,7600,10100,10100
43,3160,3792,4740,6320,7900,10340,10340
44,3280,3936,4920,6560,8200,10580,10580
45,3400,4080,5100,6800,8500,10820,10820
46,3520,4224,5280,7040,8800,11060,11060
47,3640,4368,5460,7280,9100,11300,11300
48,3760,4512,5640,7520,9400,11540,11540
49,3880,4656,5820,7760,9700,11780,11780
50,4000,4800,6000,8000,10000,12020,12020
51,4150,4980,6225,8300,10375,12260,12260
52,4300,5160,6450,8600,10750,12500,12500
53,4450,5340,6675,8900,11125,12740,12740
54,4600,5520,6900,9200,11500,12980,12980
55,4750,5700,7125,9500,11875,13220,13220
56,4900,5880,7350,9800,12250,13460,13460
57,5050,6060,7575,10100,12625,13700,13700
58,5200,6240,7800,10400,13000,13940,13940
59,5350,6420,8025,10700,13375,14180,14180
60,5500,6600,8250,11000,13750,14420,14420
61,5775,6930,8663,11550,14438,15141,15141
62,6064,7277,9096,12128,15159,15898,15898
63,6367,7640,9550,12734,15917,16693,16693
64,6685,8022,10028,13371,16713,17528,17528
65,7020,8423,10529,14039,17549,18404,18404
66,7371,8845,11056,14741,18426,19324,19324
67,7739,9287,11609,15478,19348,20290,20290
68,8126,9751,12189,16252,20315,21305,21305
69,8532,10239,12798,17065,21331,22370,22370
70,8959,10751,13438,17918,22397,23489,23489
71,9407,11288,14110,18814,23517,24663,24663
72,9877,11853,14816,19754,24693,25896,25896
73,10371,12445,15557,20742,25928,27191,27191
74,10890,13068,16334,21779,27224,28551,28551
75,11434,13721,17151,22868,28585,29978,29978
76,12006,14407,18009,24012,30015,31477,31477
77,12606,15127,18909,25212,31515,33051,33051
78,13236,15884,19855,26473,33091,34703,34703
79,13898,16678,20847,27796,34746,36439,36439
80,14593,17512,21890,29186,36483,38261,38261
81,15323,18387,22984,30646,38307,40174,40174
82,16089,19307,24133,32178,40222,42182,42182
83,16893,20272,25340,33787,42233,44291,44291
84,17738,21286,26607,35476,44345,46506,46506
85,18625,22350,27937,37250,46562,48831,48831
86,19556,23467,29334,39112,48890,51273,51273
87,20534,24641,30801,41068,51335,53836,53836
88,21561,25873,32341,43121,53902,56528,56528
89,22639,27166,33958,45277,56597,59355,59355
90,23771,28525,35656,47541,59427,62322,62322
91,24009,28810,36013,48016,60021,62945,62945
92,24249,29098,36373,48497,60621,63575,63575
93,24491,29389,36736,48982,61228,64210,64210
94,24736,29683,37104,49471,61840,64853,64853
95,24984,29980,37475,49966,62458,65501,65501
96,25233,30280,37850,50466,63083,66156,66156
97,25486,30583,38228,50970,63714,66818,66818
98,25741,30888,38610,51480,64351,67486,67486
99,25998,31197,38996,51995,64994,68161,68161
100,26258,31509,39386,52515,65644,68842,68842
