变量名,levelStart,levelEnd,group,res,boss,monsters,weight,backGround
默认值,1,100,0,"""""",<>,,10,stage/ytly.csv
ID,等级下限（大于等于）,等级上限（小于）,怪物组,卡面资源,boss显示项,怪物IDs(cardsID),随机权重,背景地图
1001,1,100,1,config/item/icon_3zrb1.png,<81>,<71;452;3562;111;81;71>,10,stage/ytly.csv
1002,1,100,1,config/item/icon_3zrb1.png,<192>,<62;171;133;71;192;71>,10,stage/ytly.csv
1003,1,100,1,config/item/icon_3zrb1.png,<171>,<31;171;173;451;171;133>,10,stage/ytly.csv
1004,1,100,1,config/item/icon_3zrb1.png,<541>,<62;173;111;451;541;542>,10,stage/ytly.csv
1005,1,100,1,config/item/icon_3zrb1.png,<192>,<133;172;101;351;192;31>,10,stage/ytly.csv
1006,1,100,1,config/item/icon_3zrb1.png,<123>,<41;3561;1351;111;123;452>,10,stage/ytly.csv
1007,1,100,1,config/item/icon_3zrb1.png,<33>,<462;102;131;111;33;81>,10,stage/ytly.csv
1008,1,100,1,config/item/icon_3zrb1.png,<231>,<893;1351;541;3562;231;111>,10,stage/ytly.csv
1009,1,100,1,config/item/icon_3zrb1.png,<132>,<3561;62;122;71;132;133>,10,stage/ytly.csv
1010,1,100,1,config/item/icon_3zrb1.png,<72>,<352;112;111;131;72;541>,10,stage/ytly.csv
1011,1,100,1,config/item/icon_3zrb1.png,<72>,<1352;173;171;231;72;232>,10,stage/ytly.csv
1012,1,100,1,config/item/icon_3zrb1.png,<132>,<541;72;102;112;132;1351>,10,stage/ytly.csv
1013,1,100,1,config/item/icon_3zrb1.png,<111>,<192;31;72;462;111;191>,10,stage/ytly.csv
1014,1,100,1,config/item/icon_3zrb1.png,<452>,<121;231;133;123;452;131>,10,stage/ytly.csv
1015,1,100,1,config/item/icon_3zrb1.png,<132>,<893;61;111;463;132;62>,10,stage/ytly.csv
1016,1,100,1,config/item/icon_3zrb1.png,<132>,<3561;232;542;352;132;173>,10,stage/ytly.csv
1017,1,100,1,config/item/icon_3zrb1.png,<113>,<122;892;3562;232;113;2891>,10,stage/ytly.csv
1018,1,100,1,config/item/icon_3zrb1.png,<71>,<231;132;113;123;71;131>,10,stage/ytly.csv
1019,1,100,1,config/item/icon_3zrb1.png,<61>,<893;462;172;463;61;131>,10,stage/ytly.csv
1020,1,100,1,config/item/icon_3zrb1.png,<171>,<111;541;71;62;171;192>,10,stage/ytly.csv
1021,1,100,1,config/item/icon_3zrb1.png,<191>,<101;171;112;463;191;232>,10,stage/ytly.csv
1022,1,100,1,config/item/icon_3zrb1.png,<82>,<62;232;892;81;82;351>,10,stage/ytly.csv
1023,1,100,1,config/item/icon_3zrb1.png,<121>,<1353;893;71;112;121;231>,10,stage/ytly.csv
1024,1,100,1,config/item/icon_3zrb1.png,<172>,<132;62;101;452;172;82>,10,stage/ytly.csv
1025,1,100,1,config/item/icon_3zrb1.png,<192>,<113;3562;132;123;192;891>,10,stage/ytly.csv
1026,1,100,1,config/item/icon_3zrb1.png,<112>,<121;111;102;62;112;1352>,10,stage/ytly.csv
1027,1,100,1,config/item/icon_3zrb1.png,<71>,<452;81;121;462;71;31>,10,stage/ytly.csv
1028,1,100,1,config/item/icon_3zrb1.png,<81>,<133;71;1352;452;81;892>,10,stage/ytly.csv
1029,1,100,1,config/item/icon_3zrb1.png,<3562>,<81;451;2891;3562;3562;61>,10,stage/ytly.csv
1030,1,100,1,config/item/icon_3zrb1.png,<122>,<231;33;121;172;122;462>,10,stage/ytly.csv
1031,1,100,1,config/item/icon_3zrb1.png,<132>,<192;232;72;172;132;462>,10,stage/ytly.csv
1032,1,100,1,config/item/icon_3zrb1.png,<542>,<232;541;112;71;542;452>,10,stage/ytly.csv
