变量名,icon,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,type,param,validRechargeHuodong,rmbDisplay,rmbDisplay_tw,rmbDisplay_en,rmbDisplay_vn,rmbDisplay_kr,rmbDisplay_pt,rmbDisplay_th,rmb,rmb_en,rmb_tw,rmb_kr,rmb_vn,rmb_pt,rmb_th,firstPresent,firstDesc,firstDesc_tw,firstDesc_en,firstDesc_vn,firstDesc_kr,firstDesc_pt,firstDesc_th,present,desc,desc_tw,desc_en,desc_kr,recommend,sortValue,languages
默认值,“”,,,,,"""""","""""","""""",1,{},TRUE,"""""","""""","""""","""""","""""","""""","""""",0,0,0,0,0,0,0,0,,,,,,,,0,,,,"""""",0,0,<cn;tw;en;vn;th;kr;ar;de;fr;it;pt;ru>
充值项ID,充值项图标,描述,描述,描述,描述,描述,描述,描述,类型（1一次性，2持续性，3礼包）,特殊参数,是否激活充值类活动,消耗RMB,描述,描述,描述,描述,描述,描述,基础钻石,基础钻石,基础钻石,基础钻石,基础钻石,基础钻石,基础钻石,首次购买赠送,首次购买描述,描述,描述,描述,描述,描述,描述,普通购买赠送,普通购买描述,描述,描述,描述,是否推荐,排序优先级（越大越前，未首冲+100）,语言区域
1,,499钻石月卡包,499鑽石月卡包,Monthly Pass (499 Diamond),Monthly Pass (499 Diamond),포켓몬 월정액,Monthly Pass (499 Diamond),Monthly Pass (499 Diamond),2,{days=30},,"""4.99""","""4.99""","""4.99""","""4.99""","""4.99""","""4.99""","""4.99""",3000,3000,3000,3000,3000,3000,3000,,连续30天每天领取100钻,連續30天每天領取3000鑽,Daily free claim 3000 Diamond for 30 days,Nhận miễn phí 3000 Kim cương mỗi ngày trong 30 ngày,30일 동안 매일 3000 다이아 무료 지급,3000 Diamantes grátis por 30 dias,รับเพชร 3000 ฟรีทุกวันเป็นเวลา 30 วัน,0,连续30天每天领取100钻,連續30天每天領取100鑽,Daily free claim 100 Diamond for 30 days,연속 30일간 매일 100다이아 수령 가능,1,,
2,,1299钻石月卡包,1299鑽石月卡包,Permanent Card (1299 Diamond),Permanent Card (1299 Diamond),마스터 월정액,Permanent Card (1299 Diamond),Permanent Card (1299 Diamond),2,{days=30},,"""12.99""","""12.99""","""12.99""","""12.99""","""12.99""","""12.99""","""12.99""",7000,7000,7000,7000,7000,7000,7000,,连续30天每天领取150钻,連續30天每天領取7000鑽,Daily free claim 7000 Diamond Permanently,Nhận miễn phí 7000 Kim cương mỗi ngày trong 30 ngày,30일 동안 매일 7000 다이아 무료 지급,7000 Diamantes grátis por 30 dias,รับเพชร 7000 ฟรีทุกวันเป็นเวลา 30 วัน,0,连续30天每天领取150钻,連續30天每天領取150鑽,Daily free claim 100 Diamond Permanently,연속 30일간 매일 150다이아 수령 가능,1,,
,city/recharge/icon_cz_7@.png,6480钻石,6480鑽石,6480 Diamond,6480 Diamond,,,,,,,"""648""","""99.99""","""99.99""","""99.99""",,,,6480,6480,6480,6480,,,,6480,另赠6480钻(仅首次),另贈6480鑽(僅首次),Extra 6480 Diamond (1st Recharge only),Extra 6480 Diamond (1st Recharge only),,,,0,,,,,1,9,
,city/recharge/icon_cz_6@.png,3280钻石,3280鑽石,3280 Diamond,3280 Diamond,,,,,,,"""328""","""48.99""","""49.99""","""48.99""",,,,3280,3280,3280,3280,,,,3280,另赠3280钻(仅首次),另贈3280鑽(僅首次),Extra 3280 Diamond (1st Recharge only),Extra 3280 Diamond (1st Recharge only),,,,0,,,,,1,8,
,city/recharge/icon_cz_5@.png,1980钻石,1980鑽石,1980 Diamond,1980 Diamond,,,,,,,"""198""","""28.99""","""29.99""","""28.99""",,,,1980,1980,1980,1980,,,,1980,另赠1980钻(仅首次),另贈1980鑽(僅首次),Extra 1980 Diamond (1st Recharge only),Extra 1980 Diamond (1st Recharge only),,,,0,,,,,1,7,
,city/recharge/icon_cz_4@.png,980钻石,980鑽石,980 Diamond,980 Diamond,,,,,,,"""98""","""14.99""","""14.99""","""14.99""",,,,980,980,980,980,,,,980,另赠980钻(仅首次),另贈980鑽(僅首次),Extra 980 Diamond (1st Recharge only),Extra 980 Diamond (1st Recharge only),,,,0,,,,,0,6,
,city/recharge/icon_cz_3@.png,600钻石,600鑽石,600 Diamond,600 Diamond,,,,,,,"""60""","""9.99""","""8.99""","""9.99""",,,,600,600,600,600,,,,600,另赠600钻(仅首次),另贈600鑽(僅首次),Extra 600 Diamond (1st Recharge only),Extra 600 Diamond (1st Recharge only),,,,0,,,,,0,5,
,city/recharge/icon_cz_2@.png,300钻石,300鑽石,300 Diamond,300 Diamond,,,,,,,"""30""","""4.99""","""4.99""","""4.99""",,,,300,300,300,300,,,,300,另赠300钻(仅首次),另贈300鑽(僅首次),Extra 300 Diamond (1st Recharge only),Extra 300 Diamond (1st Recharge only),,,,0,,,,,0,4,
