变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,icon,cardID,itemID,roleID,skinID,languages,unlockDesc,unlockDesc_tw,unlockDesc_en,unlockDesc_vn,unlockDesc_kr,unlockDesc_pt,unlockDesc_th
默认值,"""""","""""","""""","""""","""""","""""","""""",config/portrait/speedranktouxiang/img_25_pkq@.png,,,,,<cn;tw;en;vn;th;kr;pt>,"""特殊途径解锁""","""特殊途徑解鎖""",Special path unlocking,Special path unlocking,특수 경로로 개방,"""Caminho especial""","""ทางพิเศษ"""
ID,名字,名字,名字,名字_越南,名字_韩,名字_葡,名字_泰,icon（支持spine）,卡牌id,物品id,形象id,皮肤id,语言区域,解锁条件,解锁条件,解锁条件,解锁条件_越南,解锁条件_韩,解锁条件_葡,解锁条件_泰
1,小智,小智,Ash,Ash,지우,Ash,ซาโตชิ,config/portrait/toptouxiang/img_role_1@.png,,,1,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
2,小霞,小霞,Misty,Misty,이슬,Misty,คาสึมิ,config/portrait/toptouxiang/img_role_2@.png,,,2,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
3,拉普,拉普,Lapu,Lapu,라프,Lapu,ลาปุ,config/portrait/toptouxiang/img_role_3@.png,,,3,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
4,布尔美丽,布爾美麗,Bellelba,Bellelba,부르메이리,Bellelba,บุริม บิเรอิ,config/portrait/toptouxiang/img_role_4@.png,,,4,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
5,露美旦,露美旦,Lumeidan,Lumeidan,루메이단,Lumeidan,ลู่เหม่ยตั้น,config/portrait/toptouxiang/img_role_5@.png,,,5,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
6,梅雅丽,梅雅麗,Mary,Mary,메아리,Mary,เหมยหย่าลี่,config/portrait/toptouxiang/img_role_6@.png,,,6,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
7,三色堇,三色堇,Pansy,Pansy,팬지,Pansy,แพนซี่,config/portrait/toptouxiang/img_role_7@.png,,,7,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
8,紫罗兰,紫羅蘭,Viola,Viola,비올라,Viola,วิโอลา,config/portrait/toptouxiang/img_role_8@.png,,,8,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
9,西子伊,西子伊,Shizui,Shizui,시즈,Shizui,ชิซุย,config/portrait/toptouxiang/img_role_9@.png,,,9,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
10,杜娟,杜娟,Roxanne,Roxanne,록,Roxanne,ซึซึจิ,config/portrait/toptouxiang/img_role_10@.png,,,10,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
11,阿克罗玛,阿克羅瑪,Colress,Colress,아크로마,Colress,อาโครมา,config/portrait/toptouxiang/img_role_11@.png,,,11,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
12,亚莎,亞莎,Elesa,Elesa,엘레사,Elesa,คามิซึเระ,config/portrait/toptouxiang/img_role_12@.png,,,12,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
13,修,修,Hugh,Hugh,휴,Hugh,ฮิว,config/portrait/toptouxiang/img_role_13@.png,,,13,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
14,霍米加,霍米加,Roxie,Roxie,호미카,Roxie,โฮมิกะ,config/portrait/toptouxiang/img_role_14@.png,,,14,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
15,白露,白露,Bianca,Bianca,벨,Bianca,เบล,config/portrait/toptouxiang/img_role_15@.png,,,15,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
16,可尔妮,可爾妮,Korrina,Korrina,코르니,Korrina,โครุนิ,config/portrait/toptouxiang/img_role_16@.png,,,16,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
17,兰昼妮,蘭晝妮,Lanzhouni,Lanzhouni,란주니,Lanzhouni,หลันโจวนี,config/portrait/toptouxiang/img_role_17@.png,,,17,,,解锁训练家形象后可使用,特殊途徑解鎖,Special path unlocking,Special path unlocking,특수 경로로 개방,,
