变量名,_beizhu,index,seatExtraFix,wave,hp,damage,specialDamage,defence,specialDefence,speed,hpself,damageself,specialDamageself,defenceself,specialDefenceself,speedself
默认值,,,{},,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
id,备注,索引,站位修正,波次,怪物血量修正,怪物攻击修正,怪物攻击修正,怪物防御修正,怪物防御修正,怪物速度修正,己方血量修正,己方攻击修正,己方攻击修正,己方防御修正,己方防御修正,己方攻击修正
1,,80001,{11=1.1},1,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
2,,80001,{11=1.1},2,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
3,,80001,{11=1.1},3,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
4,,80001,{11=1.1},4,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
5,,80001,{11=1.1},5,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
6,,80001,{11=1.1},6,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
7,,80001,{11=1.1},7,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
8,,80001,{11=1.1},8,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
9,,80001,{11=1.1},9,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
10,,80001,{11=1.1},10,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
11,,80001,{11=1.1},11,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
12,,80001,{11=1.1},12,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
13,,80002,{11=1.1},1,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
